Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev,WHIP,KPercent,BBPercent,BABIP
20100405,MIN,AL,1,ANA,AL,1,3,6,51,ANA01,43504.0,32,7,1,0,1,3,0,1,1,3,0,8,1,0,1,0,7,4,6,6,1,0,24,4,0,0,0,0,33,9,0,0,3,6,0,0,0,3,0,5,1,0,0,0,6,4,3,3,0,0,27,10,0,0,1,0,weavj003,bakes002,fuenb001,bakes002,weavj003,,1,Apr 5,1,MIN,"W,6-3",9.0,7,3,3,0,3,8,1,1,3.0,37,143,87,0,0,1,0,32,1,0,0,0,1,0,1,4,Tim McClelland,"J.Weaver (99-54-W), K.Jepsen (99-H), F.Rodney (99-H), B.Fuentes (99-Sv)",0.21875,0.2727272727272727,0.2972972972972973,0.3333333333333333,0.34375,0.5454545454545454,0.6410472972972974,0.8787878787878787,1.0,,1.1111111111111112,0.21621621621621623,0.08108108108108109,0.25
20100406,MIN,AL,2,ANA,AL,2,5,3,54,ANA01,43510.0,32,9,1,0,3,5,0,1,0,5,0,6,0,0,3,0,6,4,3,3,0,0,27,12,0,0,2,0,33,8,1,0,1,3,0,0,0,4,0,6,0,0,1,0,7,3,5,5,1,0,27,16,1,0,3,0,blacn001,saunj001,raucj001,blacn001,saunj001,,2,Apr 6,1,MIN,"L,3-5",9.0,9,5,5,0,5,6,3,0,4.0,38,140,87,0,0,0,0,32,1,0,0,0,1,1,3,3,Mike Everitt,"J.Saunders (99-33-L), M.Palmer (99), B.Stokes (99)",0.28125,0.24242424242424243,0.3684210526315789,0.32432432432432434,0.59375,0.36363636363636365,0.962171052631579,0.687960687960688,0.0,1.0,1.5555555555555556,0.15789473684210525,0.13157894736842105,0.25
20100407,MIN,AL,3,ANA,AL,3,4,2,54,ANA01,41533.0,34,7,0,1,2,4,0,1,0,1,0,7,2,0,0,0,5,3,2,2,0,0,27,12,0,0,0,0,35,9,2,0,0,2,0,0,1,0,0,6,0,1,0,0,7,3,4,4,1,0,27,12,0,0,0,0,pavac001,sante001,raucj001,pavac001,sante001,,3,Apr 7,1,MIN,"L,2-4",9.0,7,4,4,0,1,7,2,0,4.0,36,150,91,0,0,2,0,34,0,1,0,0,1,0,0,3,Andy Fletcher,"E.Santana (99-49-L), J.Bulger (99), S.Shields (99)",0.20588235294117646,0.2571428571428571,0.2222222222222222,0.2777777777777778,0.4411764705882353,0.3142857142857143,0.6633986928104575,0.5920634920634921,0.0,0.0,0.8888888888888888,0.19444444444444445,0.027777777777777776,0.19230769230769232
20100408,MIN,AL,4,ANA,AL,4,10,1,54,ANA01,39709.0,37,11,3,0,3,10,1,0,0,6,0,5,0,0,1,0,7,5,1,1,0,0,27,6,0,0,0,0,34,8,1,0,0,1,0,1,0,2,0,9,0,0,0,0,9,4,10,10,0,0,27,17,1,0,1,0,slowk001,pinej001,,slowk001,pinej001,,4,Apr 8,1,MIN,"L,1-10",9.0,11,10,10,0,6,5,3,0,5.5,44,165,102,1,0,0,0,37,3,0,0,1,0,1,1,4,Adrian Johnson,"J.Pineiro (99-49-L), K.Jepsen (2), B.Stokes (1), F.Rodney (2)",0.2972972972972973,0.23529411764705882,0.3953488372093023,0.2702702702702703,0.6216216216216216,0.2647058823529412,1.0169704588309239,0.5349761526232115,0.0,0.0,1.8888888888888888,0.11363636363636363,0.13636363636363635,0.27586206896551724
20100409,OAK,AL,5,ANA,AL,5,10,4,54,ANA01,40034.0,41,13,4,0,1,10,0,0,1,3,0,5,0,0,1,0,8,3,3,3,1,0,27,6,2,0,1,0,35,8,1,0,2,4,0,1,0,2,0,10,0,0,1,0,7,3,8,8,0,0,27,18,3,0,1,0,gonzg003,palmm001,,gonzg003,palmm001,,5,Apr 9,1,OAK,"L,4-10",9.0,13,10,8,2,3,5,1,1,6.0,45,157,96,3,2,0,0,41,4,0,0,0,0,2,1,3,Scott Barry,"M.Palmer (2-28-L), J.Bulger (1), B.Cassevah (99)",0.3170731707317073,0.22857142857142856,0.37777777777777777,0.2631578947368421,0.4878048780487805,0.42857142857142855,0.8655826558265582,0.6917293233082706,0.0,0.0,1.7777777777777777,0.1111111111111111,0.06666666666666667,0.34285714285714286
20100410,OAK,AL,6,ANA,AL,6,3,4,52,ANA01,40249.0,33,6,2,0,1,3,0,0,0,2,0,9,0,0,0,0,5,4,4,4,0,0,25,10,1,0,1,0,36,13,6,0,0,4,0,0,0,4,1,5,0,1,1,0,11,4,3,3,1,0,27,8,0,0,0,0,rodnf001,bresc001,,sheeb001,weavj003,,6,Apr 10,1,OAK,"W,4-3",9.0,6,3,3,0,2,9,1,0,5.5,35,147,95,0,0,0,0,33,2,0,0,0,0,0,0,4,Gerry Davis,"J.Weaver (4-66), K.Jepsen (1-H), S.Shields (2-BSv), F.Rodney (1-W)",0.18181818181818182,0.3611111111111111,0.22857142857142856,0.425,0.3333333333333333,0.5277777777777778,0.5619047619047619,0.9527777777777777,1.0,0.0,0.8888888888888888,0.2571428571428571,0.05714285714285714,0.21739130434782608
20100411,OAK,AL,7,ANA,AL,7,9,4,54,ANA01,40601.0,34,9,2,0,1,8,2,0,0,6,0,5,2,1,0,0,6,2,4,4,0,0,27,13,0,0,1,0,32,7,1,0,2,4,0,1,0,2,0,4,0,0,1,0,4,5,6,6,0,0,27,11,1,0,0,0,bradd002,saunj001,rosst001,bradd002,saunj001,,7,Apr 11,1,OAK,"L,4-9",9.0,9,9,6,3,6,5,1,0,5.57,42,175,98,4,4,2,1,34,2,0,0,2,0,1,0,5,Brian Knight,"J.Saunders (4-49-L), K.Jepsen (0-BSv), S.Shields (0), B.Stokes (2), B.Cassevah (1)",0.2647058823529412,0.21875,0.375,0.2571428571428571,0.4117647058823529,0.4375,0.7867647058823529,0.6946428571428571,0.0,1.0,1.6666666666666667,0.11904761904761904,0.14285714285714285,0.2857142857142857
20100413,ANA,AL,8,NYA,AL,7,5,7,51,NYC21,49293.0,37,11,0,0,2,5,0,0,0,3,0,9,0,0,1,0,8,4,7,7,2,0,24,7,0,0,2,0,34,13,4,0,2,7,0,0,0,9,0,8,1,0,2,0,12,4,5,5,0,0,27,9,0,0,1,0,petta001,sante001,rivem002,sante001,petta001,,8,Apr 13,@,NYY,"L,5-7",8.0,13,7,7,0,9,8,2,0,5.83,43,166,88,2,2,1,0,34,4,0,0,0,0,0,2,4,Hunter Wendelstedt,"E.Santana (5-35-L), J.Bulger (3), B.Stokes (1), B.Cassevah (1)",0.2972972972972973,0.38235294117647056,0.35,0.5116279069767442,0.4594594594594595,0.6764705882352942,0.8094594594594595,1.1880984952120384,0.0,0.0,2.75,0.18604651162790697,0.20930232558139536,0.4583333333333333
20100414,ANA,AL,9,NYA,AL,8,5,3,54,NYC21,42372.0,36,10,3,0,0,5,0,0,1,3,0,6,2,1,0,0,8,4,3,3,1,0,27,12,0,0,0,0,34,7,1,1,0,3,0,0,0,2,0,8,0,0,0,0,6,4,5,5,1,0,27,7,0,1,0,0,pinej001,vazqj001,rodnf001,pinej001,vazqj001,,9,Apr 14,@,NYY,"W,5-3",9.0,7,3,3,0,2,8,0,0,5.51,36,152,94,2,1,0,0,34,1,1,0,0,0,0,0,4,Dan Bellino,"J.Pineiro (5-70-W), S.Shields (2), K.Jepsen (2-H), F.Rodney (3-Sv)",0.2777777777777778,0.20588235294117646,0.35,0.25,0.3611111111111111,0.29411764705882354,0.711111111111111,0.5441176470588236,1.0,0.0,1.0,0.2222222222222222,0.05555555555555555,0.2692307692307692
20100415,ANA,AL,10,NYA,AL,9,2,6,51,NYC21,44722.0,31,6,0,0,1,2,0,0,0,7,0,11,1,0,1,0,9,4,6,6,0,0,24,9,0,0,0,0,33,9,3,2,3,6,0,0,0,6,0,7,0,0,0,0,9,5,2,2,1,1,27,8,0,0,1,0,hughp001,kazms001,rivem002,kazms001,hughp001,,10,Apr 15,@,NYY,"L,2-6",8.0,9,6,6,0,6,7,3,0,5.62,39,164,91,0,0,0,0,33,3,2,0,0,0,0,0,4,Jerry Layne,"S.Kazmir (99-21-L), B.Stokes (1), M.Palmer (5), F.Rodriguez (99)",0.1935483870967742,0.2727272727272727,0.34210526315789475,0.38461538461538464,0.2903225806451613,0.7575757575757576,0.6324278438030561,1.1421911421911422,0.0,1.0,1.875,0.1794871794871795,0.15384615384615385,0.2608695652173913
20100416,ANA,AL,11,TOR,AL,11,7,5,54,TOR02,14779.0,36,11,3,0,1,7,0,0,0,2,0,7,3,1,1,0,4,4,5,5,0,0,27,10,0,0,0,0,34,8,0,0,3,5,0,0,0,1,0,9,1,0,0,0,3,3,7,7,1,0,27,14,1,0,1,0,weavj003,marcs001,rodnf001,weavj003,marcs001,,11,Apr 16,@,TOR,"W,7-5",9.0,8,5,5,0,1,9,3,0,5.57,35,139,88,0,0,1,0,34,0,0,0,0,0,0,0,4,Jim Joyce,"J.Weaver (5-67-W), J.Bulger (2), K.Jepsen (1-H), F.Rodney (1-Sv)",0.3055555555555556,0.23529411764705882,0.34210526315789475,0.2571428571428571,0.4722222222222222,0.5,0.814327485380117,0.7571428571428571,1.0,0.0,1.0,0.2571428571428571,0.02857142857142857,0.22727272727272727
20100417,ANA,AL,12,TOR,AL,12,6,3,54,TOR02,17187.0,36,10,4,0,2,6,0,0,0,3,1,6,1,0,1,0,6,3,1,1,0,0,27,13,2,0,0,0,34,7,5,0,0,1,0,0,0,1,0,4,1,0,0,0,5,4,6,6,0,0,27,12,0,0,1,0,saunj001,tallb001,rodnf001,saunj001,tallb001,,12,Apr 17,@,TOR,"W,6-3",9.0,7,3,1,2,1,4,0,0,5.18,35,125,85,1,0,1,0,34,5,0,0,0,0,2,0,3,Marvin Hudson,"J.Saunders (5-69-W), K.Jepsen (0), F.Rodney (0-Sv)",0.2777777777777778,0.20588235294117646,0.3333333333333333,0.22857142857142856,0.5555555555555556,0.35294117647058826,0.8888888888888888,0.5815126050420169,1.0,1.0,0.8888888888888888,0.11428571428571428,0.02857142857142857,0.23333333333333334
20100418,ANA,AL,13,TOR,AL,13,3,1,54,TOR02,14246.0,33,7,4,0,0,2,1,0,0,2,0,7,1,0,1,0,6,1,1,1,0,0,27,10,0,0,0,0,31,4,2,0,1,1,0,0,0,0,0,6,1,0,0,0,3,2,2,2,2,0,27,12,1,0,1,0,sante001,romer002,,sante001,romer002,,13,Apr 18,@,TOR,"W,3-1",9.0,4,1,1,0,0,6,1,0,4.85,31,106,70,1,1,1,0,31,2,0,0,0,0,0,0,1,Jim Wolf,E.Santana (4-81-W),0.21212121212121213,0.12903225806451613,0.2571428571428571,0.12903225806451613,0.3333333333333333,0.2903225806451613,0.5904761904761904,0.41935483870967744,1.0,1.0,0.4444444444444444,0.1935483870967742,0.0,0.125
