Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev,WHIP,KPercent,BBPercent,BABIP
20100404,NYA,AL,1,BOS,AL,1,7,9,51,BOS07,37440,37,12,2,0,2,6,0,0,0,6,0,2,2,0,2,0,9,5,8,8,1,0,24,9,1,1,1,0,34,12,3,1,1,8,0,1,0,4,0,5,0,0,0,0,6,6,7,7,1,0,27,15,0,0,2,0,okajh001,parkc002,papej001,sabac001,beckj002,1,Apr 4,1,NYY,"W,9-7",9.0,12,7,7,0,6,2,2,0,7.0,43,156,88,4,2,2,0,37,2,0,0,0,0,0,2,6,Joe West,"J.Beckett (99-26), S.Schoeneweis (99), R.Ramirez (99), H.Okajima (99-W), D.Bard (99-H), J.Papelbon (99-Sv)",,0.32432432432432434,0.35294117647058826,0.4186046511627907,0.41025641025641024,0.5405405405405406,0.5882352941176471,0.9591451917033313,0.9984917043740573,1.0,,2.0,0.046511627906976744,0.13953488372093023,0.30303030303030304
20100406,NYA,AL,2,BOS,AL,2,6,4,54,BOS07,38000,35,9,4,0,1,6,0,1,2,5,0,7,0,0,1,0,10,6,3,3,0,0,27,5,3,0,1,0,35,9,3,0,1,4,0,1,1,1,0,8,2,0,1,0,7,5,5,5,0,0,27,12,1,0,1,0,aceva001,okajh001,rivem002,burna001,lestj001,2,Apr 6,1,NYY,"L,4-6",9.0,9,6,5,1,5,7,1,2,6.0,43,185,109,3,0,0,0,35,4,0,0,0,1,1,1,5,Angel Hernandez,"J.Lester (99-42), M.Delcarmen (99), D.Bard (1), H.Okajima (1-L), S.Atchison (99)",,0.2571428571428571,0.2571428571428571,0.37209302325581395,0.2894736842105263,0.45714285714285713,0.42857142857142855,0.829235880398671,0.7180451127819549,0.0,1.0,1.5555555555555556,0.16279069767441862,0.11627906976744186,0.2857142857142857
20100407,NYA,AL,3,BOS,AL,3,3,1,60,BOS07,38238,34,6,1,0,1,3,0,0,1,5,0,7,2,1,1,0,7,3,1,1,0,0,30,10,0,0,2,0,35,7,2,0,0,1,0,0,1,3,0,5,0,0,2,0,8,5,3,3,0,0,30,15,0,0,1,0,parkc002,papej001,rivem002,petta001,lackj001,3,Apr 7,1,NYY,"L,1-3",10.0,6,3,3,0,5,7,1,1,4.82,40,165,98,3,2,2,1,34,1,0,0,0,0,0,1,5,Paul Schrieber,"J.Lackey (99-67), S.Schoeneweis (2-H), D.Bard (0-BSv), J.Papelbon (2-L), S.Atchison (0)",,0.17647058823529413,0.2,0.3,0.28205128205128205,0.29411764705882354,0.2571428571428571,0.5941176470588235,0.5391941391941392,0.0,0.0,1.1,0.175,0.125,0.19230769230769232
20100409,BOS,AL,4,KCA,AL,4,3,4,51,KAN06,21091,33,9,2,0,1,3,1,0,0,4,0,8,0,1,1,0,8,3,4,4,0,0,24,7,0,0,0,0,30,8,3,0,2,4,1,0,0,2,0,7,2,0,0,0,5,6,3,3,0,0,27,10,1,0,1,0,parrj003,bardd001,sorij001,waket001,davik002,4,Apr 9,@,KCR,"L,3-4",8.0,8,4,4,0,2,7,2,0,4.75,33,119,73,1,1,2,0,30,3,0,0,1,0,0,0,3,Mike Estabrook,"T.Wakefield (99-62), H.Okajima (2-H), D.Bard (1-BL)",,0.2727272727272727,0.26666666666666666,0.35135135135135137,0.3125,0.42424242424242425,0.5666666666666667,0.7755937755937756,0.8791666666666667,0.0,0.0,1.25,0.21212121212121213,0.06060606060606061,0.2857142857142857
20100410,BOS,AL,5,KCA,AL,5,8,3,54,KAN06,37505,37,12,1,0,5,8,0,1,2,0,0,6,1,0,1,0,5,3,3,3,0,0,27,9,0,0,2,0,34,9,4,0,0,2,0,0,0,1,0,4,1,0,2,0,5,4,8,8,0,0,27,11,0,0,1,0,beckj002,greiz001,,beckj002,greiz001,5,Apr 10,@,KCR,"W,8-3",9.0,9,3,3,0,1,4,0,0,4.4,35,132,89,0,0,1,0,34,4,0,0,0,0,0,2,3,Gary Darling,"J.Beckett (5-50-W), H.Okajima (0-H), R.Ramirez (5)",,0.32432432432432434,0.2647058823529412,0.35,0.2857142857142857,0.7567567567567568,0.38235294117647056,1.1067567567567567,0.6680672268907563,1.0,0.0,1.1111111111111112,0.11428571428571428,0.02857142857142857,0.3
20100411,BOS,AL,6,KCA,AL,6,8,6,54,KAN06,19240,37,12,4,0,1,7,0,0,0,6,0,7,2,0,1,0,8,5,5,5,1,0,27,11,1,0,2,0,35,10,1,0,2,5,1,0,0,3,0,2,2,0,1,0,6,5,8,8,1,0,27,4,1,0,2,0,buchc001,mechg001,papej001,buchc001,mechg001,6,Apr 11,@,KCR,"W,8-6",9.0,10,6,5,1,3,2,2,0,4.5,39,167,102,0,0,2,0,35,1,0,0,1,0,1,1,5,Bill Hohn,"C.Buchholz (99-42-W), M.Delcarmen (4), R.Ramirez (0), D.Bard (1-H), J.Papelbon (3-Sv)",,0.32432432432432434,0.2857142857142857,0.4186046511627907,0.34210526315789475,0.5135135135135135,0.4857142857142857,0.9321181646763042,0.8278195488721805,1.0,1.0,1.4444444444444444,0.05128205128205128,0.07692307692307693,0.25806451612903225
20100412,BOS,AL,7,MIN,AL,8,2,5,51,MIN04,38145,31,7,4,0,0,2,0,1,0,1,0,6,0,1,1,0,4,3,5,5,0,0,24,9,0,0,0,0,36,12,2,0,1,5,0,0,0,4,0,7,3,0,0,0,11,4,2,2,0,0,27,10,0,0,1,0,pavac001,lestj001,raucj001,lestj001,pavac001,7,Apr 12,@,MIN,"L,2-5",8.0,12,5,5,0,4,7,1,0,4.65,40,162,95,0,0,3,0,36,2,0,0,0,0,0,0,3,Jeff Nelson,"J.Lester (5-35-L), S.Atchison (4), S.Schoeneweis (4)",,0.22580645161290322,0.3333333333333333,0.24242424242424243,0.4,0.3548387096774194,0.4722222222222222,0.5972629521016618,0.8722222222222222,0.0,1.0,2.0,0.175,0.1,0.39285714285714285
20100414,BOS,AL,8,MIN,AL,9,6,3,54,MIN04,38164,36,10,4,0,1,6,0,0,0,6,1,10,0,1,0,0,9,4,3,3,1,0,27,9,0,1,2,0,34,9,2,0,1,3,0,0,0,7,1,2,0,0,2,0,11,4,6,6,1,0,27,9,0,0,0,0,lackj001,slowk001,papej001,lackj001,slowk001,8,Apr 14,@,MIN,"W,6-3",9.0,9,3,3,0,7,2,1,0,4.44,41,145,82,2,0,0,0,34,2,0,1,0,0,0,2,4,Mark Wegner,"J.Lackey (6-50-W), H.Okajima (3-H), D.Bard (2), J.Papelbon (2-Sv)",,0.2777777777777778,0.2647058823529412,0.38095238095238093,0.3902439024390244,0.4722222222222222,0.4117647058823529,0.8531746031746031,0.8020086083213773,1.0,0.0,1.7777777777777777,0.04878048780487805,0.17073170731707318,0.25806451612903225
20100415,BOS,AL,9,MIN,AL,10,0,8,51,MIN04,38341,32,6,1,0,0,0,0,0,0,3,0,10,0,0,1,0,8,3,7,7,1,0,24,6,3,0,0,0,39,15,5,0,1,7,0,1,0,2,1,4,0,0,0,0,10,3,0,0,0,0,27,11,0,0,1,0,lirif001,waket001,,waket001,lirif001,9,Apr 15,@,MIN,"L,0-8",8.0,15,8,7,1,2,4,1,0,4.78,42,149,95,2,0,0,0,39,5,0,1,0,1,1,0,3,Tim Tschida,"T.Wakefield (5-27-L), S.Schoeneweis (2), R.Ramirez (3)",,0.1875,0.38461538461538464,0.2571428571428571,0.40476190476190477,0.21875,0.5897435897435898,0.4758928571428571,0.9945054945054945,0.0,1.0,2.125,0.09523809523809523,0.047619047619047616,0.4
20100417,TBA,AL,11,BOS,AL,11,6,5,54,BOS07,37022,34,5,3,0,1,5,0,0,0,4,0,11,2,0,0,0,5,5,5,5,0,0,27,8,0,0,0,0,38,11,3,0,3,5,0,0,0,2,0,8,0,0,0,0,8,3,1,1,1,0,27,6,2,0,0,0,shiej002,buchc001,sorir001,shiej002,buchc001,11,Apr 17,1,TBR,"L,5-6",9.0,5,6,1,5,4,11,1,0,4.05,38,165,96,0,0,2,0,34,3,0,0,0,0,2,0,3,Tony Randazzo,"C.Buchholz (5-56-L), S.Atchison (4), R.Ramirez (1)",,0.14705882352941177,0.2894736842105263,0.23684210526315788,0.325,0.3235294117647059,0.6052631578947368,0.5603715170278638,0.9302631578947369,0.0,0.0,1.0,0.2894736842105263,0.10526315789473684,0.18181818181818182
