teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev,WHIP,KPercent,BBPercent,FIP,BABIP,ERA,HAllowed,defensiveSO
BOS,AL,9,1,34,12,3,1,1,8,4,5,6,6,7,7,0,0.35294117647058826,0.41025641025641024,0.5882352941176471,0.9984917043740573,1.0,,2.0,0.046511627906976744,0.13953488372093023,7.523444444444445,0.30303030303030304,7.0,12,2
BOS,AL,4,1,35,9,3,0,1,4,1,8,7,5,5,5,1,0.2571428571428571,0.2894736842105263,0.42857142857142855,0.7180451127819549,0.0,1.0,1.5555555555555556,0.16279069767441862,0.11627906976744186,5.301222222222222,0.2857142857142857,6.0,9,7
BOS,AL,1,1,35,7,2,0,0,1,3,5,8,5,3,3,0,0.2,0.28205128205128205,0.2571428571428571,0.5391941391941392,0.0,0.0,1.1,0.175,0.125,4.779,0.19230769230769232,4.82,6,7
BOS,AL,3,0,33,9,2,0,1,3,4,8,8,3,4,4,0,0.2727272727272727,0.35135135135135137,0.42424242424242425,0.7755937755937756,0.0,0.0,1.25,0.21212121212121213,0.06060606060606061,5.329000000000001,0.2857142857142857,4.75,8,7
BOS,AL,8,0,37,12,1,0,5,8,0,6,5,3,3,3,0,0.32432432432432434,0.35,0.7567567567567568,1.1067567567567567,1.0,0.0,1.1111111111111112,0.11428571428571428,0.02857142857142857,2.5234444444444444,0.3,4.4,9,4
BOS,AL,8,0,37,12,4,0,1,7,6,7,8,5,5,5,1,0.32432432432432434,0.4186046511627907,0.5135135135135135,0.9321181646763042,1.0,1.0,1.4444444444444444,0.05128205128205128,0.07692307692307693,6.523444444444445,0.25806451612903225,4.5,10,2
BOS,AL,2,0,31,7,4,0,0,2,1,6,4,3,5,5,0,0.22580645161290322,0.24242424242424243,0.3548387096774194,0.5972629521016618,0.0,1.0,2.0,0.175,0.1,4.454000000000001,0.39285714285714285,4.65,12,7
BOS,AL,6,0,36,10,4,0,1,6,6,10,9,4,3,3,0,0.2777777777777778,0.38095238095238093,0.4722222222222222,0.8531746031746031,1.0,0.0,1.7777777777777777,0.04878048780487805,0.17073170731707318,6.412333333333334,0.25806451612903225,4.44,9,2
BOS,AL,0,0,32,6,1,0,0,0,3,10,8,3,7,7,3,0.1875,0.2571428571428571,0.21875,0.4758928571428571,0.0,1.0,2.125,0.09523809523809523,0.047619047619047616,4.454000000000001,0.4,4.78,15,4
BOS,AL,5,1,38,11,3,0,3,5,2,8,8,3,1,1,2,0.2894736842105263,0.325,0.6052631578947368,0.9302631578947369,0.0,0.0,1.0,0.2894736842105263,0.10526315789473684,3.4123333333333337,0.18181818181818182,4.05,5,11
BOS,AL,1,1,27,5,2,0,0,1,2,5,2,3,7,7,1,0.18518518518518517,0.23333333333333334,0.25925925925925924,0.4925925925925926,0.0,0.0,1.4444444444444444,0.15384615384615385,0.15384615384615385,6.634555555555556,0.20833333333333334,4.29,7,6
BOS,AL,2,1,30,5,1,0,1,2,3,4,5,4,8,8,1,0.16666666666666666,0.24242424242424243,0.3,0.5424242424242425,0.0,0.0,1.6666666666666667,0.125,0.075,4.412333333333334,0.36666666666666664,4.58,12,5
BOS,AL,7,1,38,13,3,0,2,7,5,7,12,4,6,6,0,0.34210526315789475,0.4318181818181818,0.5789473684210527,1.0107655502392345,1.0,0.0,1.8888888888888888,0.11363636363636363,0.20454545454545456,5.301222222222222,0.27586206896551724,4.68,8,5
BOS,AL,8,1,43,9,2,0,3,8,6,12,6,4,7,7,0,0.20930232558139536,0.30612244897959184,0.46511627906976744,0.7712387280493593,1.0,1.0,1.0833333333333333,0.2127659574468085,0.10638297872340426,3.7456666666666667,0.23333333333333334,4.73,8,10
BOS,AL,0,1,31,6,0,0,0,0,2,4,6,3,3,3,2,0.1935483870967742,0.24242424242424243,0.1935483870967742,0.4359726295210166,0.0,1.0,1.0,0.3142857142857143,0.05714285714285714,1.3012222222222225,0.3181818181818182,4.62,7,11
BOS,AL,4,1,26,6,0,0,1,3,7,0,7,5,3,3,0,0.23076923076923078,0.38235294117647056,0.34615384615384615,0.7285067873303167,1.0,0.0,1.7777777777777777,0.21428571428571427,0.16666666666666666,5.190111111111111,0.3333333333333333,4.53,9,9
BOS,AL,7,1,32,9,1,0,3,7,4,8,5,4,6,6,1,0.28125,0.3611111111111111,0.59375,0.9548611111111112,1.0,1.0,2.111111111111111,0.13636363636363635,0.045454545454545456,5.301222222222222,0.4411764705882353,4.61,17,6
BOS,AL,6,1,41,13,4,0,0,6,3,6,10,6,7,7,1,0.3170731707317073,0.35555555555555557,0.4146341463414634,0.770189701897019,0.0,1.0,1.6,0.2127659574468085,0.0425531914893617,2.979,0.38235294117647056,4.7,14,10
BOS,AL,13,0,45,18,4,0,0,12,4,11,10,7,12,12,0,0.4,0.46,0.4888888888888889,0.9488888888888889,1.0,0.0,2.2222222222222223,0.19148936170212766,0.0851063829787234,5.301222222222222,0.4375,5.06,16,9
BOS,AL,2,0,33,7,1,0,0,2,5,7,9,2,1,1,1,0.21212121212121213,0.3157894736842105,0.24242424242424243,0.5582137161084529,1.0,1.0,1.0,0.1111111111111111,0.05555555555555555,2.856777777777778,0.23333333333333334,4.87,7,4
BOS,AL,2,0,33,8,4,0,0,2,1,6,6,3,0,0,0,0.24242424242424243,0.2571428571428571,0.36363636363636365,0.6207792207792208,1.0,1.0,0.4444444444444444,0.5,0.06666666666666667,0.41233333333333366,0.15384615384615385,4.66,2,15
BOS,AL,4,0,35,8,0,0,3,4,10,8,11,5,4,4,2,0.22857142857142856,0.4,0.4857142857142857,0.8857142857142857,0.0,1.0,1.4130434782608696,0.25,0.1,3.6224782608695656,0.32,4.61,9,10
BOS,AL,9,0,39,12,3,0,4,9,1,6,4,3,11,11,1,0.3076923076923077,0.325,0.6923076923076923,1.0173076923076922,0.0,0.0,1.875,0.16216216216216217,0.08108108108108109,10.829,0.30434782608695654,4.89,12,6
BOS,AL,2,0,31,7,0,0,2,2,5,7,5,3,2,2,1,0.22580645161290322,0.3333333333333333,0.41935483870967744,0.7526881720430108,0.0,0.0,1.3333333333333333,0.20512820512820512,0.05128205128205128,2.634555555555556,0.38461538461538464,4.78,10,8
BOS,AL,17,1,43,20,7,0,4,17,6,6,9,4,8,8,1,0.46511627906976744,0.54,0.9069767441860465,1.4469767441860464,1.0,0.0,1.8888888888888888,0.09302325581395349,0.11627906976744186,3.856777777777778,0.35294117647058826,4.9,12,4
BOS,AL,5,1,34,11,6,0,0,5,5,8,10,2,1,1,0,0.3235294117647059,0.41025641025641024,0.5,0.9102564102564102,1.0,1.0,0.7777777777777778,0.21875,0.0625,2.1901111111111113,0.22727272727272727,4.76,5,7
BOS,AL,3,1,32,11,1,0,2,3,4,8,9,3,1,1,0,0.34375,0.4166666666666667,0.5625,0.9791666666666667,1.0,1.0,0.4444444444444444,0.1935483870967742,0.06451612903225806,4.190111111111111,0.047619047619047616,4.63,2,6
BOS,AL,11,1,36,11,3,1,1,11,8,5,10,4,6,6,0,0.3055555555555556,0.4444444444444444,0.5277777777777778,0.9722222222222222,1.0,1.0,1.5555555555555556,0.175,0.125,4.634555555555556,0.2962962962962963,4.68,9,7
BOS,AL,3,1,34,9,1,0,0,3,3,9,8,3,10,10,0,0.2647058823529412,0.3157894736842105,0.29411764705882354,0.609907120743034,0.0,1.0,1.5555555555555556,0.21428571428571427,0.07142857142857142,4.190111111111111,0.37037037037037035,4.85,11,9
BOS,AL,3,1,34,8,0,0,2,3,4,9,9,6,13,13,1,0.23529411764705882,0.3333333333333333,0.4117647058823529,0.7450980392156863,0.0,0.0,3.0,0.08,0.2,9.856777777777777,0.4375,5.11,17,4
BOS,AL,9,1,34,10,5,0,1,8,4,7,6,3,3,3,0,0.29411764705882354,0.358974358974359,0.5294117647058824,0.8883861236802413,1.0,0.0,1.0,0.2777777777777778,0.05555555555555555,4.745666666666667,0.23809523809523808,5.04,7,10
BOS,AL,7,1,33,8,1,0,0,6,7,9,9,4,6,6,1,0.24242424242424243,0.375,0.2727272727272727,0.6477272727272727,1.0,1.0,1.3333333333333333,0.1794871794871795,0.10256410256410256,4.301222222222222,0.25925925925925924,5.07,8,7
BOS,AL,6,1,30,8,2,0,1,5,8,7,10,3,1,1,0,0.26666666666666666,0.425,0.43333333333333335,0.8583333333333334,1.0,1.0,0.5555555555555556,0.34375,0.03125,0.967888888888889,0.2,4.95,4,11
BOS,AL,2,1,33,6,1,0,0,2,1,8,6,3,3,3,0,0.18181818181818182,0.22857142857142856,0.21212121212121213,0.4406926406926407,0.0,1.0,0.7777777777777778,0.23529411764705882,0.029411764705882353,3.079,0.20833333333333334,4.9,6,8
BOS,AL,7,0,35,10,1,0,4,7,2,4,3,3,1,1,1,0.2857142857142857,0.32432432432432434,0.6571428571428571,0.9814671814671815,1.0,0.0,1.2222222222222223,0.15789473684210525,0.15789473684210525,4.079000000000001,0.2,4.79,5,6
BOS,AL,6,0,42,9,2,0,1,6,12,10,13,6,7,7,0,0.21428571428571427,0.3888888888888889,0.3333333333333333,0.7222222222222222,0.0,1.0,1.6071428571428572,0.2830188679245283,0.1509433962264151,3.704,0.32142857142857145,4.81,10,15
BOS,AL,1,0,33,7,2,0,0,1,5,9,10,2,5,5,0,0.21212121212121213,0.3157894736842105,0.2727272727272727,0.5885167464114832,0.0,0.0,1.625,0.14285714285714285,0.11428571428571428,4.954000000000001,0.32,4.83,9,5
BOS,AL,9,0,38,13,1,0,5,9,2,4,4,4,11,11,0,0.34210526315789475,0.375,0.7631578947368421,1.138157894736842,0.0,0.0,2.073170731707317,0.11627906976744186,0.09302325581395349,6.859487804878049,0.3548387096774194,4.99,13,5
