teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev,WHIP,KPercent,BBPercent,FIP,BABIP,ERA,HAllowed,defensiveSO
CIN,NL,6,1,39,11,1,0,2,6,2,7,8,5,10,10,1,0.28205128205128205,0.3170731707317073,0.46153846153846156,0.7786116322701688,0.0,,1.7777777777777777,0.1111111111111111,0.08888888888888889,9.745666666666667,0.27586206896551724,10.0,12,5
CIN,NL,3,1,31,6,2,0,1,3,2,9,4,6,6,6,0,0.1935483870967742,0.24242424242424243,0.3548387096774194,0.5972629521016618,0.0,0.0,1.6666666666666667,0.18604651162790697,0.11627906976744186,3.3012222222222225,0.35714285714285715,8.0,10,8
CIN,NL,2,1,31,8,1,0,1,2,3,5,7,2,1,1,2,0.25806451612903225,0.3235294117647059,0.3870967741935484,0.7106261859582543,1.0,0.0,0.7777777777777778,0.23529411764705882,0.08823529411764706,3.7456666666666667,0.13636363636363635,5.67,4,8
CIN,NL,5,1,28,5,1,1,1,5,2,4,2,3,4,4,2,0.17857142857142858,0.22580645161290322,0.39285714285714285,0.618663594470046,1.0,1.0,1.4444444444444444,0.1590909090909091,0.045454545454545456,4.634555555555556,0.3448275862068966,5.25,11,7
CIN,NL,3,1,32,7,1,0,1,3,2,13,5,3,4,4,0,0.21875,0.2647058823529412,0.34375,0.6084558823529411,0.0,1.0,0.6666666666666666,0.25806451612903225,0.03225806451612903,5.967888888888889,0.10526315789473684,5.0,5,8
CIN,NL,3,1,30,7,0,0,0,3,4,10,8,4,1,1,0,0.23333333333333334,0.3142857142857143,0.23333333333333334,0.5476190476190477,1.0,0.0,1.4444444444444444,0.225,0.2,3.7456666666666667,0.22727272727272727,4.33,5,9
CIN,NL,6,0,39,11,1,0,3,6,3,7,7,6,5,5,0,0.28205128205128205,0.3333333333333333,0.5384615384615384,0.8717948717948718,1.0,1.0,1.6,0.13043478260869565,0.06521739130434782,3.079,0.3611111111111111,4.36,13,6
CIN,NL,10,0,43,13,4,0,2,10,6,8,8,6,8,8,0,0.3023255813953488,0.4,0.5348837209302325,0.9348837209302325,1.0,1.0,1.2727272727272727,0.25,0.0625,3.169909090909091,0.3225806451612903,4.68,11,12
CIN,NL,3,0,32,5,1,0,1,3,4,8,6,3,5,5,1,0.15625,0.25,0.28125,0.53125,0.0,1.0,1.875,0.1282051282051282,0.15384615384615385,7.704000000000001,0.28,4.77,9,5
CIN,NL,2,0,34,7,1,1,0,2,2,14,7,4,10,10,0,0.20588235294117646,0.25,0.29411764705882354,0.5441176470588236,0.0,0.0,2.5,0.18181818181818182,0.11363636363636363,4.579000000000001,0.4666666666666667,5.34,15,8
CIN,NL,3,0,31,7,1,1,0,3,7,4,9,3,4,4,2,0.22580645161290322,0.358974358974359,0.3225806451612903,0.6815550041356493,0.0,0.0,1.707317073170732,0.1282051282051282,0.1282051282051282,3.688756097560976,0.34615384615384615,5.24,9,5
CIN,NL,4,0,30,6,3,0,0,4,3,6,4,5,5,5,1,0.2,0.2571428571428571,0.3,0.5571428571428572,0.0,0.0,1.9512195121951221,0.15,0.225,6.4936341463414635,0.25,5.23,7,6
CIN,NL,3,0,33,5,1,0,2,3,2,9,5,2,5,5,1,0.15151515151515152,0.2,0.36363636363636365,0.5636363636363637,0.0,0.0,1.0,0.24242424242424243,0.09090909090909091,2.579,0.23809523809523808,5.26,5,8
