Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev,WHIP,KPercent,BBPercent,BABIP
20100404,NYA,AL,1,BOS,AL,1,7,9,51,BOS07,37440.0,37,12,2,0,2,6,0,0,0,6,0,2,2,0,2,0,9,5,8,8,1,0,24,9,1,1,1,0,34,12,3,1,1,8,0,1,0,4,0,5,0,0,0,0,6,6,7,7,1,0,27,15,0,0,2,0,okajh001,parkc002,papej001,sabac001,beckj002,1,Apr 4,@,BOS,"L,7-9",8.0,12,9,8,1,4,5,1,0,9.0,39,170,101,3,2,0,0,34,3,1,0,0,1,0,0,5,Joe West,"C.Sabathia (99-38), D.Robertson (99-BSv), C.Park (99-BL), D.Marte (99), J.Chamberlain (99)",,0.32432432432432434,0.35294117647058826,0.4186046511627907,0.41025641025641024,0.5405405405405406,0.5882352941176471,0.9591451917033313,0.9984917043740573,0.0,,2.0,0.1282051282051282,0.10256410256410256,0.3793103448275862
20100406,NYA,AL,2,BOS,AL,2,6,4,54,BOS07,38000.0,35,9,4,0,1,6,0,1,2,5,0,7,0,0,1,0,10,6,3,3,0,0,27,5,3,0,1,0,35,9,3,0,1,4,0,1,1,1,0,8,2,0,1,0,7,5,5,5,0,0,27,12,1,0,1,0,aceva001,okajh001,rivem002,burna001,lestj001,2,Apr 6,@,BOS,"W,6-4",9.0,9,4,3,1,1,8,1,1,5.82,38,148,96,2,0,2,0,35,3,0,0,0,1,1,1,6,Angel Hernandez,"A.Burnett (99-43), A.Aceves (99-W), D.Robertson (1), D.Marte (1-H), J.Chamberlain (1-H), M.Rivera (99-Sv)",,0.2571428571428571,0.2571428571428571,0.37209302325581395,0.2894736842105263,0.45714285714285713,0.42857142857142855,0.829235880398671,0.7180451127819549,1.0,0.0,1.1111111111111112,0.21052631578947367,0.02631578947368421,0.2962962962962963
20100407,NYA,AL,3,BOS,AL,3,3,1,60,BOS07,38238.0,34,6,1,0,1,3,0,0,1,5,0,7,2,1,1,0,7,3,1,1,0,0,30,10,0,0,2,0,35,7,2,0,0,1,0,0,1,3,0,5,0,0,2,0,8,5,3,3,0,0,30,15,0,0,1,0,parkc002,papej001,rivem002,petta001,lackj001,3,Apr 7,@,BOS,"W,3-1",10.0,7,1,1,0,3,5,0,1,4.0,39,143,86,0,0,0,0,35,2,0,0,0,0,0,2,3,Paul Schrieber,"A.Pettitte (99-57), C.Park (2-W), M.Rivera (0-Sv)",,0.17647058823529413,0.2,0.3,0.28205128205128205,0.29411764705882354,0.2571428571428571,0.5941176470588235,0.5391941391941392,1.0,1.0,1.0,0.1282051282051282,0.07692307692307693,0.23333333333333334
20100409,NYA,AL,4,TBA,AL,4,3,9,51,STP01,33221.0,35,8,2,1,0,2,0,0,0,3,0,9,0,0,0,0,8,2,9,9,0,0,24,7,0,0,0,0,34,10,3,0,2,9,0,0,0,3,0,6,3,0,0,0,4,3,3,3,0,0,27,9,1,0,0,0,pricd001,vazqj001,,vazqj001,pricd001,4,Apr 9,@,TBR,"L,3-9",8.0,10,9,9,0,3,6,2,0,5.4,37,132,81,1,1,3,0,34,3,0,0,0,0,0,0,2,James Hoye,"J.Vazquez (99-23-L), S.Mitre (99)",,0.22857142857142856,0.29411764705882354,0.2894736842105263,0.35135135135135137,0.34285714285714286,0.5588235294117647,0.6323308270676692,0.910174880763116,0.0,1.0,1.625,0.16216216216216217,0.08108108108108109,0.3076923076923077
20100410,NYA,AL,5,TBA,AL,5,10,0,54,STP01,29892.0,36,14,2,0,1,10,1,0,0,8,0,3,2,1,1,0,8,2,0,0,0,1,27,13,0,0,0,0,29,2,1,0,0,0,0,0,0,2,0,7,2,0,0,0,4,5,10,10,1,0,27,13,0,0,1,0,sabac001,daviw001,,sabac001,daviw001,5,Apr 10,@,TBR,"W,10-0",9.0,2,0,0,0,2,7,0,0,4.3,31,136,85,1,0,2,0,29,1,0,0,0,0,0,0,2,Wally Bell,"C.Sabathia (5-80-W), D.Robertson (3)",,0.3888888888888889,0.06896551724137931,0.5,0.12903225806451613,0.5277777777777778,0.10344827586206896,1.0277777777777777,0.23248053392658508,1.0,0.0,0.4444444444444444,0.22580645161290322,0.06451612903225806,0.09090909090909091
20100411,NYA,AL,6,TBA,AL,6,7,3,54,STP01,31253.0,36,9,4,0,2,6,0,0,0,4,0,6,2,0,0,0,6,3,3,3,0,0,27,10,0,0,3,0,31,9,0,1,0,3,1,0,0,5,0,3,2,0,2,0,7,4,7,7,1,0,27,4,0,0,0,0,burna001,choar001,,burna001,shiej002,6,Apr 11,@,TBR,"W,7-3",9.0,9,3,3,0,5,3,0,0,4.08,37,136,76,0,0,2,0,31,0,1,0,1,0,0,2,3,Laz Diaz,"A.Burnett (4-55-W), J.Chamberlain (4), M.Rivera (3)",,0.25,0.2903225806451613,0.325,0.3888888888888889,0.5277777777777778,0.3548387096774194,0.8527777777777779,0.7437275985663083,1.0,1.0,1.5555555555555556,0.08108108108108109,0.13513513513513514,0.32142857142857145
20100413,ANA,AL,8,NYA,AL,7,5,7,51,NYC21,49293.0,37,11,0,0,2,5,0,0,0,3,0,9,0,0,1,0,8,4,7,7,2,0,24,7,0,0,2,0,34,13,4,0,2,7,0,0,0,9,0,8,1,0,2,0,12,4,5,5,0,0,27,9,0,0,1,0,petta001,sante001,rivem002,sante001,petta001,7,Apr 13,1,LAA,"W,7-5",9.0,11,5,5,0,3,9,2,0,4.21,40,157,102,0,0,0,0,37,0,0,0,0,0,0,1,4,Hunter Wendelstedt,"A.Pettitte (5-65-W), C.Park (5), D.Robertson (2), M.Rivera (1-Sv)",,0.2972972972972973,0.38235294117647056,0.35,0.5116279069767442,0.4594594594594595,0.6764705882352942,0.8094594594594595,1.1880984952120384,1.0,1.0,1.5555555555555556,0.225,0.075,0.34615384615384615
20100414,ANA,AL,9,NYA,AL,8,5,3,54,NYC21,42372.0,36,10,3,0,0,5,0,0,1,3,0,6,2,1,0,0,8,4,3,3,1,0,27,12,0,0,0,0,34,7,1,1,0,3,0,0,0,2,0,8,0,0,0,0,6,4,5,5,1,0,27,7,0,1,0,0,pinej001,vazqj001,rodnf001,pinej001,vazqj001,8,Apr 14,1,LAA,"L,3-5",9.0,10,5,5,0,3,6,0,1,4.31,40,155,93,1,1,2,1,36,3,0,0,0,0,0,0,4,Dan Bellino,"J.Vazquez (4-42-L), A.Aceves (7), J.Chamberlain (2), D.Marte (7)",,0.2777777777777778,0.20588235294117646,0.35,0.25,0.3611111111111111,0.29411764705882354,0.711111111111111,0.5441176470588236,0.0,1.0,1.4444444444444444,0.15,0.075,0.3333333333333333
20100415,ANA,AL,10,NYA,AL,9,2,6,51,NYC21,44722.0,31,6,0,0,1,2,0,0,0,7,0,11,1,0,1,0,9,4,6,6,0,0,24,9,0,0,0,0,33,9,3,2,3,6,0,0,0,6,0,7,0,0,0,0,9,5,2,2,1,1,27,8,0,0,1,0,hughp001,kazms001,rivem002,kazms001,hughp001,9,Apr 15,1,LAA,"W,6-2",9.0,6,2,2,0,7,11,1,0,4.05,38,184,111,7,1,1,0,31,0,0,0,0,0,0,1,5,Jerry Layne,"P.Hughes (99-54-W), D.Robertson (1), D.Marte (0), J.Chamberlain (0-H), M.Rivera (1-Sv)",,0.1935483870967742,0.2727272727272727,0.34210526315789475,0.38461538461538464,0.2903225806451613,0.7575757575757576,0.6324278438030561,1.1421911421911422,1.0,0.0,1.4444444444444444,0.2894736842105263,0.18421052631578946,0.2631578947368421
20100416,TEX,AL,10,NYA,AL,10,1,5,36,NYC21,42145.0,20,3,1,0,0,1,0,1,1,0,0,9,0,0,0,0,3,1,3,3,0,0,18,6,1,1,1,0,24,7,0,0,0,3,0,0,2,3,0,5,1,1,1,0,6,1,1,1,0,0,18,7,0,0,0,0,sabac001,wilsc004,,wilsc004,sabac001,10,Apr 16,1,TEX,"W,5-1",6.0,3,1,1,0,0,9,0,1,3.87,22,73,58,1,1,0,0,20,1,0,0,0,1,0,0,1,Tim Timmons,C.Sabathia (5-71-W),,0.15,0.2916666666666667,0.18181818181818182,0.41379310344827586,0.2,0.2916666666666667,0.38181818181818183,0.7054597701149425,1.0,1.0,0.5,0.4090909090909091,0.0,0.25
