teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev,WHIP,KPercent,BBPercent,FIP,BABIP,ERA,HAllowed,defensiveSO
SLN,NL,11,0,38,12,0,0,4,10,4,5,7,5,5,5,2,0.3157894736842105,0.4090909090909091,0.631578947368421,1.0406698564593302,1.0,,1.4444444444444444,0.17073170731707318,0.04878048780487805,5.079000000000001,0.3,5.0,11,7
SLN,NL,6,0,36,10,2,0,0,6,5,8,10,4,3,3,0,0.2777777777777778,0.38095238095238093,0.3333333333333333,0.7142857142857142,1.0,1.0,0.8888888888888888,0.2647058823529412,0.058823529411764705,3.1901111111111113,0.23809523809523808,4.0,6,9
SLN,NL,1,0,31,4,0,0,1,1,3,8,6,4,2,2,0,0.12903225806451613,0.20588235294117646,0.22580645161290322,0.43168880455407965,0.0,1.0,1.3580246913580247,0.14705882352941177,0.08823529411764706,4.560481481481482,0.28,3.42,8,5
SLN,NL,5,0,32,7,3,0,2,5,4,10,5,4,4,4,0,0.21875,0.2972972972972973,0.5,0.7972972972972974,1.0,0.0,1.2222222222222223,0.07894736842105263,0.10526315789473684,4.412333333333334,0.25,3.57,7,3
SLN,NL,7,0,35,8,1,0,2,7,3,9,4,3,1,1,0,0.22857142857142856,0.2894736842105263,0.42857142857142855,0.7180451127819549,1.0,1.0,0.8888888888888888,0.2,0.11428571428571428,2.856777777777778,0.16666666666666666,3.05,4,7
SLN,NL,7,0,38,10,3,0,3,7,3,4,7,5,6,6,2,0.2631578947368421,0.3170731707317073,0.5789473684210527,0.89602053915276,0.0,1.0,1.8518518518518519,0.17073170731707318,0.0975609756097561,9.622209876543211,0.28,3.59,11,7
SLN,NL,5,1,32,11,2,1,1,5,4,2,7,2,0,0,0,0.34375,0.4166666666666667,0.5625,0.9791666666666667,1.0,0.0,0.8888888888888888,0.21875,0.03125,1.8567777777777779,0.2916666666666667,3.06,7,7
SLN,NL,2,1,29,5,0,0,0,1,2,7,6,4,0,0,2,0.1724137931034483,0.22580645161290322,0.1724137931034483,0.39822024471635153,1.0,1.0,0.6666666666666666,0.125,0.0625,2.856777777777778,0.16,2.67,4,4
SLN,NL,1,1,33,6,3,0,0,1,3,12,8,3,5,5,0,0.18181818181818182,0.25,0.2727272727272727,0.5227272727272727,0.0,1.0,1.0,0.058823529411764705,0.0,2.634555555555556,0.28125,2.94,9,2
SLN,NL,4,1,28,6,2,0,1,4,4,7,6,4,2,2,1,0.21428571428571427,0.3333333333333333,0.39285714285714285,0.7261904761904762,1.0,0.0,1.3333333333333333,0.3157894736842105,0.07894736842105263,1.4123333333333334,0.4090909090909091,2.84,9,12
