Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev,WHIP,KPercent,BBPercent,BABIP
20100405,TOR,AL,1,TEX,AL,1,4,5,52,ARL02,50299,35,8,1,0,2,4,0,0,0,2,1,7,1,0,1,0,6,3,5,5,0,0,25,7,1,0,1,0,31,6,2,0,1,5,0,0,1,2,1,7,0,0,1,0,4,4,4,4,0,0,27,6,1,0,1,0,franf001,frasj002,,marcs001,felds001,,1,Apr 5,@,TEX,"L,4-5",8.1,6,5,5,0,2,7,1,1,5.4,34,126,79,0,0,0,0,31,2,0,1,0,0,1,1,3,Gerry Davis,"S.Marcum (99-66), S.Downs (99-H), J.Frasor (99-BL)",0.22857142857142856,0.1935483870967742,0.2702702702702703,0.2647058823529412,0.42857142857142855,0.3548387096774194,0.6988416988416988,0.6195445920303606,0.0,,0.9876543209876544,0.20588235294117646,0.058823529411764705,0.21739130434782608
20100407,TOR,AL,2,TEX,AL,2,7,4,54,ARL02,22890,32,5,2,0,3,7,0,1,2,10,0,10,0,0,0,0,11,3,2,2,0,0,27,8,3,0,0,0,33,5,1,0,2,3,0,0,0,3,0,9,0,0,0,0,5,5,5,5,0,0,27,6,1,0,0,0,tallb001,nippd001,frasj002,tallb001,hardr001,,2,Apr 7,@,TEX,"W,7-4",9.0,5,4,2,2,3,9,2,0,3.63,36,124,78,1,0,0,0,33,1,0,0,0,0,1,0,3,Brian Knight,"B.Tallet (99-57-W), K.Gregg (99-H), J.Frasor (1-Sv)",0.15625,0.15151515151515152,0.37777777777777777,0.2222222222222222,0.5,0.36363636363636365,0.8777777777777778,0.5858585858585859,1.0,0.0,0.8888888888888888,0.25,0.08333333333333333,0.13636363636363635
20100408,TOR,AL,3,TEX,AL,3,3,1,54,ARL02,14707,34,9,2,1,1,3,0,1,0,4,0,13,0,0,1,0,9,3,1,1,5,0,27,14,0,0,0,0,31,5,2,0,0,0,0,0,0,4,0,9,0,0,0,0,7,5,3,3,0,0,27,7,0,0,1,0,jansc001,franf001,frasj002,romer002,wilsc004,,3,Apr 8,@,TEX,"W,3-1",9.0,5,1,1,0,4,9,0,0,2.73,35,135,84,0,0,0,0,31,2,0,0,0,0,0,0,3,Greg Gibson,"R.Romero (99-65), C.Janssen (99-W), J.Frasor (0-Sv)",0.2647058823529412,0.16129032258064516,0.3333333333333333,0.2571428571428571,0.47058823529411764,0.22580645161290322,0.803921568627451,0.48294930875576036,1.0,1.0,1.0,0.2571428571428571,0.11428571428571428,0.22727272727272727
20100409,TOR,AL,4,BAL,AL,4,7,6,54,BAL12,48891,32,9,4,0,1,7,1,2,0,3,0,8,0,0,1,0,4,4,6,6,0,0,27,12,0,0,2,0,32,7,1,0,1,6,0,0,1,7,0,8,1,0,2,0,7,5,7,7,1,0,27,6,0,0,1,0,jansc001,gonzm001,gregk001,morrb001,bergb002,,4,Apr 9,@,BAL,"W,7-6",9.0,7,6,6,0,7,8,1,1,3.57,40,155,95,0,0,1,0,32,1,0,0,0,0,0,2,4,Rob Drake,"B.Morrow (99-39), S.Camp (99), C.Janssen (0-W), K.Gregg (1-Sv)",0.28125,0.21875,0.32432432432432434,0.375,0.5,0.34375,0.8243243243243243,0.71875,1.0,1.0,1.5555555555555556,0.2,0.175,0.2608695652173913
20100410,TOR,AL,5,BAL,AL,5,3,0,54,BAL12,21148,34,9,6,0,0,3,0,0,1,6,3,5,0,1,1,0,11,3,0,0,0,0,27,15,0,0,2,0,30,6,1,0,0,0,0,0,1,3,0,3,0,1,2,0,7,3,3,3,0,0,27,10,0,0,2,0,eveld001,hernd002,frasj002,eveld001,hernd002,,5,Apr 10,@,BAL,"W,3-0",9.0,6,0,0,0,3,3,0,1,2.84,34,116,74,1,0,0,1,30,1,0,0,0,0,0,2,3,Joe West,"D.Eveland (99-68-W), S.Downs (4-H), J.Frasor (1-Sv)",0.2647058823529412,0.2,0.3902439024390244,0.29411764705882354,0.4411764705882353,0.23333333333333334,0.8314203730272597,0.5274509803921569,1.0,1.0,1.0,0.08823529411764706,0.08823529411764706,0.2222222222222222
20100411,TOR,AL,6,BAL,AL,6,5,2,54,BAL12,22499,35,7,1,0,4,5,0,0,0,2,0,7,0,0,0,0,5,4,2,2,0,0,27,9,1,0,2,0,34,9,1,1,0,2,0,0,0,1,0,8,0,0,2,0,6,3,2,2,0,0,27,11,1,0,0,0,jansc001,millk004,gregk001,marcs001,millk004,,6,Apr 11,@,BAL,"W,5-2",9.0,9,2,2,0,1,8,0,0,2.7,35,130,85,0,0,0,0,34,1,1,0,0,0,0,2,4,Angel Hernandez,"S.Marcum (5-52), C.Janssen (1-W), S.Downs (0-H), K.Gregg (1-Sv)",0.2,0.2647058823529412,0.24324324324324326,0.2857142857142857,0.5714285714285714,0.35294117647058826,0.8146718146718146,0.6386554621848739,1.0,1.0,1.1111111111111112,0.22857142857142856,0.02857142857142857,0.34615384615384615
20100412,CHA,AL,7,TOR,AL,7,8,7,66,TOR02,46321,44,14,0,1,3,8,0,0,2,3,0,4,4,0,4,0,8,6,7,7,0,0,33,10,0,0,0,0,41,8,3,0,2,7,0,0,1,6,0,11,1,0,0,0,8,5,8,8,0,0,33,16,1,0,4,0,thorm001,accaj001,jenkb001,peavj001,tallb001,,7,Apr 12,1,CHW,"L,7-8",11.0,14,8,8,0,3,4,3,2,3.36,49,178,111,0,0,4,0,44,0,1,0,0,0,1,4,5,Adrian Johnson,"B.Tallet (4-33), S.Camp (2-H), S.Downs (0-H), J.Frasor (1-BSv), J.Accardo (99-L)",0.3181818181818182,0.1951219512195122,0.3877551020408163,0.3125,0.5681818181818182,0.4146341463414634,0.9559369202226345,0.7271341463414633,0.0,1.0,1.5454545454545454,0.08163265306122448,0.061224489795918366,0.2972972972972973
20100413,CHA,AL,8,TOR,AL,8,2,4,51,TOR02,12167,28,1,0,0,1,2,0,0,1,2,0,14,0,0,0,0,2,2,4,4,0,0,24,5,0,0,0,0,34,10,4,0,0,4,0,0,0,2,0,6,1,0,0,0,8,2,2,2,1,0,27,11,0,0,0,0,romer002,floyg001,gregk001,floyg001,romer002,,8,Apr 13,1,CHW,"W,4-2",9.0,1,2,2,0,2,14,1,1,3.19,31,113,74,0,0,0,0,28,0,0,0,0,0,0,0,2,Tim McClelland,"R.Romero (4-82-W), K.Gregg (1-Sv)",0.03571428571428571,0.29411764705882354,0.12903225806451613,0.3333333333333333,0.14285714285714285,0.4117647058823529,0.271889400921659,0.7450980392156863,1.0,0.0,0.3333333333333333,0.45161290322580644,0.06451612903225806,0.0
20100414,CHA,AL,9,TOR,AL,9,11,1,54,TOR02,10610,40,15,4,0,2,10,0,0,1,4,0,4,1,0,2,0,7,2,1,1,0,0,27,8,1,0,1,0,29,2,0,0,0,1,0,0,0,3,0,8,1,0,1,0,4,5,11,11,0,0,27,11,0,0,2,0,dankj001,morrb001,,dankj001,morrb001,,9,Apr 14,1,CHW,"L,1-11",9.0,15,11,11,0,4,4,2,1,4.04,45,175,105,3,2,1,0,40,4,0,0,0,0,0,2,5,Mike Everitt,"B.Morrow (4-20-L), M.Valdez (99), J.Accardo (1), S.Camp (1), C.Janssen (2)",0.375,0.06896551724137931,0.4444444444444444,0.15625,0.625,0.06896551724137931,1.0694444444444444,0.2252155172413793,0.0,1.0,2.111111111111111,0.08888888888888889,0.08888888888888889,0.38235294117647056
20100415,CHA,AL,10,TOR,AL,10,3,7,51,TOR02,10744,31,5,0,0,2,3,0,0,0,3,0,8,0,0,0,0,4,5,7,7,0,0,24,5,0,0,1,0,34,12,5,0,1,7,0,1,0,6,1,15,2,0,0,0,10,4,3,3,0,0,27,12,0,0,1,0,eveld001,garcf002,,garcf002,eveld001,,10,Apr 15,1,CHW,"W,7-3",9.0,5,3,3,0,3,8,2,0,3.94,34,133,87,1,1,0,0,31,0,0,0,0,0,0,0,4,Andy Fletcher,"D.Eveland (4-59-W), S.Camp (0), C.Janssen (0), J.Frasor (2)",0.16129032258064516,0.35294117647058826,0.23529411764705882,0.43902439024390244,0.3548387096774194,0.5882352941176471,0.5901328273244781,1.0272596843615496,1.0,0.0,0.8888888888888888,0.23529411764705882,0.08823529411764706,0.14285714285714285
