Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20150406,ANA,AL,1,SEA,AL,1,1,4,51,SEA03,45909,100000000,00202000x,29,4,0,0,1,1,0,0,1,2,0,12,0,0,2,0,4,3,4,4,1,0,24,9,0,0,1,0,32,10,3,1,1,4,0,0,0,1,0,3,0,0,1,0,5,5,1,1,0,0,27,10,0,0,2,0,hernf002,weavj003,rodnf001,weavj003,hernf002,,1,Apr 6,@,SEA,"L,1-4",8,10,4,4,0,1,3,1,0,4.5,33,124,78,0,0,0,0,32,3,1,0,0,0,0,1,3,Larry Vanover,"J.Weaver (99-41-L), C.Ramos (99), F.Salas (99)"
20150407,ANA,AL,2,SEA,AL,2,2,0,54,SEA03,26545,200000,0,32,5,2,0,1,2,0,0,0,1,0,8,0,0,1,0,4,2,0,0,0,0,27,14,0,0,0,0,29,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,4,2,2,1,0,27,12,1,0,1,0,wilsc004,paxtj001,streh001,wilsc004,paxtj001,,2,Apr 7,@,SEA,"W,2-0",9,2,0,0,0,1,4,0,0,2.12,30,111,74,0,0,0,0,29,0,0,0,0,0,0,0,2,Ron Kulpa,"C.Wilson (99-79-W), H.Street (99-Sv)"
20150408,ANA,AL,3,SEA,AL,3,5,3,54,SEA03,25495,410000000,1002000,34,10,2,0,1,4,1,1,1,2,1,7,0,1,0,0,7,5,3,3,0,0,27,5,0,0,0,0,35,9,2,0,2,3,0,0,1,1,1,9,0,1,0,0,7,4,4,4,0,0,27,9,1,0,0,0,shoem001,iwakh001,streh001,shoem001,iwakh001,,3,Apr 8,@,SEA,"W,5-3",9,9,3,3,0,1,9,2,1,2.42,37,122,86,0,0,0,1,35,2,0,1,0,0,0,0,5,Brian Knight,"M.Shoemaker (99-53-W), J.Alvarez (99-H), M.Morin (99-H), J.Smith (99-H), H.Street (0-Sv)"
20150410,KCA,AL,4,ANA,AL,4,4,2,54,ANA01,44489,100011001,1001000,35,9,1,0,1,4,1,0,3,2,0,6,0,0,0,0,10,4,2,2,0,0,27,10,0,0,1,0,33,7,2,0,1,2,0,0,0,2,0,9,0,0,1,0,6,6,4,4,0,0,27,8,2,0,0,0,vargj001,santh001,daviw001,vargj001,santh001,,4,Apr 10,1,KCR,"L,2-4",9,9,4,4,0,2,6,1,3,2.83,41,158,105,4,0,0,0,35,1,0,0,1,0,0,0,6,Bill Miller,"H.Santiago (99-47-L), V.Pestano (99), J.Alvarez (1), M.Morin (1), F.Salas (3), C.Ramos (3)"
20150411,KCA,AL,5,ANA,AL,5,6,4,54,ANA01,44154,510000,100030000,36,12,1,0,2,6,0,0,2,4,0,8,1,2,1,0,9,3,4,4,0,0,27,11,0,0,0,0,32,6,1,0,1,4,0,0,0,1,0,3,0,1,0,0,2,5,6,6,0,0,27,10,0,0,1,0,guthj001,weavj003,hollg001,guthj001,weavj003,,5,Apr 11,1,KCR,"L,4-6",9,12,6,6,0,4,8,2,2,3.48,42,148,90,4,1,1,2,36,1,0,0,0,0,0,1,5,Doug Eddings,"J.Weaver (4-26-L), D.Rucinski (99), C.Ramos (0), M.Morin (0), J.Alvarez (0)"
20150412,KCA,AL,6,ANA,AL,6,9,2,54,ANA01,37060,40021200,100001000,41,14,3,2,1,9,0,1,1,1,1,9,0,0,1,0,8,3,2,2,0,0,27,9,1,0,1,0,30,5,1,0,1,1,0,0,0,3,0,9,0,1,1,0,4,4,8,8,1,0,27,6,1,0,1,0,venty001,wilsc004,,venty001,wilsc004,,6,Apr 12,1,KCR,"L,2-9",9,14,9,8,1,1,9,1,1,4.25,44,151,97,1,0,0,0,41,3,2,1,0,1,1,1,4,Jim Wolf,"C.Wilson (4-28-L), F.Salas (1), V.Pestano (1), J.Smith (3)"
20150413,ANA,AL,7,TEX,AL,8,6,3,54,ARL02,18401,140001,300000000,38,12,1,0,2,6,0,0,0,5,0,5,1,0,0,0,10,4,3,3,1,0,27,4,1,0,0,0,33,7,2,0,0,3,0,1,0,1,0,11,1,0,0,0,5,3,6,6,0,0,27,7,0,0,0,0,shoem001,detwr001,streh001,shoem001,detwr001,,7,Apr 13,@,TEX,"W,6-3",9,7,3,3,0,1,11,0,0,4.06,35,146,96,1,0,1,0,33,2,0,0,0,1,0,0,4,CB Bucknor,"M.Shoemaker (4-55-W), C.Ramos (1-H), J.Smith (0-H), H.Street (4-Sv)"
20150414,ANA,AL,8,TEX,AL,9,2,8,51,ARL02,21805,110,13000400x,32,7,2,0,0,2,0,1,1,3,0,2,0,0,1,0,8,5,8,8,3,0,24,8,0,0,1,0,33,11,3,0,2,8,0,0,1,5,0,6,3,0,1,0,7,3,1,1,1,0,27,8,1,0,1,0,martn002,rucid001,,rucid001,martn002,,8,Apr 14,@,TEX,"L,2-8",8,11,8,8,0,5,6,2,1,4.63,39,166,109,2,0,3,0,33,3,0,0,0,0,0,1,5,Lance Barrett,"D.Rucinski (2-26-L), J.Alvarez (2), M.Morin (2), F.Salas (1), V.Pestano (1)"
20150415,ANA,AL,9,TEX,AL,10,10,2,54,ARL02,25757,60103000,10001,39,13,4,0,0,10,1,0,0,5,1,6,2,0,0,0,8,2,2,2,0,0,27,5,0,0,0,0,33,6,1,0,2,2,0,0,1,3,0,7,0,0,0,0,8,4,10,10,0,0,27,12,1,0,0,0,santh001,ranaa001,,santh001,ranaa001,,9,Apr 15,@,TEX,"W,10-2",9,6,2,2,0,3,7,2,1,4.33,37,143,92,0,0,0,0,33,1,0,0,0,0,0,0,2,Dan Iassogna,"H.Santiago (4-68-W), A.Wilk (99)"
20150417,ANA,AL,10,HOU,AL,10,6,3,54,HOU03,22660,102030,11100,31,6,0,1,2,6,0,1,0,3,0,9,0,0,1,0,2,6,3,3,0,0,27,11,1,0,1,0,34,8,1,0,1,3,0,1,0,1,0,5,1,0,1,0,6,4,6,6,0,0,27,14,0,0,1,0,ramoc001,qualc001,streh001,weavj003,carmf001,,10,Apr 17,@,HOU,"W,6-3",9,8,3,3,0,1,5,1,0,4.19,36,123,84,3,1,1,0,34,1,0,0,0,1,1,1,6,Toby Basner,"J.Weaver (5-55), J.Alvarez (2), V.Pestano (2-BSv), C.Ramos (3-W), J.Smith (3-H), H.Street (3-Sv)"
20150418,ANA,AL,11,HOU,AL,11,0,4,51,HOU03,28209,0,00000130x,30,3,2,0,0,0,0,0,0,3,0,13,0,0,0,0,6,3,4,4,0,0,24,6,1,0,0,0,28,4,0,0,2,4,0,0,0,5,1,11,1,0,0,0,5,4,0,0,1,0,27,11,1,0,0,0,keucd001,wilsc004,,wilsc004,keucd001,,11,Apr 18,@,HOU,"L,0-4",8,4,4,4,0,5,11,2,0,4.22,33,135,81,1,1,1,0,28,0,0,1,0,0,0,0,3,Paul Nauert,"C.Wilson (5-64-L), M.Morin (3), F.Salas (3)"
20150419,ANA,AL,12,HOU,AL,12,3,4,51,HOU03,24254,200010,00202000x,34,8,0,0,2,3,0,0,0,0,0,6,0,1,0,0,4,5,3,3,1,0,24,8,2,0,0,0,31,6,0,0,1,3,0,0,0,7,1,8,2,1,0,0,10,4,3,3,1,0,27,11,0,0,0,0,felds001,richg002,gregl001,richg002,felds001,,12,Apr 19,@,HOU,"L,3-4",8,6,4,3,1,7,8,1,0,4.15,38,161,92,4,0,2,1,31,0,0,1,0,0,1,0,5,Mike Estabrook,"G.Richards (99-43-L), J.Alvarez (1), V.Pestano (1), C.Ramos (1), M.Morin (0)"
20150420,OAK,AL,14,ANA,AL,13,6,3,54,ANA01,35228,103100001,201000000,32,8,3,0,2,6,0,2,0,4,0,6,1,0,0,0,5,4,2,2,1,0,27,12,2,0,1,0,32,5,1,0,0,3,0,0,0,5,0,7,1,0,1,0,7,4,6,6,0,0,27,7,0,0,1,0,oterd001,shoem001,clipt001,gravk001,shoem001,,13,Apr 20,1,OAK,"L,3-6",9,8,6,6,0,4,6,2,0,4.3,38,139,85,0,0,1,0,32,3,0,0,0,2,0,0,4,Mark Wegner,"M.Shoemaker (6-24-L), J.Alvarez (0), M.Morin (0), F.Salas (1)"
20150421,OAK,AL,15,ANA,AL,14,1,14,51,ANA01,32137,1000000,04000640x,32,5,0,0,1,1,0,0,0,4,0,10,0,0,0,0,8,4,12,12,2,0,24,9,3,0,0,0,39,15,3,0,2,11,0,1,0,4,1,9,0,0,0,0,6,3,1,1,0,0,27,5,0,0,0,0,santh001,pomed001,,pomed001,santh001,,14,Apr 21,1,OAK,"W,14-1",9,5,1,1,0,4,10,1,0,4.06,36,146,94,0,0,0,0,32,0,0,0,0,0,0,0,3,Marty Foster,"H.Santiago (5-67-W), V.Pestano (1), C.Bedrosian (99)"
20150422,OAK,AL,16,ANA,AL,15,9,2,54,ANA01,30034,100000530,10000001,41,18,1,0,1,8,1,1,0,2,1,5,4,0,2,0,9,3,2,2,1,0,27,5,0,0,0,0,31,4,2,0,0,2,0,0,0,3,0,10,0,0,0,0,5,6,9,9,1,0,27,12,0,0,2,0,grays001,salaf001,,grays001,weavj003,,15,Apr 22,1,OAK,"L,2-9",9,18,9,9,0,2,5,1,0,4.4,45,158,105,4,3,4,0,41,1,0,1,1,1,0,2,6,Mike Muchlinski,"J.Weaver (4-55), F.Salas (1-L), C.Ramos (2), V.Pestano (0), M.Morin (1), J.Smith (4)"
20150423,OAK,AL,17,ANA,AL,16,0,2,51,ANA01,24304,0,00200000x,35,8,1,0,0,0,0,0,0,2,0,8,0,0,0,0,10,3,1,1,0,0,24,5,1,0,0,0,25,1,0,0,1,2,1,0,0,3,0,4,1,0,0,0,3,4,0,0,0,0,27,9,0,0,0,0,tropn001,chavj001,streh001,chavj001,tropn001,,16,Apr 23,1,OAK,"W,2-0",9,8,0,0,0,2,8,0,0,4.11,37,145,95,1,0,0,0,35,1,0,0,0,0,0,0,4,Mike Winters,"N.Tropeano (99-66-W), F.Salas (0-H), J.Smith (0-H), H.Street (5-Sv)"
20150424,TEX,AL,16,ANA,AL,17,2,3,51,ANA01,41054,2000000,00010020x,27,3,1,0,0,2,1,0,0,5,0,7,1,0,2,0,4,4,3,3,2,0,24,5,0,0,1,0,30,8,1,0,1,3,0,1,1,3,0,8,1,0,1,0,8,3,2,2,0,0,27,10,1,0,2,0,richg002,kelak001,streh001,rodrw002,richg002,,17,Apr 24,1,TEX,"W,3-2",9,3,2,2,0,5,7,0,0,3.99,33,134,89,0,0,1,0,27,1,0,0,1,0,0,2,3,Jim Reynolds,"G.Richards (4-65-W), J.Smith (0-H), H.Street (0-Sv)"
20150425,TEX,AL,17,ANA,AL,18,1,4,51,ANA01,38016,100000,00000310x,34,8,1,0,0,0,0,0,1,3,0,6,2,0,0,0,10,4,4,4,0,0,24,8,0,0,1,0,29,8,0,0,0,4,0,0,1,4,0,5,0,0,0,0,6,6,1,1,1,0,27,8,0,0,0,0,pestv001,lewic001,streh001,lewic001,wilsc004,,18,Apr 25,1,TEX,"W,4-1",9,8,1,1,0,3,6,0,1,3.82,38,146,85,4,0,2,0,34,1,0,0,0,0,0,0,6,Clint Fagan,"C.Wilson (6-52), V.Pestano (2-W), J.Alvarez (4-H), M.Morin (2-H), F.Salas (1-H), H.Street (0-Sv)"
20150426,TEX,AL,18,ANA,AL,19,5,4,66,ANA01,35053,1100000102,21001,42,9,1,0,1,4,0,1,2,7,1,9,1,1,0,0,14,5,4,4,0,0,33,10,1,0,1,0,46,15,3,0,1,4,0,0,1,4,0,9,0,0,0,0,14,5,3,3,0,0,33,8,2,0,0,0,felin001,alvaj003,,martn002,santh001,,19,Apr 26,1,TEX,"L,4-5",11,9,5,3,2,7,9,1,2,3.73,52,203,124,1,0,1,1,42,1,0,1,0,1,2,0,5,Manny Gonzalez,"H.Santiago (4-53), C.Ramos (3), M.Morin (0), J.Smith (1-BSv), J.Alvarez (0-L)"
20150428,ANA,AL,20,OAK,AL,21,2,6,51,OAK01,17674,200000000,50000100x,30,6,0,0,0,2,0,0,0,1,0,9,0,1,1,0,2,2,6,6,0,0,24,7,1,0,1,0,31,7,0,0,2,6,0,0,1,1,0,1,2,0,1,0,3,2,2,2,1,0,27,10,0,0,1,0,grays001,weavj003,,weavj003,grays001,,20,Apr 28,@,OAK,"L,2-6",8,7,6,6,0,1,1,2,1,3.86,33,116,76,0,0,2,0,31,0,0,0,0,0,1,1,2,Angel Hernandez,"J.Weaver (5-42-L), C.Bedrosian (6)"
20150429,ANA,AL,21,OAK,AL,22,6,3,54,OAK01,16212,201000300,102000,33,8,1,0,1,6,0,0,1,3,0,11,0,1,1,0,4,6,3,3,0,0,27,9,2,0,1,0,35,8,4,0,0,3,0,0,0,1,0,7,0,0,1,0,6,6,6,6,0,0,27,9,0,0,1,0,morim002,cookr001,streh001,shoem001,hahnj001,,21,Apr 29,@,OAK,"W,6-3",9,8,3,3,0,1,7,0,0,3.82,36,131,85,2,1,0,0,35,4,0,0,0,0,1,1,6,Scott Barry,"M.Shoemaker (8-47), C.Ramos (2-BSv), M.Morin (2-W), F.Salas (3-H), J.Smith (2-H), H.Street (3-Sv)"
20150430,ANA,AL,22,OAK,AL,23,6,5,54,OAK01,19534,1031100,203,36,12,3,0,0,6,2,0,0,4,1,5,3,0,0,0,9,5,4,4,1,0,27,11,1,0,2,0,34,9,0,0,1,5,0,0,0,5,0,5,0,0,2,0,7,5,6,6,0,0,27,11,1,0,1,0,richg002,chavj001,streh001,richg002,chavj001,,22,Apr 30,@,OAK,"W,6-5",9,9,5,4,1,5,5,1,0,3.83,39,161,95,3,3,0,0,34,0,0,0,0,0,0,2,5,Ted Barrett,"G.Richards (5-62-W), M.Morin (0), J.Smith (0), V.Pestano (4), H.Street (0-Sv)"
20150501,ANA,AL,23,SFN,NL,23,2,3,53,SFO03,41507,110,100000101,34,7,1,0,0,2,0,1,1,1,0,7,1,0,0,0,8,3,2,2,3,0,26,6,1,1,1,0,31,6,1,0,0,3,1,1,0,3,1,6,0,1,0,0,7,5,1,1,0,0,27,11,1,1,0,0,garcj002,smitj002,,wilsc004,hestc001,,23,May 1,@,SFG,"L,2-3",8.2,6,3,2,1,3,6,0,0,3.76,36,133,82,0,0,0,1,31,1,0,1,1,1,1,0,3,Bill Miller,"C.Wilson (5-67), F.Salas (1), J.Smith (0-L)"
20150502,ANA,AL,24,SFN,NL,24,4,5,51,SFO03,41287,100102,02011010x,31,6,0,0,2,4,0,0,0,2,0,4,0,1,0,0,2,4,5,5,0,0,24,8,0,0,0,0,33,11,1,0,2,5,2,0,0,2,0,8,2,0,0,0,8,4,4,4,0,0,27,14,0,0,0,0,hudst001,santh001,garcj002,santh001,hudst001,,24,May 2,@,SFG,"L,4-5",8,11,5,5,0,2,8,2,0,3.83,37,127,86,0,0,2,0,33,1,0,0,2,0,0,0,4,Adam Hamari,"H.Santiago (5-35-L), M.Morin (1), V.Pestano (1), C.Ramos (2)"
20150503,ANA,AL,25,SFN,NL,25,0,5,51,SFO03,41516,0,20102000x,30,3,0,0,0,0,0,0,0,2,0,6,0,0,1,0,5,3,5,5,0,0,24,11,0,0,1,0,33,10,2,1,2,5,0,0,1,2,0,4,0,0,1,0,7,2,0,0,0,0,27,11,1,0,1,0,linct001,weavj003,,weavj003,linct001,,25,May 3,@,SFG,"L,0-5",8,10,5,5,0,2,4,2,1,3.89,36,119,76,0,0,0,0,33,2,1,0,0,0,0,1,3,Doug Eddings,"J.Weaver (4-28-L), C.Ramos (0), J.Alvarez (6)"
20150504,SEA,AL,26,ANA,AL,26,3,2,54,ANA01,25024,210,101,31,4,0,0,3,3,0,0,1,1,0,11,0,0,0,0,3,3,2,2,1,0,27,14,0,0,2,0,32,8,0,0,2,2,0,0,0,2,0,8,0,1,1,0,5,3,3,3,0,0,27,4,0,0,0,0,hernf002,shoem001,rodnf001,hernf002,shoem001,,26,May 4,1,SEA,"L,2-3",9,4,3,3,0,1,11,3,1,3.86,33,112,74,0,0,0,0,31,0,0,0,0,0,0,0,3,Jim Joyce,"M.Shoemaker (4-67-L), M.Morin (1), C.Ramos (0)"
20150505,SEA,AL,27,ANA,AL,27,4,5,51,ANA01,33394,10000030,200000021,35,9,4,0,0,4,0,1,1,2,1,6,0,0,0,0,8,3,5,5,1,0,24,6,0,0,1,0,31,8,0,0,2,5,0,0,0,4,1,4,0,0,1,0,6,4,4,4,3,0,27,6,0,0,0,0,streh001,leond003,,paxtj001,richg002,,27,May 5,1,SEA,"W,5-4",9,9,4,4,0,2,6,0,1,3.86,39,146,92,2,1,0,0,35,4,0,1,0,1,0,0,4,Greg Gibson,"G.Richards (4-66), J.Smith (3-BSv), F.Salas (3), H.Street (4-W)"
20150506,SEA,AL,28,ANA,AL,28,3,4,52,ANA01,25160,200001,3000001,34,9,1,0,1,3,0,1,1,1,0,6,1,1,1,0,7,4,4,4,0,0,25,13,0,0,1,0,31,7,2,1,1,4,0,0,0,2,0,5,0,0,1,0,4,3,3,3,0,0,27,11,1,0,1,0,streh001,smitc004,,eliar001,wilsc004,,28,May 6,1,SEA,"W,4-3",9,9,3,3,0,1,6,1,1,3.83,37,132,81,0,0,1,1,34,1,0,0,0,1,1,1,3,Marvin Hudson,"C.Wilson (4-59), J.Smith (0-H), H.Street (0-BW)"
20150507,HOU,AL,29,ANA,AL,29,3,2,54,ANA01,25097,3,100000010,33,6,0,0,0,3,0,0,0,5,1,8,3,0,1,0,8,4,2,2,0,0,27,8,0,0,2,0,30,7,2,0,1,2,1,0,1,1,0,8,0,0,1,0,4,5,3,3,1,2,27,10,1,0,1,0,neshp001,streh001,gregl001,mchuc001,santh001,,29,May 7,1,HOU,"L,2-3",9,6,3,3,0,5,8,0,0,3.8,38,155,99,2,0,3,0,33,0,0,1,0,0,1,1,5,Joe West,"H.Santiago (4-72), F.Salas (1-H), J.Smith (0-H), H.Street (0-BL), C.Ramos (2)"
20150508,HOU,AL,30,ANA,AL,30,0,2,51,ANA01,40006,0,00002000x,32,6,0,0,0,0,0,0,0,0,0,6,0,2,0,0,5,2,2,2,0,0,24,14,1,0,2,0,28,7,0,0,0,2,0,1,1,0,0,3,1,0,2,0,4,1,0,0,0,0,27,7,1,0,0,0,weavj003,carmf001,,carmf001,weavj003,,30,May 8,1,HOU,"W,2-0",9,6,0,0,0,0,6,0,0,3.67,32,120,77,1,1,0,2,32,0,0,0,0,0,1,0,1,Kerwin Danley,J.Weaver (4-81-W)
