Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20120406,SFN,NL,1,ARI,NL,1,4,5,51,PHO01,49130,21001,30000200x,37,11,3,0,1,4,1,0,0,2,0,6,0,0,0,0,9,4,5,5,0,0,24,12,3,0,0,0,32,7,2,0,2,5,1,0,1,2,0,9,0,0,0,0,7,4,4,4,0,0,27,9,0,0,0,0,kenni001,linct001,putzj001,linct001,kenni001,,1,Apr 6,1,SFG,"W,5-4",9,11,4,4,0,2,6,1,0,4,40,130,94,2,0,0,0,37,3,0,0,1,0,0,0,4,Jim Joyce,"I.Kennedy (99-45-W), J.Paterson (99-H), D.Hernandez (99-H), J.Putz (99-Sv)"
20120407,SFN,NL,2,ARI,NL,2,4,5,51,PHO01,34789,200200,22001000x,33,6,1,0,2,4,0,0,0,2,0,7,0,0,0,0,4,4,5,5,1,0,24,10,0,0,2,0,32,10,2,0,2,5,0,0,1,4,2,7,0,0,2,0,8,4,4,4,0,0,27,11,0,0,0,0,hudsd001,bumgm001,putzj001,bumgm001,hudsd001,,2,Apr 7,1,SFG,"W,5-4",9,6,4,4,0,2,7,2,0,4,35,120,75,0,0,0,0,33,1,0,0,0,0,0,0,4,Jim Reynolds,"D.Hudson (99-50-W), B.Shaw (99-H), D.Hernandez (0-H), J.Putz (0-Sv)"
20120408,SFN,NL,3,ARI,NL,3,6,7,51,PHO01,24193,33000000,00020320x,35,6,2,0,1,5,0,0,1,4,0,7,0,0,2,0,7,5,6,6,0,0,24,7,3,0,1,0,33,8,3,0,2,6,1,0,0,4,0,5,1,0,1,0,7,4,5,5,0,0,27,11,5,0,2,0,milew001,affej001,shawb001,cainm001,collj001,,3,Apr 8,1,SFG,"W,7-6",9,6,6,5,1,4,7,1,1,4.33,40,143,88,0,0,0,0,35,2,0,0,0,0,4,2,4,Mike DiMuro,"J.Collmenter (99-30), W.Miley (99-W), C.Breslow (99-H), B.Shaw (0-Sv)"
20120410,ARI,NL,4,SDN,NL,5,4,2,66,SAN02,18652,20000000002,100010000,39,7,1,0,1,4,0,0,1,3,1,11,3,1,0,0,6,6,2,2,1,0,33,12,1,1,1,0,36,6,1,1,0,2,0,0,0,8,0,11,1,1,1,0,9,5,4,4,0,0,33,13,0,0,0,0,bresc001,owinm001,putzj001,cahit001,volqe001,,4,Apr 10,@,SDP,"W,4-2",11,6,2,2,0,8,11,0,0,3.55,44,179,95,1,0,1,1,36,1,1,0,0,0,0,1,6,Jeff Kellogg,"T.Cahill (99-63), B.Ziegler (99-BSv), B.Shaw (1), D.Hernandez (2), C.Breslow (1-W), J.Putz (2-Sv)"
20120411,ARI,NL,5,SDN,NL,6,1,2,51,SAN02,16091,100000000,00000002x,32,5,0,1,0,1,0,0,0,7,0,10,1,0,0,0,11,2,2,2,0,0,24,10,0,0,1,0,27,5,0,0,1,2,0,0,1,3,0,4,0,1,0,0,5,5,1,1,0,0,27,6,1,0,0,0,friee001,hernd002,streh001,saunj001,luebc001,,5,Apr 11,@,SDP,"L,1-2",8,5,2,2,0,3,4,1,1,3.33,31,122,67,0,0,0,1,27,0,0,0,0,0,0,0,2,Eric Cooper,"J.Saunders (99-71), D.Hernandez (0-BL)"
20120412,ARI,NL,6,SDN,NL,7,3,1,54,SAN02,20858,11010,100000000,32,6,3,0,1,3,0,0,0,4,0,8,0,1,1,0,6,4,1,1,0,0,27,8,0,0,0,0,32,5,1,1,0,1,0,0,0,2,0,13,0,0,0,0,6,6,2,2,0,0,27,10,1,0,1,0,kenni001,owinm001,putzj001,kenni001,bassa001,,6,Apr 12,@,SDP,"W,3-1",9,5,1,1,0,2,13,0,0,2.95,34,143,102,0,0,0,0,32,1,1,0,0,0,0,0,4,Marty Foster,"I.Kennedy (5-66-W), B.Ziegler (1-H), B.Shaw (1-H), J.Putz (1-Sv)"
20120413,ARI,NL,7,COL,NL,7,6,7,51,DEN02,30642,204000000,11220001x,35,9,2,0,1,6,0,1,0,6,0,7,0,0,0,0,9,4,6,6,1,0,24,12,1,0,1,0,37,14,3,0,2,7,0,0,0,5,0,7,0,0,1,0,11,5,6,6,1,0,27,11,1,0,0,0,brotr001,shawb001,betar001,hudsd001,nicaj001,,7,Apr 13,@,COL,"L,6-7",8,14,7,6,1,5,7,2,0,3.43,42,178,107,1,0,0,0,37,3,0,0,0,0,0,1,4,Mark Wegner,"D.Hudson (5-17), B.Ziegler (0), C.Breslow (2), B.Shaw (0-L)"
20120414,ARI,NL,8,COL,NL,8,7,8,53,DEN02,29856,100031110,31100012,36,11,2,0,1,7,1,1,0,5,0,8,1,1,2,0,9,4,8,8,0,0,26,11,0,0,1,0,35,10,1,2,3,8,0,0,1,4,0,5,1,0,1,0,6,6,6,6,1,0,27,12,3,0,3,0,chatt001,putzj001,,collj001,chacj001,,8,Apr 14,@,COL,"L,7-8",8.2,10,8,8,0,4,5,3,1,4.02,40,152,101,0,0,1,0,35,1,2,0,0,0,0,1,4,Brian Knight,"J.Collmenter (5-31), W.Miley (5), D.Hernandez (2-H), J.Putz (1-BL)"
20120415,ARI,NL,9,COL,NL,9,5,2,54,DEN02,26952,201020000,20,37,10,1,0,1,5,0,0,0,3,0,11,4,0,0,0,8,5,2,2,0,0,27,16,1,0,2,0,31,6,0,0,0,2,0,0,0,4,0,7,0,0,1,0,6,4,5,5,0,1,27,9,0,1,0,0,cahit001,pomed001,shawb001,cahit001,pomed001,,9,Apr 15,@,COL,"W,5-2",9,6,2,2,0,4,7,0,0,3.79,35,146,81,8,2,0,0,31,0,0,0,0,0,0,1,5,Mike Winters,"T.Cahill (4-70-W), J.Paterson (8), B.Ziegler (1), C.Breslow (1), B.Shaw (1-Sv)"
20120416,PIT,NL,10,ARI,NL,10,1,5,51,PHO01,17366,100000000,10010210x,32,6,1,0,0,1,0,0,0,3,0,8,1,1,0,0,7,3,5,5,0,0,24,6,0,1,1,0,31,8,0,0,3,5,0,0,0,4,0,6,0,0,1,0,6,3,1,1,1,0,27,11,0,0,0,0,saunj001,bedae001,,bedae001,saunj001,,10,Apr 16,1,PIT,"W,5-1",9,6,1,1,0,3,8,0,0,3.51,35,137,88,0,0,1,1,32,1,0,0,0,0,0,0,3,Dan Bellino,"J.Saunders (4-64-W), D.Hernandez (1), B.Ziegler (0)"
