Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20160404,MIN,AL,1,BAL,AL,1,2,3,53,BAL12,45785,200,20001,33,7,3,0,0,2,0,1,1,0,0,10,0,0,0,0,6,6,3,3,1,0,26,5,0,0,0,0,36,10,3,0,0,3,0,0,0,5,0,10,1,0,0,0,12,6,2,2,0,0,27,6,0,0,0,0,britz001,jepsk001,,sante001,tillc001,,1,Apr 4,1,MIN,"W,3-2",9,7,2,2,0,0,10,0,1,2,35,128,92,2,1,0,0,33,3,0,0,0,1,0,0,6,Mike Winters,"C.Tillman (99-61), T.Wilson (99), M.Givens (99-H), B.Brach (99-BSv), D.O'Day (99), Z.Britton (99-W)"
20160406,MIN,AL,2,BAL,AL,2,2,4,51,BAL12,12622,1001000,01111000x,30,5,3,0,1,2,1,1,0,6,0,13,0,0,0,0,9,4,4,4,0,0,24,13,0,0,1,0,31,9,3,0,1,4,0,1,0,6,1,6,0,0,1,0,10,5,2,2,1,0,27,4,0,0,0,0,gally001,gibsk002,britz001,gibsk002,gally001,,2,Apr 6,1,MIN,"W,4-2",9,5,2,2,0,6,13,1,0,2,38,175,107,1,0,0,0,30,3,0,0,1,1,0,0,5,Mark Wegner,"Y.Gallardo (99-60-W), M.Givens (1-H), B.Brach (1-H), D.O'Day (1-H), Z.Britton (1-Sv)"
20160407,MIN,AL,3,BAL,AL,3,2,4,51,BAL12,11142,110000000,00000121x,34,9,2,0,1,2,0,0,0,0,0,12,1,2,1,0,5,2,4,4,1,0,24,4,0,0,1,0,31,8,1,0,2,3,0,0,0,0,0,7,0,0,0,0,3,3,1,1,0,0,27,10,1,0,1,0,jimeu001,hughp001,odayd001,hughp001,jimeu001,,3,Apr 7,1,MIN,"W,4-2",9,9,2,1,1,0,12,1,0,1.67,34,133,92,0,0,1,2,34,2,0,0,0,0,1,1,3,Marty Foster,"U.Jimenez (99-64-W), D.Bundy (99-H), D.O'Day (0-Sv)"
20160408,TBA,AL,5,BAL,AL,4,1,6,51,BAL12,17304,100000000,01014000x,30,5,1,0,1,1,0,0,0,3,0,7,0,0,2,0,5,3,6,6,1,0,24,10,0,0,2,0,32,10,0,0,4,6,0,0,0,2,0,6,0,0,2,0,4,3,1,1,1,0,27,16,0,0,2,0,tillc001,archc001,,archc001,tillc001,,4,Apr 8,1,TBR,"W,6-1",9,5,1,1,0,3,7,1,0,1.5,33,142,89,0,0,0,0,30,1,0,0,0,0,0,2,3,Mike Estabrook,"C.Tillman (3-58-W), T.McFarland (99), B.Brach (1)"
20160410,TBA,AL,6,BAL,AL,5,3,5,51,BAL12,23101,120000,04000001x,34,8,1,0,1,3,0,0,0,4,0,12,0,1,0,1,9,2,5,5,1,0,24,13,0,0,2,0,31,11,2,0,1,4,0,1,0,0,0,4,0,0,2,0,3,5,2,2,0,0,27,7,1,0,0,0,bracb001,odorj001,britz001,odorj001,worlv001,,5,Apr 10,1,TBR,"W,5-3",9,8,3,2,1,4,12,1,0,1.6,39,160,101,2,0,0,1,34,1,0,0,0,0,0,0,5,Dana DeMuth,"V.Worley (99-44), B.Brach (1-W), M.Givens (3-H), D.O'Day (2-H), Z.Britton (3-Sv)"
20160411,BAL,AL,6,BOS,AL,6,9,7,54,BOS07,37160,5001003,300201001,35,9,3,0,2,9,0,0,1,4,0,15,0,0,0,0,4,5,7,7,1,0,27,8,2,0,2,0,36,11,2,0,1,7,0,1,0,4,1,8,2,0,2,0,7,5,9,9,3,0,27,5,0,0,1,0,bracb001,kimbc001,britz001,gally001,pricd001,,6,Apr 11,@,BOS,"W,9-7",9,11,7,7,0,4,8,1,0,2.5,41,172,100,1,0,2,0,36,2,0,1,0,1,1,2,5,Fieldin Culbreth,"Y.Gallardo (4-35), T.McFarland (2-BSv), M.Givens (0), B.Brach (0-W), Z.Britton (0-Sv)"
20160412,BAL,AL,7,BOS,AL,7,9,5,54,BOS07,31114,203400,200020010,36,11,2,0,3,9,0,1,1,5,1,9,1,0,0,0,7,4,5,5,1,0,27,13,0,0,2,0,35,10,4,0,1,4,0,0,2,1,0,4,0,0,1,0,6,4,9,9,1,0,27,8,0,1,0,0,wrigm001,buchc001,,wrigm001,buchc001,,7,Apr 12,@,BOS,"W,9-5",9,10,5,5,0,1,4,1,2,2.86,38,158,107,1,0,0,0,35,4,0,0,0,0,0,1,4,CB Bucknor,"M.Wright (99-44-W), D.Bundy (4-H), T.McFarland (0), D.O'Day (1)"
20160413,BAL,AL,8,BOS,AL,8,2,4,51,BOS07,31011,2000000,00220000x,34,9,3,0,1,2,0,0,0,5,0,10,0,1,0,0,10,2,4,4,0,0,24,10,0,0,2,0,30,8,1,1,0,4,0,0,0,4,0,7,3,0,1,0,6,6,2,2,0,0,27,11,0,0,0,0,kellj001,jimeu001,kimbc001,jimeu001,kellj001,,8,Apr 13,@,BOS,"L,2-4",8,8,4,4,0,4,7,0,0,3.04,34,143,88,0,0,3,0,30,1,1,0,0,0,0,1,2,Jim Reynolds,"U.Jimenez (5-40-L), T.Wilson (8)"
20160414,BAL,AL,9,TEX,AL,11,3,6,51,ARL02,22820,1101000,00100500x,34,9,4,0,1,3,0,0,0,3,0,7,0,0,2,0,7,4,6,6,2,0,24,10,0,0,0,0,33,10,4,0,0,6,0,0,0,2,0,5,0,0,0,0,5,5,3,3,0,0,27,14,0,0,2,0,wilht001,tillc001,tolls002,tillc001,hamec001,,9,Apr 14,@,TEX,"L,3-6",8,10,6,6,0,2,5,0,0,3.42,35,124,77,1,1,0,0,33,4,0,0,0,0,0,0,4,Paul Emmel,"C.Tillman (5-26-L), M.Givens (2), T.McFarland (1), B.Brach (2)"
20160415,BAL,AL,10,TEX,AL,12,11,5,54,ARL02,32628,100000910,50000000,37,13,2,0,5,11,0,0,0,3,0,6,0,0,3,0,2,4,4,4,1,0,27,8,1,0,1,0,31,6,0,0,1,5,0,1,1,2,0,11,0,0,0,0,3,4,10,10,0,0,27,13,1,0,3,0,worlv001,wilht001,,worlv001,perem004,,10,Apr 15,@,TEX,"W,11-5",9,6,5,4,1,2,11,1,1,3.48,35,140,93,0,0,0,0,31,0,0,0,0,1,0,0,4,Jordan Baker,"V.Worley (4-50-W), D.O'Day (2), B.Brach (0), Z.Britton (3)"
