Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20170403,PIT,NL,1,BOS,AL,1,3,5,51,BOS07,36594,300,00005000x,34,8,2,0,0,3,0,1,1,2,0,8,0,1,0,0,8,4,5,5,0,0,24,10,1,0,1,0,33,10,0,1,1,5,0,0,0,2,0,7,2,0,1,0,6,5,3,3,1,0,27,9,1,0,0,0,porcr001,coleg001,kimbc001,coleg001,porcr001,,1,Apr 3,1,PIT,"W,5-3",9,8,3,3,0,2,8,0,1,3,38,144,93,2,2,0,1,34,2,0,0,0,1,1,0,5,Dana DeMuth,"R.Porcello (99-53-W), M.Barnes (99-H), R.Scott (99-H), H.Hembree (99-H), C.Kimbrel (99-Sv)"
20170405,PIT,NL,2,BOS,AL,2,0,3,70,BOS07,36137,0,3,41,5,0,0,0,0,0,0,0,1,0,9,0,0,1,0,6,6,3,3,1,0,34,14,0,0,2,0,39,8,1,0,1,3,0,0,0,6,0,10,1,0,2,0,8,6,0,0,0,0,36,13,1,0,1,0,kellj001,basta001,,tailj001,salec001,,2,Apr 5,1,PIT,"W,3-0",12,5,0,0,0,1,9,0,0,1.29,42,184,119,1,0,0,0,41,0,0,0,0,0,1,1,6,Paul Nauert,"C.Sale (99-77), M.Barnes (1), C.Kimbrel (1), H.Hembree (1), R.Scott (1), J.Kelly (99-W)"
20170407,BOS,AL,3,DET,AL,3,5,6,51,DET05,45013,50,10000122x,37,10,3,0,1,5,0,0,1,3,0,6,1,0,1,0,9,5,6,6,0,0,24,10,0,0,3,0,27,8,1,1,1,6,0,1,1,7,1,7,0,1,3,0,6,5,5,5,1,0,27,7,1,0,1,0,rodrf003,hembh001,,wrigs001,fulmm001,,3,Apr 7,@,DET,"L,5-6",8,8,6,6,0,7,7,1,1,2.79,36,145,86,4,2,0,1,27,1,1,1,0,1,0,3,5,Mike Estabrook,"S.Wright (99-45), B.Taylor (99), H.Hembree (1-L), R.Scott (1-BSv), J.Kelly (1)"
20170408,BOS,AL,4,DET,AL,4,1,4,51,DET05,32622,10000000,00103000x,30,6,2,0,0,1,0,1,2,2,0,7,0,0,2,0,7,3,4,4,1,0,24,8,0,0,1,0,26,5,2,0,2,4,0,0,0,5,0,9,0,1,1,0,3,4,1,1,1,0,27,9,0,0,2,0,zimmj003,rodre004,wilsj004,rodre004,zimmj003,,4,Apr 8,@,DET,"L,1-4",8,5,4,4,0,5,9,2,0,3.16,31,133,73,2,0,0,1,26,2,0,0,0,0,0,1,3,Jerry Layne,"E.Rodriguez (99-43-L), B.Taylor (0), N.Ramirez (99)"
20170409,BOS,AL,5,DET,AL,5,7,5,54,DET05,33662,11000140,110100101,34,11,3,0,0,6,0,0,0,6,1,3,0,1,2,0,6,3,4,4,0,0,27,6,1,0,0,0,39,13,2,0,1,5,0,0,0,3,0,14,0,1,0,0,10,5,7,7,0,0,27,18,1,0,2,0,barnm001,rondb001,kimbc001,porcr001,norrd002,,5,Apr 9,@,DET,"W,7-5",9,13,5,4,1,3,14,1,0,3.33,42,151,105,1,0,0,1,39,2,0,0,0,0,0,0,3,Marvin Hudson,"R.Porcello (5-43), M.Barnes (3-W), C.Kimbrel (3-Sv)"
20170410,BOS,AL,6,DET,AL,6,1,2,51,DET05,24672,10000000,00000101x,31,4,2,0,0,0,0,0,0,3,0,7,0,0,1,0,6,2,2,2,0,0,24,4,1,0,0,0,29,5,2,0,1,2,0,0,0,1,0,10,0,0,0,0,4,3,0,0,0,0,27,4,1,0,1,0,wilsj004,salec001,rodrf003,salec001,verlj001,,6,Apr 10,@,DET,"L,1-2",8,5,2,2,0,1,10,1,0,3.17,30,109,71,2,0,0,0,29,2,0,0,0,0,0,0,2,Dan Bellino,"C.Sale (4-70-L), H.Hembree (2)"
20170411,BAL,AL,6,BOS,AL,7,1,8,51,BOS07,37497,100,01001033x,32,5,2,0,0,1,0,0,0,2,0,9,0,0,0,0,6,3,7,7,0,0,24,7,2,0,3,0,35,15,2,1,0,8,0,2,0,3,0,5,1,1,2,0,8,4,1,1,0,0,27,9,0,0,0,0,pomed001,bundd001,,bundd001,pomed001,,7,Apr 11,1,BAL,"W,8-1",9,5,1,1,0,2,9,0,0,2.86,34,130,83,1,1,0,0,32,2,0,0,0,0,0,0,4,Eric Cooper,"D.Pomeranz (99-65-W), H.Hembree (0-H), M.Barnes (1), J.Kelly (3)"
20170412,BAL,AL,7,BOS,AL,8,12,5,54,BOS07,32211,621000300,1310000,41,17,3,0,5,12,0,0,1,1,0,6,0,0,3,0,4,4,5,5,1,0,27,7,1,1,1,0,37,11,3,0,1,5,0,1,1,4,0,5,0,0,1,0,11,5,12,12,1,0,27,14,1,0,3,0,givem001,wrigs001,,jimeu001,wrigs001,,8,Apr 12,1,BAL,"L,5-12",9,17,12,12,0,1,6,5,1,4,43,175,109,1,1,0,0,41,3,0,0,0,0,0,3,5,Adrian Johnson,"S.Wright (4-7-L), B.Taylor (3), F.Abad (99), J.Kelly (0), R.Scott (4)"
20170413,PIT,NL,9,BOS,AL,9,3,4,51,BOS07,32400,200001000,01000003x,32,7,2,0,1,2,0,0,0,5,0,10,1,2,0,0,7,4,4,4,0,0,24,8,0,0,0,0,31,8,3,0,0,4,0,0,0,3,1,7,0,0,0,0,6,4,2,2,0,0,27,7,1,0,0,0,barnm001,nicaj001,kimbc001,kuhlc001,rodre004,,9,Apr 13,1,PIT,"W,4-3",9,7,3,2,1,5,10,1,0,3.78,37,160,98,2,1,1,2,32,2,0,0,0,0,0,0,4,Gabe Morales,"E.Rodriguez (4-54), H.Hembree (1), M.Barnes (1-W), C.Kimbrel (3-Sv)"
20170414,TBA,AL,11,BOS,AL,10,10,5,54,BOS07,36813,24020200,10103,39,12,3,1,4,10,0,0,1,4,0,6,0,0,0,0,7,4,5,5,0,0,27,9,1,0,0,0,40,14,3,0,0,5,0,0,1,3,0,7,0,0,0,0,12,4,10,10,0,0,27,12,0,0,0,0,archc001,porcr001,,archc001,porcr001,,10,Apr 14,1,TBR,"L,5-10",9,12,10,10,0,4,6,4,1,4.4,44,174,109,0,0,0,0,39,3,1,0,0,0,0,0,4,Lance Barksdale,"R.Porcello (4-18-L), R.Ross (99), F.Abad (1), R.Scott (1)"
