Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20140331,MIN,AL,1,CHA,AL,1,3,5,51,CHI12,37422,2000010,02200100x,32,7,3,0,0,3,1,0,0,1,0,10,0,0,1,0,4,4,5,5,1,0,24,10,0,0,2,0,31,11,2,0,2,5,0,1,0,2,0,6,0,0,2,0,5,4,3,3,0,0,27,11,0,0,1,0,salec001,nolar001,lindm001,nolar001,salec001,,1,Mar 31,1,MIN,"W,5-3",9,7,3,3,0,1,10,0,0,3,34,133,89,2,1,0,0,32,3,0,0,1,0,0,1,4,Dale Scott,"C.Sale (99-63-W), R.Belisario (99-H), D.Veal (99-H), M.Lindstrom (99-Sv)"
20140402,MIN,AL,2,CHA,AL,2,6,7,65,CHI12,10625,1100030100,3000001201,46,12,3,0,0,6,0,0,0,7,0,12,1,0,0,0,14,6,6,6,3,1,32,14,1,0,1,0,42,11,1,0,1,6,1,1,0,5,2,12,2,0,0,0,10,7,5,5,0,0,33,12,2,1,0,0,belir001,dedus001,,corrk001,paulf001,,2,Apr 2,1,MIN,"W,7-6",11,12,6,5,1,7,12,0,0,3.6,53,228,136,6,1,1,0,46,3,0,0,0,0,2,0,7,Dan Iassogna,"F.Paulino (99-52), M.Cleto (99-H), S.Downs (99), N.Jones (99-BSv), D.Webb (99), D.Veal (1), R.Belisario (1-W)"
20140403,MIN,AL,3,CHA,AL,3,10,9,54,CHI12,11056,3020212,10034010,37,9,2,1,1,10,0,0,0,6,0,9,1,0,0,0,6,5,9,9,0,0,27,8,1,0,0,0,40,13,2,2,3,9,0,0,1,3,0,8,0,0,0,0,8,5,7,7,2,0,27,15,1,0,0,0,thiec001,lindm001,perkg001,hughp001,quinj001,,3,Apr 3,1,MIN,"L,9-10",9,9,10,7,3,6,9,1,0,4.66,43,192,118,2,2,1,0,37,2,1,0,0,0,0,0,5,CB Bucknor,"J.Quintana (99-53), N.Jones (0), M.Cleto (0-H), R.Belisario (0-BSv), M.Lindstrom (2-BL)"
20140404,CHA,AL,4,KCA,AL,3,5,7,51,KAN06,40103,100012100,31003000x,34,9,2,0,0,5,0,2,1,4,0,8,0,0,1,0,9,3,7,7,1,0,24,11,0,0,1,0,36,13,3,0,0,6,0,0,1,6,1,3,3,0,1,0,12,6,4,4,0,0,27,8,2,0,1,0,guthj001,johne003,hollg001,johne003,guthj001,,4,Apr 4,@,KCR,"L,5-7",8,13,7,7,0,6,3,0,1,5.35,43,166,88,2,0,3,0,36,3,0,1,0,0,0,1,3,Will Little,"E.Johnson (99-15-L), J.Petricka (99), S.Downs (1)"
20140405,CHA,AL,5,KCA,AL,4,3,4,51,KAN06,21463,10020,00021001x,35,9,1,0,0,3,0,1,1,2,0,10,1,0,0,0,9,3,4,4,0,0,24,10,1,1,1,0,28,7,3,0,0,4,0,1,0,5,0,7,1,1,1,0,6,4,3,3,0,0,27,8,0,0,0,0,daviw001,downs001,hollg001,dankj001,chenb001,,5,Apr 5,@,KCR,"L,3-4",8,7,4,4,0,5,7,0,0,5.2,34,134,86,1,1,1,1,28,3,0,0,0,1,1,1,3,Ted Barrett,"J.Danks (99-57), S.Downs (0-L), M.Cleto (1)"
20140406,CHA,AL,6,KCA,AL,5,5,1,54,KAN06,29760,104,1,34,8,3,0,0,4,0,0,2,2,0,7,1,1,0,0,6,2,1,1,0,0,27,13,2,0,2,0,32,7,0,0,0,1,0,0,0,1,0,6,0,1,2,0,5,4,5,5,0,0,27,14,1,0,0,0,salec001,shiej002,,salec001,shiej002,,6,Apr 6,@,KCR,"W,5-1",9,7,1,1,0,1,6,0,0,4.5,33,131,88,0,0,0,1,32,0,0,0,0,0,1,2,2,Greg Gibson,"C.Sale (5-79-W), M.Lindstrom (2)"
20140407,CHA,AL,7,COL,NL,8,1,8,51,DEN02,22550,100,11103101x,31,5,2,0,0,1,0,0,0,2,0,5,0,0,1,0,5,3,8,8,0,0,24,4,1,0,1,0,36,13,3,0,2,8,0,1,0,5,0,6,0,0,1,0,10,4,1,1,1,0,27,12,0,0,1,0,lylej001,paulf001,,paulf001,lylej001,,7,Apr 7,@,COL,"L,1-8",8,13,8,8,0,5,6,2,0,5.08,42,151,92,3,2,0,0,36,3,0,0,0,1,1,1,3,Rob Drake,"F.Paulino (4-19-L), D.Webb (4), J.Petricka (2)"
20140408,CHA,AL,8,COL,NL,9,15,3,54,DEN02,25393,31000362,101010,43,19,1,0,6,15,0,1,1,5,1,6,2,0,2,0,8,3,3,3,0,0,27,16,0,0,2,0,31,7,2,0,1,3,0,1,0,3,0,4,0,0,2,0,5,4,13,13,0,1,27,15,1,0,2,0,quinj001,moraf001,,quinj001,moraf001,,8,Apr 8,@,COL,"W,15-3",9,7,3,3,0,3,4,1,0,4.82,35,119,80,0,0,0,0,31,2,0,0,0,1,0,2,3,Alan Porter,"J.Quintana (4-61-W), R.Belisario (4), D.Veal (5)"
20140409,CHA,AL,9,COL,NL,10,4,10,51,DEN02,22745,20020000,11100106x,34,8,1,0,0,4,0,0,0,2,0,7,1,0,1,0,5,5,10,10,0,0,24,13,1,0,0,0,37,16,3,1,0,10,1,0,1,2,0,7,1,1,0,0,7,6,4,4,0,0,27,13,0,0,1,0,brotr001,downs001,,johne003,nicaj001,,9,Apr 9,@,COL,"L,4-10",8,16,10,10,0,2,7,0,1,5.47,41,154,96,4,3,1,1,37,3,1,0,1,0,0,0,5,Joe West,"E.Johnson (4-38), M.Cleto (3), S.Downs (3-L), R.Belisario (0), J.Petricka (1)"
20140410,CLE,AL,10,CHA,AL,10,3,7,51,CHI12,11116,201000000,01221010x,31,6,2,0,1,2,0,1,0,2,0,6,0,0,2,0,4,5,7,7,1,0,24,4,1,0,0,0,32,9,2,0,3,7,0,0,0,4,0,14,0,0,0,0,5,3,3,3,1,0,27,16,2,0,2,0,dankj001,salad001,,salad001,dankj001,,10,Apr 10,1,CLE,"W,7-3",9,6,3,3,0,2,6,1,0,5.22,34,136,83,0,0,0,0,31,2,0,0,0,1,1,2,3,Phil Cuzzi,"J.Danks (4-50-W), D.Webb (2-H), M.Lindstrom (3)"
