Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20160404,CHA,AL,1,OAK,AL,1,4,3,54,OAK01,35067,4000000,3000000,33,7,1,1,0,2,0,0,2,1,0,6,0,2,0,0,5,5,3,3,0,0,27,9,1,0,0,0,33,7,2,0,0,3,0,0,0,3,0,10,0,0,0,0,6,6,2,2,0,0,27,12,2,0,0,0,salec001,hillr001,robed002,salec001,hillr001,1,Apr 4,@,OAK,"W,4-3",9,7,3,3,0,3,10,0,0,3,36,133,83,2,0,0,0,33,2,0,0,0,0,0,0,5,Tom Hallion,"C.Sale (99-58-W), J.Petricka (99), Z.Duke (99-H), N.Jones (99-H), D.Robertson (99-Sv)"
20160405,CHA,AL,2,OAK,AL,2,5,4,54,OAK01,10478,31001,1010020,38,11,0,0,2,5,0,0,0,2,0,7,0,0,1,0,8,5,4,4,1,0,27,6,0,0,0,0,37,10,3,0,0,4,0,0,2,0,0,10,0,0,0,0,8,5,5,5,0,0,27,10,0,0,1,0,jonen001,dools001,robed002,quinj001,bassc001,2,Apr 5,@,OAK,"W,5-4",9,10,4,4,0,0,10,0,2,3.5,39,150,97,2,1,0,0,37,3,0,0,0,0,0,0,5,Phil Cuzzi,"J.Quintana (99-54), M.Albers (99-H), Z.Duke (0), N.Jones (0-BW), D.Robertson (0-Sv)"
20160406,CHA,AL,3,OAK,AL,3,1,2,51,OAK01,16468,1000000,11000000x,30,6,1,0,0,1,0,1,0,4,0,6,0,0,1,0,7,2,2,2,1,0,24,6,0,0,0,0,30,7,0,0,1,2,0,1,0,3,0,8,0,0,0,0,8,3,1,1,1,0,27,14,0,0,2,0,grays001,rodoc001,madsr001,rodoc001,grays001,3,Apr 6,@,OAK,"L,1-2",8,7,2,2,0,3,8,1,0,3.12,34,121,70,0,0,0,0,30,0,0,0,0,1,0,0,2,Dan Bellino,"C.Rodon (99-60-L), J.Petricka (1)"
20160407,CHA,AL,4,OAK,AL,4,6,1,54,OAK01,12577,2004,1,38,10,1,0,1,6,0,1,0,1,0,9,1,0,0,0,7,5,1,1,2,0,27,7,1,0,0,0,32,4,0,0,0,1,0,0,0,3,0,6,0,0,0,0,7,5,6,6,1,0,27,10,2,0,0,0,latom001,gravk001,,latom001,gravk001,4,Apr 7,@,OAK,"W,6-1",9,4,1,1,0,3,6,0,0,2.57,35,139,89,2,0,0,0,32,0,0,0,0,0,1,0,5,Gabe Morales,"M.Latos (99-71-W), Z.Duke (1-H), M.Albers (1-H), N.Jones (1-H), Z.Putnam (99)"
20160408,CLE,AL,3,CHA,AL,5,7,1,54,CHI12,38019,320020000,100000,34,9,3,1,0,6,0,2,0,2,0,9,0,0,1,0,4,4,1,1,0,0,27,10,0,0,2,0,27,3,0,0,1,1,0,0,1,4,0,9,0,0,2,0,4,3,5,5,0,0,27,10,1,0,1,0,salad001,dankj001,,salad001,dankj001,5,Apr 8,1,CLE,"L,1-7",9,9,7,5,2,2,9,0,0,3.07,38,152,95,0,0,0,0,34,3,1,0,0,2,0,1,3,Todd Tichenor,"J.Danks (99-32-L), D.Jennings (99), Z.Putnam (0)"
20160409,CLE,AL,4,CHA,AL,6,3,7,51,CHI12,20192,2100,00110050x,33,7,0,0,2,3,0,0,0,2,0,9,0,0,0,0,5,4,7,7,2,0,24,8,3,0,0,0,35,10,1,0,2,6,0,0,0,3,1,4,0,0,0,0,7,3,3,3,0,0,27,10,1,0,1,0,salec001,shawb001,,andec002,salec001,6,Apr 9,1,CLE,"W,7-3",9,7,3,3,0,2,9,2,0,3.06,35,130,83,1,0,0,0,33,0,0,0,0,0,0,0,3,Bill Miller,"C.Sale (4-57-W), Z.Duke (1), M.Albers (1)"
20160411,CHA,AL,7,MIN,AL,7,4,1,54,MIN04,40638,10200001,100000,37,9,1,0,0,4,0,0,1,5,0,7,0,0,0,0,12,5,1,1,1,0,27,8,0,0,2,0,31,6,1,0,0,1,0,0,0,3,0,7,0,0,1,0,6,3,2,2,1,0,27,9,1,0,0,0,quinj001,gibsk002,robed002,quinj001,gibsk002,7,Apr 11,@,MIN,"W,4-1",9,6,1,1,0,3,7,0,0,2.76,34,133,82,0,0,0,0,31,1,0,0,0,0,0,1,5,Kerwin Danley,"J.Quintana (5-62-W), M.Albers (1-H), Z.Duke (1-H), N.Jones (3-H), D.Robertson (5-Sv)"
20160413,CHA,AL,8,MIN,AL,8,3,0,54,MIN04,21008,1200,0,35,9,2,0,1,2,0,0,0,0,0,8,0,0,1,0,5,5,0,0,0,0,27,5,0,0,0,0,29,4,1,0,0,0,2,0,0,5,1,9,0,0,0,0,9,4,3,3,0,0,27,11,0,0,1,0,rodoc001,hughp001,robed002,rodoc001,hughp001,8,Apr 13,@,MIN,"W,3-0",9,4,0,0,0,5,9,0,0,2.41,36,151,95,1,0,0,0,29,1,0,1,2,0,0,0,5,Andy Fletcher,"C.Rodon (6-67-W), J.Petricka (6-H), Z.Duke (1), N.Jones (1-H), D.Robertson (1-Sv)"
20160414,CHA,AL,9,MIN,AL,9,3,1,54,MIN04,19736,100100100,100000,34,9,2,0,1,3,1,1,0,1,0,9,1,0,1,0,7,5,1,1,0,0,27,12,1,0,0,0,31,4,1,1,0,1,0,0,1,2,0,6,2,0,0,0,6,4,3,3,0,0,27,8,1,0,1,0,latom001,sante001,robed002,latom001,sante001,9,Apr 14,@,MIN,"W,3-1",9,4,1,1,0,2,6,0,1,2.25,34,142,89,0,0,2,0,31,1,1,0,0,0,0,0,5,Mark Ripperger,"M.Latos (6-65-W), M.Albers (2-H), Z.Duke (0-H), N.Jones (0-H), D.Robertson (0-Sv)"
20160415,CHA,AL,10,TBA,AL,10,1,0,54,STP01,16801,1,0,32,6,2,0,0,1,0,0,0,1,0,10,0,0,1,0,5,1,0,0,0,0,27,5,1,0,0,0,30,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,3,1,1,0,0,27,9,0,0,1,0,salec001,coloa001,,salec001,odorj001,10,Apr 15,@,TBR,"W,1-0",9,2,0,0,0,0,9,0,0,2.02,30,106,71,1,1,0,0,30,0,0,0,0,0,1,0,1,Manny Gonzalez,C.Sale (5-92-W)
