Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20110401,PIT,NL,1,CHN,NL,1,6,3,54,CHI11,41358,40200,101000100,32,7,3,0,2,6,1,0,0,7,0,9,2,0,0,0,7,5,2,2,1,0,27,10,1,0,0,0,38,11,0,0,0,2,0,0,0,2,0,8,0,1,0,0,10,4,6,6,0,0,27,11,0,0,1,0,corrk001,dempr002,hanrj001,corrk001,dempr002,,1,Apr 1,1,PIT,"L,3-6",9,7,6,6,0,7,9,2,0,6,40,154,92,0,0,2,0,32,3,0,0,1,0,0,0,4,Tom Hallion,"R.Dempster (99-41-L), J.Russell (99), J.Grabow (99), J.Samardzija (99)"
20110402,PIT,NL,2,CHN,NL,2,3,5,51,CHI11,35782,101000100,00000005x,30,5,1,0,1,3,1,0,0,4,0,10,0,0,1,0,5,4,2,2,2,0,24,10,1,0,1,0,33,9,4,0,0,4,0,0,0,4,0,3,0,0,1,0,8,4,3,3,0,0,27,7,0,0,1,0,marss002,meeke001,marmc001,mahop002,zambc001,,2,Apr 2,1,PIT,"W,5-3",9,5,3,3,0,4,10,1,0,4.5,35,147,92,0,0,0,0,30,1,0,0,1,0,0,1,4,Bill Miller,"C.Zambrano (99-51), K.Wood (99), S.Marshall (99-W), C.Marmol (99-Sv)"
20110403,PIT,NL,3,CHN,NL,3,5,4,54,CHI11,30857,11010002,211000,40,16,0,0,0,5,1,0,0,1,0,13,0,1,1,0,10,4,4,4,1,0,27,9,1,0,2,0,33,9,1,2,1,4,1,1,0,4,1,5,0,0,2,0,8,3,5,5,0,0,27,11,1,0,2,0,karsj001,marmc001,hanrj001,ohler001,garzm001,,3,Apr 3,1,PIT,"L,4-5",9,16,5,5,0,1,13,0,0,4.67,42,129,95,0,0,0,1,40,0,0,0,1,0,1,1,3,Phil Cuzzi,"M.Garza (99-53), K.Wood (0-H), C.Marmol (0-BL)"
20110404,ARI,NL,3,CHN,NL,4,1,4,51,CHI11,26292,100000000,00110002x,33,8,0,0,1,1,0,0,0,6,1,8,2,1,1,0,11,4,4,4,1,0,24,7,0,0,0,0,31,8,3,0,1,4,0,1,0,3,1,4,0,0,0,0,7,6,1,1,0,0,27,9,1,0,1,0,wellr001,saunj001,marmc001,saunj001,wellr001,,4,Apr 4,1,ARI,"W,4-1",9,8,1,1,0,6,8,1,0,3.75,39,158,91,1,0,2,1,33,0,0,1,0,0,1,1,6,Tim Timmons,"R.Wells (99-58-W), S.Marshall (1-H), M.Mateo (99-H), J.Grabow (2-H), K.Wood (0-H), C.Marmol (0-Sv)"
20110405,ARI,NL,4,CHN,NL,5,5,6,51,CHI11,27039,1000301,02200020x,33,7,0,0,1,5,0,0,0,4,0,7,1,0,1,0,5,5,6,6,0,0,24,7,1,0,1,0,31,10,2,0,1,5,1,0,0,6,1,6,0,0,1,0,8,5,5,5,0,0,27,14,0,0,1,0,russj003,demes001,marss002,enrib001,casha001,,5,Apr 5,1,ARI,"W,6-5",9,7,5,5,0,4,7,1,0,4,37,153,89,6,3,1,0,33,0,0,0,0,0,0,1,5,Jeff Kellogg,"A.Cashner (99-61), J.Samardzija (3-H), M.Mateo (0), J.Russell (3-BW), S.Marshall (0-Sv)"
20110406,ARI,NL,5,CHN,NL,6,6,4,54,CHI11,32272,2030010,200110,39,12,3,1,1,5,0,0,0,0,0,8,1,0,0,0,6,3,4,4,0,0,27,8,0,0,0,0,32,6,0,0,2,4,1,0,0,3,0,7,0,0,0,0,5,3,5,5,0,0,27,11,3,0,0,0,galaa002,dempr002,putzj001,galaa002,dempr002,,6,Apr 6,1,ARI,"L,4-6",9,12,6,5,1,0,8,1,0,4.17,39,117,84,2,0,1,0,39,3,1,0,0,0,1,0,3,Eric Cooper,"R.Dempster (4-45-L), J.Grabow (1), M.Mateo (0)"
20110408,CHN,NL,7,MIL,NL,8,7,4,54,MIL06,34310,501001,20110000,40,12,2,0,2,7,0,0,0,1,0,8,0,0,1,0,7,4,4,4,0,0,27,9,0,0,0,0,32,8,0,0,1,4,1,1,0,4,0,8,0,0,0,0,7,4,3,3,1,0,27,11,2,0,1,0,zambc001,wolfr001,marmc001,zambc001,wolfr001,,7,Apr 8,@,MIL,"W,7-4",9,8,4,4,0,4,8,1,0,4.14,38,155,97,0,0,0,0,32,0,0,0,1,1,0,0,4,CB Bucknor,"C.Zambrano (5-44-W), S.Marshall (2-H), K.Wood (3-H), C.Marmol (3-Sv)"
20110409,CHN,NL,8,MIL,NL,9,0,6,51,MIL06,42478,0,20201001x,32,6,1,0,0,0,0,0,0,2,0,10,0,0,2,0,7,4,6,6,0,0,24,7,0,0,0,0,30,8,4,1,0,6,2,0,0,7,1,12,2,0,0,0,9,3,0,0,1,0,27,9,0,0,2,0,narvc001,garzm001,,garzm001,narvc001,,8,Apr 9,@,MIL,"L,0-6",8,8,6,6,0,7,12,0,0,4.44,39,157,96,3,0,2,0,30,4,1,1,2,0,0,0,4,Dan Iassogna,"M.Garza (5-38-L), J.Grabow (2), M.Mateo (2), J.Samardzija (3)"
20110410,CHN,NL,9,MIL,NL,10,5,6,51,MIL06,37193,211000100,20200002x,33,11,6,0,0,5,2,0,0,6,0,4,0,1,2,0,9,4,6,6,0,0,24,11,0,0,0,0,31,11,2,0,3,6,3,0,1,2,0,4,0,1,0,0,7,6,5,5,1,0,27,13,0,0,2,0,loe-k001,woodk002,axfoj001,colec001,gally001,,9,Apr 10,@,MIL,"L,5-6",8,11,6,6,0,2,4,3,1,4.67,37,125,76,0,0,0,1,31,2,0,0,3,0,0,0,4,Dale Scott,"C.Coleman (99-34), M.Mateo (0), S.Marshall (1-H), K.Wood (1-BL)"
20110411,CHN,NL,10,HOU,NL,10,5,4,54,HOU03,20175,220100000,10300,34,8,1,1,0,5,0,0,0,6,0,7,1,0,0,0,8,4,4,4,0,0,27,9,1,0,0,0,37,10,1,0,2,4,1,0,0,5,0,13,1,0,0,0,12,6,5,5,1,0,27,13,0,0,1,0,dempr002,figun001,marmc001,dempr002,figun001,,10,Apr 11,@,HOU,"W,5-4",9,10,4,4,0,5,13,2,0,4.6,43,175,108,2,0,1,0,37,1,0,0,1,0,1,0,4,Gary Darling,"R.Dempster (4-51-W), J.Grabow (1-H), S.Marshall (0-H), C.Marmol (2-Sv)"
