Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20160404,CHN,NL,1,ANA,AL,1,9,0,54,ANA01,44020,100202103,0,37,11,3,0,1,9,0,0,0,7,1,12,0,0,1,0,8,3,0,0,0,0,27,9,0,0,1,0,29,3,1,0,0,0,0,0,0,1,0,7,0,0,0,0,3,5,9,9,0,0,27,8,1,0,1,0,arrij001,richg002,,arrij001,richg002,1,Apr 4,@,LAA,"W,9-0",9,3,0,0,0,1,7,0,0,0,30,109,80,0,0,0,0,29,1,0,0,0,0,0,0,3,Ted Barrett,"J.Arrieta (99-78-W), J.Grimm (99), T.Wood (99)"
20160405,CHN,NL,2,ANA,AL,2,6,1,54,ANA01,37042,4000200,1000,36,9,1,0,3,6,0,0,0,0,0,9,0,0,0,0,3,4,1,1,0,0,27,13,1,0,0,0,32,4,1,0,0,1,0,0,0,0,0,6,0,0,0,0,4,5,6,6,0,0,27,9,0,0,0,0,lestj001,heana001,,lestj001,heana001,2,Apr 5,@,LAA,"W,6-1",9,4,1,1,0,0,6,0,0,0.5,32,119,80,1,0,0,0,32,1,0,0,0,0,1,0,4,Angel Hernandez,"J.Lester (99-69-W), T.Cahill (99), T.Wood (0), P.Strop (99)"
20160407,CHN,NL,3,ARI,NL,4,14,6,54,PHO01,24656,22500104,312000000,41,14,3,2,1,11,0,0,1,10,0,5,1,0,0,0,11,4,6,6,0,0,27,8,0,0,1,0,33,8,2,1,2,6,0,1,0,2,0,10,0,0,1,0,3,5,13,13,1,0,27,9,2,0,0,0,lackj001,delar003,,lackj001,delar003,3,Apr 7,@,ARI,"W,14-6",9,8,6,6,0,2,10,2,0,2.33,36,124,85,0,0,0,0,33,2,1,0,0,1,0,1,4,Adrian Johnson,"J.Lackey (99-35-W), P.Strop (1), T.Wood (1), H.Rondon (99)"
20160408,CHN,NL,4,ARI,NL,5,2,3,53,PHO01,27539,2000000,1011,30,5,2,0,0,2,0,0,1,4,0,6,0,0,1,0,6,5,3,3,0,0,26,12,1,0,1,0,31,8,2,0,0,3,0,0,0,3,0,8,2,0,1,0,5,4,2,2,0,0,27,13,0,0,2,0,ziegb001,cahit001,,hammj002,ray-r002,4,Apr 8,@,ARI,"L,2-3",8.2,8,3,3,0,3,8,0,0,2.52,34,132,76,0,0,2,0,31,2,0,0,0,0,0,1,5,Gary Cederstrom,"J.Hammel (99-63), J.Grimm (3-H), P.Strop (0-BSv), T.Wood (0), T.Cahill (2-L)"
20160409,CHN,NL,5,ARI,NL,6,4,2,54,PHO01,32185,300100000,100100,35,10,4,0,0,4,0,1,1,5,1,10,0,0,2,0,11,3,2,2,1,0,27,12,0,0,0,0,30,4,1,0,0,1,1,0,0,1,0,7,2,0,0,0,3,4,4,4,0,0,27,10,1,0,2,0,hendk001,greiz001,rondh001,hendk001,greiz001,5,Apr 9,@,ARI,"W,4-2",9,4,2,2,0,1,7,0,0,2.42,32,124,81,1,0,2,0,30,1,0,0,1,0,0,0,3,Eric Cooper,"K.Hendricks (99-62-W), A.Warren (99-H), H.Rondon (1-Sv)"
20160410,CHN,NL,6,ARI,NL,7,7,3,54,PHO01,33258,20101210,210000,37,12,2,0,2,7,0,1,1,5,1,11,1,0,1,0,10,3,3,3,0,0,27,13,0,0,0,0,35,8,2,0,2,3,0,0,0,0,0,9,0,0,0,0,5,4,7,7,1,0,27,4,0,0,1,0,arrij001,mills001,,arrij001,mills001,6,Apr 10,@,ARI,"W,7-3",9,8,3,3,0,0,9,2,0,2.52,35,122,86,0,0,0,0,35,2,0,0,0,0,0,0,3,Jim Wolf,"J.Arrieta (5-55-W), J.Grimm (1), N.Ramirez (99)"
20160411,CIN,NL,7,CHN,NL,7,3,5,51,CHI11,40882,101100000,00000023x,33,7,1,0,1,3,0,0,0,2,0,9,1,0,1,0,5,4,5,5,2,0,24,10,1,1,0,0,27,3,0,0,1,5,1,0,1,7,0,5,0,0,0,0,7,4,3,3,0,0,27,14,0,0,1,0,warra001,cingt001,rondh001,finnb001,lestj001,7,Apr 11,1,CIN,"W,5-3",9,7,3,3,0,2,9,1,0,2.59,35,144,95,0,0,1,0,33,1,0,0,0,0,0,1,4,John Tumpane,"J.Lester (5-53), T.Cahill (2), A.Warren (1-W), H.Rondon (1-Sv)"
20160413,CIN,NL,8,CHN,NL,8,2,9,51,CHI11,36496,100000100,50220000x,30,7,1,1,0,2,0,1,0,4,0,7,1,0,3,0,6,6,9,9,2,0,24,4,0,0,0,0,31,8,1,0,1,8,0,1,1,10,0,9,2,0,0,0,10,4,2,2,0,0,27,10,0,0,3,0,lackj001,simoa001,,simoa001,lackj001,8,Apr 13,1,CIN,"W,9-2",9,7,2,2,0,4,7,0,0,2.51,35,121,79,1,0,1,0,30,1,1,0,0,1,0,3,4,Jeff Kellogg,"J.Lackey (5-58-W), T.Cahill (1), C.Richard (99), N.Ramirez (2)"
20160414,CIN,NL,9,CHN,NL,9,1,8,51,CHI11,34898,1,01002005x,32,6,3,0,0,1,0,0,0,4,0,6,0,0,0,0,8,5,7,7,0,0,24,9,2,0,1,0,33,11,1,0,1,7,0,1,0,5,0,4,0,1,0,0,7,4,1,1,0,0,27,10,0,0,0,0,hammj002,igler001,,igler001,hammj002,9,Apr 14,1,CIN,"W,8-1",9,6,1,1,0,4,6,0,0,2.34,36,131,83,0,0,0,0,32,3,0,0,0,0,0,0,4,Brian O'Nora,"J.Hammel (5-63-W), T.Wood (5-H), P.Strop (5-H), J.Grimm (3)"
20160415,COL,NL,10,CHN,NL,10,6,1,54,CHI11,34437,10002120,100,38,11,0,0,0,3,0,0,0,3,2,8,3,0,2,0,8,4,1,1,0,0,27,10,1,0,0,0,30,4,0,0,0,1,0,0,0,4,0,7,0,1,0,0,6,4,3,3,1,0,27,14,4,1,2,0,bettc001,hendk001,,bettc001,hendk001,10,Apr 15,1,COL,"L,1-6",9,11,6,3,3,3,8,0,0,2.41,41,144,103,3,2,3,0,38,0,0,2,0,0,2,2,4,John Hirschbeck,"K.Hendricks (5-47-L), T.Cahill (1), C.Richard (1), N.Ramirez (1)"
