Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20130401,ANA,AL,1,CIN,NL,1,3,1,78,CIN09,43168,10000000002,10000000000,45,6,0,1,1,3,1,0,1,7,2,17,0,0,0,0,12,7,1,1,1,0,39,14,3,0,0,0,42,3,1,0,0,0,2,0,1,5,2,13,0,0,0,0,10,5,3,3,0,0,39,13,1,0,0,0,lowem002,hoovj002,friee001,weavj003,cuetj001,1,Apr 1,1,LAA,"L,1-3",13,6,3,3,0,7,17,1,1,2.08,54,220,133,0,0,0,0,45,0,1,2,1,0,1,0,5,Dale Scott,"J.Cueto (99-74), J.Broxton (99), A.Chapman (99), S.LeCure (99), J.Hoover (99-L)"
20130403,ANA,AL,2,CIN,NL,2,4,5,52,CIN09,35257,10210,400001,34,9,1,0,2,4,0,0,0,3,0,10,0,1,2,0,6,5,4,4,0,0,25,7,2,0,0,0,31,6,1,0,1,5,1,0,1,6,2,9,1,0,0,0,9,4,3,3,0,0,27,10,1,0,2,0,chapa001,downs001,,wilsc004,latom001,2,Apr 3,1,LAA,"W,5-4",9,9,4,3,1,3,10,2,0,2.45,37,141,96,0,0,0,1,34,1,0,0,0,0,1,2,4,Bill Miller,"M.Latos (99-55), J.Hoover (1-H), J.Broxton (1-BSv), A.Chapman (1-W)"
20130404,ANA,AL,3,CIN,NL,3,4,5,51,CIN09,23795,2010100,11012000x,36,11,4,0,0,4,1,1,1,1,0,9,0,0,0,0,9,3,4,4,0,0,24,4,1,0,0,0,30,7,2,0,3,5,0,1,0,1,0,5,0,0,0,0,3,4,4,4,0,0,27,9,0,0,0,0,arrob001,blanj001,chapa001,blanj001,arrob001,3,Apr 4,1,LAA,"W,5-4",9,11,4,4,0,1,9,0,1,2.9,40,140,95,0,0,0,0,36,4,0,0,1,1,0,0,4,CB Bucknor,"B.Arroyo (99-48-W), A.Simon (99-H), S.LeCure (2-H), A.Chapman (0-Sv)"
20130405,WAS,NL,4,CIN,NL,4,0,15,51,CIN09,28102,0,02311071x,31,5,3,0,0,0,0,0,0,4,0,7,0,0,0,0,8,4,14,14,1,0,24,6,2,0,1,0,42,19,3,0,6,15,0,1,1,1,0,10,1,0,1,0,6,3,0,0,0,0,27,8,0,0,1,0,bailh001,hared001,,hared001,bailh001,4,Apr 5,1,WSN,"W,15-0",9,5,0,0,0,4,7,0,0,2.25,35,142,85,0,0,0,0,31,3,0,0,0,0,0,0,3,Jordan Baker,"H.Bailey (99-71-W), M.Parra (99), J.Hoover (1)"
20130406,WAS,NL,5,CIN,NL,5,7,6,66,CIN09,34762,200210002,10002201,42,10,2,0,5,7,0,0,0,4,1,9,0,0,1,0,6,5,4,4,1,0,33,13,3,0,2,0,45,13,3,1,1,4,1,0,2,2,1,9,0,0,2,0,11,6,7,7,0,0,33,12,0,0,1,0,stamc001,hoovj002,,detwr001,leakm001,5,Apr 6,1,WSN,"L,6-7",11,10,7,7,0,4,9,5,0,3,46,162,99,0,0,0,0,42,2,0,1,0,0,0,1,6,Tim McClelland,"M.Leake (99-44), S.LeCure (1), A.Simon (1), J.Broxton (2), A.Chapman (1), J.Hoover (0-L)"
20130407,WAS,NL,6,CIN,NL,6,3,6,51,CIN09,32514,30000000,30000300x,34,8,4,0,1,3,0,0,0,3,0,10,0,0,1,0,7,3,6,6,0,0,24,10,1,0,0,0,37,11,1,0,0,6,0,0,0,6,1,7,1,0,0,0,13,4,3,3,0,0,27,10,0,1,1,0,cuetj001,stras001,chapa001,stras001,cuetj001,6,Apr 7,1,WSN,"W,6-3",9,8,3,3,0,3,10,1,0,3,37,149,100,0,0,0,0,34,4,0,0,0,0,0,1,4,Jerry Meals,"J.Cueto (5-49-W), S.Marshall (99-H), J.Broxton (0-H), A.Chapman (0-Sv)"
20130408,CIN,NL,7,SLN,NL,7,13,4,54,STL10,47345,101119,200101000,42,14,4,0,1,13,0,0,1,8,2,12,0,0,0,0,11,4,1,1,1,0,27,8,2,0,1,0,32,4,1,0,0,1,0,0,0,2,0,8,0,0,1,0,3,5,12,11,2,0,27,10,1,0,0,0,lecus001,boggm001,,latom001,garcj004,7,Apr 8,@,STL,"W,13-4",9,4,4,1,3,2,8,0,0,2.74,34,141,87,0,0,0,0,32,1,0,0,0,0,2,1,4,Lance Barksdale,"M.Latos (4-58), A.Simon (1), S.LeCure (1-W), J.Hoover (1)"
20130409,CIN,NL,8,SLN,NL,8,1,5,51,STL10,37731,100000,00000401x,30,5,0,0,0,1,0,1,0,1,0,14,0,0,1,0,4,2,5,5,1,0,24,9,0,0,0,0,32,9,3,0,1,4,0,0,0,1,1,3,0,0,0,0,4,4,1,1,0,0,27,8,0,0,1,0,lynnl001,arrob001,,arrob001,lynnl001,8,Apr 9,@,STL,"L,1-5",8,9,5,5,0,1,3,1,0,3.04,33,118,78,0,0,0,0,32,3,0,1,0,0,0,0,2,Vic Carapazza,"B.Arroyo (4-47-L), M.Parra (3)"
20130410,CIN,NL,9,SLN,NL,9,0,10,51,STL10,34882,0,00004420x,29,5,1,0,0,0,1,0,1,4,0,3,0,1,1,0,8,3,10,10,0,0,24,10,0,0,1,0,36,14,4,0,4,10,1,0,0,4,0,5,0,0,1,0,7,1,0,0,0,0,27,15,0,0,1,0,westj001,bailh001,,bailh001,westj001,9,Apr 10,@,STL,"L,0-10",8,14,10,10,0,4,5,4,0,3.81,41,136,86,1,1,0,0,36,4,0,0,1,0,0,1,3,Jeff Nelson,"H.Bailey (4-20-L), L.Ondrusek (99), A.Simon (1)"
20130412,CIN,NL,10,PIT,NL,10,5,6,51,PIT08,24366,10101200,14000010x,35,8,1,0,2,5,0,0,0,5,0,12,0,0,0,0,8,4,6,6,0,0,24,13,0,1,2,0,33,12,1,0,1,6,1,0,1,3,0,4,1,0,2,0,8,4,5,5,2,0,27,10,0,0,0,0,watst001,hoovj002,grilj001,leakm001,burna001,10,Apr 12,@,PIT,"L,5-6",8,12,6,6,0,3,4,1,1,4.06,38,135,83,3,0,1,0,33,1,0,0,1,0,0,2,4,Jerry Layne,"M.Leake (5-32), J.Hoover (3-L), M.Parra (2), L.Ondrusek (1)"
