Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20120405,TOR,AL,1,CLE,AL,1,7,4,96,CLE08,43190,1.00003E+12,4E+14,56,10,3,0,2,7,0,1,1,7,1,16,0,0,3,0,10,8,4,4,0,0,48,20,1,0,3,0,49,7,2,0,1,4,1,0,1,11,0,12,0,1,3,0,10,6,7,7,1,0,48,22,0,0,3,0,perel001,valdl001,,romer002,mastj001,,1,Apr 5,1,TOR,"L,4-7",16,10,7,7,0,7,16,2,1,3.94,65,260,161,3,0,0,0,56,3,0,1,0,1,0,3,6,Tim Welke,"J.Masterson (99-83), C.Perez (99-BSv), V.Pestano (99), J.Smith (99), T.Sipp (99), J.Asencio (99-L)"
20120407,TOR,AL,2,CLE,AL,2,7,4,72,CLE08,18842,201004,20001001,44,8,2,0,1,7,0,0,1,4,0,8,1,0,0,0,6,5,2,2,0,0,36,19,1,0,1,0,40,5,0,0,2,4,0,0,0,3,0,5,0,0,1,0,3,7,7,7,1,0,36,10,0,0,0,0,jansc001,sippt001,,morrb001,jimeu001,,2,Apr 7,1,TOR,"L,4-7",12,8,7,7,0,4,8,1,1,4.5,49,197,121,3,1,1,0,44,2,0,0,0,0,0,0,7,Mark Carlson,"U.Jimenez (99-67), J.Smith (1), V.Pestano (1), R.Perez (99), C.Perez (1), T.Sipp (1-L), D.Wheeler (99)"
20120408,TOR,AL,3,CLE,AL,3,3,4,51,CLE08,10518,200010,02002000x,36,9,2,0,0,3,0,1,0,2,0,5,0,0,1,0,9,3,4,4,0,0,24,12,1,0,1,0,29,6,0,0,2,4,0,0,0,6,0,5,1,1,1,0,7,4,1,1,0,0,27,15,2,0,1,0,lowed001,carrj002,perec002,carrj002,lowed001,,3,Apr 8,1,TOR,"W,4-3",9,9,3,1,2,2,5,0,0,3.65,39,152,101,2,0,0,0,36,2,0,0,0,1,2,1,4,Mike Everitt,"D.Lowe (99-63-W), J.Smith (0-H), V.Pestano (0-H), C.Perez (0-Sv)"
20120409,CHA,AL,4,CLE,AL,4,4,2,54,CLE08,9473,300010000,1001,37,11,3,0,2,4,0,0,0,3,0,10,0,1,0,0,9,4,2,2,0,0,27,12,1,0,1,0,32,5,0,0,1,2,0,0,1,2,0,7,1,0,1,0,6,4,4,4,1,0,27,7,0,0,0,0,salec001,tomlj001,santh001,salec001,tomlj001,,4,Apr 9,1,CHW,"L,2-4",9,11,4,4,0,3,10,2,0,3.72,40,161,103,0,0,0,1,37,3,0,0,0,0,0,0,4,Vic Carapazza,"J.Tomlin (99-43-L), J.Asencio (3), D.Wheeler (1), R.Perez (1)"
20120411,CHA,AL,5,CLE,AL,5,10,6,54,CLE08,9072,400015000,100120200,37,11,2,0,2,9,1,1,0,3,1,6,0,0,1,0,5,4,6,6,3,0,27,11,1,0,0,0,37,10,2,0,2,5,1,0,0,6,0,9,0,0,0,0,11,5,8,8,1,0,27,12,2,0,1,0,dankj001,mastj001,,dankj001,mastj001,,5,Apr 11,1,CHW,"L,6-10",9,11,10,8,2,3,6,2,0,4.42,42,173,101,1,1,0,0,37,2,0,1,1,1,2,1,5,Gerry Davis,"J.Masterson (5-36-L), D.Wheeler (1), R.Perez (1), J.Gomez (99), J.Asencio (1)"
20120413,CLE,AL,6,KCA,AL,7,8,3,54,KAN06,40230,700000001,100200000,38,11,2,1,1,8,0,0,0,3,0,8,2,0,1,0,6,4,3,3,2,0,27,12,0,0,3,0,36,12,2,0,0,3,0,0,0,1,0,5,0,0,3,0,7,3,8,8,1,0,27,5,1,0,1,0,lowed001,hochl001,,lowed001,hochl001,,6,Apr 13,@,KCR,"W,8-3",9,12,3,3,0,1,5,0,0,4.22,37,128,82,2,0,0,0,36,2,0,0,0,0,0,3,4,Paul Emmel,"D.Lowe (4-42-W), T.Sipp (5-H), J.Smith (4), V.Pestano (4)"
20120414,CLE,AL,7,KCA,AL,8,11,9,60,KAN06,21788,51300002,20222100,42,14,4,1,2,11,0,1,1,6,2,6,1,1,0,0,9,8,8,8,1,0,30,15,2,0,2,0,39,11,5,1,1,8,0,1,1,1,0,4,0,1,2,0,3,7,11,11,0,0,30,14,0,0,0,0,valdl001,hollg001,perec002,gomej002,sancj002,,7,Apr 14,@,KCR,"W,11-9",10,11,9,8,1,1,4,1,1,4.62,42,155,106,6,3,0,1,39,5,1,0,0,1,2,2,8,Gary Darling,"J.Gomez (2-52), J.Tomlin (4), R.Perez (2), J.Smith (0-H), T.Sipp (0-H), V.Pestano (0-BSv), J.Asencio (2-W), C.Perez (5-Sv)"
20120415,CLE,AL,8,KCA,AL,9,13,7,54,KAN06,21182,6040030,30101002,40,15,3,0,4,13,0,0,0,7,1,6,1,0,2,0,7,5,7,7,2,1,27,10,0,0,0,0,40,13,4,1,0,7,0,0,0,4,0,7,1,0,0,0,10,4,9,9,0,0,27,11,1,0,2,0,jimeu001,mendl001,,jimeu001,mendl001,,8,Apr 15,@,KCR,"W,13-7",9,13,7,7,0,4,7,0,0,4.88,44,175,107,1,0,1,0,40,4,1,0,0,0,0,0,5,Jerry Meals,"U.Jimenez (7-35-W), R.Perez (0), D.Wheeler (3), T.Sipp (0), J.Asencio (0)"
20120417,CLE,AL,9,SEA,AL,12,9,8,54,SEA03,12461,100070100,2600000,39,13,2,0,1,9,0,1,0,5,0,9,1,0,0,0,9,6,8,8,0,0,27,8,1,0,1,0,36,10,0,0,1,8,0,1,1,7,0,5,0,0,1,0,10,6,8,7,1,0,27,5,1,0,1,0,perer002,furbc001,perec002,mastj001,millk004,,9,Apr 17,@,SEA,"W,9-8",9,10,8,8,0,7,5,1,1,5.18,45,178,103,2,0,0,0,36,0,0,0,0,1,1,1,6,Bill Miller,"J.Masterson (5-12), N.Hagadone (99), R.Perez (1-W), J.Smith (2-H), V.Pestano (2-H), C.Perez (2-Sv)"
20120418,CLE,AL,10,SEA,AL,13,1,4,51,SEA03,11343,1000000,21010000x,29,4,1,0,0,1,1,1,0,4,0,9,0,0,0,0,7,4,4,4,0,0,24,11,0,0,2,0,29,8,1,0,2,4,0,0,0,7,0,3,0,1,1,0,8,3,1,1,0,0,27,9,1,0,0,0,vargj001,lowed001,leagb001,lowed001,vargj001,,10,Apr 18,@,SEA,"L,1-4",8,8,4,4,0,7,3,2,0,5.13,36,166,96,2,0,0,1,29,1,0,0,0,0,0,1,4,Angel Campos,"D.Lowe (4-25-L), J.Asencio (2), N.Hagadone (0), D.Wheeler (2)"
