Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20140331,CLE,AL,1,OAK,AL,1,2,0,54,OAK01,36067,2,0,33,8,2,0,0,2,1,1,1,4,0,12,0,0,0,0,11,4,0,0,2,0,27,8,0,0,0,0,31,5,1,0,0,0,1,0,0,4,0,7,0,0,0,0,9,5,2,2,0,0,27,8,0,0,0,0,allec002,johnj010,axfoj001,mastj001,grays001,1,Mar 31,@,OAK,"W,2-0",9,5,0,0,0,4,7,0,0,0,36,141,88,1,0,0,0,31,1,0,0,1,0,0,0,4,Mike Winters,"J.Masterson (99-74), M.Rzepczynski (99), C.Allen (99-W), J.Axford (99-Sv)"
20140402,CLE,AL,2,OAK,AL,2,1,6,51,OAK01,15134,1,12200100x,32,5,2,0,0,1,0,0,0,0,0,5,0,0,1,0,4,5,6,6,0,0,24,9,1,0,0,0,35,12,2,0,1,6,1,1,0,5,0,6,1,0,0,0,12,2,1,1,2,0,27,11,1,0,1,0,kazms001,klubc001,,klubc001,kazms001,2,1,@,OAK,"L,1-6",8,12,6,6,0,5,6,1,0,3.18,42,172,101,2,0,1,0,35,2,0,0,1,1,1,0,5,Mark Wegner,"C.Kluber (99-23-L), S.Atchison (99), V.Pestano (99), B.Wood (99), J.Outman (99)"
20140402,CLE,AL,3,OAK,AL,3,6,4,54,OAK01,12198,200103,200100100,35,9,1,0,1,6,0,1,1,7,1,4,3,0,0,0,11,5,3,3,2,0,27,8,1,0,2,0,33,7,1,1,0,4,0,0,0,6,1,8,1,0,2,0,8,6,6,6,0,0,27,4,1,0,0,0,allec002,johnj010,axfoj001,mcalz001,lindj004,3,1,@,OAK,"W,6-4",9,7,4,3,1,6,8,0,0,3.12,39,160,96,1,0,1,0,33,1,1,1,0,0,1,2,5,Andy Fletcher,"Z.McAllister (99-38), M.Rzepczynski (1), B.Shaw (99), C.Allen (1-W), J.Axford (1-Sv)"
20140404,MIN,AL,4,CLE,AL,4,2,7,51,CLE08,41274,200000000,00000340x,33,9,3,0,1,2,0,1,0,3,1,11,0,1,0,0,8,4,7,7,0,0,24,12,0,0,0,0,33,10,3,0,2,7,1,0,0,4,1,5,0,0,0,0,7,5,2,2,0,0,27,7,0,0,1,0,outmj001,pelfm001,,pelfm001,salad001,4,Apr 4,1,MIN,"W,7-2",9,9,2,2,0,3,11,1,0,2.83,37,148,92,0,0,0,1,33,3,0,1,0,1,0,0,5,Chris Conroy,"D.Salazar (99-48), J.Outman (1-W), B.Shaw (1-H), C.Allen (1), B.Wood (1)"
20140405,MIN,AL,5,CLE,AL,5,7,3,54,CLE08,14153,302000002,1000002,36,10,2,0,1,5,0,0,2,4,0,12,0,0,0,0,8,4,3,3,1,0,27,12,0,0,2,0,29,5,2,0,0,2,0,1,0,6,0,4,0,0,2,0,6,4,6,6,1,0,27,12,0,2,0,0,gibsk002,carrc003,,gibsk002,carrc003,5,Apr 5,1,MIN,"L,3-7",9,10,7,6,1,4,12,1,2,3.48,42,143,85,1,0,0,0,36,2,0,0,0,0,0,0,4,Jordan Baker,"C.Carrasco (99-42-L), S.Atchison (2), J.Outman (0), V.Pestano (2)"
20140406,MIN,AL,6,CLE,AL,6,10,7,54,CLE08,13104,23103001,20311000,32,9,3,0,0,8,1,1,3,8,1,8,2,0,3,0,8,6,7,7,0,0,27,12,0,0,2,0,40,15,4,0,1,7,0,0,0,6,0,4,0,0,2,0,12,6,9,9,0,0,27,13,1,0,3,0,swara001,woodb004,perkg001,nolar001,mastj001,6,Apr 6,1,MIN,"L,7-10",9,9,10,9,1,8,8,0,3,4.42,45,194,106,2,0,2,0,32,3,0,1,1,1,1,3,6,Jerry Meals,"J.Masterson (5-26), S.Atchison (0), B.Wood (1-L), M.Rzepczynski (3), B.Shaw (1), J.Axford (3)"
20140408,SDN,NL,7,CLE,AL,7,6,8,51,CLE08,9029,201003,00330200x,42,15,6,1,1,5,0,0,0,0,0,12,0,1,0,0,9,3,3,3,2,0,24,12,2,1,2,0,31,8,2,0,1,8,0,1,0,5,0,5,2,0,2,0,5,6,4,4,0,0,27,6,3,0,0,0,klubc001,rosst001,axfoj001,rosst001,klubc001,7,Apr 8,1,SDP,"W,8-6",9,15,6,4,2,0,12,1,0,4.35,42,170,112,3,0,0,1,42,6,1,0,0,0,1,0,6,John Tumpane,"C.Kluber (5-50-W), M.Rzepczynski (1), J.Outman (2), C.Allen (3), V.Pestano (2), J.Axford (1-Sv)"
20140409,SDN,NL,8,CLE,AL,8,0,2,51,CLE08,0,0,00000200x,33,6,3,0,0,0,0,0,0,1,0,10,0,0,0,0,7,3,1,1,0,0,24,10,1,0,1,0,29,5,1,0,1,2,0,0,0,3,0,4,0,0,1,0,6,3,0,0,1,0,27,6,0,0,0,0,mcalz001,stule002,axfoj001,stule002,mcalz001,8,1,1,SDP,"W,2-0",9,6,0,0,0,1,10,0,0,3.8,34,120,84,2,0,0,0,33,3,0,0,0,0,0,0,3,Brian O'Nora,"Z.McAllister (6-76-W), C.Allen (0-H), J.Axford (0-Sv)"
20140409,SDN,NL,9,CLE,AL,9,2,1,54,CLE08,9930,100001000,1000000,31,5,1,0,0,2,1,0,1,2,0,10,2,1,0,0,6,4,1,1,1,0,27,6,0,0,0,0,32,6,1,0,0,1,0,1,0,2,0,8,1,0,0,0,7,4,1,1,0,0,27,8,1,0,0,0,erlir001,bauet001,streh001,erlir001,bauet001,9,1,1,SDP,"L,1-2",9,5,2,1,1,2,10,0,1,3.49,35,129,87,0,0,2,1,31,1,0,0,1,0,1,0,4,James Hoye,"T.Bauer (99-64-L), B.Shaw (2), M.Rzepczynski (0), S.Atchison (2)"
20140410,CLE,AL,10,CHA,AL,10,3,7,51,CHI12,11116,201000000,01221010x,31,6,2,0,1,2,0,1,0,2,0,6,0,0,2,0,4,5,7,7,1,0,24,4,1,0,0,0,32,9,2,0,3,7,0,0,0,4,0,14,0,0,0,0,5,3,3,3,1,0,27,16,2,0,2,0,dankj001,salad001,,salad001,dankj001,10,Apr 10,@,CHW,"L,3-7",8,9,7,7,0,4,14,3,0,3.89,36,157,96,2,0,0,0,32,2,0,0,0,0,0,0,5,Phil Cuzzi,"D.Salazar (5-37-L), J.Outman (1), C.Lee (99), B.Wood (3), S.Atchison (0)"
