Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev,WHIP,KPercent,BBPercent,BABIP
20100405,CLE,AL,1,CHA,AL,1,0,6,51,CHI12,38935,30,4,0,0,0,0,0,0,0,1,0,7,0,0,1,0,4,4,6,6,4,0,24,14,0,0,1,0,28,6,2,0,2,4,0,0,2,5,0,4,0,1,1,0,5,3,0,0,0,0,27,9,0,0,1,0,buehm001,westj001,,westj001,buehm001,,1,Apr 5,@,CHW,"L,0-6",8.0,6,6,6,0,5,4,2,2,6.75,35,144,82,3,1,0,1,28,2,0,0,0,0,0,1,4,Gary Darling,"J.Westbrook (99-29-L), A.Laffey (99), J.Lewis (99), T.Sipp (99)",0.13333333333333333,0.21428571428571427,0.16129032258064516,0.37142857142857144,0.13333333333333333,0.5,0.2946236559139785,0.8714285714285714,0.0,,1.375,0.11428571428571428,0.14285714285714285,0.18181818181818182
20100407,CLE,AL,2,CHA,AL,2,5,3,54,CHI12,19514,36,10,2,0,0,5,0,0,2,6,1,8,3,1,0,0,12,4,3,3,0,0,27,12,0,0,2,0,26,2,0,0,1,3,0,1,0,7,0,2,2,0,2,0,4,5,5,5,0,0,27,9,0,0,0,0,carmf001,willr003,perec002,carmf001,peavj001,,2,Apr 7,@,CHW,"W,5-3",9.0,2,3,3,0,7,2,1,0,4.76,34,145,78,0,0,2,0,26,0,0,0,0,1,0,2,4,Bill Hohn,"R.Hernandez (99-53-W), A.Laffey (1-H), J.Smith (99-H), C.Perez (99-Sv)",0.2777777777777778,0.07692307692307693,0.4090909090909091,0.2647058823529412,0.3333333333333333,0.19230769230769232,0.7424242424242424,0.4570135746606335,1.0,0.0,1.0,0.058823529411764705,0.20588235294117646,0.041666666666666664
20100408,CLE,AL,3,CHA,AL,3,5,3,66,CHI12,18637,41,11,4,0,0,5,3,0,0,4,1,16,1,0,1,0,10,7,3,3,1,0,33,12,0,0,0,0,37,6,0,0,1,3,2,0,1,7,1,12,1,0,0,0,11,6,5,5,1,0,33,12,2,0,1,0,lewij003,putzj001,perec002,mastj001,floyg001,,3,Apr 8,@,CHW,"W,5-3",11.0,6,3,3,0,7,12,1,1,3.86,47,194,123,3,1,1,0,37,0,0,1,2,0,0,0,7,Bruce Dreckman,"J.Masterson (99-58), J.Wright (99-H), T.Sipp (2-H), J.Smith (0-BSv), R.Perez (99), J.Lewis (2-W), C.Perez (0-Sv)",0.2682926829268293,0.16216216216216217,0.3333333333333333,0.3111111111111111,0.36585365853658536,0.24324324324324326,0.6991869918699187,0.5543543543543543,1.0,1.0,1.1818181818181819,0.2553191489361702,0.14893617021276595,0.20833333333333334
20100409,CLE,AL,4,DET,AL,4,2,5,51,DET05,45010,30,7,1,1,1,2,0,0,0,4,0,6,1,1,3,0,5,2,2,2,0,0,24,7,1,0,0,0,32,7,2,0,0,2,0,0,0,3,0,2,1,0,0,0,6,4,2,2,1,0,27,10,0,0,3,0,porcr001,huffd001,valvj001,huffd001,porcr001,,4,Apr 9,@,DET,"L,2-5",8.0,7,5,2,3,3,2,0,0,3.5,35,134,86,0,0,1,0,32,2,0,0,0,0,1,0,2,Paul Nauert,"D.Huff (99-50-L), J.Wright (0)",0.23333333333333334,0.21875,0.3235294117647059,0.2857142857142857,0.43333333333333335,0.28125,0.7568627450980392,0.5669642857142857,0.0,1.0,1.25,0.05714285714285714,0.08571428571428572,0.23333333333333334
20100410,CLE,AL,5,DET,AL,5,2,4,51,DET05,35332,30,3,0,0,0,1,0,0,2,3,0,9,0,0,0,0,6,4,4,4,0,0,24,9,0,0,2,0,26,6,0,0,1,4,0,1,1,9,1,5,0,1,2,0,9,4,2,2,2,0,27,12,0,0,0,0,bondj001,talbm001,perrr001,talbm001,bondj001,,5,Apr 10,@,DET,"L,2-4",8.0,6,4,4,0,9,5,1,1,3.68,37,158,80,1,0,0,1,26,0,0,1,0,1,0,2,4,Angel Campos,"M.Talbot (99-35-L), T.Sipp (1), J.Smith (1), J.Lewis (1)",0.1,0.23076923076923078,0.22857142857142856,0.43243243243243246,0.1,0.34615384615384615,0.32857142857142857,0.7785862785862786,0.0,0.0,1.875,0.13513513513513514,0.24324324324324326,0.23809523809523808
20100411,CLE,AL,6,DET,AL,6,8,9,53,DET05,26081,34,10,1,0,3,8,0,1,0,3,0,3,0,0,2,0,3,6,9,9,1,0,26,10,0,1,1,0,42,18,2,0,0,7,0,0,2,9,0,7,1,0,1,0,18,3,8,8,0,0,27,11,0,0,2,0,cokep001,perec002,,westj001,verlj001,,6,Apr 11,@,DET,"L,8-9",8.2,18,9,9,0,9,7,0,2,4.61,53,198,117,8,0,1,0,42,2,0,0,0,0,0,1,6,Brian Gorman,"J.Westbrook (5-43), J.Lewis (0-H), A.Laffey (3), J.Smith (0-H), R.Perez (2), C.Perez (2-BL)",0.29411764705882354,0.42857142857142855,0.34210526315789475,0.5471698113207547,0.5882352941176471,0.47619047619047616,0.9303405572755419,1.0233602875112309,0.0,0.0,3.2926829268292686,0.1320754716981132,0.16981132075471697,0.5142857142857142
20100412,TEX,AL,7,CLE,AL,7,4,2,60,CLE08,42061,36,8,1,1,1,3,1,0,1,5,0,5,3,0,2,0,9,5,2,2,1,0,30,11,1,0,1,0,34,7,2,0,1,2,0,1,0,3,0,7,1,0,0,0,6,4,4,4,1,0,30,14,0,0,2,0,franf001,wrigj001,felin001,hardr001,carmf001,,7,Apr 12,1,TEX,"L,2-4",10.0,8,4,4,0,5,5,1,1,4.45,43,141,86,6,0,3,0,36,1,1,0,1,0,0,2,4,Marvin Hudson,"R.Hernandez (4-64), C.Perez (0), T.Sipp (1), J.Wright (2-L)",0.2222222222222222,0.20588235294117646,0.3333333333333333,0.2631578947368421,0.3888888888888889,0.35294117647058826,0.7222222222222222,0.6160990712074303,0.0,0.0,1.3,0.11627906976744186,0.11627906976744186,0.23333333333333334
20100414,TEX,AL,8,CLE,AL,8,6,2,54,CLE08,10071,41,15,3,0,1,6,1,0,0,1,0,13,2,1,0,0,10,5,2,2,1,0,27,6,0,0,1,0,31,5,2,0,0,2,0,0,2,8,0,12,1,0,1,0,12,4,4,4,0,0,27,11,2,0,0,0,lewic001,mastj001,felin001,lewic001,mastj001,,8,Apr 14,1,TEX,"L,2-6",9.0,15,6,4,2,1,13,1,0,4.4,43,163,105,2,0,2,1,41,3,0,0,1,0,1,0,4,Jim Wolf,"J.Masterson (5-51-L), A.Laffey (2), J.Smith (2), T.Sipp (1)",0.36585365853658536,0.16129032258064516,0.38095238095238093,0.36585365853658536,0.5121951219512195,0.22580645161290322,0.8931475029036005,0.5916601101494886,0.0,0.0,1.7777777777777777,0.3023255813953488,0.023255813953488372,0.5185185185185185
20100415,TEX,AL,9,CLE,AL,9,2,3,51,CLE08,10198,29,4,0,0,1,2,1,0,0,1,0,4,0,0,1,0,2,2,1,1,1,0,24,9,3,0,1,0,32,6,1,0,1,3,0,0,1,1,0,3,0,0,1,0,7,1,2,2,0,0,27,9,0,0,1,0,huffd001,harrm001,,harrm001,huffd001,,9,Apr 15,1,TEX,"W,3-2",9.0,4,2,2,0,1,4,1,0,4.13,31,104,71,1,1,0,0,29,0,0,0,1,0,0,1,1,Derryl Cousins,D.Huff (5-74-W),0.13793103448275862,0.1875,0.16666666666666666,0.23529411764705882,0.2413793103448276,0.3125,0.40804597701149425,0.5477941176470589,1.0,0.0,0.5555555555555556,0.12903225806451613,0.03225806451612903,0.125
20100416,CHA,AL,11,CLE,AL,10,2,6,51,CLE08,10421,29,6,0,0,1,1,1,0,0,0,0,2,0,1,2,0,1,3,3,3,1,0,24,9,1,0,2,0,31,8,1,0,1,4,0,0,0,4,0,5,0,0,2,0,5,1,1,1,0,0,27,19,1,0,2,0,talbm001,buehm001,,buehm001,talbm001,,10,Apr 16,1,CHW,"W,6-2",9.0,6,2,1,1,0,2,1,0,3.81,30,97,68,1,1,0,1,29,0,0,0,1,0,0,2,1,Mike Winters,M.Talbot (5-71-W),0.20689655172413793,0.25806451612903225,0.20689655172413793,0.34285714285714286,0.3103448275862069,0.3870967741935484,0.5172413793103449,0.7299539170506912,1.0,1.0,0.6666666666666666,0.06666666666666667,0.0,0.19230769230769232
