Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20140331,COL,NL,1,MIA,NL,1,1,10,51,MIA02,37116,1000,00105103x,32,6,0,0,1,1,0,0,0,1,0,10,0,0,1,0,5,3,10,10,0,0,24,8,0,0,0,0,35,14,5,0,1,10,2,1,1,2,0,11,0,0,0,0,7,3,1,1,0,0,27,9,0,0,1,0,fernj003,delaj001,,delaj001,fernj003,1,Mar 31,@,MIA,"L,1-10",8,14,10,10,0,2,11,1,1,11.25,41,155,98,3,3,0,0,35,5,0,0,2,1,0,0,3,Jerry Layne,"J.De La Rosa (99-39-L), W.Lopez (99), C.Bettis (99)"
20140401,COL,NL,2,MIA,NL,2,3,4,51,MIA02,15906,200010,02000200x,34,9,4,0,0,3,0,1,0,2,0,8,1,0,0,0,7,3,3,3,0,0,24,14,1,0,1,0,27,5,2,0,0,4,0,1,0,1,0,4,1,0,0,0,1,5,3,3,0,0,27,9,0,0,0,0,eovan001,andeb004,cishs001,andeb004,eovan001,2,Apr 1,@,MIA,"L,3-4",8,5,4,3,1,1,4,0,0,7.31,29,107,72,0,0,1,0,27,2,0,0,0,1,0,0,3,Hunter Wendelstedt,"B.Anderson (99-49-L), A.Ottavino (99), R.Brothers (99)"
20140402,COL,NL,3,MIA,NL,3,6,5,54,MIA02,15866,300300000,100003001,36,12,1,0,0,5,1,1,0,4,0,6,0,0,2,0,9,5,5,5,2,0,27,9,0,0,0,0,35,8,2,0,1,4,0,0,1,4,0,11,0,0,0,0,8,3,3,3,1,0,27,15,3,0,3,0,lylej001,alvah001,hawkl001,lylej001,alvah001,3,Apr 2,@,MIA,"W,6-5",9,8,5,5,0,4,11,1,1,6.48,40,167,104,1,1,0,0,35,2,0,0,0,0,0,0,5,Mike DiMuro,"J.Lyles (99-45-W), A.Ottavino (0-H), M.Belisle (99-H), R.Brothers (0-H), L.Hawkins (99-Sv)"
20140403,COL,NL,4,MIA,NL,4,5,8,51,MIA02,15378,103010000,10100114x,36,10,0,1,1,5,0,0,0,3,0,5,2,0,1,0,7,3,8,8,0,1,24,9,1,0,0,0,36,13,3,1,0,8,1,0,0,4,0,7,1,0,0,0,9,4,5,5,1,0,27,18,1,0,1,0,ramoa001,belim001,cishs001,moraf001,turnj002,4,Apr 3,@,MIA,"L,5-8",8,13,8,8,0,4,7,0,0,7.09,41,143,94,1,0,1,0,36,3,1,0,1,0,0,0,3,Mike Estabrook,"F.Morales (99-42), T.Kahnle (99-H), M.Belisle (0-BL)"
20140404,ARI,NL,7,COL,NL,5,2,12,51,DEN02,49130,10010,10320222x,36,8,2,0,1,2,0,0,0,1,0,7,0,0,0,0,8,5,11,11,0,1,24,12,1,0,1,0,40,17,3,2,2,12,0,0,1,6,1,4,0,1,1,0,11,3,2,2,1,0,27,12,0,0,0,0,nicaj001,delgr001,,delgr001,nicaj001,5,Apr 4,1,ARI,"W,12-2",9,8,2,2,0,1,7,1,0,6,37,127,92,0,0,0,0,36,2,0,0,0,0,0,0,3,Mike Muchlinski,"J.Nicasio (99-70-W), C.Bettis (3), W.Lopez (3)"
20140405,ARI,NL,8,COL,NL,6,4,9,51,DEN02,33078,112000000,00032112x,35,6,2,0,1,3,0,0,0,3,0,8,2,0,0,0,7,3,9,9,0,0,24,14,0,0,1,0,34,12,3,0,3,9,0,1,0,1,0,6,1,0,0,0,3,5,3,3,0,0,27,7,2,0,0,0,kahnt001,mccab001,,mccab001,delaj001,6,Apr 5,1,ARI,"W,9-4",9,6,4,3,1,3,8,1,0,5.47,38,177,113,1,0,2,0,35,2,0,0,0,0,2,0,5,Mike Winters,"J.De La Rosa (4-42), T.Kahnle (1-W), A.Ottavino (2-H), R.Brothers (2-H), L.Hawkins (2)"
20140406,ARI,NL,9,COL,NL,7,5,3,54,DEN02,29779,2120000,10101,38,13,2,0,1,3,1,0,0,3,2,1,0,0,1,0,10,2,2,2,1,0,27,19,1,0,5,0,28,8,3,0,0,2,0,2,0,3,0,2,1,0,5,0,3,3,3,3,0,0,27,15,1,0,2,0,milew001,andeb004,reeda001,milew001,andeb004,7,Apr 6,1,ARI,"L,3-5",9,13,5,3,2,3,1,1,0,5.1,42,126,77,0,0,0,0,38,2,0,2,1,0,1,1,3,Andy Fletcher,"B.Anderson (4-34-L), W.Lopez (1), M.Belisle (2)"
20140407,CHA,AL,7,COL,NL,8,1,8,51,DEN02,22550,100,11103101x,31,5,2,0,0,1,0,0,0,2,0,5,0,0,1,0,5,3,8,8,0,0,24,4,1,0,1,0,36,13,3,0,2,8,0,1,0,5,0,6,0,0,1,0,10,4,1,1,1,0,27,12,0,0,1,0,lylej001,paulf001,,paulf001,lylej001,8,Apr 7,1,CHW,"W,8-1",9,5,1,1,0,2,5,0,0,4.57,33,119,72,2,0,0,0,31,2,0,0,0,0,0,1,4,Rob Drake,"J.Lyles (4-62-W), A.Ottavino (1), C.Bettis (2), M.Belisle (0)"
20140408,CHA,AL,8,COL,NL,9,15,3,54,DEN02,25393,31000362,101010,43,19,1,0,6,15,0,1,1,5,1,6,2,0,2,0,8,3,3,3,0,0,27,16,0,0,2,0,31,7,2,0,1,3,0,1,0,3,0,4,0,0,2,0,5,4,13,13,0,1,27,15,1,0,2,0,quinj001,moraf001,,quinj001,moraf001,9,Apr 8,1,CHW,"L,3-15",9,19,15,13,2,5,6,6,1,5.54,50,174,112,4,2,2,0,43,1,0,1,0,1,1,2,4,Alan Porter,"F.Morales (4-32-L), C.Bettis (0), W.Lopez (1), T.Kahnle (2)"
20140409,CHA,AL,9,COL,NL,10,4,10,51,DEN02,22745,20020000,11100106x,34,8,1,0,0,4,0,0,0,2,0,7,1,0,1,0,5,5,10,10,0,0,24,13,1,0,0,0,37,16,3,1,0,10,1,0,1,2,0,7,1,1,0,0,7,6,4,4,0,0,27,13,0,0,1,0,brotr001,downs001,,johne003,nicaj001,10,Apr 9,1,CHW,"W,10-4",9,8,4,4,0,2,7,0,0,5.38,36,141,93,0,0,1,0,34,1,0,0,0,0,0,1,6,Joe West,"J.Nicasio (4-39), M.Belisle (1), A.Ottavino (1), R.Brothers (3-W), L.Hawkins (3), B.Logan (99)"
