Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20150406,COL,NL,1,MIL,NL,1,10,0,54,MIL06,46032,402400000,0,42,16,6,0,2,10,1,0,0,1,0,6,0,0,1,0,7,3,0,0,0,0,27,8,0,0,2,0,33,8,0,0,0,0,0,0,1,0,0,9,0,0,2,0,7,5,9,9,2,0,27,12,3,0,2,0,kendk001,lohsk001,,kendk001,lohsk001,,1,Apr 6,@,MIL,"W,10-0",9,8,0,0,0,0,9,0,1,0,34,122,89,0,0,0,0,33,0,0,0,0,0,0,2,3,Dale Scott,"K.Kendrick (99-69-W), R.Betancourt (99), C.Friedrich (99)"
20150407,COL,NL,2,MIL,NL,2,5,2,54,MIL06,30222,311000,20000,38,12,6,0,0,5,0,1,0,2,0,6,1,0,0,0,9,4,2,2,0,0,27,13,0,0,1,0,31,6,3,0,0,1,0,0,1,1,0,7,0,0,1,0,4,4,5,5,0,0,27,10,1,0,0,0,lylej001,garzm001,hawkl001,lylej001,garzm001,,2,Apr 7,@,MIL,"W,5-2",9,6,2,2,0,1,7,0,1,1,33,114,77,0,0,0,0,31,3,0,0,0,0,0,1,4,Dan Iassogna,"J.Lyles (99-55-W), B.Logan (99-H), A.Ottavino (99-H), L.Hawkins (99-Sv)"
20150408,COL,NL,3,MIL,NL,3,5,4,60,MIL06,28720,101201,20000020,38,10,4,0,3,5,0,0,0,0,0,7,0,2,0,0,3,6,4,4,0,0,30,16,0,0,2,0,36,8,1,0,1,4,0,0,0,5,0,8,1,0,2,0,7,4,5,5,0,0,30,10,0,0,0,0,hawkl001,rodrf003,axfoj001,butle001,peraw001,,3,Apr 8,@,MIL,"W,5-4",10,8,4,4,0,5,8,1,0,1.93,41,158,99,1,0,1,0,36,1,0,0,0,0,0,2,6,CB Bucknor,"E.Butler (99-54), C.Friedrich (1), B.Brown (99), A.Ottavino (0-H), L.Hawkins (0-BW), J.Axford (99-Sv)"
20150410,CHN,NL,3,COL,NL,4,1,5,51,DEN02,49303,1000000,01002200x,30,5,0,0,0,1,0,1,2,4,0,7,1,0,1,0,9,4,5,5,0,0,24,8,1,0,0,0,34,11,2,0,1,5,0,0,0,3,1,7,0,0,0,0,8,5,1,1,1,0,27,12,0,0,1,0,bergc001,woodt004,,woodt004,matzt001,,4,Apr 10,1,CHC,"W,5-1",9,5,1,1,0,4,7,0,2,1.7,37,140,76,2,0,1,0,30,0,0,0,0,1,0,1,5,Quinn Wolcott,"T.Matzek (99-51), C.Bergman (99-W), B.Brown (1-H), R.Betancourt (3), B.Logan (2)"
20150411,CHN,NL,4,COL,NL,5,9,5,54,DEN02,43812,122013000,21000020,36,12,1,2,3,9,0,1,2,5,0,8,0,1,1,0,8,5,5,5,0,0,27,11,1,0,2,0,38,12,3,0,1,5,0,0,0,2,0,10,0,0,2,0,8,4,8,8,0,0,27,9,1,0,1,0,hammj002,kendk001,,hammj002,kendk001,,5,Apr 11,1,CHC,"L,5-9",9,12,9,8,1,5,8,3,2,2.93,44,164,101,2,2,0,1,36,1,2,0,0,1,0,1,4,Gary Cederstrom,"K.Kendrick (4-17-L), C.Friedrich (2), R.Betancourt (0), A.Ottavino (2)"
20150412,CHN,NL,5,COL,NL,6,6,5,54,DEN02,41363,10020003,40010000,33,7,2,0,1,6,0,1,0,4,0,8,3,0,1,0,5,5,5,5,1,0,27,9,0,0,0,0,37,11,4,1,0,5,0,0,0,1,0,8,1,0,0,0,6,4,4,4,1,0,27,11,4,0,2,0,ramin001,hawkl001,rondh001,hendk001,lylej001,,6,Apr 12,1,CHC,"L,5-6",9,7,6,4,2,4,8,1,0,3.11,38,151,89,0,0,3,0,33,2,0,0,0,1,2,1,4,Eric Cooper,"J.Lyles (4-54), A.Ottavino (0-H), B.Logan (1-H), L.Hawkins (3-BL)"
20150413,COL,NL,7,SFN,NL,8,2,0,54,SFO03,42019,100100,0,35,11,2,0,0,1,0,0,0,3,1,5,0,1,2,0,9,5,0,0,0,0,27,13,0,0,1,0,31,5,1,0,0,0,0,0,2,6,0,6,1,0,1,0,12,4,1,1,0,0,27,15,1,0,2,0,butle001,hestc001,betar001,butle001,hestc001,,7,Apr 13,@,SFG,"W,2-0",9,5,0,0,0,6,6,0,2,2.67,39,149,84,1,0,1,0,31,1,0,0,0,0,0,1,5,Tripp Gibson,"E.Butler (4-53-W), B.Brown (2-H), C.Friedrich (1-H), B.Logan (0-H), R.Betancourt (1-Sv)"
20150414,COL,NL,8,SFN,NL,9,4,1,54,SFO03,41051,20100001,10,32,9,2,1,0,3,2,0,1,2,0,6,0,1,1,0,6,6,1,1,0,0,27,11,0,0,0,0,32,6,0,0,0,1,0,1,0,4,0,8,1,0,0,0,9,4,4,4,1,0,27,14,0,0,1,0,obers001,hudst001,ottaa001,bergc001,hudst001,,8,Apr 14,@,SFG,"W,4-1",9,6,1,1,0,4,8,0,0,2.47,37,161,102,0,0,1,0,32,0,0,0,0,1,0,0,6,Brian Gorman,"C.Bergman (3-56), S.Oberg (99-W), L.Hawkins (1-H), C.Friedrich (0-H), R.Betancourt (0-H), A.Ottavino (1-Sv)"
20150415,COL,NL,9,SFN,NL,10,4,2,54,SFO03,41188,310000000,100000010,32,6,0,0,1,4,1,1,0,1,0,10,1,0,0,0,4,4,2,2,0,0,27,10,1,0,1,0,33,7,0,1,1,2,0,0,1,2,0,7,2,0,1,0,7,4,3,3,0,0,27,10,1,0,0,0,matzt001,linct001,ottaa001,matzt001,linct001,,9,Apr 15,@,SFG,"W,4-2",9,7,2,2,0,2,7,1,1,2.41,36,143,85,0,0,2,0,33,0,1,0,0,0,0,1,4,Mark Carlson,"T.Matzek (4-60-W), B.Brown (1-H), B.Logan (1-H), A.Ottavino (0-Sv)"
20150417,COL,NL,10,LAN,NL,10,3,7,51,LOS03,48950,120000,30012010x,34,7,1,0,2,3,0,0,0,1,0,16,1,0,0,0,5,4,7,7,1,0,24,7,0,0,1,0,32,10,4,0,1,6,0,1,0,5,1,9,1,0,1,0,7,4,1,1,1,0,27,4,1,1,0,0,kersc001,kendk001,,kendk001,kersc001,,10,Apr 17,@,LAD,"L,3-7",8,10,7,7,0,5,9,1,0,2.9,38,154,90,2,0,1,0,32,4,0,1,0,1,0,1,4,Mike Everitt,"K.Kendrick (5-28-L), S.Oberg (2), C.Friedrich (2), L.Hawkins (2)"
