Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20130401,DET,AL,1,MIN,AL,1,4,2,54,MIN04,38282,210000010,1100,35,9,2,0,0,3,1,0,0,3,1,8,1,0,1,0,8,5,2,2,1,0,27,5,0,0,0,0,35,8,3,0,0,1,0,0,0,6,0,12,0,0,0,0,12,4,4,4,2,0,27,13,1,0,1,0,verlj001,worlv001,cokep001,verlj001,worlv001,,1,Apr 1,@,MIN,"W,4-2",9,8,2,2,0,6,12,0,0,2,41,172,95,3,1,0,0,35,3,0,0,0,0,0,0,5,Jim Joyce,"J.Verlander (99-64-W), D.Smyly (99-H), A.Alburquerque (99-H), J.Benoit (99-H), P.Coke (99-Sv)"
20130403,DET,AL,2,MIN,AL,2,2,3,52,MIN04,22963,1010000,102,33,7,0,0,0,2,0,0,0,1,0,4,0,0,0,0,5,5,3,3,0,0,25,7,0,0,0,0,30,5,2,0,0,3,0,0,0,6,0,10,1,0,0,0,8,3,2,2,0,0,27,12,0,0,0,0,perkg001,cokep001,,sanca004,corrk001,,2,Apr 3,@,MIN,"L,2-3",8.1,5,3,3,0,6,10,0,0,2.6,36,165,100,2,2,1,0,30,2,0,0,0,0,0,0,5,Jim Wolf,"A.Sanchez (99-65), D.Downs (99-H), B.Villarreal (99-H), J.Benoit (1-H), P.Coke (1-BL)"
20130404,DET,AL,3,MIN,AL,3,2,8,51,MIN04,24752,101000000,00210005x,34,8,1,0,0,2,0,0,0,5,1,5,1,0,2,0,10,5,8,8,2,0,24,8,0,0,0,0,34,10,2,0,2,8,0,0,0,4,0,7,1,0,0,0,6,7,0,0,0,0,27,13,2,1,2,0,pelfm001,porcr001,,porcr001,pelfm001,,3,Apr 4,@,MIN,"L,2-8",8,10,8,8,0,4,7,2,0,4.62,38,163,98,3,0,1,0,34,2,0,0,0,0,0,0,5,Ed Hickox,"R.Porcello (99-44-L), O.Dotel (99), D.Downs (0), B.Villarreal (0), A.Alburquerque (2)"
20130405,NYA,AL,4,DET,AL,4,3,8,51,DET05,45051,30000,11003120x,32,6,0,0,1,2,0,0,2,2,0,7,0,0,1,0,6,4,8,8,1,0,24,6,0,0,1,0,32,9,0,0,3,8,0,0,1,4,0,8,1,0,1,0,5,2,3,3,1,0,27,15,0,0,1,0,fistd001,novai001,smyld001,novai001,fistd001,,4,Apr 5,1,NYY,"W,8-3",9,6,3,3,0,2,7,1,2,4.19,36,146,91,0,0,0,0,32,0,0,0,0,0,0,1,2,Alan Porter,"D.Fister (99-43-W), D.Smyly (3-Sv)"
20130406,NYA,AL,5,DET,AL,5,4,8,51,DET05,42453,10003000,10004201x,31,6,2,1,1,4,0,0,1,5,0,10,0,0,0,0,6,4,6,6,1,0,24,5,2,0,2,0,37,17,3,0,0,8,0,3,0,3,0,7,0,1,0,0,11,4,4,4,0,0,27,6,0,0,2,0,schem001,hughp001,,hughp001,schem001,,5,Apr 6,1,NYY,"W,8-4",9,6,4,4,0,5,10,1,1,4.15,37,148,95,2,2,0,0,31,2,1,0,0,0,0,0,4,Jerry Layne,"M.Scherzer (99-46-W), A.Alburquerque (1-H), D.Downs (1-H), J.Benoit (2)"
20130407,NYA,AL,6,DET,AL,6,7,0,54,DET05,39829,30000022,0,38,13,3,0,1,7,0,1,0,3,0,4,0,0,1,0,8,3,0,0,0,0,27,7,0,0,0,0,35,8,0,0,0,0,0,0,0,3,0,7,0,0,0,0,11,3,7,7,0,0,27,8,0,0,1,0,sabac001,verlj001,,sabac001,verlj001,,6,Apr 7,1,NYY,"L,0-7",9,13,7,7,0,3,4,1,0,4.64,42,158,110,0,0,0,0,38,3,0,0,0,1,0,1,3,Brian O'Nora,"J.Verlander (5-54-L), P.Coke (3), O.Dotel (2)"
20130409,TOR,AL,7,DET,AL,7,3,7,51,DET05,28979,1010001,11030002x,35,8,1,1,1,3,0,0,0,1,0,9,1,0,0,0,6,5,6,6,0,0,24,8,1,0,0,0,39,15,3,0,2,7,0,0,0,4,0,1,0,0,0,0,12,4,3,3,0,0,27,9,0,0,0,0,sanca004,morrb001,,morrb001,sanca004,,7,Apr 9,1,TOR,"W,7-3",9,8,3,3,0,1,9,1,0,4.4,36,146,93,1,0,1,0,35,1,1,0,0,0,0,0,4,John Tumpane,"A.Sanchez (5-66-W), D.Smyly (3-H), A.Alburquerque (2-H), J.Benoit (2)"
20130410,TOR,AL,8,DET,AL,8,8,6,54,DET05,29631,13400,110040000,38,12,5,0,0,8,0,0,0,5,0,8,2,0,1,0,8,6,5,5,0,0,27,10,1,0,1,0,38,11,1,0,0,6,0,0,0,4,1,5,0,0,1,0,9,5,8,8,1,0,27,10,0,0,1,0,loupa001,villb002,jansc001,buehm001,porcr001,,8,Apr 10,1,TOR,"L,6-8",9,12,8,8,0,5,8,0,0,4.86,43,182,113,6,6,2,0,38,5,0,0,0,0,0,1,5,Dana DeMuth,"R.Porcello (5-36), D.Downs (3-H), B.Villarreal (5-L), O.Dotel (2-BSv), P.Coke (2)"
20130411,TOR,AL,9,DET,AL,9,1,11,51,DET05,28781,10000000,15004010x,33,9,1,0,0,1,0,1,1,2,0,6,1,0,1,0,9,4,11,11,1,0,24,8,0,0,1,0,37,16,1,1,0,11,0,2,1,6,0,6,1,0,1,0,11,2,1,1,0,0,27,10,0,0,1,0,fistd001,johnj009,,johnj009,fistd001,,9,Apr 11,1,TOR,"W,11-1",9,9,1,1,0,2,6,0,1,4.42,37,129,88,0,0,1,0,33,1,0,0,0,1,0,1,2,Angel Hernandez,"D.Fister (5-66-W), A.Alburquerque (1)"
20130412,DET,AL,10,OAK,AL,11,3,4,70,OAK01,21377,3000000000,1001100001,46,12,1,1,1,3,0,0,0,0,0,8,0,0,2,0,7,5,3,3,0,0,34,7,1,0,0,0,41,8,3,0,1,3,0,0,0,3,0,17,2,2,0,0,6,6,3,3,0,0,36,9,0,0,2,0,resoc001,villb002,,schem001,colob001,,10,Apr 12,@,OAK,"L,3-4",11.1,8,4,3,1,3,17,1,0,4.17,44,186,118,0,0,2,2,41,3,0,0,0,0,0,0,5,Paul Nauert,"M.Scherzer (5-66), D.Smyly (2-BSv), O.Dotel (1), D.Downs (1), B.Villarreal (1-L)"
20130413,DET,AL,11,OAK,AL,12,7,3,54,OAK01,35067,1402000,10000200,35,10,2,0,3,7,1,0,0,4,0,4,0,0,1,0,6,4,3,3,0,0,27,7,0,0,0,0,34,7,2,0,0,3,0,0,0,6,0,13,0,0,0,0,10,3,7,7,0,0,27,14,0,0,1,0,verlj001,andeb004,,verlj001,andeb004,,11,Apr 13,@,OAK,"W,7-3",9,7,3,3,0,6,13,0,0,4.06,40,187,118,2,0,0,0,34,2,0,0,0,0,0,0,4,Andy Fletcher,"J.Verlander (5-65-W), A.Alburquerque (1), P.Coke (2), J.Benoit (3)"
20130414,DET,AL,12,OAK,AL,13,10,1,54,OAK01,20755,220400110,100000,42,14,4,1,1,10,0,0,1,5,1,3,0,0,0,0,11,2,1,1,0,0,27,6,0,1,0,0,29,3,1,0,0,1,0,1,0,4,0,8,1,0,0,0,6,5,9,9,1,0,27,11,1,1,0,0,sanca004,parkj001,,sanca004,parkj001,,12,Apr 14,@,OAK,"W,10-1",9,3,1,1,0,4,8,0,0,3.81,34,132,82,0,0,1,0,29,1,0,0,0,1,0,0,2,Sam Holbrook,"A.Sanchez (4-71-W), R.Porcello (3)"
20130416,DET,AL,13,SEA,AL,15,6,2,54,SEA03,12401,100020120,200000,39,12,2,1,1,6,0,0,0,4,1,16,2,0,0,0,10,3,2,2,0,0,27,13,0,0,0,0,31,4,2,0,0,2,0,0,0,1,0,9,0,0,0,0,3,5,6,6,0,0,27,4,0,0,0,0,fistd001,haraa001,,fistd001,haraa001,,13,Apr 16,@,SEA,"W,6-2",9,4,2,2,0,1,9,0,0,3.67,32,133,89,0,0,0,0,31,2,0,0,0,0,0,0,3,John Hirschbeck,"D.Fister (4-65-W), A.Alburquerque (2), J.Benoit (2)"
20130417,DET,AL,14,SEA,AL,16,2,1,84,SEA03,14983,1000000001,10000000,50,8,3,0,0,2,1,0,0,4,1,21,0,0,0,0,11,8,1,1,0,0,42,15,0,0,3,0,48,11,3,0,0,1,1,0,0,4,0,19,0,0,3,0,10,6,2,2,1,0,42,13,1,0,0,0,smyld001,furbc001,benoj001,schem001,hernf002,,14,Apr 17,@,SEA,"W,2-1",14,11,1,1,0,4,19,0,0,3.35,53,211,141,4,0,0,0,48,3,0,0,1,0,0,3,8,Bob Davidson,"M.Scherzer (4-77), O.Dotel (4), P.Coke (3), B.Villarreal (4), D.Downs (4), A.Alburquerque (0), D.Smyly (4-W), J.Benoit (0-Sv)"
