Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20160405,DET,AL,1,MIA,NL,1,8,7,66,MIA02,36911,13001000201,301300,41,12,2,0,3,8,1,1,0,4,0,6,0,1,1,0,6,6,7,7,0,0,33,8,1,0,0,0,41,10,4,1,1,7,0,2,0,3,1,10,0,0,0,0,6,7,8,8,0,0,33,14,2,0,1,0,verhd001,bresc001,grees005,verlj001,chenw001,1,Apr 5,@,MIA,"W,8-7",11,10,7,7,0,3,10,1,0,5.73,46,180,122,0,0,0,0,41,4,1,1,0,2,0,0,6,Joe West,"J.Verlander (99-57), J.Wilson (99-H), M.Lowe (99-H), F.Rodriguez (99-BSv), D.VerHagen (99-W), S.Greene (99-Sv)"
20160406,DET,AL,2,MIA,NL,2,7,3,54,MIA02,17883,20003020,2001,40,13,3,0,2,7,0,0,0,3,1,16,0,0,0,0,9,6,3,3,0,0,27,13,0,0,1,0,33,10,4,0,0,3,1,1,1,4,0,6,0,1,1,0,10,4,7,7,1,0,27,3,1,0,0,0,sanca004,fernj003,rodrf003,sanca004,fernj003,2,Apr 6,@,MIA,"W,7-3",9,10,3,3,0,4,6,0,1,4.5,40,160,93,4,2,0,1,33,4,0,0,1,1,0,1,6,Kerwin Danley,"A.Sanchez (99-51-W), D.VerHagen (0), J.Wilson (0-H), M.Lowe (0), L.Kensing (99), F.Rodriguez (0-Sv)"
20160408,NYA,AL,4,DET,AL,3,0,4,51,DET05,45049,0,10020010x,28,3,0,0,0,0,0,0,0,4,0,7,0,1,1,0,5,3,4,4,0,0,24,8,0,0,1,0,36,13,1,0,1,4,0,0,0,0,0,9,0,0,1,0,8,3,0,0,1,0,27,9,0,0,1,0,zimmj003,sevel001,,sevel001,zimmj003,3,Apr 8,1,NYY,"W,4-0",9,3,0,0,0,4,7,0,0,3.1,32,133,87,0,0,0,1,28,0,0,0,0,0,0,1,3,Mike Everitt,"J.Zimmermann (99-73-W), J.Wilson (1), K.Ryan (99)"
20160409,NYA,AL,5,DET,AL,4,8,4,54,DET05,32419,110420000,200200,38,13,0,1,2,8,0,1,1,4,0,7,1,1,1,0,9,5,4,4,2,0,27,9,1,0,1,0,33,7,1,0,0,3,0,0,0,4,0,8,0,0,1,0,6,4,4,4,2,0,27,13,1,0,1,0,sabac001,pelfm001,,sabac001,pelfm001,4,Apr 9,1,NYY,"L,4-8",9,13,8,4,4,4,7,2,1,3.32,44,169,98,1,0,1,1,38,0,1,0,0,1,1,1,4,Paul Emmel,"M.Pelfrey (99-33-L), B.Farmer (99), L.Kensing (2), D.VerHagen (2)"
20160411,PIT,NL,7,DET,AL,5,7,4,54,DET05,26271,121120000,10012000,36,17,6,0,0,7,1,2,0,3,0,3,0,2,3,0,8,4,3,3,1,0,27,10,1,0,3,0,32,6,0,0,2,3,0,0,0,2,0,8,0,0,2,0,3,5,7,7,0,0,27,12,0,0,4,0,niesj001,verlj001,melam001,niesj001,verlj001,5,Apr 11,1,PIT,"L,4-7",9,17,7,7,0,3,3,0,0,4.02,42,179,112,2,2,0,2,36,6,0,0,1,2,0,3,5,Ron Kulpa,"J.Verlander (5-15-L), D.VerHagen (1), L.Kensing (1), M.Lowe (4), K.Ryan (2)"
20160412,PIT,NL,8,DET,AL,6,2,8,51,DET05,26489,2000,22000310x,30,5,1,0,1,2,0,0,0,4,0,6,0,1,2,0,5,3,8,8,1,0,24,6,1,0,1,0,36,14,2,0,2,8,0,0,0,8,0,8,0,1,1,0,12,5,2,2,1,0,27,15,1,0,2,0,sanca004,nicaj001,,nicaj001,sanca004,6,Apr 12,1,PIT,"W,8-2",9,5,2,2,0,4,6,1,0,3.7,34,148,87,1,0,0,1,30,1,0,0,0,0,1,2,5,Gabe Morales,"A.Sanchez (5-54-W), J.Wilson (3-H), D.VerHagen (0), B.Farmer (2), F.Rodriguez (5)"
20160413,DET,AL,7,PIT,NL,9,7,3,54,PIT08,21175,104002,200000010,35,10,2,0,2,7,0,1,0,5,0,9,0,0,0,0,7,4,3,3,0,0,27,10,0,0,2,0,29,4,1,0,0,3,0,0,0,5,0,10,0,0,1,0,4,5,7,7,0,0,27,6,0,0,0,0,grees005,camia001,,grees005,voger001,7,Apr 13,@,PIT,"W,7-3",9,4,3,3,0,5,10,0,0,3.6,34,142,86,0,0,0,0,29,1,0,0,0,0,0,1,4,Paul Nauert,"S.Greene (7-62-W), J.Wilson (0-H), M.Lowe (1-H), F.Rodriguez (0)"
20160414,DET,AL,8,PIT,NL,10,7,4,54,PIT08,18751,200230,310,32,9,2,0,1,7,0,2,1,3,1,7,1,0,1,0,4,4,4,4,0,0,27,16,2,0,1,0,40,14,3,0,0,4,0,0,0,3,0,4,1,0,1,0,12,4,7,7,0,0,27,12,1,0,1,0,zimmj003,coleg001,rodrf003,zimmj003,coleg001,8,Apr 14,@,PIT,"W,7-4",9,14,4,4,0,3,4,0,0,3.65,43,178,115,2,0,1,0,40,3,0,0,0,0,1,1,4,Jerry Meals,"J.Zimmermann (5-62-W), D.VerHagen (1), M.Lowe (0-H), F.Rodriguez (0-Sv)"
20160415,DET,AL,9,HOU,AL,11,0,1,51,HOU03,30092,0,10000000x,31,5,0,0,0,0,0,0,0,1,0,4,0,0,0,0,5,2,1,1,0,0,24,11,1,0,3,0,26,5,0,0,0,1,0,0,0,6,0,6,1,0,3,0,7,2,0,0,0,0,27,13,0,0,0,0,keucd001,pelfm001,gregl001,pelfm001,keucd001,9,Apr 15,@,HOU,"L,0-1",8,5,1,1,0,6,6,0,0,3.4,32,130,73,0,0,1,0,26,0,0,0,0,0,0,3,2,Gerry Davis,"M.Pelfrey (5-55-L), B.Farmer (2)"
20160416,DET,AL,10,HOU,AL,12,5,3,54,HOU03,30013,10012001,300000000,42,15,6,0,1,4,0,0,0,1,0,12,1,0,0,0,11,4,3,3,0,0,27,12,0,0,2,0,32,8,0,0,2,3,0,0,0,2,0,10,1,0,2,0,4,5,5,5,1,0,27,8,1,0,0,0,verlj001,mchuc001,rodrf003,verlj001,mchuc001,10,Apr 16,@,HOU,"W,5-3",9,8,3,3,0,2,10,2,0,3.36,34,134,83,0,0,1,0,32,0,0,0,0,0,0,2,4,Sam Holbrook,"J.Verlander (4-52-W), J.Wilson (2-H), M.Lowe (1-H), F.Rodriguez (1-Sv)"
