Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev,WHIP,KPercent,BBPercent,BABIP
20100405,DET,AL,1,KCA,AL,1,8,4,54,KAN06,40052,39,12,4,0,0,7,0,0,0,2,0,9,0,0,1,0,6,5,4,4,0,0,27,12,1,0,0,0,35,9,0,0,1,4,1,0,0,2,0,8,2,0,0,0,7,6,7,7,0,0,27,9,1,0,1,0,zumaj001,tejer001,,verlj001,greiz001,,1,Apr 5,@,KCR,"W,8-4",9.0,9,4,4,0,2,8,1,0,4.0,38,151,103,3,0,2,0,35,0,0,0,1,0,0,0,5,Ed Rapuano,"J.Verlander (99-44), J.Zumaya (99-W), P.Coke (99), R.Perry (99-H), J.Valverde (99)",0.3076923076923077,0.2571428571428571,0.34146341463414637,0.2972972972972973,0.41025641025641024,0.34285714285714286,0.7517198248905566,0.6401544401544401,1.0,,1.2222222222222223,0.21052631578947367,0.05263157894736842,0.3076923076923077
20100407,DET,AL,2,KCA,AL,2,2,3,63,KAN06,10574,40,11,0,1,1,2,1,0,0,2,0,6,0,1,2,0,8,6,2,2,0,0,30,17,1,0,2,0,33,7,1,0,1,2,1,0,2,5,0,3,2,0,2,0,8,5,2,2,1,0,33,16,0,0,2,0,farnk001,valvj001,,schem001,hochl001,,2,Apr 7,@,KCR,"L,2-3",10.0,7,3,2,1,5,3,1,2,2.84,41,166,95,1,0,2,0,33,1,0,0,1,0,0,2,6,Fieldin Culbreth,"M.Scherzer (99-71), F.Ni (99), B.Thomas (99), J.Zumaya (1), P.Coke (1), J.Valverde (1-BL)",0.275,0.21212121212121213,0.30952380952380953,0.35,0.4,0.3333333333333333,0.7095238095238096,0.6833333333333333,0.0,1.0,1.2,0.07317073170731707,0.12195121951219512,0.20689655172413793
20100408,DET,AL,3,KCA,AL,3,7,3,54,KAN06,10909,38,12,4,0,2,7,0,0,1,4,0,6,0,1,0,0,9,4,3,3,1,0,27,10,0,0,3,0,34,11,1,0,0,3,0,1,0,3,0,5,1,0,3,0,8,4,7,7,2,0,27,6,1,0,1,0,bonie002,mendl001,,willd003,bannb001,,3,Apr 8,@,KCR,"W,7-3",9.0,11,3,3,0,3,5,0,0,2.89,38,144,90,0,0,1,0,34,1,0,0,0,1,0,3,4,Chris Tiller,"D.Willis (99-52), E.Bonine (99-W), R.Perry (2-H), J.Valverde (0)",0.3157894736842105,0.3235294117647059,0.3953488372093023,0.3684210526315789,0.5789473684210527,0.35294117647058826,0.974296205630355,0.7213622291021672,1.0,0.0,1.5555555555555556,0.13157894736842105,0.07894736842105263,0.36666666666666664
20100409,CLE,AL,4,DET,AL,4,2,5,51,DET05,45010,30,7,1,1,1,2,0,0,0,4,0,6,1,1,3,0,5,2,2,2,0,0,24,7,1,0,0,0,32,7,2,0,0,2,0,0,0,3,0,2,1,0,0,0,6,4,2,2,1,0,27,10,0,0,3,0,porcr001,huffd001,valvj001,huffd001,porcr001,,4,Apr 9,1,CLE,"W,5-2",9.0,7,2,2,0,4,6,1,0,2.68,34,146,86,3,0,1,1,30,1,1,0,0,0,0,3,4,Paul Nauert,"R.Porcello (99-50-W), P.Coke (1-H), J.Zumaya (1-H), J.Valverde (0-Sv)",0.23333333333333334,0.21875,0.3235294117647059,0.2857142857142857,0.43333333333333335,0.28125,0.7568627450980392,0.5669642857142857,1.0,1.0,1.2222222222222223,0.17647058823529413,0.11764705882352941,0.2608695652173913
20100410,CLE,AL,5,DET,AL,5,2,4,51,DET05,35332,30,3,0,0,0,1,0,0,2,3,0,9,0,0,0,0,6,4,4,4,0,0,24,9,0,0,2,0,26,6,0,0,1,4,0,1,1,9,1,5,0,1,2,0,9,4,2,2,2,0,27,12,0,0,0,0,bondj001,talbm001,perrr001,talbm001,bondj001,,5,Apr 10,1,CLE,"W,4-2",9.0,3,2,2,0,3,9,0,2,2.54,35,156,102,2,0,0,0,30,0,0,0,0,0,0,0,4,Angel Campos,"J.Bonderman (99-64-W), B.Thomas (2-H), F.Ni (2-H), R.Perry (1-Sv)",0.1,0.23076923076923078,0.22857142857142856,0.43243243243243246,0.1,0.34615384615384615,0.32857142857142857,0.7785862785862786,1.0,1.0,0.6666666666666666,0.2571428571428571,0.08571428571428572,0.14285714285714285
20100411,CLE,AL,6,DET,AL,6,8,9,53,DET05,26081,34,10,1,0,3,8,0,1,0,3,0,3,0,0,2,0,3,6,9,9,1,0,26,10,0,1,1,0,42,18,2,0,0,7,0,0,2,9,0,7,1,0,1,0,18,3,8,8,0,0,27,11,0,0,2,0,cokep001,perec002,,westj001,verlj001,,6,Apr 11,1,CLE,"W,9-8",9.0,10,8,8,0,3,3,3,0,3.44,38,153,102,1,1,0,0,34,1,0,0,0,1,0,2,3,Brian Gorman,"J.Verlander (5-33), E.Bonine (2), P.Coke (1-W)",0.29411764705882354,0.42857142857142855,0.34210526315789475,0.5471698113207547,0.5882352941176471,0.47619047619047616,0.9303405572755419,1.0233602875112309,1.0,1.0,1.4444444444444444,0.07894736842105263,0.07894736842105263,0.2413793103448276
20100412,KCA,AL,7,DET,AL,7,10,5,54,DET05,17058,41,15,4,0,1,9,0,0,0,5,0,6,1,0,1,0,9,4,4,4,0,0,27,6,1,0,1,0,34,8,3,0,1,4,0,0,2,4,0,6,0,0,1,0,8,3,6,6,1,0,27,9,4,0,3,0,hochl001,schem001,,hochl001,schem001,,7,Apr 12,1,KCR,"L,5-10",9.0,15,10,6,4,5,6,1,0,3.8,46,193,118,1,1,1,0,41,4,0,0,0,0,2,1,3,Phil Cuzzi,"M.Scherzer (4-36-L), B.Thomas (1), F.Ni (1)",0.36585365853658536,0.23529411764705882,0.43478260869565216,0.35,0.5365853658536586,0.4117647058823529,0.9713679745493107,0.7617647058823529,0.0,1.0,2.2222222222222223,0.13043478260869565,0.10869565217391304,0.4117647058823529
20100413,KCA,AL,8,DET,AL,8,5,6,51,DET05,18414,41,13,1,0,2,5,0,0,0,3,0,5,1,0,0,0,12,5,6,6,0,0,24,7,0,0,0,0,32,9,4,0,0,6,1,0,0,6,0,4,0,0,0,0,9,4,4,4,1,0,27,13,1,0,0,0,zumaj001,hughd001,valvj001,bannb001,willd003,,8,Apr 13,1,KCR,"W,6-5",9.0,13,5,4,1,3,5,2,0,3.82,44,159,100,0,0,1,0,41,1,0,0,0,0,1,0,4,Chris Guccione,"D.Willis (4-33), J.Zumaya (3-W), R.Perry (2-H), J.Valverde (3-Sv)",0.3170731707317073,0.28125,0.36363636363636365,0.39473684210526316,0.4878048780487805,0.40625,0.8514412416851441,0.8009868421052632,1.0,0.0,1.7777777777777777,0.11363636363636363,0.06818181818181818,0.3235294117647059
20100414,KCA,AL,9,DET,AL,9,7,3,54,DET05,19262,39,17,1,0,1,6,1,2,0,3,1,3,0,1,1,0,11,3,3,3,0,0,27,8,0,0,2,0,32,7,4,0,1,2,0,0,1,6,0,8,0,0,2,0,9,4,6,6,1,0,27,11,1,0,1,0,davik002,perrr001,sorij001,davik002,porcr001,,9,Apr 14,1,KCR,"L,3-7",9.0,17,7,6,1,3,3,1,0,4.06,45,154,97,1,1,0,1,39,1,0,1,1,2,1,1,4,Jerry Crawford,"R.Porcello (4-42), R.Perry (0-L), P.Coke (2), E.Bonine (2)",0.4358974358974359,0.21875,0.45454545454545453,0.358974358974359,0.5384615384615384,0.4375,0.9930069930069929,0.796474358974359,0.0,1.0,2.2222222222222223,0.06666666666666667,0.06666666666666667,0.43243243243243246
20100416,DET,AL,10,SEA,AL,11,3,11,51,SEA03,39999,34,8,3,0,0,3,0,0,0,2,0,10,0,0,1,0,6,3,9,9,0,0,24,1,3,0,0,0,34,12,0,1,0,10,1,3,0,6,0,6,2,0,0,0,9,3,3,3,0,0,27,10,0,1,1,0,hernf002,bondj001,,bondj001,hernf002,,10,Apr 16,@,SEA,"L,3-11",8.0,12,11,9,2,6,6,0,0,4.6,44,162,100,3,3,2,0,34,0,1,0,1,3,2,0,3,Brian Knight,"J.Bonderman (5-8-L), B.Thomas (3), E.Bonine (1)",0.23529411764705882,0.35294117647058826,0.2777777777777778,0.4186046511627907,0.3235294117647059,0.4117647058823529,0.6013071895424837,0.8303693570451436,0.0,0.0,2.25,0.13636363636363635,0.13636363636363635,0.3870967741935484
