Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20130401,MIA,NL,1,WAS,NL,1,0,2,51,WAS11,45274,0,10010000x,29,3,1,0,0,0,0,0,0,1,0,6,0,0,0,0,3,3,2,2,0,0,24,8,0,0,1,0,26,5,0,0,2,2,2,0,0,2,0,5,0,0,1,0,4,3,0,0,0,0,27,12,0,0,1,0,stras001,nolar001,sorir001,nolar001,stras001,,1,Apr 1,@,WSN,"L,0-2",8,5,2,2,0,2,5,2,0,2.25,30,100,60,0,0,0,0,26,0,0,0,2,0,0,1,3,Jeff Kellogg,"R.Nolasco (99-61-L), C.Qualls (99), M.Dunn (99)"
20130403,MIA,NL,2,WAS,NL,2,0,3,51,WAS11,26269,0,00001011x,28,4,1,0,0,0,1,0,0,3,0,8,0,1,2,0,5,3,2,2,2,0,24,7,1,0,1,0,28,6,2,1,1,3,1,0,1,4,0,6,0,1,1,0,7,4,0,0,0,0,27,10,1,0,2,0,gonzg003,slowk001,sorir001,slowk001,gonzg003,,2,Apr 3,@,WSN,"L,0-3",8,6,3,2,1,4,6,1,1,2.25,34,118,76,2,0,0,1,28,2,1,0,1,0,1,1,3,Eric Cooper,"K.Slowey (99-57-L), R.Webb (99), A.Ramos (99)"
20130404,MIA,NL,3,WAS,NL,3,1,6,51,WAS11,25123,10000000,20100030x,33,8,0,0,1,1,0,0,0,3,0,3,0,0,2,0,8,4,5,5,1,0,24,7,2,0,0,0,31,9,1,0,1,6,1,0,0,3,0,8,0,1,0,0,5,4,1,1,0,0,27,12,0,0,2,0,zimmj003,leblw001,,leblw001,zimmj003,,3,Apr 4,@,WSN,"L,1-6",8,9,6,5,1,3,8,1,0,3.38,35,140,92,1,1,0,1,31,1,0,0,1,0,0,0,4,Paul Schrieber,"W.LeBlanc (99-50-L), J.Rauch (99), M.Dunn (2), S.Cishek (99)"
20130405,MIA,NL,4,NYN,NL,4,7,5,54,NYC20,24935,10000501,302,37,11,4,0,1,7,1,1,0,3,1,5,2,0,0,0,8,5,5,5,0,0,27,11,0,1,1,0,35,10,2,0,1,5,0,0,2,7,0,5,1,0,1,0,12,5,4,3,0,0,27,14,1,1,0,0,sanaa001,hefnj001,,sanaa001,hefnj001,,4,Apr 5,@,NYM,"W,7-5",9,10,5,5,0,7,5,1,2,3.82,44,175,98,0,0,1,0,35,2,0,0,0,0,0,1,5,Cory Blaser,"A.Sanabia (99-58-W), C.Qualls (3), M.Dunn (0-H), A.Ramos (1-H), S.Cishek (0)"
20130406,MIA,NL,5,NYN,NL,5,3,7,51,NYC20,28474,100010100,10000231x,36,11,0,0,0,2,0,0,0,2,0,8,0,0,1,0,8,3,6,6,0,0,24,9,2,0,1,0,30,9,1,1,1,7,0,2,0,5,1,4,2,0,1,0,6,5,2,2,0,0,27,15,1,0,1,0,lyonb003,webbr001,,nolar001,niesj001,,5,Apr 6,@,NYM,"L,3-7",8,9,7,6,1,5,4,1,0,4.39,37,151,88,2,0,2,0,30,1,1,1,0,2,0,1,3,Jim Joyce,"R.Nolasco (4-44), R.Webb (2-L), C.Qualls (0)"
20130407,MIA,NL,6,NYN,NL,6,3,4,52,NYC20,29780,1200000,11002,36,13,4,0,0,3,1,0,1,4,0,10,0,0,2,0,12,5,4,4,0,0,25,2,0,0,0,0,31,6,1,0,1,4,0,0,1,4,0,13,1,0,0,0,7,6,3,3,0,1,27,13,0,0,2,0,rices001,cishs001,,fernj003,laffa001,,6,Apr 7,@,NYM,"L,3-4",8.1,6,4,4,0,4,13,1,1,4.38,36,159,97,0,0,1,0,31,1,0,0,0,0,0,0,5,Jim Wolf,"J.Fernandez (99-64), A.Ramos (1-H), J.Rauch (2-H), M.Dunn (1-H), S.Cishek (1-BL)"
20130408,ATL,NL,7,MIA,NL,7,2,0,54,MIA02,34439,101000,0,36,10,1,0,1,2,1,0,0,0,0,6,0,0,0,0,8,3,0,0,0,0,27,14,1,0,1,0,29,2,0,0,0,0,0,0,1,4,0,8,0,0,1,0,7,3,2,2,0,0,27,8,0,0,0,0,mahop002,slowk001,kimbc001,mahop002,slowk001,,7,Apr 8,1,ATL,"L,0-2",9,10,2,2,0,0,6,1,0,4.01,37,133,94,0,0,0,0,36,1,0,0,1,0,0,0,3,CB Bucknor,"K.Slowey (4-60-L), C.Qualls (1), J.Maine (99)"
20130409,ATL,NL,8,MIA,NL,8,3,2,54,MIA02,14222,200000010,10000010,35,8,3,0,1,3,0,0,0,1,0,9,0,0,0,0,6,3,1,1,0,0,27,16,1,0,2,0,29,4,1,0,0,2,0,1,0,5,1,2,1,0,1,0,6,3,3,3,0,0,27,5,1,0,0,0,medlk001,leblw001,kimbc001,medlk001,leblw001,,8,Apr 9,1,ATL,"L,2-3",9,8,3,3,0,1,9,1,0,3.88,36,127,84,0,0,0,0,35,3,0,0,0,0,0,0,3,Todd Tichenor,"W.LeBlanc (4-56-L), A.Ramos (1), J.Rauch (1)"
20130410,ATL,NL,9,MIA,NL,9,8,0,54,MIA02,13810,61001,0,37,13,1,0,2,8,1,1,0,5,0,6,1,0,2,0,9,3,0,0,0,0,27,9,0,0,1,0,33,7,2,0,0,0,0,0,0,2,0,6,0,0,1,0,8,4,8,8,0,0,27,12,2,0,2,0,minom001,sanaa001,,minom001,sanaa001,,9,Apr 10,1,ATL,"L,0-8",9,13,8,8,0,5,6,2,0,4.36,44,143,89,0,0,1,0,37,1,0,0,1,1,2,2,4,Dale Scott,"A.Sanabia (4-28-L), R.Webb (3), M.Dunn (2), J.Maine (1)"
20130412,PHI,NL,10,MIA,NL,10,3,1,60,MIA02,17923,10002,10000,38,10,4,1,0,3,2,0,0,2,2,4,0,1,0,0,9,5,1,1,0,0,30,13,0,0,2,0,31,4,0,0,0,1,0,0,1,3,0,5,1,0,2,0,4,5,3,3,0,0,30,13,1,0,0,0,aumop001,raucj001,papej001,lannj001,nolar001,,10,Apr 12,1,PHI,"L,1-3",10,10,3,3,0,2,4,0,0,4.17,42,165,101,0,0,0,1,38,4,1,2,2,0,1,0,5,Phil Cuzzi,"R.Nolasco (5-54), A.Ramos (2), M.Dunn (1), S.Cishek (4), J.Rauch (2-L)"
