Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20110401,HOU,NL,1,PHI,NL,1,4,5,52,PHI13,45237,1300,203,35,9,1,1,0,4,1,1,0,1,1,8,1,0,0,0,7,3,4,4,0,0,25,12,0,1,1,0,32,10,1,0,0,5,0,1,0,3,0,0,1,1,1,0,6,5,4,4,0,0,27,9,1,0,0,0,baezd001,lyonb003,,myerb001,hallr001,,1,Apr 1,@,PHI,"L,4-5",8.1,10,5,4,1,3,0,0,0,4.32,36,130,78,0,0,1,1,32,1,0,0,0,1,0,1,3,Jerry Layne,"B.Myers (99-62), W.Lopez (99-H), B.Lyon (99-BL)"
20110402,HOU,NL,2,PHI,NL,2,4,9,51,PHI13,45455,102010,20023011x,36,8,0,1,1,4,0,0,1,0,0,14,0,0,0,0,6,5,9,9,0,0,24,9,1,0,0,0,38,14,3,0,0,9,1,0,1,2,0,9,0,0,0,0,9,3,3,3,0,0,27,8,1,0,0,0,lee-c003,rodrw002,,rodrw002,lee-c003,,2,Apr 2,@,PHI,"L,4-9",8,14,9,9,0,2,9,0,1,7.16,42,147,100,1,1,0,0,38,3,0,0,1,0,1,0,5,Bob Davidson,"W.Rodriguez (99-20-L), E.Del Rosario (99), M.Melancon (99), A.Rodriguez (99), J.Fulchino (99)"
20110403,HOU,NL,3,PHI,NL,3,3,7,51,PHI13,45562,101001,40100200x,33,7,2,0,1,2,0,0,1,2,0,6,0,0,1,0,6,6,7,7,0,0,24,14,0,0,0,0,36,13,3,0,2,7,1,0,0,5,0,8,0,0,0,0,11,3,3,3,0,0,27,11,0,0,1,0,oswar001,norrb001,,norrb001,oswar001,,3,Apr 3,@,PHI,"L,3-7",8,13,7,7,0,5,8,2,0,7.4,42,162,99,2,2,0,0,36,3,0,0,1,0,0,0,6,Hunter Wendelstedt,"B.Norris (99-36-L), F.Abad (99), A.Rodriguez (0), E.Del Rosario (0), M.Melancon (0), J.Fulchino (0)"
20110405,HOU,NL,4,CIN,NL,4,2,8,51,CIN09,11821,20000,32021000x,31,5,1,0,0,2,1,0,1,2,0,7,0,0,0,0,6,5,8,8,0,0,24,7,0,0,0,0,33,10,1,0,0,8,0,1,1,5,0,5,2,0,0,0,8,3,2,2,0,0,27,7,0,0,0,0,leakm001,happj001,,happj001,leakm001,,4,Apr 5,@,CIN,"L,2-8",8,10,8,8,0,5,5,0,1,7.79,40,149,90,0,0,2,0,33,1,0,0,0,1,0,0,5,Andy Fletcher,"J.Happ (99-17-L), A.Rodriguez (1), W.Lopez (3), J.Fulchino (1), B.Lyon (3)"
20110406,HOU,NL,5,CIN,NL,5,4,12,51,CIN09,17719,400000000,01500402x,33,7,1,0,0,4,0,0,0,6,0,12,2,0,1,0,8,4,8,8,0,0,24,10,5,0,2,0,41,14,3,0,0,11,0,0,0,3,0,5,3,0,2,0,8,5,4,4,0,1,27,9,0,0,1,0,volqe001,figun001,,figun001,volqe001,,5,Apr 6,@,CIN,"L,4-12",8,14,12,8,4,3,5,0,0,8.03,44,141,89,4,2,3,0,41,3,0,0,0,0,4,2,4,Tim Welke,"N.Figueroa (99-15-L), F.Abad (2), M.Melancon (2), E.Del Rosario (2)"
20110407,HOU,NL,6,CIN,NL,6,3,2,54,CIN09,20104,100100001,10000100,33,8,1,1,0,3,1,0,0,3,0,9,1,0,1,0,7,4,2,2,0,0,27,7,0,0,1,0,36,10,1,0,1,2,0,0,0,4,1,4,0,0,1,0,11,3,3,3,0,0,27,11,0,0,1,0,abadf001,massn001,lyonb003,myerb001,lecus001,,6,Apr 7,@,CIN,"W,3-2",9,10,2,2,0,4,4,1,0,6.93,40,155,94,1,0,0,0,36,1,0,1,0,0,0,1,4,Jim Reynolds,"B.Myers (5-54), M.Melancon (0), F.Abad (0-W), B.Lyon (1-Sv)"
20110408,FLO,NL,7,HOU,NL,7,4,3,54,HOU03,41042,121,1000101,38,14,3,0,1,4,0,0,1,0,0,2,0,1,1,0,8,2,3,3,1,0,27,15,0,0,0,0,34,10,2,0,2,3,1,0,0,0,0,3,1,1,0,0,5,3,4,4,0,0,27,13,1,0,2,0,nolar001,lopew001,nunel001,nolar001,rodrw002,,7,Apr 8,1,FLA,"L,3-4",9,14,4,4,0,0,2,1,1,6.48,39,108,74,0,0,0,1,38,3,0,0,0,0,0,1,3,Jim Wolf,"W.Rodriguez (5-59), W.Lopez (2-BL), J.Fulchino (2)"
20110409,FLO,NL,8,HOU,NL,8,7,5,54,HOU03,25421,10003210,120010010,37,10,6,0,1,7,0,0,0,2,0,8,0,0,0,0,5,5,5,5,0,0,27,10,0,0,1,0,37,11,5,0,0,5,0,0,0,2,0,6,0,0,1,0,7,4,6,6,0,0,27,10,1,0,0,0,vazqj001,abadf001,nunel001,vazqj001,norrb001,,8,Apr 9,1,FLA,"L,5-7",9,10,7,6,1,2,8,1,0,6.42,39,142,92,1,0,0,0,37,6,0,0,0,0,1,0,4,Derryl Cousins,"B.Norris (5-50), F.Abad (1-L), W.Lopez (0), E.Del Rosario (2)"
20110410,FLO,NL,9,HOU,NL,9,1,7,51,HOU03,22299,100000000,10023010x,29,4,2,0,0,1,0,0,2,4,0,7,1,0,1,0,7,5,7,7,0,0,24,10,0,0,2,0,37,16,6,1,0,6,0,0,1,2,1,5,0,0,2,0,9,4,1,1,0,0,27,5,0,0,1,0,happj001,sanca004,,sanca004,happj001,,9,Apr 10,1,FLA,"W,7-1",9,4,1,1,0,4,7,0,2,5.78,35,137,79,3,0,1,0,29,2,0,0,0,0,0,1,4,Jim Joyce,"J.Happ (4-68-W), M.Melancon (2), A.Rodriguez (4), J.Fulchino (1)"
20110411,CHN,NL,10,HOU,NL,10,5,4,54,HOU03,20175,220100000,10300,34,8,1,1,0,5,0,0,0,6,0,7,1,0,0,0,8,4,4,4,0,0,27,9,1,0,0,0,37,10,1,0,2,4,1,0,0,5,0,13,1,0,0,0,12,6,5,5,1,0,27,13,0,0,1,0,dempr002,figun001,marmc001,dempr002,figun001,,10,Apr 11,1,CHC,"L,4-5",9,8,5,5,0,6,7,0,0,5.7,40,171,107,0,0,1,0,34,1,1,0,0,0,0,0,6,Gary Darling,"N.Figueroa (4-27-L), E.Del Rosario (1), W.Lopez (1), F.Abad (1), M.Melancon (0), B.Lyon (3)"
