Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20100405,DET,AL,1,KCA,AL,1,8,4,54,KAN06,40052,100001600,20020000,39,12,4,0,0,7,0,0,0,2,0,9,0,0,1,0,6,5,4,4,0,0,27,12,1,0,0,0,35,9,0,0,1,4,1,0,0,2,0,8,2,0,0,0,7,6,7,7,0,0,27,9,1,0,1,0,zumaj001,tejer001,,verlj001,greiz001,,1,Apr 5,1,DET,"L,4-8",9,12,8,7,1,2,9,0,0,7,41,154,94,3,3,0,0,39,4,0,0,0,0,1,1,6,Ed Rapuano,"Z.Greinke (99-57), R.Colon (99), R.Tejeda (99-BL), J.Cruz (99), J.Parrish (99), K.Farnsworth (99)"
20100407,DET,AL,2,KCA,AL,2,2,3,63,KAN06,10574,101,10002,40,11,0,1,1,2,1,0,0,2,0,6,0,1,2,0,8,6,2,2,0,0,30,17,1,0,2,0,33,7,1,0,1,2,1,0,2,5,0,3,2,0,2,0,8,5,2,2,1,0,33,16,0,0,2,0,farnk001,valvj001,,schem001,hochl001,,2,Apr 7,1,DET,"W,3-2",11,11,2,2,0,2,6,1,0,4.05,43,167,107,3,0,0,1,40,0,1,0,1,0,0,2,5,Fieldin Culbreth,"L.Hochevar (99-70), J.Soria (99-BSv), R.Tejeda (1), J.Parrish (1), K.Farnsworth (1-W)"
20100408,DET,AL,3,KCA,AL,3,7,3,54,KAN06,10909,1033,101000010,38,12,4,0,2,7,0,0,1,4,0,6,0,1,0,0,9,4,3,3,1,0,27,10,0,0,3,0,34,11,1,0,0,3,0,1,0,3,0,5,1,0,3,0,8,4,7,7,2,0,27,6,1,0,1,0,bonie002,mendl001,,willd003,bannb001,,3,Apr 8,1,DET,"L,3-7",9,12,7,7,0,4,6,2,1,4.97,43,181,109,3,3,0,1,38,4,0,0,0,0,0,0,4,Chris Tiller,"B.Bannister (99-59), D.Hughes (99-H), L.Mendoza (99-BL), R.Colon (2)"
20100409,BOS,AL,4,KCA,AL,4,3,4,51,KAN06,21091,300000,00000202x,33,9,2,0,1,3,1,0,0,4,0,8,0,1,1,0,8,3,4,4,0,0,24,7,0,0,0,0,30,8,3,0,2,4,1,0,0,2,0,7,2,0,0,0,5,6,3,3,0,0,27,10,1,0,1,0,parrj003,bardd001,sorij001,waket001,davik002,,4,Apr 9,1,BOS,"W,4-3",9,9,3,3,0,4,8,1,0,4.5,38,146,89,4,0,0,1,33,2,0,0,1,0,1,1,6,Mike Estabrook,"K.Davies (99-50), R.Tejeda (1), K.Farnsworth (1), J.Cruz (3), J.Parrish (1-W), J.Soria (1-Sv)"
20100410,BOS,AL,5,KCA,AL,5,8,3,54,KAN06,37505,20213,100000200,37,12,1,0,5,8,0,1,2,0,0,6,1,0,1,0,5,3,3,3,0,0,27,9,0,0,2,0,34,9,4,0,0,2,0,0,0,1,0,4,1,0,2,0,5,4,8,8,0,0,27,11,0,0,1,0,beckj002,greiz001,,beckj002,greiz001,,5,Apr 10,1,BOS,"L,3-8",9,12,8,8,0,0,6,5,2,5.17,40,146,89,0,0,1,0,37,1,0,0,0,1,0,1,4,Gary Darling,"Z.Greinke (4-47-L), D.Hughes (1), L.Mendoza (1), R.Colon (1)"
20100411,BOS,AL,6,KCA,AL,6,8,6,54,KAN06,19240,410300000,111000030,37,12,4,0,1,7,0,0,0,6,0,7,2,0,1,0,8,5,5,5,1,0,27,11,1,0,2,0,35,10,1,0,2,5,1,0,0,3,0,2,2,0,1,0,6,5,8,8,1,0,27,4,1,0,2,0,buchc001,mechg001,papej001,buchc001,mechg001,,6,Apr 11,1,BOS,"L,6-8",9,12,8,8,0,6,7,1,0,5.62,43,178,101,2,1,2,0,37,4,0,0,0,0,0,1,5,Bill Hohn,"G.Meche (99-17-L), R.Tejeda (1), J.Cruz (1), R.Colon (0), J.Parrish (1)"
20100412,KCA,AL,7,DET,AL,7,10,5,54,DET05,17058,413020,2102000,41,15,4,0,1,9,0,0,0,5,0,6,1,0,1,0,9,4,4,4,0,0,27,6,1,0,1,0,34,8,3,0,1,4,0,0,2,4,0,6,0,0,1,0,8,3,6,6,1,0,27,9,4,0,3,0,hochl001,schem001,,hochl001,schem001,,7,Apr 12,@,DET,"W,10-5",9,8,5,4,1,4,6,1,2,5.4,40,158,96,1,0,0,0,34,3,0,0,0,0,0,1,4,Phil Cuzzi,"L.Hochevar (4-39-W), J.Parrish (0-H), K.Farnsworth (2), D.Hughes (1)"
20100413,KCA,AL,8,DET,AL,8,5,6,51,DET05,18414,3010100,00000060x,41,13,1,0,2,5,0,0,0,3,0,5,1,0,0,0,12,5,6,6,0,0,24,7,0,0,0,0,32,9,4,0,0,6,1,0,0,6,0,4,0,0,0,0,9,4,4,4,1,0,27,13,1,0,0,0,zumaj001,hughd001,valvj001,bannb001,willd003,,8,Apr 13,@,DET,"L,5-6",8,9,6,6,0,6,4,0,0,5.55,39,157,87,7,4,0,0,32,4,0,0,1,0,0,0,5,Chris Guccione,"B.Bannister (4-59), R.Colon (1), D.Hughes (0-L), J.Cruz (1-BSv), L.Mendoza (2)"
20100414,KCA,AL,9,DET,AL,9,7,3,54,DET05,19262,21000211,100020000,39,17,1,0,1,6,1,2,0,3,1,3,0,1,1,0,11,3,3,3,0,0,27,8,0,0,2,0,32,7,4,0,1,2,0,0,1,6,0,8,0,0,2,0,9,4,6,6,1,0,27,11,1,0,1,0,davik002,perrr001,sorij001,davik002,porcr001,,9,Apr 14,@,DET,"W,7-3",9,7,3,3,0,6,8,1,1,5.27,39,146,86,2,0,0,0,32,4,0,0,0,0,0,2,3,Jerry Crawford,"K.Davies (4-50-W), J.Parrish (1-H), J.Soria (4-Sv)"
20100416,KCA,AL,10,MIN,AL,11,3,10,51,MIN04,38532,11001,00202105x,35,9,0,1,1,3,0,0,1,0,0,7,1,0,0,0,6,5,8,8,1,0,24,8,1,0,1,0,32,11,2,0,0,10,0,2,1,9,0,7,0,0,1,0,10,3,3,3,0,0,27,8,0,0,0,0,bakes002,greiz001,,greiz001,bakes002,,10,Apr 16,@,MIN,"L,3-10",8,11,10,8,2,9,7,0,1,5.6,44,190,102,5,3,0,0,32,2,0,0,0,2,0,1,5,Eric Cooper,"Z.Greinke (5-43-L), K.Farnsworth (3), D.Hughes (2), R.Tejeda (4), J.Cruz (2)"
