Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20110331,SFN,NL,1,LAN,NL,1,1,2,51,LOS03,56000,1,00000101x,32,5,0,0,1,1,0,0,0,2,0,10,0,0,1,0,6,2,1,1,0,0,24,9,3,1,0,0,30,6,1,0,0,1,0,0,1,4,1,6,1,0,0,0,9,3,1,1,0,0,27,9,1,0,1,0,kersc001,linct001,broxj001,linct001,kersc001,1,Mar 31,1,SFG,"W,2-1",9,5,1,1,0,2,10,1,0,1,34,135,89,0,0,0,0,32,0,0,0,0,0,1,1,3,Gary Cederstrom,"C.Kershaw (99-77-W), H.Kuo (99-H), J.Broxton (99-Sv)"
20110401,SFN,NL,2,LAN,NL,2,3,4,51,LOS03,44834,300000,00100300x,35,8,0,0,1,3,0,0,1,2,0,8,0,0,1,0,8,3,2,2,0,0,24,6,2,0,0,0,31,8,1,0,0,3,0,1,0,3,0,9,0,1,0,0,7,4,3,3,0,0,27,11,1,0,1,0,billc001,sancj002,broxj001,sancj002,billc001,2,Apr 1,1,SFG,"W,4-3",9,8,3,3,0,2,8,1,1,2,38,137,95,0,0,0,0,35,0,0,0,0,0,1,1,4,Lance Barksdale,"C.Billingsley (99-53-W), B.Hawksworth (99-H), M.Guerrier (99-H), J.Broxton (0-Sv)"
20110402,SFN,NL,3,LAN,NL,3,10,0,54,LOS03,40809,1034011,0,40,13,3,0,1,10,1,0,0,4,0,8,1,0,0,0,8,4,0,0,0,0,27,10,0,0,1,0,35,9,1,0,0,0,0,0,0,0,0,5,0,0,1,0,8,4,10,10,1,1,27,12,1,0,0,0,cainm001,lillt001,,cainm001,lillt001,3,Apr 2,1,SFG,"L,0-10",9,13,10,10,0,4,8,1,0,4.67,45,168,107,1,0,1,0,40,3,0,0,1,0,1,0,4,Fieldin Culbreth,"T.Lilly (99-38-L), M.MacDougal (99), K.Jansen (99), L.Cormier (99)"
20110403,SFN,NL,4,LAN,NL,4,5,7,51,LOS03,50896,10001111,30000040x,35,9,2,0,3,5,1,0,1,3,0,6,0,0,0,0,8,5,7,7,0,1,24,9,0,0,0,0,33,9,1,2,1,7,0,0,0,2,0,7,0,0,0,0,4,4,5,5,0,0,27,10,0,0,0,0,kuroh001,runzd001,broxj001,zitob001,kuroh001,4,Apr 3,1,SFG,"W,7-5",9,9,5,5,0,3,6,3,1,4.75,40,137,83,2,1,0,0,35,2,0,0,1,0,0,0,4,Adrian Johnson,"H.Kuroda (99-58-W), H.Kuo (2), M.Guerrier (1-H), J.Broxton (1-Sv)"
20110405,LAN,NL,5,COL,NL,3,0,3,51,DEN02,24693,0,00011100x,30,5,1,0,0,0,1,0,0,2,1,7,0,0,1,0,6,3,3,3,0,0,24,7,0,0,0,0,28,6,1,0,2,3,1,0,0,2,1,8,0,0,0,0,4,3,0,0,0,0,27,16,0,0,1,0,chacj001,kersc001,streh001,kersc001,chacj001,5,Apr 5,@,COL,"L,0-3",8,6,3,3,0,2,8,2,0,4.5,31,114,72,0,0,0,0,28,1,0,1,1,0,0,0,3,Rob Drake,"C.Kershaw (4-55-L), M.MacDougal (2), B.Hawksworth (3)"
20110406,LAN,NL,6,COL,NL,4,5,7,51,DEN02,22595,13000010,20320000x,35,10,1,1,2,5,0,0,1,3,0,7,0,0,2,0,7,4,7,7,0,0,24,8,1,0,0,0,33,9,2,0,2,7,1,0,0,3,0,7,0,0,0,0,6,4,5,5,1,0,27,9,1,0,2,0,hammj002,billc001,streh001,billc001,hammj002,6,Apr 6,@,COL,"L,5-7",8,9,7,7,0,3,7,2,0,5.02,37,158,97,0,0,0,0,33,2,0,0,1,0,1,0,4,Gary Darling,"C.Billingsley (4-27-L), B.Hawksworth (0), K.Jansen (3), M.Guerrier (2)"
20110409,LAN,NL,8,SDN,NL,7,4,0,54,SAN02,42420,100020010,0,39,13,2,0,1,3,1,0,0,5,2,4,5,0,1,0,14,2,0,0,0,0,27,9,0,0,2,0,31,6,1,0,0,0,0,0,0,3,0,4,0,0,1,0,7,3,3,3,1,0,27,18,1,0,1,0,kuroh001,mosed001,broxj001,kuroh001,mosed001,8,Apr 9,@,SDP,"W,4-0",9,6,0,0,0,3,4,0,0,3.88,34,128,80,2,0,0,0,31,1,0,0,0,0,0,1,2,Ed Rapuano,"H.Kuroda (5-74-W), J.Broxton (0-Sv)"
20110410,LAN,NL,9,SDN,NL,8,2,7,51,SAN02,33949,100000100,00110212x,28,4,0,0,0,1,1,0,1,2,0,6,2,1,2,0,3,3,7,7,1,0,24,6,0,0,0,0,33,10,3,1,3,7,0,0,0,4,0,7,1,1,0,0,6,4,1,1,0,0,27,11,1,0,2,0,haraa001,ely-j001,,ely-j001,haraa001,9,Apr 10,@,SDP,"L,2-7",8,10,7,7,0,4,7,3,0,4.28,37,159,91,1,0,1,1,33,3,1,0,0,0,0,0,3,Brian O'Nora,"J.Ely (99-43-L), K.Jansen (1), L.Cormier (7)"
20110411,LAN,NL,10,SFN,NL,10,6,1,54,SFO03,40870,10040100,1,34,11,0,0,1,5,0,0,0,4,1,9,2,0,2,0,5,3,1,1,0,0,27,13,0,0,1,0,33,7,0,0,1,1,0,0,0,2,0,7,0,0,1,0,7,4,6,6,0,0,27,16,1,0,2,0,kersc001,bumgm001,,kersc001,bumgm001,10,Apr 11,@,SFG,"W,6-1",9,7,1,1,0,2,7,1,0,3.94,35,140,88,1,0,0,0,33,0,0,0,0,0,0,1,3,Gerry Davis,"C.Kershaw (5-67-W), M.Guerrier (2), M.MacDougal (2)"
20110412,LAN,NL,11,SFN,NL,11,4,5,51,SFO03,41960,300100,00022010x,35,8,3,0,1,4,0,0,1,2,1,9,0,1,0,0,7,3,5,5,2,0,24,12,0,0,2,0,30,9,2,1,0,4,1,0,0,4,0,7,1,1,1,0,6,5,4,4,0,0,27,13,1,0,0,0,affej001,hawkb001,wilsb001,billc001,linct001,11,Apr 12,@,SFG,"L,4-5",8,9,5,5,0,4,7,0,0,4.08,35,145,95,0,0,1,1,30,2,1,0,1,0,0,1,3,Sam Holbrook,"C.Billingsley (5-41), K.Jansen (1), B.Hawksworth (3-L)"
