Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20110331,MIL,NL,1,CIN,NL,1,6,7,53,CIN09,42398,310010100,100100104,35,9,2,0,3,6,0,1,0,5,2,7,1,0,0,0,8,4,7,7,0,0,26,8,0,0,0,0,35,12,1,0,3,7,2,2,0,4,0,10,0,0,0,0,10,5,6,6,1,1,27,11,1,0,0,0,ondrl001,axfoj001,,gally001,volqe001,,1,Mar 31,@,CIN,"L,6-7",8.2,12,7,7,0,4,10,3,0,7.27,43,157,106,0,0,0,0,35,1,0,0,2,2,0,0,4,Brian Gorman,"Y.Gallardo (99-51), K.Loe (99), T.Saito (99-H), J.Axford (99-BL)"
20110402,MIL,NL,2,CIN,NL,2,2,4,51,CIN09,37967,10001,22000000x,33,7,0,0,1,2,0,0,0,0,0,10,0,0,1,0,4,4,3,3,0,0,24,10,1,0,1,0,27,5,0,1,1,3,1,0,0,5,0,8,1,1,1,0,5,3,2,2,0,0,27,10,0,0,1,0,woodt004,marcs001,cordf002,marcs001,woodt004,,2,Apr 2,@,CIN,"L,2-4",8,5,4,3,1,5,8,1,0,5.4,33,112,69,1,0,1,1,27,0,1,0,1,0,1,1,4,Larry Vanover,"S.Marcum (99-44-L), Z.Braddock (99), S.Mitre (99), S.Green (99)"
20110403,MIL,NL,3,CIN,NL,3,3,12,51,CIN09,24805,101001000,02041410x,35,7,4,0,2,3,0,0,1,0,0,9,0,0,0,0,6,6,9,8,0,1,24,8,1,0,1,0,41,19,3,0,4,12,1,1,0,4,0,6,2,0,1,0,11,3,3,3,1,0,27,9,0,0,0,0,arrob001,wolfr001,,wolfr001,arrob001,,3,Apr 3,@,CIN,"L,3-12",8,19,12,8,4,4,6,4,0,6.57,47,195,116,4,2,2,0,41,3,0,0,1,1,1,1,6,Tony Randazzo,"R.Wolf (99-21-L), B.Kintzler (99), M.Stetter (99), S.Green (0), J.Axford (2), K.Loe (2)"
20110404,ATL,NL,4,MIL,NL,4,2,1,54,MIL06,46017,20,1000000,33,7,0,0,2,2,0,0,0,3,0,8,0,1,0,0,7,5,1,1,0,0,27,10,0,0,1,0,29,5,1,0,1,1,2,0,1,2,0,11,0,0,1,0,6,4,2,2,0,0,27,8,0,0,0,0,moylp001,saitt001,kimbc001,beacb001,narvc001,,4,Apr 4,1,ATL,"L,1-2",9,7,2,2,0,3,8,2,0,5.35,36,153,87,0,0,0,1,33,0,0,0,0,0,0,0,4,James Hoye,"C.Narveson (99-68), K.Loe (0-H), T.Saito (3-BL), Z.Braddock (1)"
20110405,ATL,NL,5,MIL,NL,5,0,1,51,MIL06,24117,0,00100000x,26,2,0,0,0,0,0,0,0,2,0,2,0,1,2,0,1,3,1,1,0,0,24,11,0,0,1,0,29,7,0,1,0,1,0,0,0,4,1,7,1,0,1,0,8,1,0,0,0,0,27,17,0,0,2,0,gally001,lowed001,,lowed001,gally001,,5,Apr 5,1,ATL,"W,1-0",9,2,0,0,0,2,2,0,0,4.22,28,111,65,1,1,0,1,26,0,0,0,0,0,0,2,1,Alan Porter,Y.Gallardo (4-83-W)
20110406,ATL,NL,6,MIL,NL,6,4,5,51,MIL06,23420,100003000,20012000x,33,8,2,0,1,4,1,0,0,2,0,6,0,0,0,0,5,4,5,5,0,0,24,12,0,1,3,0,32,11,1,0,0,5,0,0,0,5,1,3,0,0,3,0,8,4,4,4,0,0,27,11,0,0,0,0,estrm001,minom001,axfoj001,minom001,estrm001,,6,Apr 6,1,ATL,"W,5-4",9,8,4,4,0,2,6,1,0,4.18,36,128,82,0,0,0,0,33,2,0,0,1,0,0,0,4,Bill Miller,"M.Estrada (99-43-W), Z.Braddock (1-H), K.Loe (1-H), J.Axford (2-Sv)"
20110407,ATL,NL,7,MIL,NL,7,2,4,51,MIL06,24645,20000000,21000010x,33,8,0,0,0,2,1,0,0,3,0,5,0,0,0,0,8,5,4,4,0,0,24,9,1,0,2,0,34,10,2,0,1,4,0,0,0,3,1,5,1,0,2,0,9,5,2,2,0,0,27,9,0,0,1,0,marcs001,hanst001,axfoj001,hanst001,marcs001,,7,Apr 7,1,ATL,"W,4-2",9,8,2,2,0,3,5,0,0,3.86,37,138,94,0,0,0,0,33,0,0,0,1,0,0,0,5,Phil Cuzzi,"S.Marcum (4-56-W), M.Stetter (3-H), S.Mitre (4-H), K.Loe (0-H), J.Axford (0-Sv)"
20110408,CHN,NL,7,MIL,NL,8,7,4,54,MIL06,34310,501001,20110000,40,12,2,0,2,7,0,0,0,1,0,8,0,0,1,0,7,4,4,4,0,0,27,9,0,0,0,0,32,8,0,0,1,4,1,1,0,4,0,8,0,0,0,0,7,4,3,3,1,0,27,11,2,0,1,0,zambc001,wolfr001,marmc001,zambc001,wolfr001,,8,Apr 8,1,CHC,"L,4-7",9,12,7,3,4,1,8,2,0,3.75,41,138,91,2,0,0,0,40,2,0,0,0,0,2,1,4,CB Bucknor,"R.Wolf (4-42-L), S.Green (4), Z.Braddock (1), S.Mitre (0)"
20110409,CHN,NL,8,MIL,NL,9,0,6,51,MIL06,42478,0,20201001x,32,6,1,0,0,0,0,0,0,2,0,10,0,0,2,0,7,4,6,6,0,0,24,7,0,0,0,0,30,8,4,1,0,6,2,0,0,7,1,12,2,0,0,0,9,3,0,0,1,0,27,9,0,0,2,0,narvc001,garzm001,,garzm001,narvc001,,9,Apr 9,1,CHC,"W,6-0",9,6,0,0,0,2,10,0,0,3.32,34,120,76,0,0,0,0,32,1,0,0,0,0,0,2,3,Dan Iassogna,"C.Narveson (4-73-W), S.Green (0), M.Estrada (2)"
20110410,CHN,NL,9,MIL,NL,10,5,6,51,MIL06,37193,211000100,20200002x,33,11,6,0,0,5,2,0,0,6,0,4,0,1,2,0,9,4,6,6,0,0,24,11,0,0,0,0,31,11,2,0,3,6,3,0,1,2,0,4,0,1,0,0,7,6,5,5,1,0,27,13,0,0,2,0,loe-k001,woodk002,axfoj001,colec001,gally001,,10,Apr 10,1,CHC,"W,6-5",9,11,5,5,0,6,4,0,0,3.49,41,158,94,3,1,0,1,33,6,0,0,2,0,0,2,6,Dale Scott,"Y.Gallardo (4-35), S.Mitre (1), S.Green (0), M.Stetter (2), K.Loe (2-W), J.Axford (2-Sv)"
