Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20120406,MIN,AL,1,BAL,AL,1,2,4,51,BAL12,46773,2,20010100x,32,6,0,0,1,2,0,0,0,4,0,6,0,0,1,0,7,3,4,4,0,0,24,13,0,0,2,0,28,6,1,1,1,4,0,0,0,3,0,3,0,0,1,0,3,4,2,2,0,0,27,10,0,0,1,0,arrij001,pavac001,johnj010,pavac001,arrij001,,1,Apr 6,@,BAL,"L,2-4",8,6,4,4,0,3,3,1,0,4.5,31,119,70,2,0,0,0,28,1,1,0,0,0,0,1,3,Tim Tschida,"C.Pavano (99-50-L), J.Gray (99), B.Duensing (99)"
20120407,MIN,AL,2,BAL,AL,2,2,8,51,BAL12,31532,20,01230020x,33,7,1,0,0,2,0,0,1,1,0,4,0,0,2,0,6,4,7,7,0,0,24,9,2,0,3,0,34,13,1,0,3,6,0,0,0,3,0,7,0,0,3,0,5,3,0,0,0,0,27,14,1,0,2,0,huntt002,lirif001,,lirif001,huntt002,,2,Apr 7,@,BAL,"L,2-8",8,13,8,7,1,3,7,3,0,6.19,37,140,91,0,0,0,0,34,1,0,0,0,0,0,3,4,Jeff Nelson,"F.Liriano (99-26-L), A.Burnett (99), J.Burton (99), G.Perkins (99)"
20120408,MIN,AL,3,BAL,AL,3,1,3,51,BAL12,14738,10,10000200x,27,2,2,0,0,1,0,0,0,3,0,6,0,0,2,0,2,4,3,3,0,0,24,10,0,0,0,0,29,6,1,0,1,3,0,0,1,4,0,2,2,0,0,0,7,2,1,1,0,0,27,15,0,0,2,0,hammj002,swara001,johnj010,swara001,hammj002,,3,Apr 8,@,BAL,"L,1-3",8,6,3,3,0,4,2,1,1,5.25,34,122,70,2,0,2,0,29,1,0,0,0,0,0,0,4,Bill Welke,"A.Swarzak (99-54-L), M.Maloney (99), J.Gray (1), B.Duensing (1)"
20120409,ANA,AL,4,MIN,AL,4,5,1,54,MIN04,39414,200000300,100000,33,6,2,0,0,5,1,0,0,2,0,6,0,0,0,0,4,3,1,1,1,0,27,21,0,0,3,0,29,5,0,0,1,1,0,0,1,4,0,5,0,0,2,0,6,4,5,5,0,0,27,15,2,0,0,0,wilsc004,blacn001,,wilsc004,blacn001,,4,Apr 9,1,LAA,"L,1-5",9,6,5,5,0,2,6,0,0,5.18,36,144,90,2,1,0,0,33,2,0,0,1,0,1,0,4,Alfonso Marquez,"N.Blackburn (99-43-L), J.Burton (1), G.Perkins (1), M.Capps (99)"
20120411,ANA,AL,5,MIN,AL,5,5,6,51,MIN04,31413,130100,00030030x,34,8,3,0,1,5,0,0,0,0,0,5,1,0,0,0,2,4,6,6,0,0,24,6,0,0,1,0,32,9,1,1,1,6,0,0,0,1,0,8,0,0,1,0,3,4,5,5,0,0,27,17,0,0,0,0,grayj002,takah001,cappm001,weavj003,pavac001,,5,Apr 11,1,LAA,"W,6-5",9,8,5,5,0,0,5,1,0,5.14,34,133,92,1,0,1,0,34,3,0,0,0,0,0,0,4,Tom Hallion,"C.Pavano (4-43), J.Gray (2-W), G.Perkins (1-H), M.Capps (1-Sv)"
20120412,ANA,AL,6,MIN,AL,6,9,10,51,MIN04,31782,50010012,00003034x,39,13,2,0,1,8,1,0,0,4,0,5,5,0,0,0,8,5,10,10,1,0,24,5,0,0,0,0,43,20,3,0,3,10,0,1,0,3,0,9,2,0,0,0,13,6,8,8,1,0,27,9,1,0,0,0,grayj002,thomr006,cappm001,hared001,lirif001,,6,Apr 12,1,LAA,"W,10-9",9,13,9,8,1,4,5,1,0,5.65,44,169,108,3,1,5,0,39,2,0,0,1,0,0,0,6,D.J. Reyburn,"F.Liriano (4-30), A.Burnett (4), J.Burton (2), B.Duensing (3), J.Gray (0-W), M.Capps (0-Sv)"
20120413,TEX,AL,8,MIN,AL,7,4,1,54,MIN04,31400,300100,10000000,36,9,1,0,1,4,0,1,0,0,0,5,0,0,0,0,6,2,1,1,0,0,27,18,0,1,2,0,32,8,2,0,0,1,0,1,1,2,0,5,0,0,2,0,8,3,4,4,0,0,27,9,1,0,0,0,harrm001,swara001,ogana001,harrm001,swara001,,7,Apr 13,1,TEX,"L,1-4",9,9,4,4,0,0,5,1,0,5.4,37,117,82,0,0,0,0,36,1,0,0,0,1,1,0,3,Ed Hickox,"A.Swarzak (4-46-L), J.Burton (0), M.Maloney (4)"
20120414,TEX,AL,9,MIN,AL,8,6,2,54,MIN04,35854,11000202,10001000,40,14,6,0,1,5,0,1,0,2,0,6,0,0,0,0,10,5,1,1,1,0,27,11,1,0,1,0,39,13,3,0,0,1,0,0,1,4,0,6,1,0,1,0,15,5,6,6,0,0,27,10,1,0,0,0,rossr002,duenb001,,darvy001,blacn001,,8,Apr 14,1,TEX,"L,2-6",9,14,6,6,0,2,6,1,0,5.48,43,140,93,4,2,0,0,40,6,0,0,0,1,0,0,5,Ed Rapuano,"N.Blackburn (4-48), B.Duensing (1-L), J.Gray (1), G.Perkins (2), A.Burnett (1)"
20120415,TEX,AL,10,MIN,AL,9,4,3,54,MIN04,32093,10030,21000,35,10,2,1,2,4,0,0,1,1,0,6,1,0,1,0,6,4,3,3,0,0,27,11,0,0,2,0,31,7,0,1,1,3,0,0,0,2,0,7,1,1,2,0,3,5,4,4,0,0,27,10,0,0,1,0,rossr002,perkg001,nathj001,felin001,hendl001,,9,Apr 15,1,TEX,"L,3-4",9,10,4,4,0,1,6,2,1,5.31,37,126,88,0,0,1,0,35,2,1,0,0,0,0,1,5,Cory Blaser,"L.Hendriks (99-58), J.Burton (1-H), G.Perkins (0-BL), A.Burnett (0), M.Maloney (1)"
20120416,MIN,AL,10,NYA,AL,10,7,3,54,NYC21,40218,200021020,300000000,39,14,4,0,1,7,0,0,1,2,0,7,1,1,0,0,8,3,3,3,0,0,27,11,1,0,1,0,35,9,0,0,2,3,0,0,0,1,0,6,0,0,1,0,6,4,7,7,0,0,27,9,0,0,1,0,pavac001,garcf002,,pavac001,garcf002,,10,Apr 16,@,NYY,"W,7-3",9,9,3,3,0,1,6,2,0,5.07,36,122,77,0,0,0,0,35,0,0,0,0,0,0,1,3,Gerry Davis,"C.Pavano (4-56-W), B.Duensing (1), M.Capps (3)"
20120417,MIN,AL,11,NYA,AL,11,3,8,51,NYC21,40194,12000000,01411010x,33,5,1,0,1,3,0,0,0,1,0,9,0,0,0,0,4,4,8,8,0,1,24,9,1,0,0,0,36,13,4,0,1,8,0,1,0,5,0,3,1,0,0,0,10,3,3,3,0,1,27,8,1,0,0,0,sabac001,lirif001,,lirif001,sabac001,,11,Apr 17,@,NYY,"L,3-8",8,13,8,8,0,5,3,1,0,5.4,42,147,85,2,1,1,0,36,4,0,0,0,1,0,0,4,Greg Gibson,"F.Liriano (4-21-L), M.Maloney (1), J.Gray (2), A.Burnett (1)"
20120418,MIN,AL,12,NYA,AL,12,6,5,54,NYC21,36831,401010000,301000001,39,13,5,0,2,6,0,0,0,3,1,10,1,0,1,0,9,4,5,5,0,0,27,11,0,0,2,0,36,11,1,0,2,5,0,0,1,2,0,6,0,0,2,0,7,4,6,6,0,0,27,10,0,0,1,0,marqj001,kuroh001,cappm001,marqj001,kuroh001,,12,Apr 18,@,NYY,"W,6-5",9,11,5,5,0,2,6,2,1,5.37,39,157,95,2,0,0,0,36,1,0,0,0,0,0,2,4,Phil Cuzzi,"J.Marquis (99-38-W), B.Duensing (1-H), J.Burton (2-H), M.Capps (1-Sv)"
20120419,MIN,AL,13,NYA,AL,13,6,7,51,NYC21,40327,400002000,33010000x,38,10,4,0,1,6,0,0,0,2,0,8,0,0,0,0,7,4,7,7,0,0,24,13,0,0,2,0,34,13,1,0,4,7,0,0,1,3,0,3,1,1,2,0,7,5,2,2,1,0,27,9,1,0,0,0,hughp001,swara001,rivem002,swara001,hughp001,,13,Apr 19,@,NYY,"L,6-7",8,13,7,7,0,3,3,4,1,5.54,38,150,92,3,0,1,1,34,1,0,0,0,0,0,2,4,Vic Carapazza,"A.Swarzak (5-20-L), J.Gray (1), A.Burnett (1), G.Perkins (3)"
20120420,MIN,AL,14,TBA,AL,14,5,4,54,STP01,18763,100010300,13000,35,11,2,0,0,5,0,0,0,6,1,4,2,0,2,0,9,5,4,4,1,0,27,11,1,0,1,0,30,5,0,0,2,3,0,0,0,3,0,3,0,1,1,0,2,4,5,5,0,0,27,12,0,0,3,0,malom001,gomeb001,cappm001,hendl001,moorm003,,14,Apr 20,@,TBR,"W,5-4",9,5,4,4,0,3,3,2,0,5.43,33,134,78,1,0,0,1,30,0,0,0,0,0,0,1,5,Mike Winters,"L.Hendriks (4-42), M.Maloney (2-W), J.Burton (1-H), B.Duensing (1-H), M.Capps (1-Sv)"
20120421,MIN,AL,15,TBA,AL,15,1,4,51,STP01,31774,1,00000310x,31,5,1,0,0,1,0,1,1,2,0,9,1,0,0,0,7,4,2,2,1,0,24,12,3,0,3,0,30,8,2,0,0,3,1,0,2,4,1,7,0,0,2,0,9,2,1,1,0,0,27,8,0,1,0,0,shiej002,pavac001,rodnf001,pavac001,shiej002,,15,Apr 21,@,TBR,"L,1-4",8,8,4,2,2,4,7,0,2,5.23,37,163,97,3,0,0,0,30,2,0,1,1,0,1,2,4,Wally Bell,"C.Pavano (4-53-L), A.Burnett (1), B.Duensing (0), J.Gray (1)"
20120422,MIN,AL,16,TBA,AL,16,2,6,51,STP01,26507,2000,00212001x,32,5,0,0,0,2,0,0,1,2,0,10,1,0,0,0,6,3,6,6,0,0,24,7,0,1,1,0,24,5,1,0,1,6,0,4,1,5,0,8,2,0,1,0,4,5,2,2,0,0,27,12,1,0,1,0,niemj001,lirif001,,lirif001,niemj001,,16,Apr 22,@,TBR,"L,2-6",8,5,6,6,0,5,8,1,1,5.32,34,133,76,0,0,2,0,24,1,0,0,0,4,0,1,3,Mark Wegner,"F.Liriano (4-41-L), A.Swarzak (2), G.Perkins (2)"
