Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20110331,DET,AL,1,NYA,AL,1,3,6,51,NYC21,48226,10110000,00300021x,31,6,1,0,0,3,1,2,0,2,0,10,0,0,0,0,6,4,5,5,3,0,24,9,1,0,0,0,26,5,1,0,2,6,2,1,0,5,0,8,1,0,0,0,4,4,2,2,0,0,27,4,1,0,0,0,chamj002,cokep001,rivem002,verlj001,sabac001,,1,Mar 31,1,DET,"W,6-3",9,6,3,2,1,2,10,0,0,2,36,145,95,0,0,0,0,31,1,0,0,1,2,1,0,4,Dale Scott,"C.Sabathia (99-55), J.Chamberlain (99-W), R.Soriano (99-H), M.Rivera (99-Sv)"
20110402,DET,AL,2,NYA,AL,2,6,10,51,NYC21,41462,1020021,33003100x,36,10,2,0,2,5,1,0,0,3,0,9,0,0,1,0,7,6,10,10,1,0,24,8,2,0,0,0,37,12,2,0,3,10,0,1,0,4,0,5,2,0,0,0,8,5,5,5,1,0,27,8,1,0,1,0,burna001,pennb002,rivem002,pennb002,burna001,,2,Apr 2,1,DET,"W,10-6",9,10,6,5,1,3,9,2,0,3.5,40,150,99,2,0,0,0,36,2,0,0,1,0,1,1,5,Jerry Meals,"A.Burnett (99-50-W), D.Robertson (99), L.Ayala (99), B.Logan (99), M.Rivera (1-Sv)"
20110403,DET,AL,3,NYA,AL,3,10,7,54,NYC21,40574,203022001,22020100,39,14,2,0,3,10,0,1,0,3,0,7,1,0,1,0,6,4,7,7,1,0,27,8,1,0,0,0,40,12,2,0,4,7,0,0,0,3,0,7,0,0,0,0,9,3,10,10,0,0,27,6,0,0,1,0,schem001,hughp001,valvj001,schem001,hughp001,,3,Apr 3,1,DET,"L,7-10",9,14,10,10,0,3,7,3,0,5.67,43,180,115,0,0,1,0,39,2,0,0,0,1,0,1,3,CB Bucknor,"P.Hughes (99-31-L), B.Colon (99), J.Chamberlain (2)"
20110404,MIN,AL,4,NYA,AL,4,3,4,51,NYC21,40311,210000,22000000x,34,8,4,0,0,3,0,0,0,1,0,5,0,0,2,0,5,3,4,4,0,0,24,9,0,0,3,0,28,7,0,0,2,4,0,0,1,4,0,6,1,0,3,0,5,4,3,3,1,0,27,13,1,0,2,0,novai001,bakes002,rivem002,bakes002,novai001,,4,Apr 4,1,MIN,"W,4-3",9,8,3,3,0,1,5,0,0,5,35,125,80,0,0,0,0,34,4,0,0,0,0,1,2,4,Dan Bellino,"I.Nova (99-50-W), J.Chamberlain (0-H), R.Soriano (3-H), M.Rivera (1-Sv)"
20110405,MIN,AL,5,NYA,AL,5,5,4,60,NYC21,40267,401,3100000000,36,7,1,0,0,5,0,0,0,6,0,10,0,0,1,0,7,3,4,4,0,0,30,14,0,0,1,0,35,6,0,0,2,4,0,0,0,2,0,8,0,0,1,0,3,6,5,5,0,0,30,7,0,0,1,0,cappm001,logab001,nathj001,duenb001,sabac001,,5,Apr 5,1,MIN,"L,4-5",10,7,5,5,0,6,10,0,0,4.89,42,185,115,5,3,0,0,36,1,0,0,0,0,0,1,6,Brian Gorman,"C.Sabathia (4-78), R.Soriano (0), D.Robertson (2-BSv), M.Rivera (0), B.Logan (2-L), L.Ayala (2)"
20110407,MIN,AL,6,NYA,AL,6,3,4,51,NYC21,41512,200100,00130000x,33,6,4,0,0,3,0,0,1,2,0,5,1,0,0,0,6,4,4,4,0,0,24,7,1,0,0,0,29,5,2,0,0,4,0,1,1,3,0,8,1,0,0,0,6,4,2,2,1,0,27,4,1,0,0,0,burna001,lirif001,rivem002,lirif001,burna001,,6,Apr 7,1,MIN,"W,4-3",9,6,3,2,1,2,5,0,1,4.42,36,135,84,0,0,1,0,33,4,0,0,0,0,0,0,4,Larry Vanover,"A.Burnett (4-57-W), J.Chamberlain (2-H), R.Soriano (1-H), M.Rivera (1-Sv)"
20110408,NYA,AL,7,BOS,AL,7,6,9,51,BOS07,37178,211110000,15001020x,34,8,4,1,1,6,0,0,1,4,0,7,1,0,1,0,6,4,8,8,0,0,24,6,2,0,0,0,36,12,2,0,1,9,0,0,0,3,0,5,0,0,0,0,6,5,6,6,1,0,27,10,0,0,1,0,lackj001,colob001,papej001,hughp001,lackj001,,7,Apr 8,@,BOS,"L,6-9",8,12,9,8,1,3,5,1,0,5,39,141,92,1,1,0,0,36,2,0,0,0,0,1,0,4,Mark Wegner,"P.Hughes (4-16), B.Colon (4-L), B.Logan (2), D.Robertson (2)"
20110409,NYA,AL,8,BOS,AL,8,9,4,54,BOS07,37488,20321100,1300000,40,13,3,0,4,9,0,0,0,4,0,6,0,1,0,0,8,4,4,4,0,0,27,10,0,0,1,0,36,10,3,0,0,4,0,0,1,4,0,7,0,0,1,0,10,4,8,8,0,0,27,11,1,0,0,0,robed002,buchc001,,novai001,buchc001,,8,Apr 9,@,BOS,"W,9-4",9,10,4,4,0,4,7,0,1,4.88,41,144,89,2,0,0,0,36,3,0,0,0,0,0,1,4,Chris Guccione,"I.Nova (4-33), D.Robertson (0-W), J.Chamberlain (1), L.Ayala (3)"
20110410,NYA,AL,9,BOS,AL,9,0,4,51,BOS07,37861,0,00100021x,28,2,0,0,0,0,0,0,1,1,0,12,0,0,1,0,3,4,4,4,0,0,24,10,0,0,1,0,34,12,2,0,0,4,1,0,1,8,1,6,0,0,1,0,16,2,0,0,0,0,27,11,0,0,1,0,beckj002,sabac001,,sabac001,beckj002,,9,Apr 10,@,BOS,"L,0-4",8,12,4,4,0,8,6,0,1,4.84,44,171,96,5,0,0,0,34,2,0,1,1,0,0,1,4,Mike Winters,"C.Sabathia (4-47-L), J.Chamberlain (0), B.Logan (1), F.Garcia (99)"
20110413,BAL,AL,10,NYA,AL,10,4,7,51,NYC21,42171,400,33001000x,35,8,3,0,2,4,0,0,0,2,0,8,0,0,0,0,6,4,7,7,0,0,24,11,0,0,2,0,33,12,2,0,2,7,0,0,0,4,0,5,0,1,2,0,6,4,4,4,3,0,27,4,0,0,0,0,burna001,tillc001,rivem002,tillc001,burna001,,10,Apr 13,1,BAL,"W,7-4",9,8,4,4,0,2,8,2,0,4.75,37,149,96,0,0,0,0,35,3,0,0,0,0,0,0,4,Doug Eddings,"A.Burnett (5-46-W), D.Robertson (3-H), R.Soriano (5-H), M.Rivera (5-Sv)"
