Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20180329,NYA,AL,1,TOR,AL,1,6,1,54,TOR02,48115,200020101,10,38,11,4,0,3,6,0,0,0,2,0,9,0,0,2,0,7,4,1,1,0,0,27,8,1,0,0,0,29,2,0,0,1,1,0,0,0,3,0,12,1,0,0,0,4,6,5,5,0,0,27,8,2,0,2,0,sevel001,happj001,,sevel001,happj001,1,Mar 29,@,TOR,"W,6-1",9,2,1,1,0,3,12,1,0,1,32,136,90,1,0,1,0,29,0,0,0,0,0,0,0,4,Kerwin Danley,"L.Severino (99-71-W), C.Green (99), D.Betances (99), A.Chapman (99)"
20180330,NYA,AL,2,TOR,AL,2,4,2,54,TOR02,33716,10102000,10000001,33,8,3,1,0,4,0,0,0,4,0,6,0,0,2,0,6,4,2,2,0,0,27,3,0,0,0,0,32,5,4,0,1,2,0,0,0,1,0,12,0,0,0,0,4,5,4,4,0,0,27,13,0,0,2,0,tanam001,sanca006,chapa001,tanam001,sanca006,2,Mar 30,@,TOR,"W,4-2",9,5,2,2,0,1,12,1,0,1.5,33,125,92,1,0,0,0,32,4,0,0,0,0,0,0,4,Paul Nauert,"M.Tanaka (99-70-W), T.Kahnle (99-H), D.Robertson (99-H), A.Chapman (0-Sv)"
20180331,NYA,AL,3,TOR,AL,3,3,5,51,TOR02,37692,20100,10100102x,30,4,2,0,2,3,0,0,0,4,0,4,0,0,1,0,4,4,4,4,0,0,24,11,2,0,1,0,32,9,2,0,1,4,0,0,0,4,0,9,4,1,1,0,7,3,3,3,0,0,27,8,0,0,1,0,teper001,betad001,osunr001,sabac001,estrm001,3,Mar 31,@,TOR,"L,3-5",8,9,5,4,1,4,9,1,0,2.42,36,138,84,1,1,4,1,32,2,0,0,0,0,1,1,4,Scott Barry,"C.Sabathia (99-53), A.Warren (99), J.Holder (99), D.Betances (1-L)"
20180401,NYA,AL,4,TOR,AL,4,4,7,51,TOR02,29091,4000000,01000024x,33,5,1,0,1,4,0,0,0,6,0,12,0,0,0,0,8,4,7,7,0,0,24,8,0,0,0,0,35,12,1,0,2,7,0,0,0,5,1,12,0,0,0,0,9,5,4,4,0,0,27,8,1,0,0,0,clipt001,robed002,oh--s001,grays001,strom001,4,Apr 1,@,TOR,"L,4-7",8,12,7,7,0,5,12,2,0,3.71,40,159,99,1,0,0,0,35,1,0,1,0,0,0,0,4,David Rackley,"S.Gray (99-49), C.Green (2), T.Kahnle (1-H), D.Robertson (1-BL)"
20180403,TBA,AL,5,NYA,AL,5,4,11,51,NYC21,46776,1003000,01300043x,33,7,2,0,0,4,0,0,0,4,0,11,0,0,1,0,6,3,10,10,0,0,24,4,1,0,1,0,34,11,2,0,2,10,1,0,0,6,0,14,0,0,1,0,6,5,4,4,0,0,27,9,1,0,2,0,kahnt001,pruia001,,archc001,montj004,5,Apr 3,1,TBR,"W,11-4",9,7,4,4,0,4,11,0,0,3.77,37,137,89,3,2,0,0,33,2,0,0,0,0,1,1,5,Mark Ripperger,"J.Montgomery (99-59), J.Holder (2-H), T.Kahnle (1-BW), D.Robertson (1), C.Shreve (99)"
20180404,TBA,AL,6,NYA,AL,6,2,7,51,NYC21,40028,100000010,20230000x,30,6,1,0,0,2,0,1,0,1,0,9,0,0,2,0,3,4,7,7,0,0,24,5,0,0,0,0,31,7,0,0,3,7,0,0,0,3,0,11,1,0,0,0,3,3,2,2,0,0,27,11,1,0,2,0,sevel001,snelb001,,snelb001,sevel001,6,Apr 4,1,TBR,"W,7-2",9,6,2,2,0,1,9,0,0,3.46,32,117,80,1,1,0,0,30,1,0,0,0,1,0,2,3,Joe West,"L.Severino (5-66-W), A.Warren (3), A.Chapman (4)"
20180405,BAL,AL,7,NYA,AL,7,5,2,54,NYC21,33653,500,1100,36,10,2,0,1,5,0,0,0,1,0,13,1,0,0,0,5,4,2,2,0,0,27,8,0,0,1,0,29,4,2,0,1,2,0,0,2,6,0,8,0,1,1,0,8,4,5,5,0,0,27,9,0,0,0,0,casha001,tanam001,bracb001,casha001,tanam001,7,Apr 5,1,BAL,"L,2-5",9,10,5,5,0,1,13,1,0,3.69,37,148,97,1,1,1,0,36,2,0,0,0,0,0,0,4,Ron Kulpa,"M.Tanaka (5-56-L), C.Green (3), A.Warren (0), D.Betances (4)"
20180406,BAL,AL,8,NYA,AL,8,7,3,84,NYC21,34244,1.011E+13,1.01E+13,51,9,0,0,4,7,1,0,1,8,0,16,0,0,1,0,12,6,3,3,0,0,42,20,0,0,1,0,47,7,1,0,1,3,0,0,1,5,1,10,2,0,1,0,8,8,6,6,3,0,42,10,3,0,1,0,araup001,holdj002,,gausk001,sabac001,8,Apr 6,1,BAL,"L,3-7",14,9,7,6,1,8,16,4,1,3.72,61,265,161,0,0,0,0,51,0,0,0,1,0,2,1,8,Ed Hickox,"C.Sabathia (5-45), T.Kahnle (2), D.Betances (0), D.Robertson (2), A.Chapman (1), C.Green (0), C.Shreve (2), J.Holder (2-L)"
20180407,BAL,AL,9,NYA,AL,9,3,8,51,NYC21,34388,2100000,02001230x,34,6,3,0,0,3,0,0,0,2,0,10,0,0,0,0,6,4,8,8,2,0,24,18,0,0,2,0,29,11,3,0,0,8,0,1,0,7,1,3,1,1,2,0,5,4,3,3,0,0,27,10,1,0,0,0,grays001,tillc001,,tillc001,grays001,9,Apr 7,1,BAL,"W,8-3",9,6,3,3,0,2,10,0,0,3.64,36,129,85,2,0,0,0,34,3,0,0,0,0,1,0,4,Jerry Meals,"S.Gray (5-54-W), A.Warren (1-H), D.Robertson (0-H), L.Cessa (99)"
20180408,BAL,AL,10,NYA,AL,10,8,7,72,NYC21,37096,11021200001,5.00E+11,50,16,1,0,2,8,0,0,0,4,0,15,2,0,2,0,10,7,4,4,0,0,36,14,2,0,2,0,50,16,3,0,0,7,1,0,0,6,1,12,0,1,1,0,14,7,8,8,0,0,36,12,1,0,2,0,bleir001,warra001,bracb001,wrigm001,montj004,10,Apr 8,1,BAL,"L,7-8",12,16,8,8,0,4,15,2,0,3.94,54,226,148,0,0,2,0,50,1,0,0,0,0,0,2,7,Ben May,"J.Montgomery (4-29), D.German (99), D.Betances (1), A.Chapman (1), C.Shreve (1), D.Robertson (0), A.Warren (0-L)"
20180410,NYA,AL,11,BOS,AL,10,1,14,51,BOS07,32357,10000,13010900x,36,10,1,0,1,1,0,0,0,1,0,10,0,0,1,0,9,4,8,8,0,0,24,7,2,0,0,0,34,11,4,1,1,13,0,2,1,7,0,10,1,0,0,0,6,3,1,1,0,0,27,7,0,0,1,0,salec001,sevel001,,sevel001,salec001,11,Apr 10,@,BOS,"L,1-14",8,11,14,8,6,7,10,1,1,4.33,44,161,97,2,2,1,0,34,4,1,0,0,2,1,0,4,Larry Vanover,"L.Severino (5-34-L), T.Kahnle (3), C.Shreve (1), L.Cessa (2)"
20180411,NYA,AL,12,BOS,AL,11,10,7,54,BOS07,32400,401302000,100050001,36,12,1,1,2,10,0,2,1,5,0,9,2,0,0,0,7,4,7,7,2,0,27,7,0,0,1,0,36,10,3,0,2,6,0,0,0,2,0,8,0,0,1,0,4,7,10,10,2,0,27,9,1,0,1,0,tanam001,pricd001,,tanam001,pricd001,12,Apr 11,@,BOS,"W,10-7",9,10,7,7,0,2,8,2,0,4.54,38,154,95,0,0,0,0,36,3,0,0,0,0,0,1,4,Hunter Wendelstedt,"M.Tanaka (5-30-W), C.Green (4), D.Robertson (2), A.Chapman (2)"
