Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20180329,SLN,NL,1,NYN,NL,1,4,9,51,NYC20,44189,20101000,12005001x,33,6,1,0,2,4,0,0,0,1,0,15,0,0,0,0,3,6,8,8,2,0,24,9,1,0,3,0,33,12,2,0,0,8,1,0,1,9,0,8,1,0,3,0,11,4,4,4,0,0,27,5,0,0,0,0,syndn001,martc006,,martc006,syndn001,1,Mar 29,1,STL,"W,9-4",9,6,4,4,0,1,15,2,0,4,34,129,86,0,0,0,0,33,1,0,0,0,0,0,0,4,Fieldin Culbreth,"N.Syndergaard (99-54-W), R.Gsellman (99), A.Swarzak (99), J.Familia (99)"
20180331,SLN,NL,2,NYN,NL,2,2,6,51,NYC20,36098,100010,20011011x,34,7,0,0,1,2,0,0,0,3,0,12,0,0,0,0,8,5,6,6,2,0,24,7,0,0,0,0,33,11,3,0,2,6,0,1,1,5,1,5,0,0,0,0,10,4,2,2,1,0,27,4,1,0,0,0,degrj001,wachm001,famij001,wachm001,degrj001,2,Mar 31,1,STL,"W,6-2",9,7,2,2,0,3,12,1,0,3,37,175,108,4,0,0,0,34,0,0,0,0,0,0,0,4,Brian O'Nora,"J.deGrom (99-63-W), R.Gsellman (1-H), A.Swarzak (1-H), J.Familia (1-Sv)"
20180401,SLN,NL,3,NYN,NL,3,5,1,54,NYC20,22486,11110010,10000000,34,9,1,0,3,5,0,0,1,7,0,8,2,0,2,0,10,4,1,1,1,0,27,5,0,0,0,0,32,7,1,0,0,1,1,0,0,3,0,8,0,0,0,0,8,5,5,5,0,0,27,8,0,0,2,0,weavl001,matzs001,,weavl001,matzs001,3,Apr 1,1,STL,"L,1-5",9,9,5,5,0,7,8,3,1,3.67,42,208,124,1,0,2,0,34,1,0,0,0,0,0,2,5,CB Bucknor,"S.Matz (99-43-L), P.Sewald (99), J.Rhame (99), J.Blevins (99), A.Ramos (99)"
20180403,PHI,NL,4,NYN,NL,4,0,2,51,NYC20,21397,0,00000200x,31,3,0,0,0,0,0,0,0,3,0,11,0,0,0,0,7,5,2,2,1,0,24,6,0,0,0,0,30,7,1,0,0,2,0,0,2,1,0,8,0,1,0,0,7,5,0,0,1,0,27,6,1,0,0,0,blevj001,liveb001,famij001,liveb001,harvm001,4,Apr 3,1,PHI,"W,2-0",9,3,0,0,0,3,11,0,0,2.75,34,151,101,2,0,0,0,31,0,0,0,0,0,1,0,5,Bill Miller,"M.Harvey (99-69), A.Ramos (1), J.Blevins (1-W), S.Lugo (99-H), J.Familia (2-Sv)"
20180404,PHI,NL,5,NYN,NL,5,2,4,51,NYC20,21328,2000000,20000200x,31,5,2,0,0,1,0,0,0,2,0,15,2,0,1,0,4,5,4,4,0,0,24,10,2,0,1,0,27,5,0,1,1,4,0,0,1,6,0,7,0,1,1,0,6,5,2,2,0,0,27,8,0,0,1,0,gselr001,hutcd001,famij001,nolaa001,syndn001,5,Apr 4,1,PHI,"W,4-2",9,5,2,2,0,2,15,0,0,2.6,33,154,99,0,0,2,0,31,2,0,0,0,0,0,1,5,Angel Hernandez,"N.Syndergaard (5-51), R.Gsellman (3-W), H.Robles (99-H), A.Ramos (0-H), J.Familia (0-Sv)"
20180405,NYN,NL,6,WAS,NL,7,8,2,54,WAS11,42477,10120400,101000000,34,8,2,0,3,7,0,0,1,4,0,10,0,0,1,0,4,5,1,1,0,0,27,8,1,0,1,0,32,6,3,0,0,1,0,0,0,3,0,11,0,0,1,0,6,4,8,8,0,1,27,10,0,0,1,0,degrj001,stras001,,degrj001,stras001,6,Apr 5,@,WSN,"W,8-2",9,6,2,1,1,3,11,0,0,2.33,35,147,97,0,0,0,0,32,3,0,0,0,0,0,1,5,Doug Eddings,"J.deGrom (4-60-W), J.Blevins (1), R.Gsellman (0), H.Robles (0), S.Lugo (1)"
20180407,NYN,NL,7,WAS,NL,8,3,2,54,WAS11,28952,1200,11000,34,8,3,0,0,3,0,0,0,5,2,10,1,0,1,0,9,6,1,1,0,0,27,8,1,0,0,0,31,5,0,0,1,2,1,0,0,3,0,10,5,0,0,0,6,5,3,3,0,0,27,11,1,0,1,0,roblh001,kintb001,famij001,matzs001,gonzg003,7,Apr 7,@,WSN,"W,3-2",9,5,2,1,1,3,10,1,0,2.14,35,161,100,1,0,5,0,31,0,0,0,1,0,1,0,6,Marty Foster,"S.Matz (5-65), H.Robles (1-W), A.Ramos (2-H), J.Rhame (5-H), J.Blevins (1), J.Familia (2-Sv)"
20180408,NYN,NL,8,WAS,NL,9,6,5,72,WAS11,21579,4010000001,2.00E+11,42,9,2,0,2,6,1,0,0,5,1,18,1,0,1,0,6,6,5,5,0,0,36,17,3,0,1,0,47,13,3,0,1,5,0,0,1,7,2,7,2,1,1,0,14,7,6,6,1,0,36,9,0,0,1,0,lugos001,kintb001,rhamj001,harvm001,roart001,8,Apr 8,@,WSN,"W,6-5",12,13,5,5,0,7,7,1,1,2.4,55,194,116,1,0,2,1,47,3,0,2,0,0,1,1,6,Mark Ripperger,"M.Harvey (4-34), R.Gsellman (2-BSv), A.Ramos (0), J.Blevins (0), S.Lugo (2-W), J.Rhame (0-Sv)"
20180409,NYN,NL,9,MIA,NL,10,4,2,54,MIA02,7003,21000100,11000,31,6,1,0,0,3,0,0,0,5,0,9,0,1,1,0,5,5,1,1,0,0,27,12,1,0,1,0,35,9,2,0,0,2,0,0,1,3,0,9,1,0,1,0,10,5,3,3,0,0,27,7,1,0,2,0,syndn001,urenj001,famij001,syndn001,urenj001,9,Apr 9,@,MIA,"W,4-2",9,9,2,1,1,3,9,0,1,2.25,39,143,91,0,0,1,0,35,2,0,0,0,0,1,1,5,Jim Wolf,"N.Syndergaard (4-59-W), H.Robles (1-H), J.Blevins (0-H), A.Ramos (0-H), J.Familia (1-Sv)"
20180410,NYN,NL,10,MIA,NL,11,8,6,54,MIA02,6516,100111022,40200,36,9,4,0,3,8,0,1,0,3,0,11,0,0,0,0,5,5,6,6,0,0,27,9,0,0,0,0,36,11,1,0,2,6,1,1,1,2,1,9,0,0,0,0,8,5,7,7,1,0,27,8,1,0,0,0,roblh001,ziegb001,famij001,degrj001,smitc006,10,Apr 10,@,MIA,"W,8-6",9,11,6,6,0,2,9,2,1,2.61,41,143,95,1,0,0,0,36,1,0,1,1,1,0,0,5,D.J. Reyburn,"J.deGrom (4-47), J.Rhame (1), P.Sewald (8), H.Robles (0-W), J.Familia (0-Sv)"
