Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20140331,CLE,AL,1,OAK,AL,1,2,0,54,OAK01,36067,2,0,33,8,2,0,0,2,1,1,1,4,0,12,0,0,0,0,11,4,0,0,2,0,27,8,0,0,0,0,31,5,1,0,0,0,1,0,0,4,0,7,0,0,0,0,9,5,2,2,0,0,27,8,0,0,0,0,allec002,johnj010,axfoj001,mastj001,grays001,,1,Mar 31,1,CLE,"L,0-2",9,8,2,2,0,4,12,0,1,2,40,161,103,2,0,0,0,33,2,0,0,1,1,0,0,5,Mike Winters,"S.Gray (99-66), L.Gregerson (99), S.Doolittle (99), J.Johnson (99-L), F.Abad (99)"
20140402,CLE,AL,2,OAK,AL,2,1,6,51,OAK01,15134,1,12200100x,32,5,2,0,0,1,0,0,0,0,0,5,0,0,1,0,4,5,6,6,0,0,24,9,1,0,0,0,35,12,2,0,1,6,1,1,0,5,0,6,1,0,0,0,12,2,1,1,2,0,27,11,1,0,1,0,kazms001,klubc001,,klubc001,kazms001,,2,1,1,CLE,"W,6-1",9,5,1,1,0,0,5,0,0,1.5,32,132,89,1,0,0,0,32,2,0,0,0,0,1,1,2,Mark Wegner,"S.Kazmir (99-77-W), D.Otero (99)"
20140402,CLE,AL,3,OAK,AL,3,6,4,54,OAK01,12198,200103,200100100,35,9,1,0,1,6,0,1,1,7,1,4,3,0,0,0,11,5,3,3,2,0,27,8,1,0,2,0,33,7,1,1,0,4,0,0,0,6,1,8,1,0,2,0,8,6,6,6,0,0,27,4,1,0,0,0,allec002,johnj010,axfoj001,mcalz001,lindj004,,3,1,1,CLE,"L,4-6",9,9,6,6,0,7,4,1,1,3,44,177,104,4,0,3,0,35,1,0,1,0,1,0,0,6,Andy Fletcher,"J.Lindblom (99-46), D.Pomeranz (99), L.Gregerson (1-BSv), S.Doolittle (1-H), J.Johnson (1-BL), E.Scribner (99)"
20140403,SEA,AL,4,OAK,AL,4,2,3,69,OAK01,11236,1.0001E+11,10010001,42,6,1,0,0,2,0,0,0,3,0,9,1,0,0,0,7,7,3,3,0,0,33,11,0,0,2,0,36,6,0,2,1,3,0,0,0,10,0,10,2,0,1,0,10,5,1,1,0,0,36,14,2,0,1,0,pomed001,noesh001,,eliar001,chavj001,,4,Apr 3,1,SEA,"W,3-2",12,6,2,1,1,3,9,0,0,2.31,45,164,105,0,0,1,0,42,1,0,0,0,0,1,0,5,Sean Barber,"J.Chavez (99-58), F.Abad (2), S.Doolittle (0), L.Gregerson (0), D.Pomeranz (0-W)"
20140405,SEA,AL,5,OAK,AL,5,3,1,54,OAK01,30290,30000,1,34,7,2,0,2,3,0,0,0,1,1,9,0,0,0,0,5,2,1,1,1,0,27,7,0,0,0,0,33,6,1,1,1,1,0,0,0,1,0,10,0,0,0,0,6,4,3,3,1,0,27,6,0,0,0,0,hernf002,strad003,rodnf001,hernf002,strad003,,5,Apr 5,1,SEA,"L,1-3",9,7,3,3,0,1,9,2,0,2.44,35,132,87,0,0,0,0,34,2,0,1,0,0,0,0,4,Fieldin Culbreth,"D.Straily (99-54-L), D.Pomeranz (1), J.Johnson (2), E.Scribner (2)"
20140406,SEA,AL,6,OAK,AL,6,3,6,51,OAK01,32852,21000000,00302001x,34,8,2,0,0,3,0,0,0,3,0,6,0,0,0,0,7,4,6,6,1,0,24,10,0,0,0,0,30,9,1,0,2,6,0,1,0,4,0,6,1,1,0,0,5,4,1,1,2,0,27,7,1,0,1,0,grays001,ramie004,johnj010,ramie004,grays001,,6,Apr 6,1,SEA,"W,6-3",9,8,3,1,2,3,6,0,0,2.21,37,137,83,0,0,0,0,34,2,0,0,0,0,1,0,4,Manny Gonzalez,"S.Gray (5-53-W), L.Gregerson (2-H), S.Doolittle (2-H), J.Johnson (0-Sv)"
20140407,OAK,AL,7,MIN,AL,7,8,3,54,MIN04,35837,23001200,12000000,35,10,3,0,1,7,0,1,1,3,0,7,0,0,0,0,5,4,3,3,0,0,27,9,0,0,0,0,33,6,2,0,0,3,0,0,0,7,0,9,1,0,0,0,10,2,8,8,0,1,27,7,0,0,1,0,kazms001,corrk001,,kazms001,corrk001,,7,Apr 7,@,MIN,"W,8-3",9,6,3,3,0,7,9,0,0,2.32,40,153,88,0,0,1,0,33,2,0,0,0,0,0,0,4,Bill Miller,"S.Kazmir (4-49-W), F.Abad (3), D.Otero (4), R.Cook (99)"
20140409,OAK,AL,8,MIN,AL,8,7,4,66,MIN04,22973,40000000003,1000001200,39,7,3,0,1,7,0,0,0,6,0,12,0,0,1,0,5,5,4,4,0,0,33,12,0,0,1,0,43,13,0,0,2,4,0,1,0,4,1,11,0,0,1,0,11,6,7,7,0,0,33,7,0,0,1,0,oterd001,burtj001,,chavj001,hughp001,,8,Apr 9,@,MIN,"W,7-4",11,13,4,4,0,4,11,2,0,2.45,48,179,119,4,1,0,0,43,0,0,1,0,1,0,1,5,Vic Carapazza,"J.Chavez (5-70), S.Doolittle (2-H), L.Gregerson (2-H), J.Johnson (2-H), D.Otero (1-BW)"
20140410,OAK,AL,9,MIN,AL,9,6,1,54,MIN04,20650,12201000,100000000,38,13,1,0,2,6,0,0,0,5,0,6,0,0,0,0,10,3,1,1,0,0,27,9,0,0,1,0,29,3,0,0,1,1,0,0,0,3,0,7,0,0,1,0,4,3,6,6,0,0,27,11,0,0,0,0,strad003,pelfm001,,strad003,pelfm001,,9,Apr 10,@,MIN,"W,6-1",9,3,1,1,0,3,7,1,0,2.3,32,135,85,0,0,0,0,29,0,0,0,0,0,0,1,3,Adam Hamari,"D.Straily (4-70-W), R.Cook (2), F.Abad (2)"
20140411,OAK,AL,10,SEA,AL,9,4,6,51,SEA03,38968,40,10020300x,34,6,2,0,0,3,0,0,1,2,0,14,0,0,0,0,6,3,4,4,0,0,24,4,3,0,0,0,37,11,2,0,2,4,0,0,1,0,0,12,0,0,0,0,8,5,4,4,1,0,27,3,1,0,0,0,hernf002,milot001,rodnf001,milot001,hernf002,,10,Apr 11,@,SEA,"L,4-6",8,11,6,4,2,0,12,2,1,2.49,38,142,95,0,0,0,0,37,2,0,0,0,0,2,0,3,Chris Guccione,"T.Milone (99-40-L), D.Pomeranz (5), J.Johnson (1)"
