Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20110401,HOU,NL,1,PHI,NL,1,4,5,52,PHI13,45237,1300,203,35,9,1,1,0,4,1,1,0,1,1,8,1,0,0,0,7,3,4,4,0,0,25,12,0,1,1,0,32,10,1,0,0,5,0,1,0,3,0,0,1,1,1,0,6,5,4,4,0,0,27,9,1,0,0,0,baezd001,lyonb003,,myerb001,hallr001,,1,Apr 1,1,HOU,"W,5-4",9,9,4,4,0,1,8,0,0,4,38,150,98,1,1,1,0,35,1,1,1,1,1,1,0,5,Jerry Layne,"R.Halladay (99-64), J.Romero (99), D.Herndon (99), R.Madson (99), D.Baez (99-W)"
20110402,HOU,NL,2,PHI,NL,2,4,9,51,PHI13,45455,102010,20023011x,36,8,0,1,1,4,0,0,1,0,0,14,0,0,0,0,6,5,9,9,0,0,24,9,1,0,0,0,38,14,3,0,0,9,1,0,1,2,0,9,0,0,0,0,9,3,3,3,0,0,27,8,1,0,0,0,lee-c003,rodrw002,,rodrw002,lee-c003,,2,Apr 2,1,HOU,"W,9-4",9,8,4,3,1,0,14,1,1,3.5,37,155,106,0,0,0,0,36,0,1,0,0,0,1,0,3,Bob Davidson,"C.Lee (99-68-W), D.Baez (0), J.Contreras (99)"
20110403,HOU,NL,3,PHI,NL,3,3,7,51,PHI13,45562,101001,40100200x,33,7,2,0,1,2,0,0,1,2,0,6,0,0,1,0,6,6,7,7,0,0,24,14,0,0,0,0,36,13,3,0,2,7,1,0,0,5,0,8,0,0,0,0,11,3,3,3,0,0,27,11,0,0,1,0,oswar001,norrb001,,norrb001,oswar001,,3,Apr 3,1,HOU,"W,7-3",9,7,3,3,0,2,6,1,1,3.33,36,134,86,0,0,0,0,33,2,0,0,0,0,0,1,3,Hunter Wendelstedt,"R.Oswalt (99-59-W), D.Herndon (1), K.Kendrick (99)"
20110405,NYN,NL,4,PHI,NL,4,7,1,54,PHI13,45365,6001000,10000,39,13,1,0,0,6,0,0,1,4,0,7,3,0,1,0,10,4,1,1,0,0,27,6,0,0,1,0,33,7,1,0,0,1,0,0,0,4,0,9,2,0,1,0,9,6,7,7,0,0,27,10,0,1,1,0,younc003,hamec001,,younc003,hamec001,,4,Apr 5,1,NYM,"L,1-7",9,13,7,7,0,4,7,0,1,4.25,44,170,106,2,0,3,0,39,1,0,0,0,0,0,1,6,Chris Guccione,"C.Hamels (99-21-L), K.Kendrick (1), D.Herndon (1), J.Romero (3), D.Baez (2), A.Bastardo (99)"
20110406,NYN,NL,5,PHI,NL,5,7,10,51,PHI13,45061,250000,21402100x,37,12,2,0,1,7,0,0,1,3,0,10,1,0,2,0,7,5,9,9,0,0,24,11,1,0,1,0,39,16,3,1,2,10,1,0,0,3,0,9,1,0,1,0,9,5,7,7,0,0,27,8,1,0,2,0,basta001,boyeb001,contj002,pelfm001,blanj001,,5,Apr 6,1,NYM,"W,10-7",9,12,7,7,0,3,10,1,1,4.8,41,136,92,3,1,1,0,37,2,0,0,0,0,0,2,5,Mike Winters,"J.Blanton (99-19), A.Bastardo (0-W), J.Romero (0-H), R.Madson (4-H), J.Contreras (3-Sv)"
20110407,NYN,NL,6,PHI,NL,6,0,11,51,PHI13,45468,0,00242021x,32,7,1,0,0,0,0,0,0,2,0,7,1,0,2,0,7,4,9,9,1,0,24,13,2,0,2,0,37,16,3,0,1,11,1,0,1,1,0,8,0,0,2,0,5,3,0,0,0,0,27,8,0,0,2,0,hallr001,niesj001,,niesj001,hallr001,,6,Apr 7,1,NYM,"W,11-0",9,7,0,0,0,2,7,0,0,4,34,133,85,0,0,1,0,32,1,0,0,0,0,0,2,3,Mike Everitt,"R.Halladay (5-71-W), D.Baez (1), D.Herndon (1)"
20110408,PHI,NL,7,ATL,NL,8,3,6,51,ATL02,51331,210000000,03030000x,34,8,1,0,0,3,0,1,1,0,0,4,3,0,2,0,6,4,6,6,0,0,24,8,0,0,0,0,36,12,3,1,0,6,0,0,1,3,0,11,0,0,0,0,10,3,2,2,0,0,27,13,2,0,2,0,hudst001,lee-c003,kimbc001,lee-c003,hudst001,,7,Apr 8,@,ATL,"L,3-6",8,12,6,6,0,3,11,0,1,4.35,40,150,101,2,0,0,0,36,3,1,0,0,0,0,0,4,Adrian Johnson,"C.Lee (5-18-L), K.Kendrick (2), A.Bastardo (1), J.Romero (1)"
20110409,PHI,NL,8,ATL,NL,9,10,2,54,ATL02,36256,100200520,2000000,39,15,6,0,2,10,0,0,0,3,1,6,1,0,1,0,5,4,1,1,0,0,27,10,1,0,1,0,31,6,3,0,0,1,1,0,0,2,0,3,0,0,0,0,5,4,10,10,1,0,27,8,0,0,2,0,oswar001,beacb001,,oswar001,beacb001,,8,Apr 9,@,ATL,"W,10-2",9,6,2,1,1,2,3,0,0,3.93,34,125,80,0,0,0,0,31,3,0,0,1,0,0,0,4,Gary Cederstrom,"R.Oswalt (5-56-W), D.Herndon (1), J.Romero (0), D.Baez (1)"
20110410,PHI,NL,9,ATL,NL,10,3,0,54,ATL02,43796,101001,0,32,8,1,0,1,2,0,0,0,1,0,3,0,1,2,0,3,3,0,0,0,0,27,11,0,0,1,0,30,5,1,0,0,0,1,0,0,1,0,10,0,0,1,0,5,3,2,2,0,0,27,17,1,0,2,0,hamec001,lowed001,contj002,hamec001,lowed001,,9,Apr 10,@,ATL,"W,3-0",9,5,0,0,0,1,10,0,0,3.49,32,127,79,0,0,0,0,30,1,0,0,1,0,0,1,3,Lance Barksdale,"C.Hamels (4-76-W), R.Madson (3-H), J.Contreras (3-Sv)"
20110412,PHI,NL,10,WAS,NL,10,4,7,51,WAS11,13413,10000021,01031011x,37,10,0,0,1,3,0,0,0,2,0,7,0,0,0,0,8,4,7,7,0,0,24,13,0,0,0,0,31,9,2,0,1,7,1,1,0,5,0,5,2,0,0,0,7,3,4,4,1,0,27,5,0,0,0,0,hernl003,blanj001,burns001,blanj001,hernl003,,10,Apr 12,@,WSN,"L,4-7",8,9,7,7,0,5,5,1,0,3.89,38,131,78,2,1,2,0,31,2,0,0,1,1,0,0,4,Phil Cuzzi,"J.Blanton (5-41-L), D.Herndon (2), A.Bastardo (3), D.Baez (2)"
