Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20130401,PHI,NL,1,ATL,NL,1,5,7,51,ATL02,51456,120110,21101200x,36,10,1,1,1,5,0,0,0,4,1,6,1,0,1,0,8,4,7,7,0,0,24,9,0,0,1,0,33,10,3,0,3,6,0,0,0,3,0,8,0,0,1,0,5,5,5,5,2,0,27,11,0,0,1,0,avill001,hamec001,kimbc001,hamec001,hudst001,1,Apr 1,@,ATL,"L,5-7",8,10,7,7,0,3,8,3,0,7.88,36,128,81,2,1,0,0,33,3,0,0,0,0,0,1,4,Tim Welke,"C.Hamels (99-37-L), C.Durbin (99), J.Horst (99), P.Aumont (99)"
20130403,PHI,NL,2,ATL,NL,2,2,9,51,ATL02,24289,200,30040002x,36,9,2,0,0,2,0,0,0,2,0,9,1,0,1,0,9,5,9,9,1,0,24,6,0,0,0,0,33,9,1,0,3,9,0,0,0,6,0,16,0,0,0,0,6,5,2,2,0,0,27,11,1,0,1,0,mahop002,hallr001,,hallr001,mahop002,2,Apr 3,@,ATL,"L,2-9",8,9,9,9,0,6,16,3,0,9,39,184,108,1,1,0,0,33,1,0,0,0,0,0,0,5,Mike Everitt,"R.Halladay (99-34-L), R.Valdes (99), A.Bastardo (99), M.Adams (99), J.Papelbon (99)"
20130404,PHI,NL,3,ATL,NL,3,2,0,54,ATL02,18295,20000000,0,33,8,2,0,0,2,0,1,0,4,0,4,2,0,0,0,9,2,0,0,0,0,27,8,1,0,1,0,29,2,0,0,0,0,0,0,0,0,0,10,0,0,1,0,2,4,2,2,0,0,27,10,0,0,1,0,lee-c003,medlk001,papej001,lee-c003,medlk001,3,Apr 4,@,ATL,"W,2-0",9,2,0,0,0,0,10,0,0,5.76,29,117,86,0,0,0,0,29,0,0,0,0,0,1,1,2,Marty Foster,"C.Lee (99-86-W), J.Papelbon (0-Sv)"
20130405,KCA,AL,4,PHI,NL,4,13,4,54,PHI13,45307,23422,121000000,44,19,4,2,1,13,0,1,0,4,1,4,1,0,1,0,9,5,4,4,0,0,27,7,0,0,2,0,34,9,1,0,2,4,0,0,0,1,0,8,1,0,2,0,4,4,13,13,0,0,27,11,0,0,1,0,chenb001,kendk001,,daviw001,kendk001,4,Apr 5,1,KCR,"L,4-13",9,19,13,13,0,4,4,1,0,7.68,49,175,107,6,6,1,0,44,4,2,1,0,1,0,1,4,Chad Fairchild,"K.Kendrick (99-34-L), J.Horst (3-BSv), C.Durbin (3), R.Valdes (1)"
20130406,KCA,AL,5,PHI,NL,5,3,4,53,PHI13,39475,20100,10003,31,6,3,0,0,3,1,0,1,1,0,6,1,0,1,0,4,4,4,4,0,0,26,10,0,0,0,0,28,3,1,0,0,4,1,0,0,6,0,12,1,0,0,0,5,3,3,3,0,0,27,16,2,0,1,0,basta001,hollg001,,mendl001,lannj001,5,Apr 6,1,KCR,"W,4-3",9,6,3,3,0,1,6,0,1,6.7,34,128,81,0,0,1,0,31,3,0,0,1,0,1,1,3,Jeff Kellogg,"J.Lannan (99-60), M.Adams (2), A.Bastardo (2-W)"
20130407,KCA,AL,6,PHI,NL,6,9,8,54,PHI13,39451,2042010,400000004,37,13,4,0,1,9,0,0,0,7,0,6,2,1,2,0,8,5,8,8,1,0,27,6,0,0,0,0,41,15,2,0,1,8,0,1,0,1,0,14,1,0,0,0,8,4,9,9,0,1,27,12,0,0,2,0,shiej002,hamec001,herrk001,shiej002,hamec001,6,Apr 7,1,KCR,"L,8-9",9,13,9,9,0,7,6,1,0,7.1,44,173,103,2,2,2,1,37,4,0,0,0,0,0,2,4,Eric Cooper,"C.Hamels (5-17-L), C.Durbin (1), J.Horst (1), P.Aumont (5)"
20130408,NYN,NL,7,PHI,NL,7,7,2,54,PHI13,35393,31030000,100010,36,9,4,0,1,7,0,0,1,5,0,9,0,0,0,0,8,2,2,2,0,0,27,7,1,0,1,0,30,4,2,0,0,2,0,1,0,2,0,10,1,0,1,0,4,4,7,7,1,0,27,9,0,0,0,0,harvm001,hallr001,,harvm001,hallr001,7,Apr 8,1,NYM,"L,2-7",9,9,7,7,0,5,9,1,1,7.08,42,165,102,2,2,0,0,36,4,0,0,0,0,0,0,4,Jim Reynolds,"R.Halladay (4-22-L), C.Durbin (0), J.Horst (0), R.Valdes (2)"
20130409,NYN,NL,8,PHI,NL,8,3,8,51,PHI13,38305,210000,04310000x,35,8,1,1,1,2,0,0,0,0,0,7,0,0,1,0,5,5,8,8,0,0,24,8,2,0,0,0,35,11,2,1,3,8,0,0,0,2,0,7,2,0,0,0,5,2,2,2,0,0,27,10,1,1,1,0,lee-c003,gee-d001,,gee-d001,lee-c003,8,Apr 9,1,NYM,"W,8-3",9,8,3,2,1,0,7,1,0,6.43,35,109,78,2,0,0,0,35,1,1,0,0,0,1,1,2,James Hoye,"C.Lee (4-64-W), M.Adams (2)"
20130410,NYN,NL,9,PHI,NL,9,3,7,51,PHI13,38715,10100010,50000200x,35,11,2,0,3,3,0,0,0,2,0,10,0,1,1,0,7,5,7,7,0,0,24,6,0,0,0,0,33,10,2,0,3,7,0,0,0,3,1,9,0,1,0,0,5,4,3,3,1,0,27,9,0,0,3,0,kendk001,hefnj001,,hefnj001,kendk001,9,Apr 10,1,NYM,"W,7-3",9,11,3,3,0,2,10,3,0,6.04,37,152,94,0,0,0,1,35,2,0,0,0,0,0,1,4,John Hirschbeck,"K.Kendrick (4-52-W), A.Bastardo (3), M.Adams (0), J.Papelbon (5)"
20130412,PHI,NL,10,MIA,NL,10,3,1,60,MIA02,17923,10002,10000,38,10,4,1,0,3,2,0,0,2,2,4,0,1,0,0,9,5,1,1,0,0,30,13,0,0,2,0,31,4,0,0,0,1,0,0,1,3,0,5,1,0,2,0,4,5,3,3,0,0,30,13,1,0,0,0,aumop001,raucj001,papej001,lannj001,nolar001,10,Apr 12,@,MIA,"W,3-1",10,4,1,1,0,3,5,0,1,5.46,35,140,87,0,0,1,0,31,0,0,0,0,0,0,2,5,Phil Cuzzi,"J.Lannan (5-63), A.Bastardo (1), M.Adams (1), P.Aumont (4-W), J.Papelbon (1-Sv)"
20130413,PHI,NL,11,MIA,NL,11,1,2,52,MIA02,20037,100,10001,32,5,1,0,0,0,0,0,0,4,0,8,0,0,0,0,8,4,1,1,0,0,25,7,1,0,1,0,28,4,0,1,0,1,1,0,0,4,0,9,1,0,1,0,6,5,1,1,0,0,27,11,2,0,0,0,cishs001,aumop001,,hamec001,fernj003,11,Apr 13,@,MIA,"L,1-2",8.1,4,2,1,1,4,9,0,0,5.09,33,129,88,0,0,1,0,28,0,1,0,1,0,1,1,4,Ron Kulpa,"C.Hamels (5-64), A.Bastardo (0), M.Adams (0), P.Aumont (0-L)"
20130414,PHI,NL,12,MIA,NL,12,2,1,54,MIA02,21412,1001,100,35,12,2,0,1,2,0,0,1,3,1,5,1,1,3,0,10,2,1,1,0,0,27,11,0,0,1,0,29,5,1,0,0,1,2,0,0,2,0,2,0,0,0,0,5,3,2,2,0,0,27,12,0,0,4,0,hallr001,raucj001,papej001,hallr001,slowk001,12,Apr 14,@,MIA,"W,2-1",9,5,1,1,0,2,2,0,0,4.74,33,109,69,0,0,0,0,29,1,0,0,2,0,0,0,2,Chris Guccione,"R.Halladay (5-69-W), J.Papelbon (1-Sv)"
20130415,PHI,NL,13,CIN,NL,13,2,4,51,CIN09,17387,20,00000022x,31,5,0,0,1,2,0,0,0,0,0,5,0,0,1,0,2,3,4,4,1,0,24,9,1,0,2,0,30,9,2,0,0,3,1,1,0,2,1,5,0,0,1,0,6,2,2,2,0,0,27,10,0,0,1,0,arrob001,horsj001,chapa001,lee-c003,arrob001,13,Apr 15,@,CIN,"L,2-4",8,9,4,4,0,2,5,0,0,4.72,34,120,83,3,2,0,0,30,2,0,1,1,1,1,1,3,Jim Joyce,"C.Lee (5-62), J.Horst (6-L), M.Adams (1)"
20130417,PHI,NL,15,CIN,NL,15,2,11,51,CIN09,16467,20,15302000x,31,6,2,0,1,2,0,0,1,0,0,7,0,0,2,0,3,4,11,11,1,0,24,9,0,0,1,0,36,15,4,1,2,11,0,0,1,3,0,6,0,1,1,0,5,3,2,2,0,0,27,12,0,0,2,0,leakm001,lannj001,,lannj001,leakm001,15,Apr 17,@,CIN,"L,2-11",8,15,11,11,0,3,6,2,1,4.9,40,158,102,2,0,0,1,36,4,1,0,0,0,0,1,4,Ed Hickox,"J.Lannan (4-14-L), R.Valdes (8), C.Durbin (8), J.Horst (1)"
20130418,SLN,NL,15,PHI,NL,16,4,3,54,PHI13,34256,200110,2100,31,7,3,0,1,4,1,1,0,3,0,10,2,1,0,0,5,3,3,3,1,0,27,15,0,0,2,0,37,13,2,0,0,3,1,0,0,0,0,6,0,0,2,0,8,3,4,4,0,0,27,8,0,0,1,0,waina001,adamm001,mujie001,waina001,hamec001,16,Apr 18,1,STL,"L,3-4",9,7,4,4,0,3,10,1,0,4.84,36,131,88,0,0,2,1,31,3,0,0,1,1,0,0,3,Mike Estabrook,"C.Hamels (4-61), M.Adams (2-L), J.Papelbon (3)"
20130419,SLN,NL,16,PHI,NL,17,2,8,39,PHI13,34092,100001,512000x,23,2,0,0,2,2,0,0,0,2,0,6,0,0,0,0,2,3,4,4,1,0,18,9,1,0,1,0,28,10,3,1,0,5,0,0,0,2,0,6,0,0,1,0,4,1,2,2,0,0,21,7,0,0,0,0,hallr001,garcj004,,garcj004,hallr001,17,Apr 19,1,STL,"W,8-2",7,2,2,2,0,2,6,2,0,4.74,25,109,59,1,1,0,0,23,0,0,0,0,0,0,0,1,Alan Porter,R.Halladay (4-69-W)
20130420,SLN,NL,17,PHI,NL,18,5,0,54,PHI13,41050,4010000,0,34,8,0,0,1,5,0,0,0,4,0,8,0,0,1,0,6,3,0,0,0,0,27,8,1,0,2,0,29,3,1,0,0,0,0,0,0,3,0,10,0,0,2,0,5,4,5,5,0,0,27,6,0,0,1,0,lynnl001,lee-c003,,lynnl001,lee-c003,18,Apr 20,1,STL,"L,0-5",9,8,5,5,0,4,8,1,0,4.75,38,158,101,0,0,0,0,34,0,0,0,0,0,0,1,4,Jerry Layne,"C.Lee (4-35-L), P.Aumont (3), J.Horst (2), J.Savery (99)"
20130421,SLN,NL,18,PHI,NL,19,3,7,51,PHI13,35115,100001100,20000014x,36,10,1,0,1,3,2,0,0,3,0,9,0,0,0,0,11,5,7,7,0,0,24,12,0,0,3,0,34,14,2,1,1,7,0,1,0,4,0,6,1,0,2,0,8,5,2,2,0,0,27,8,1,0,0,0,adamm001,boggm001,,westj001,kendk001,19,Apr 21,1,STL,"W,7-3",9,10,3,2,1,3,9,1,0,4.6,41,169,105,2,1,0,0,36,1,0,0,2,0,1,0,5,Greg Gibson,"K.Kendrick (4-53), A.Bastardo (4), C.Durbin (3), M.Adams (2-W), J.Papelbon (2)"
20130422,PIT,NL,19,PHI,NL,20,2,3,51,PHI13,35385,10010000,00110100x,32,8,3,0,2,2,1,0,0,0,0,11,0,0,1,0,4,3,3,3,1,0,24,10,0,0,2,0,30,8,0,0,0,2,0,0,1,4,0,9,0,0,2,0,8,5,2,2,0,0,27,9,0,0,1,0,valdr002,hughj001,papej001,burna001,pettj001,20,Apr 22,1,PIT,"W,3-2",9,8,2,2,0,0,11,2,0,4.47,33,127,83,0,0,0,0,32,3,0,0,1,0,0,1,5,Mike Muchlinski,"J.Pettibone (99-54), R.Valdes (4-W), A.Bastardo (0-H), M.Adams (0-H), J.Papelbon (0-Sv)"
20130423,PIT,NL,20,PHI,NL,21,2,0,54,PHI13,31002,100010,0,36,7,3,0,1,2,0,0,0,1,0,6,1,0,0,0,8,4,0,0,0,0,27,9,1,0,1,0,30,4,1,1,0,0,1,0,1,2,0,11,0,0,1,0,7,2,2,2,0,0,27,12,2,0,0,0,lockj001,hamec001,grilj001,lockj001,hamec001,21,Apr 23,1,PIT,"L,0-2",9,7,2,2,0,1,6,1,0,4.34,37,125,87,0,0,1,0,36,3,0,0,0,0,2,0,2,Brian Knight,"C.Hamels (4-65-L), P.Aumont (2)"
20130424,PIT,NL,21,PHI,NL,22,5,3,54,PHI13,32158,100121,100101000,33,6,0,0,1,4,0,0,1,4,0,8,2,0,1,0,6,4,3,3,0,0,27,12,1,1,2,0,35,10,1,0,2,3,0,0,1,2,1,6,0,0,1,0,8,4,4,4,0,0,27,13,1,0,1,0,mazzv001,adamm001,grilj001,rodrw002,hallr001,22,Apr 24,1,PIT,"L,3-5",9,6,5,4,1,4,8,1,1,4.33,38,159,99,3,1,2,0,33,0,0,0,0,0,1,1,4,Dan Iassogna,"R.Halladay (4-72), A.Bastardo (1-H), M.Adams (1-BL), J.Horst (3)"
20130425,PIT,NL,22,PHI,NL,23,6,4,54,PHI13,33443,1230,102010,40,14,1,0,1,6,1,1,1,3,1,9,0,0,0,0,13,3,4,4,2,0,27,9,1,0,0,0,32,7,4,0,0,4,0,1,0,3,0,7,1,1,0,0,5,4,6,6,0,0,27,4,1,0,0,0,wilsj004,aumop001,watst001,mcdoj004,lee-c003,23,Apr 25,1,PIT,"L,4-6",9,14,6,6,0,3,9,1,1,4.4,46,182,114,2,1,0,0,40,1,0,1,1,1,1,0,4,Mark Carlson,"C.Lee (4-51), P.Aumont (1-L), C.Durbin (3), R.Valdes (2)"
20130426,PHI,NL,24,NYN,NL,21,4,0,54,NYC20,21582,4000,0,33,8,1,0,1,4,1,0,0,2,0,7,0,0,0,0,5,1,0,0,0,0,27,10,0,0,0,0,30,3,0,0,0,0,0,0,0,1,0,5,0,0,0,0,4,3,4,4,0,0,27,11,0,0,0,0,kendk001,gee-d001,,kendk001,gee-d001,24,Apr 26,@,NYM,"W,4-0",9,3,0,0,0,1,5,0,0,4.21,31,107,73,1,1,0,0,30,0,0,0,0,0,0,0,1,Brian O'Nora,K.Kendrick (4-85-W)
20130427,PHI,NL,25,NYN,NL,22,9,4,54,NYC20,29248,3050100,10110001,38,12,2,0,2,8,0,1,0,4,0,7,0,1,0,0,7,4,4,4,0,0,27,9,0,0,2,0,32,8,4,0,1,4,0,1,1,2,0,7,0,0,2,0,5,4,8,8,1,0,27,12,1,0,0,0,pettj001,marcs001,,pettj001,marcs001,25,Apr 27,@,NYM,"W,9-4",9,8,4,4,0,2,7,1,1,4.2,36,146,94,0,0,0,0,32,4,0,0,0,1,0,2,4,Fieldin Culbreth,"J.Pettibone (4-43-W), R.Valdes (1), C.Durbin (1), J.Horst (2)"
20130428,PHI,NL,26,NYN,NL,23,5,1,54,NYC20,28990,10310,100000000,38,10,3,0,1,5,0,0,0,1,0,3,0,0,0,0,7,4,1,1,0,0,27,7,0,0,0,0,30,3,2,0,0,1,0,0,0,6,0,8,0,0,0,0,8,5,3,2,0,0,27,8,2,0,0,0,hamec001,niesj001,,hamec001,niesj001,26,Apr 28,@,NYM,"W,5-1",9,3,1,1,0,6,8,0,0,4.08,36,150,88,0,0,0,0,30,2,0,0,0,0,0,0,4,Bill Welke,"C.Hamels (4-66-W), A.Bastardo (3-H), M.Adams (3), J.Papelbon (5)"
20130430,PHI,NL,27,CLE,AL,24,2,14,51,CLE08,10841,10001000,40044020x,30,5,1,0,2,2,0,0,1,3,0,4,0,0,2,0,5,4,14,14,1,0,24,8,0,0,2,0,38,17,1,0,7,14,0,0,0,4,0,8,2,1,2,0,4,3,2,2,0,0,27,11,0,0,2,0,mcalz001,hallr001,,hallr001,mcalz001,27,Apr 30,@,CLE,"L,2-14",8,17,14,14,0,4,8,7,0,4.47,42,157,92,1,0,2,1,38,1,0,0,0,0,0,2,4,Bob Davidson,"R.Halladay (5-12-L), C.Durbin (2), R.Valdes (2), P.Aumont (4)"
20130501,PHI,NL,28,CLE,AL,25,0,6,51,CLE08,12730,0,01301010x,29,3,0,0,0,0,0,0,0,7,0,9,1,1,1,0,9,3,5,5,0,0,24,3,1,0,0,0,38,14,2,0,0,6,0,1,1,2,0,7,0,0,0,0,12,5,0,0,0,0,27,7,0,0,1,0,bauet001,lee-c003,,lee-c003,bauet001,28,May 1,@,CLE,"L,0-6",8,14,6,5,1,2,7,0,1,4.51,42,146,100,0,0,0,0,38,2,0,0,0,1,1,0,3,Jim Reynolds,"C.Lee (5-38-L), J.Horst (3), P.Aumont (0)"
20130502,MIA,NL,29,PHI,NL,29,2,7,51,PHI13,36978,100001000,01012003x,33,7,1,1,1,1,0,0,0,2,0,7,1,0,1,0,6,3,5,5,1,0,24,12,1,1,2,0,29,8,1,0,2,5,1,1,0,5,1,5,0,0,2,0,5,3,2,2,0,0,27,11,0,0,1,0,kendk001,sanaa001,,sanaa001,kendk001,29,May 2,1,MIA,"W,7-2",9,7,2,2,0,2,7,1,0,4.42,35,118,86,0,0,1,0,33,1,1,0,0,0,0,1,3,Eric Cooper,"K.Kendrick (5-58-W), M.Adams (3-H), J.Papelbon (3)"
20130503,MIA,NL,30,PHI,NL,30,1,4,51,PHI13,36292,100000,02110000x,33,6,1,0,1,1,0,0,0,3,0,7,1,0,0,0,8,2,4,4,0,0,24,10,1,0,2,0,30,8,2,0,3,4,0,0,0,2,0,6,1,0,2,0,4,4,1,1,0,0,27,14,0,0,0,0,pettj001,nolar001,papej001,nolar001,pettj001,30,May 3,1,MIA,"W,4-1",9,6,1,1,0,3,7,1,0,4.3,36,144,89,1,0,1,0,33,1,0,0,0,0,0,0,4,Paul Schrieber,"J.Pettibone (5-62-W), A.Bastardo (4-H), M.Adams (0-H), J.Papelbon (0-Sv)"
20130504,MIA,NL,31,PHI,NL,31,2,0,54,PHI13,40091,11000000,0,31,4,0,0,2,2,0,0,1,1,0,7,1,0,0,0,4,3,0,0,0,0,27,8,0,0,0,0,28,1,0,0,0,0,0,0,0,2,0,12,0,0,0,0,3,3,2,2,0,0,27,10,0,0,0,0,fernj003,hamec001,cishs001,fernj003,hamec001,31,May 4,1,MIA,"L,0-2",9,4,2,2,0,1,7,2,1,4.23,33,123,81,1,0,1,0,31,0,0,0,0,0,0,0,3,Chad Fairchild,"C.Hamels (5-72-L), P.Aumont (2), J.Horst (2)"
20130505,MIA,NL,32,PHI,NL,32,14,2,54,PHI13,45276,504001022,20,40,13,2,1,3,13,0,0,4,6,0,10,2,0,0,0,9,3,1,1,0,0,27,9,1,0,1,0,30,4,1,0,0,1,0,0,0,3,0,7,0,0,0,0,4,4,13,13,0,0,27,9,1,0,0,0,slowk001,hallr001,,slowk001,hallr001,32,May 5,1,MIA,"L,2-14",9,13,14,13,1,6,10,3,4,4.51,50,201,123,4,1,2,0,40,2,1,0,0,0,0,0,4,Jeff Kellogg,"R.Halladay (4-13-L), R.Valdes (4), C.Durbin (4), J.Horst (0)"
20130506,PHI,NL,33,SFN,NL,32,6,2,54,SFO03,41171,30020001,10000010,33,10,3,0,1,5,1,2,0,4,1,9,0,0,1,0,7,2,2,2,0,0,27,16,1,0,3,0,29,5,1,0,1,1,0,0,0,0,0,6,0,0,3,0,0,4,6,6,2,0,27,11,0,0,1,0,lee-c003,bumgm001,,lee-c003,bumgm001,33,May 6,@,SFG,"W,6-2",9,5,2,2,0,0,6,1,0,4.43,29,109,77,0,0,0,0,29,1,0,0,0,0,0,3,2,Alfonso Marquez,"C.Lee (4-70-W), J.Papelbon (2)"
20130507,PHI,NL,34,SFN,NL,33,6,2,54,SFO03,41226,120010101,2000000,37,12,1,0,2,6,1,0,0,4,1,9,1,0,1,0,9,3,2,2,0,0,27,4,1,0,0,0,34,7,2,0,0,2,0,1,0,0,0,9,0,0,0,0,6,2,6,6,0,0,27,11,2,0,1,0,kendk001,linct001,,kendk001,linct001,34,May 7,@,SFG,"W,6-2",9,7,2,2,0,0,9,0,0,4.36,35,118,83,0,0,0,0,34,2,0,0,0,1,1,0,3,Mike DiMuro,"K.Kendrick (4-63-W), M.Adams (3-H), J.Papelbon (0)"
