Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20160403,SLN,NL,1,PIT,NL,1,1,4,51,PIT08,39500,1,02000101x,32,5,0,0,0,1,0,0,1,5,0,14,0,0,1,0,10,3,4,4,0,0,24,11,0,0,2,0,28,9,2,1,0,4,1,1,1,5,0,5,0,1,1,0,8,4,1,1,0,0,27,8,1,0,1,0,lirif001,waina001,,waina001,lirif001,1,Apr 3,1,STL,"W,4-1",9,5,1,1,0,5,14,0,1,1,38,141,81,0,0,0,0,32,0,0,0,0,0,1,1,4,Jerry Layne,"F.Liriano (99-71-W), T.Watson (99-H), N.Feliz (99-H), M.Melancon (99)"
20160405,SLN,NL,2,PIT,NL,2,5,6,64,PIT08,26049,221000000,2102000001,38,8,2,1,1,4,2,0,2,3,0,13,0,0,2,0,7,7,5,5,0,0,31,13,1,0,1,0,41,12,1,1,0,6,0,1,0,2,0,12,0,0,1,0,7,6,4,4,0,0,33,11,2,0,2,0,lobsk001,manes001,,wachm001,niesj001,2,Apr 5,1,STL,"W,6-5",11,8,5,4,1,3,13,1,2,2.25,45,167,103,0,0,0,0,38,2,1,0,2,0,1,2,6,Hunter Wendelstedt,"J.Niese (99-45), A.Caminero (99), T.Watson (1), N.Feliz (1), M.Melancon (1), K.Lobstein (99-W)"
20160406,SLN,NL,3,PIT,NL,3,1,5,51,PIT08,14890,1000,10003100x,31,4,1,0,1,1,0,0,0,2,0,10,0,0,0,0,5,4,5,5,0,0,24,12,3,0,2,0,31,9,2,1,0,4,0,0,1,7,1,5,0,1,2,0,10,5,1,1,0,0,27,7,0,0,0,0,nicaj001,leakm001,melam001,leakm001,nicaj001,3,Apr 6,1,STL,"W,5-1",9,4,1,1,0,2,10,1,0,1.86,33,145,95,4,0,0,0,31,1,0,0,0,0,0,0,5,Tripp Gibson,"J.Nicasio (99-71-W), A.Caminero (0), T.Watson (0-H), C.Luebke (99), M.Melancon (0-Sv)"
20160408,PIT,NL,4,CIN,NL,4,6,5,54,CIN09,17194,10010040,201001100,35,8,1,0,1,6,0,0,3,6,0,10,1,0,1,0,11,4,4,4,2,0,27,15,3,0,2,0,30,6,0,0,1,4,1,1,1,6,0,5,3,0,2,0,7,7,5,5,1,0,27,8,3,0,1,0,voger001,hoovj002,melam001,lirif001,simoa001,4,Apr 8,@,CIN,"W,6-5",9,6,5,4,1,6,5,1,1,2.37,39,155,83,0,0,3,0,30,0,0,0,1,1,2,2,4,Andy Fletcher,"F.Liriano (4-44), R.Vogelsong (99-W), N.Feliz (2-H), M.Melancon (1-Sv)"
20160409,PIT,NL,5,CIN,NL,5,1,5,51,CIN09,22799,1000,20001020x,34,10,2,0,0,1,0,0,0,3,0,7,0,0,1,0,9,3,5,5,0,0,24,12,1,0,1,0,30,8,1,0,1,5,0,0,0,4,0,6,0,1,1,0,5,4,1,1,0,0,27,8,1,0,3,0,igler001,coleg001,,coleg001,igler001,5,Apr 9,@,CIN,"L,1-5",8,8,5,5,0,4,6,1,0,2.93,34,150,91,2,1,0,1,30,1,0,0,0,0,1,1,3,Mark Ripperger,"G.Cole (99-43-L), A.Caminero (2), K.Lobstein (3)"
20160410,PIT,NL,6,CIN,NL,6,1,2,52,CIN09,27207,10000000,1001,32,9,1,0,1,1,3,0,1,6,0,8,2,0,0,0,14,4,2,2,1,0,25,15,0,0,3,0,30,10,2,1,1,2,1,0,0,2,0,2,0,0,3,0,6,4,1,1,1,0,27,10,0,0,0,0,ohler001,camia001,,lockj001,melvt001,6,Apr 10,@,CIN,"L,1-2",8.1,10,2,2,0,2,2,1,0,2.82,33,116,78,0,0,0,0,30,2,1,0,1,0,0,3,4,Joe West,"J.Locke (99-53), N.Feliz (1), T.Watson (3), A.Caminero (0-L)"
20160411,PIT,NL,7,DET,AL,5,7,4,54,DET05,26271,121120000,10012000,36,17,6,0,0,7,1,2,0,3,0,3,0,2,3,0,8,4,3,3,1,0,27,10,1,0,3,0,32,6,0,0,2,3,0,0,0,2,0,8,0,0,2,0,3,5,7,7,0,0,27,12,0,0,4,0,niesj001,verlj001,melam001,niesj001,verlj001,7,Apr 11,@,DET,"W,7-4",9,6,4,3,1,2,8,2,0,2.84,34,130,79,0,0,0,0,32,0,0,0,0,0,1,2,4,Ron Kulpa,"J.Niese (5-52-W), N.Feliz (0-H), T.Watson (0-H), M.Melancon (2-Sv)"
20160412,PIT,NL,8,DET,AL,6,2,8,51,DET05,26489,2000,22000310x,30,5,1,0,1,2,0,0,0,4,0,6,0,1,2,0,5,3,8,8,1,0,24,6,1,0,1,0,36,14,2,0,2,8,0,0,0,8,0,8,0,1,1,0,12,5,2,2,1,0,27,15,1,0,2,0,sanca004,nicaj001,,nicaj001,sanca004,8,Apr 12,@,DET,"L,2-8",8,14,8,8,0,8,8,2,0,3.53,44,187,106,0,0,0,1,36,2,0,0,0,0,0,1,3,Gabe Morales,"J.Nicasio (5-30-L), K.Lobstein (2), C.Luebke (5)"
20160413,DET,AL,7,PIT,NL,9,7,3,54,PIT08,21175,104002,200000010,35,10,2,0,2,7,0,1,0,5,0,9,0,0,0,0,7,4,3,3,0,0,27,10,0,0,2,0,29,4,1,0,0,3,0,0,0,5,0,10,0,0,1,0,4,5,7,7,0,0,27,6,0,0,0,0,grees005,camia001,,grees005,voger001,9,Apr 13,1,DET,"L,3-7",9,10,7,7,0,5,9,2,0,3.92,41,170,101,4,1,0,0,35,2,0,0,0,1,0,0,5,Paul Nauert,"R.Vogelsong (4-60), A.Caminero (2-BL), A.Schugel (99), C.Luebke (0), N.Feliz (1)"
20160414,DET,AL,8,PIT,NL,10,7,4,54,PIT08,18751,200230,310,32,9,2,0,1,7,0,2,1,3,1,7,1,0,1,0,4,4,4,4,0,0,27,16,2,0,1,0,40,14,3,0,0,4,0,0,0,3,0,4,1,0,1,0,12,4,7,7,0,0,27,12,1,0,1,0,zimmj003,coleg001,rodrf003,zimmj003,coleg001,10,Apr 14,1,DET,"L,4-7",9,9,7,7,0,3,7,1,1,4.23,38,138,86,0,0,1,0,32,2,0,1,0,2,0,1,4,Jerry Meals,"G.Cole (4-60-L), R.Scahill (99), T.Watson (2), A.Caminero (0)"
