Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20180330,PIT,NL,1,DET,AL,1,13,10,78,DET05,42516,3010240003,2.00004E+11,52,17,3,1,1,11,0,1,0,4,0,10,1,2,0,1,6,8,10,10,1,0,39,9,2,0,1,0,53,14,7,0,0,9,0,0,0,9,0,9,0,0,1,0,13,7,11,11,0,0,39,9,3,1,2,0,braus002,wilsa001,,novai001,zimmj003,,1,Mar 30,@,DET,"W,13-10",13,14,10,10,0,9,9,0,0,6.92,62,251,151,3,3,0,0,53,7,0,0,0,0,2,1,8,Mike Everitt,"I.Nova (99-48), D.Neverauskas (99-H), M.Feliz (99-BSv), E.Santana (99), G.Kontos (99), F.Vazquez (99), J.Smoker (99-BSv), S.Brault (99-W)"
20180401,PIT,NL,2,DET,AL,2,1,0,54,DET05,14858,100000000,0,28,6,3,0,0,1,0,0,1,3,0,4,0,1,2,0,4,4,0,0,0,0,27,12,0,0,3,0,26,2,1,0,0,0,0,0,0,6,0,5,0,1,2,0,5,2,1,1,0,0,27,16,0,0,3,0,willt002,fulmm001,rivef001,willt002,fulmm001,,2,1,@,DET,"W,1-0",9,2,0,0,0,6,5,0,0,4.09,32,127,72,0,0,0,1,26,1,0,0,0,0,0,2,4,Lance Barrett,"T.Williams (99-68-W), M.Feliz (1-H), G.Kontos (1-H), F.Vazquez (1-Sv)"
20180401,PIT,NL,3,DET,AL,3,8,6,54,DET05,18438,3050000,200101002,36,10,1,0,3,7,0,1,0,2,0,10,1,1,0,0,4,5,6,6,0,0,27,10,0,0,0,0,39,12,4,2,1,6,0,0,0,2,0,9,0,0,0,0,8,5,8,8,2,0,27,4,0,0,1,0,kuhlc001,farmb001,rivef001,kuhlc001,carpr001,,3,1,@,DET,"W,8-6",9,12,6,6,0,2,9,1,0,4.65,41,148,95,3,1,0,0,39,4,2,0,0,0,0,0,5,Nic Lentz,"C.Kuhl (99-41-W), E.Santana (1-H), T.Glasnow (99), D.Neverauskas (1), F.Vazquez (-1-Sv)"
20180402,MIN,AL,4,PIT,NL,4,4,5,51,PIT08,30186,4000,50000000x,33,7,3,0,1,3,0,0,1,3,0,10,0,0,1,0,6,5,5,5,0,0,24,10,0,0,1,0,27,5,1,0,1,5,1,0,0,11,1,6,0,0,1,0,10,6,4,4,2,1,27,4,0,0,1,0,tailj001,lynnl001,kontg001,lynnl001,tailj001,,4,Apr 2,1,MIN,"W,5-4",9,7,4,4,0,3,10,1,1,4.5,37,161,101,3,2,0,0,33,3,0,0,0,0,0,1,6,Chris Conroy,"J.Taillon (99-61-W), E.Santana (0), J.Smoker (2), D.Neverauskas (0-H), M.Feliz (0-H), G.Kontos (0-Sv)"
20180404,MIN,AL,5,PIT,NL,5,7,3,54,PIT08,20690,1104100,200100000,34,9,5,0,1,7,0,1,0,4,0,8,1,0,1,0,5,5,3,3,0,0,27,11,0,0,0,0,34,8,1,0,1,3,0,0,0,4,0,6,1,0,0,0,8,4,7,7,1,0,27,7,0,0,1,0,roget001,novai001,,odorj001,novai001,,5,Apr 4,1,MIN,"L,3-7",9,9,7,7,0,4,8,1,0,4.96,39,153,91,2,1,1,0,34,5,0,0,0,1,0,1,4,Fieldin Culbreth,"I.Nova (4-40-L), D.Neverauskas (1), J.Smoker (1), T.Glasnow (2)"
20180405,CIN,NL,5,PIT,NL,6,2,5,51,PIT08,9227,10000010,00104000x,31,5,0,0,1,1,0,0,0,5,0,7,0,0,1,0,7,4,4,4,0,0,24,11,1,0,0,0,33,9,3,1,1,4,0,1,0,4,1,4,0,0,0,0,9,5,2,2,2,0,27,9,0,0,1,0,braus002,bailh001,rivef001,bailh001,braus002,,6,Apr 5,1,CIN,"W,5-2",9,5,2,2,0,5,7,1,0,4.5,36,133,80,0,0,0,0,31,0,0,0,0,0,0,1,5,Vic Carapazza,"S.Brault (5-57-W), E.Santana (2), M.Feliz (2), G.Kontos (2), F.Vazquez (3-Sv)"
20180406,CIN,NL,6,PIT,NL,7,3,14,51,PIT08,11115,2000001,02200640x,37,13,1,0,0,3,0,0,0,3,0,6,0,0,2,0,10,4,13,13,0,0,24,13,1,0,1,0,38,15,6,1,0,13,0,0,1,6,0,5,2,0,0,0,7,4,3,3,1,0,27,12,1,0,3,0,willt002,castl003,,castl003,willt002,,7,Apr 6,1,CIN,"W,14-3",9,13,3,3,0,3,6,0,0,4.3,40,153,90,2,0,0,0,37,1,0,0,0,0,0,2,4,Jordan Baker,"T.Williams (4-43-W), E.Santana (0-H), J.Smoker (1), C.Holmes (99)"
20180407,CIN,NL,7,PIT,NL,8,7,4,54,PIT08,14336,1012030,220000000,34,11,2,0,1,7,2,1,1,5,0,10,1,0,1,0,9,4,4,4,0,0,27,10,1,0,0,0,33,8,1,0,0,4,1,1,0,1,0,5,0,1,0,0,5,5,7,7,1,0,27,7,0,0,1,0,peraw002,kontg001,igler001,romas001,kuhlc001,,8,Apr 7,1,CIN,"L,4-7",9,11,7,7,0,5,10,1,1,4.62,43,171,99,0,0,1,0,34,2,0,0,2,1,0,1,5,Jerry Layne,"C.Kuhl (5-53), D.Neverauskas (2-BSv), M.Feliz (1), G.Kontos (1-L), T.Glasnow (2)"
20180408,CIN,NL,8,PIT,NL,9,0,5,51,PIT08,11251,0,01004000x,27,1,0,0,0,0,0,0,1,2,0,7,0,0,1,0,3,3,5,5,0,0,24,13,0,0,1,0,33,11,2,0,2,5,0,0,0,2,0,4,0,0,0,0,6,1,0,0,0,0,27,10,0,0,1,0,tailj001,mahlt001,,mahlt001,tailj001,,9,Apr 8,1,CIN,"W,5-0",9,1,0,0,0,2,7,0,1,4.13,30,110,67,1,1,0,0,27,0,0,0,0,0,0,1,1,Greg Gibson,J.Taillon (5-90-W)
20180410,PIT,NL,10,CHN,NL,10,8,5,54,CHI11,40144,13100300,110000120,39,12,2,0,2,8,0,0,0,2,0,9,0,0,0,0,6,3,5,5,0,0,27,8,1,0,0,0,36,10,1,0,2,5,0,0,1,2,0,8,0,0,0,0,7,4,8,8,0,0,27,8,0,0,0,0,novai001,chatt001,rivef001,novai001,chatt001,,10,Apr 10,@,CHC,"W,8-5",9,10,5,5,0,2,8,2,1,4.21,39,150,101,3,2,0,0,36,1,0,0,0,0,0,0,3,Tom Hallion,"I.Nova (5-57-W), E.Santana (3), F.Vazquez (4-Sv)"
