Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20110331,SDN,NL,1,SLN,NL,1,5,3,66,STL10,46368,11000102,10010001000,39,8,2,0,1,4,0,1,2,3,0,6,1,0,1,0,7,6,3,3,0,0,33,19,0,1,4,0,40,12,0,1,1,3,1,0,0,3,0,5,0,1,4,0,8,6,4,4,0,0,33,11,1,0,1,0,neshp001,augeb001,bellh001,staut001,carpc002,1,Mar 31,@,STL,"W,5-3",11,12,3,3,0,3,5,1,0,2.45,44,164,102,0,0,0,1,40,0,1,0,1,0,0,4,6,Jeff Kellogg,"T.Stauffer (99-47), L.Gregerson (99), M.Adams (99), C.Qualls (99), P.Neshek (99-W), H.Bell (99-Sv)"
20110402,SDN,NL,2,SLN,NL,2,11,3,54,STL10,38527,20160002,201000000,34,9,2,1,1,11,2,1,0,8,2,7,0,0,0,0,7,4,3,3,0,0,27,9,1,0,0,0,34,6,0,0,1,3,0,0,0,3,0,6,0,0,0,0,7,3,11,11,1,0,27,11,1,0,0,0,richc002,westj001,,richc002,westj001,2,Apr 2,@,STL,"W,11-3",9,6,3,3,0,3,6,1,0,2.7,37,136,91,0,0,0,0,34,0,0,0,0,0,1,0,4,Eric Cooper,"C.Richard (99-51-W), E.Frieri (99), C.Luebke (99), P.Neshek (1)"
20110403,SDN,NL,3,SLN,NL,3,0,2,51,STL10,36414,0,00001001x,28,4,0,0,0,0,1,0,0,2,0,9,1,0,1,0,4,2,2,2,1,0,24,12,1,0,1,0,29,7,0,0,0,2,0,0,0,1,0,3,0,1,1,0,4,1,0,0,0,0,27,11,0,0,2,0,garcj004,mosed001,,mosed001,garcj004,3,Apr 3,@,STL,"L,0-2",8,7,2,2,0,1,3,0,0,2.57,30,103,65,0,0,0,1,29,0,0,0,0,0,0,1,2,Mark Carlson,"D.Moseley (99-66-L), L.Gregerson (2)"
20110405,SFN,NL,5,SDN,NL,4,1,3,51,SAN02,43146,100000000,00300000x,33,8,1,0,0,1,0,0,0,2,0,7,1,1,1,0,7,3,3,3,0,0,24,9,0,0,1,0,29,7,1,0,0,3,1,1,0,4,0,5,1,1,0,0,8,4,1,1,0,0,27,12,0,0,1,0,haraa001,bumgm001,bellh001,bumgm001,haraa001,4,Apr 5,1,SFG,"W,3-1",9,8,1,1,0,2,7,0,0,2.19,35,137,89,0,0,1,1,33,1,0,0,0,0,0,1,4,Marvin Hudson,"A.Harang (99-60-W), L.Gregerson (1-H), M.Adams (4-H), H.Bell (4-Sv)"
20110406,SFN,NL,6,SDN,NL,5,8,4,54,SAN02,24368,300014000,1000003,37,13,3,1,1,8,2,0,0,5,1,6,0,0,2,0,9,5,4,4,0,0,27,7,1,0,0,0,34,7,3,0,1,3,0,0,0,2,0,15,0,0,0,0,5,6,8,8,0,0,27,16,2,0,3,0,linct001,staut001,ramir003,linct001,staut001,5,Apr 6,1,SFG,"L,4-8",9,13,8,8,0,5,6,1,0,3.33,44,175,108,7,4,0,0,37,3,1,1,2,0,2,2,6,Tim McClelland,"T.Stauffer (5-31-L), P.Neshek (3), C.Luebke (3), E.Frieri (3), S.Deduno (99), C.Qualls (5)"
20110409,LAN,NL,8,SDN,NL,7,4,0,54,SAN02,42420,100020010,0,39,13,2,0,1,3,1,0,0,5,2,4,5,0,1,0,14,2,0,0,0,0,27,9,0,0,2,0,31,6,1,0,0,0,0,0,0,3,0,4,0,0,1,0,7,3,3,3,1,0,27,18,1,0,1,0,kuroh001,mosed001,broxj001,kuroh001,mosed001,7,Apr 9,1,LAD,"L,0-4",9,13,4,3,1,5,4,1,0,3,45,163,100,0,0,5,0,39,2,0,2,1,0,1,1,3,Ed Rapuano,"D.Moseley (5-44-L), S.Deduno (2), C.Qualls (0)"
20110410,LAN,NL,9,SDN,NL,8,2,7,51,SAN02,33949,100000100,00110212x,28,4,0,0,0,1,1,0,1,2,0,6,2,1,2,0,3,3,7,7,1,0,24,6,0,0,0,0,33,10,3,1,3,7,0,0,0,4,0,7,1,1,0,0,6,4,1,1,0,0,27,11,1,0,2,0,haraa001,ely-j001,,ely-j001,haraa001,8,Apr 10,1,LAD,"W,7-2",9,4,2,1,1,2,6,0,1,2.76,32,126,82,1,0,2,1,28,0,0,0,1,0,0,2,4,Brian O'Nora,"A.Harang (4-60-W), L.Gregerson (1-H), M.Adams (1-H), P.Neshek (1)"
20110411,CIN,NL,10,SDN,NL,9,3,2,54,SAN02,18022,120000,200000000,31,5,0,0,2,3,0,0,1,3,0,12,1,1,0,0,5,4,2,2,0,0,27,14,0,0,3,0,27,5,1,0,0,2,0,1,1,3,0,8,2,2,2,0,3,4,3,3,0,0,27,5,0,0,0,0,volqe001,latom001,cordf002,volqe001,latom001,9,Apr 11,1,CIN,"L,2-3",9,5,3,3,0,3,12,2,1,2.79,35,144,91,2,0,1,1,31,0,0,0,0,0,0,0,4,Chad Fairchild,"M.Latos (99-57-L), E.Frieri (2), C.Qualls (1), P.Neshek (0)"
20110412,CIN,NL,11,SDN,NL,10,8,2,66,SAN02,17379,10001000006,1000001000,42,10,2,0,1,8,1,0,0,4,0,6,0,0,1,0,6,6,2,2,0,0,33,7,0,0,0,0,38,6,2,1,0,2,0,0,0,6,2,14,0,0,0,0,9,5,7,7,0,0,33,12,1,0,1,0,ondrl001,luebc001,,lecus001,richc002,10,Apr 12,1,CIN,"L,2-8",11,10,8,7,1,4,6,1,0,3.13,47,169,115,1,0,0,0,42,2,0,0,1,0,1,1,5,Joe West,"C.Richard (3-65), L.Gregerson (1), H.Bell (3), M.Adams (1), C.Luebke (3-L)"
20110413,CIN,NL,12,SDN,NL,11,2,3,53,SAN02,17057,110000,111,34,8,3,0,0,2,0,0,0,3,1,7,1,0,1,0,8,4,2,2,0,0,26,8,2,0,1,0,31,7,0,0,0,3,0,1,0,7,1,5,1,0,1,0,10,5,2,2,0,0,27,10,0,0,1,0,bellh001,massn001,,woodt004,staut001,11,Apr 13,1,CIN,"W,3-2",9,8,2,2,0,3,7,0,0,3.03,37,160,105,1,0,1,0,34,3,0,1,0,0,0,1,5,Angel Hernandez,"T.Stauffer (6-45), C.Qualls (1), E.Frieri (1), M.Adams (0), H.Bell (0-W)"
