Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20170403,SDN,NL,1,LAN,NL,1,3,14,51,LOS03,53701,100000110,01533002x,33,5,1,0,1,3,0,0,0,0,0,9,0,0,0,0,3,5,14,14,3,0,24,8,0,0,0,0,36,14,4,0,4,12,0,1,2,5,2,5,0,0,0,0,6,2,2,2,1,0,27,5,1,0,0,0,kersc001,chacj001,,chacj001,kersc001,,1,Apr 3,@,LAD,"L,3-14",8,14,14,14,0,5,5,4,2,15.75,44,146,90,3,2,0,0,36,4,0,2,0,1,0,0,5,Larry Vanover,"J.Chacin (99-8-L), C.Bethancourt (99), M.Diaz (99), C.Stammen (99), J.Torres (99)"
20170404,SDN,NL,2,LAN,NL,2,4,0,54,LOS03,42196,201000010,0,33,11,2,0,1,4,1,1,0,2,0,9,1,0,2,0,6,2,0,0,0,0,27,14,0,0,4,0,28,5,0,0,0,0,0,0,0,2,0,5,0,0,4,0,3,4,4,4,0,0,27,8,1,0,3,0,richc002,maedk001,,richc002,maedk001,,2,Apr 4,@,LAD,"W,4-0",9,5,0,0,0,2,5,0,0,7.41,30,110,75,0,0,0,0,28,0,0,0,0,0,0,4,2,Alfonso Marquez,"C.Richard (99-75-W), B.Hand (99)"
20170405,SDN,NL,3,LAN,NL,3,1,3,51,LOS03,38373,100000,20010000x,27,3,1,0,1,1,1,0,0,4,0,7,0,1,1,0,4,4,2,2,0,0,24,8,1,0,1,0,30,6,3,0,1,2,0,0,1,3,0,12,1,0,1,0,7,4,1,1,0,0,27,11,0,0,1,0,hillr001,cahit001,jansk001,cahit001,hillr001,,3,Apr 5,@,LAD,"L,1-3",8,6,3,2,1,3,12,1,1,5.76,34,142,92,1,0,1,0,30,3,0,0,0,0,1,1,4,Chad Fairchild,"T.Cahill (99-53-L), J.Torres (1), M.Diaz (1), R.Buchter (99)"
20170406,SDN,NL,4,LAN,NL,4,2,10,51,LOS03,36501,2000,02020240x,33,6,2,0,1,2,0,0,0,2,0,8,1,0,0,0,6,6,9,9,0,0,24,11,0,1,0,0,32,8,2,0,2,8,0,0,1,11,0,5,3,0,0,0,10,3,2,2,0,0,27,8,0,0,0,0,mccab001,weavj003,,weavj003,mccab001,,4,Apr 6,@,LAD,"L,2-10",8,8,10,9,1,11,5,2,1,6.82,44,175,89,5,3,3,0,32,2,0,0,0,0,0,0,6,David Rackley,"J.Weaver (99-40-L), J.Cosart (99), C.Stammen (2), C.Bethancourt (2), B.Hand (1), B.Maurer (99)"
20170407,SFN,NL,5,SDN,NL,5,6,7,51,SAN02,43441,100004010,10201030x,33,8,2,0,2,5,0,0,0,2,0,8,0,0,2,0,2,5,7,7,1,0,24,10,2,0,1,0,31,8,2,0,2,7,2,0,0,7,0,5,1,0,1,0,9,5,6,6,0,1,27,15,0,0,2,0,torrj001,kontg001,maurb001,cainm001,perdl002,,5,Apr 7,1,SFG,"W,7-6",9,8,6,6,0,2,8,2,0,6.64,35,136,88,1,0,0,0,33,2,0,0,0,0,0,2,5,Greg Gibson,"L.Perdomo (99-36), M.Diaz (1), J.Torres (1-W), R.Buchter (1-H), B.Maurer (0-Sv)"
20170408,SFN,NL,6,SDN,NL,6,1,2,51,SAN02,42397,1,11000000x,32,5,2,0,0,1,0,0,0,1,0,7,0,0,0,0,5,1,2,2,0,0,24,8,1,0,0,0,30,6,3,0,0,2,1,0,1,2,0,5,0,0,0,0,8,3,1,1,0,0,27,12,0,0,0,0,chacj001,bumgm001,buchr001,bumgm001,chacj001,,6,Apr 8,1,SFG,"W,2-1",9,5,1,1,0,1,7,0,0,5.65,33,124,84,1,0,0,0,32,2,0,0,0,0,0,0,3,Paul Emmel,"J.Chacin (4-72-W), B.Hand (1-H), R.Buchter (0-Sv)"
20170409,SFN,NL,7,SDN,NL,7,5,3,54,SAN02,40537,23000000,2010,35,8,1,0,2,4,0,0,0,4,0,5,1,0,0,0,7,3,3,3,0,0,27,6,0,0,1,0,33,7,0,0,2,3,0,0,1,5,0,8,0,0,1,0,9,3,4,4,0,0,27,8,1,1,0,0,cuetj001,richc002,melam001,cuetj001,richc002,,7,Apr 9,1,SFG,"L,3-5",9,8,5,4,1,4,5,2,0,5.4,39,145,88,0,0,1,0,35,1,0,0,0,0,0,0,3,Brian O'Nora,"C.Richard (4-44-L), C.Stammen (2), J.Torres (1)"
20170410,SDN,NL,8,COL,NL,8,5,3,54,DEN02,20504,1003010,1002,32,9,1,1,2,5,0,1,0,3,0,10,0,1,2,0,4,6,3,3,0,0,27,9,0,0,3,0,32,8,1,0,2,3,0,0,0,3,0,8,0,0,3,0,5,4,5,5,1,0,27,11,0,0,3,0,diazm004,chatt001,,cosaj001,chatt001,,8,Apr 10,@,COL,"W,5-3",9,8,3,3,0,3,8,2,0,5.09,35,143,89,0,0,0,0,32,1,0,0,0,0,0,3,6,Cory Blaser,"J.Cosart (3-53), M.Diaz (2-W), J.Torres (0), R.Buchter (1-H), B.Hand (1), B.Maurer (2)"
20170411,SDN,NL,9,COL,NL,9,2,3,51,DEN02,20664,100001000,00010110x,31,5,0,1,1,2,0,1,0,2,0,10,0,0,0,0,5,3,3,3,0,0,24,6,2,0,0,0,29,4,1,0,3,3,0,0,0,2,0,7,0,0,0,0,4,3,2,2,1,0,27,8,0,0,0,0,senza001,diazm004,hollg001,weavj003,senza001,,9,Apr 11,@,COL,"L,2-3",8,4,3,3,0,2,7,3,0,4.91,31,111,70,0,0,0,0,29,1,0,0,0,0,1,0,3,Jeff Nelson,"J.Weaver (4-63), M.Diaz (0-L), C.Stammen (1)"
20170412,SDN,NL,10,COL,NL,10,6,0,54,DEN02,20968,400020000,0,32,8,2,0,1,6,0,1,1,4,1,6,0,0,3,0,5,5,0,0,0,0,27,6,0,0,1,0,29,3,2,0,0,0,0,0,0,6,0,7,0,0,1,0,8,4,6,6,0,0,27,15,1,0,3,0,lee-z001,freek001,,lee-z001,freek001,,10,Apr 12,@,COL,"W,6-0",9,3,0,0,0,6,7,0,0,4.4,35,146,82,3,0,0,0,29,2,0,0,0,0,0,1,5,Laz Diaz,"Z.Lee (99-63-W), J.Torres (1), R.Buchter (1), J.Esch (99), B.Maurer (1)"
