Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20120406,SFN,NL,1,ARI,NL,1,4,5,51,PHO01,49130,21001,30000200x,37,11,3,0,1,4,1,0,0,2,0,6,0,0,0,0,9,4,5,5,0,0,24,12,3,0,0,0,32,7,2,0,2,5,1,0,1,2,0,9,0,0,0,0,7,4,4,4,0,0,27,9,0,0,0,0,kenni001,linct001,putzj001,linct001,kenni001,,1,Apr 6,@,ARI,"L,4-5",8,7,5,5,0,2,9,2,1,5.62,36,136,84,3,0,0,0,32,2,0,0,1,0,3,0,4,Jim Joyce,"T.Lincecum (99-42-L), G.Mota (99), J.Affeldt (99), C.Hensley (99)"
20120407,SFN,NL,2,ARI,NL,2,4,5,51,PHO01,34789,200200,22001000x,33,6,1,0,2,4,0,0,0,2,0,7,0,0,0,0,4,4,5,5,1,0,24,10,0,0,2,0,32,10,2,0,2,5,0,0,1,4,2,7,0,0,2,0,8,4,4,4,0,0,27,11,0,0,0,0,hudsd001,bumgm001,putzj001,bumgm001,hudsd001,,2,Apr 7,@,ARI,"L,4-5",8,10,5,5,0,4,7,2,1,5.62,37,144,86,0,0,0,0,32,2,0,2,0,0,0,2,4,Jim Reynolds,"M.Bumgarner (99-33-L), D.Otero (99), S.Casilla (99), J.Lopez (99)"
20120408,SFN,NL,3,ARI,NL,3,6,7,51,PHO01,24193,33000000,00020320x,35,6,2,0,1,5,0,0,1,4,0,7,0,0,2,0,7,5,6,6,0,0,24,7,3,0,1,0,33,8,3,0,2,6,1,0,0,4,0,5,1,0,1,0,7,4,5,5,0,0,27,11,5,0,2,0,milew001,affej001,shawb001,cainm001,collj001,,3,Apr 8,@,ARI,"L,6-7",8,8,7,6,1,4,5,2,0,6,38,143,87,8,2,1,0,33,3,0,0,1,0,1,1,5,Mike DiMuro,"M.Cain (99-42), J.Affeldt (1-L), S.Casilla (0), J.Lopez (0-BSv), S.Romo (99)"
20120409,SFN,NL,4,COL,NL,4,7,0,54,DEN02,49282,202030000,0,37,10,3,0,1,7,0,0,0,7,0,6,0,1,1,0,10,1,0,0,0,0,27,9,1,0,0,0,32,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,5,4,5,5,0,0,27,14,2,0,2,0,zitob001,chacj001,,zitob001,chacj001,,4,Apr 9,@,COL,"W,7-0",9,4,0,0,0,0,4,0,0,4.36,32,114,71,1,1,0,0,32,1,0,0,0,0,1,0,1,Derryl Cousins,B.Zito (99-83-W)
20120411,SFN,NL,5,COL,NL,5,8,17,51,DEN02,30337,700100,21337001x,37,12,3,0,3,8,0,1,0,4,0,3,1,0,1,0,7,6,13,13,3,0,24,15,3,0,1,0,45,22,8,3,0,15,1,0,1,5,0,5,2,0,1,0,11,4,8,8,0,0,27,14,0,0,1,0,reynm002,motag001,chatt001,linct001,guthj001,,5,Apr 11,@,COL,"L,8-17",8,22,17,13,4,5,5,0,1,6.37,52,199,125,4,1,2,0,45,8,3,0,1,0,1,1,6,Bob Davidson,"T.Lincecum (4-18), D.Otero (3), G.Mota (4-BL), J.Affeldt (2), C.Hensley (4), B.Wilson (99)"
20120412,SFN,NL,6,COL,NL,6,4,2,54,DEN02,25860,1102000,1001,37,8,2,0,0,4,0,0,1,1,0,7,0,0,0,0,8,4,2,2,0,0,27,15,0,0,1,0,33,7,1,1,0,2,0,0,0,4,0,3,0,0,1,0,8,4,2,2,0,0,27,9,2,0,0,0,bumgm001,moyej001,wilsb001,bumgm001,moyej001,,6,Apr 12,@,COL,"W,4-2",9,7,2,2,0,4,3,0,0,5.58,37,158,98,3,0,0,0,33,1,1,0,0,0,0,1,4,Ron Kulpa,"M.Bumgarner (4-66-W), S.Romo (3-H), J.Lopez (3-H), B.Wilson (0-Sv)"
20120413,PIT,NL,7,SFN,NL,7,0,5,51,SFO03,41138,0,20000102x,28,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,4,5,5,1,0,24,8,0,0,0,0,30,8,2,0,1,5,0,0,0,3,1,2,1,1,0,0,4,1,0,0,0,0,27,9,0,0,0,0,cainm001,mcdoj004,,mcdoj004,cainm001,,7,Apr 13,1,PIT,"W,5-0",9,1,0,0,0,0,11,0,0,4.73,28,106,73,1,1,0,0,28,0,0,0,0,0,0,0,1,Brian Runge,M.Cain (4-96-W)
20120414,PIT,NL,8,SFN,NL,8,3,4,51,SFO03,41657,200010000,20010001,36,7,0,1,0,2,0,0,0,1,0,6,2,0,0,0,7,5,3,3,0,0,24,12,2,0,0,0,35,10,1,2,0,3,0,0,0,3,1,5,1,0,0,0,10,3,2,2,0,0,27,6,3,0,0,0,lopej002,resoc001,,mortc002,zitob001,,8,Apr 14,1,PIT,"W,4-3",9,7,3,2,1,1,6,0,0,4.37,37,143,92,1,0,2,0,36,0,1,0,0,0,2,0,3,Marvin Hudson,"B.Zito (4-58), S.Casilla (5), J.Lopez (1-W)"
20120415,PIT,NL,9,SFN,NL,9,4,1,54,SFO03,41766,20000020,10000,33,8,0,0,1,3,1,0,1,5,0,9,0,1,0,0,9,4,1,1,0,0,27,12,1,0,0,0,32,5,2,1,0,1,1,0,0,4,0,3,1,0,0,0,9,5,3,3,0,0,27,7,1,0,0,0,corrk001,voger001,hanrj001,corrk001,voger001,,9,Apr 15,1,PIT,"L,1-4",9,8,4,3,1,5,9,1,1,4.21,40,145,88,5,2,0,1,33,0,0,0,1,0,0,0,5,Tim McClelland,"R.Vogelsong (99-61-L), C.Hensley (3), D.Otero (3), J.Affeldt (3), G.Mota (3)"
20120416,PHI,NL,10,SFN,NL,10,5,2,54,SFO03,41136,400100000,100100000,37,10,3,0,0,5,0,0,1,1,0,8,0,0,0,0,7,2,2,2,0,0,27,10,0,0,0,0,34,8,1,0,0,2,0,1,0,3,0,6,0,0,0,0,9,3,5,5,0,0,27,16,0,0,0,0,hallr001,linct001,papej001,hallr001,linct001,,10,Apr 16,1,PHI,"L,2-5",9,10,5,5,0,1,8,0,1,4.29,39,137,89,0,0,0,0,37,3,0,0,0,0,0,0,3,Marty Foster,"T.Lincecum (4-41-L), D.Otero (0), J.Affeldt (0)"
