Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20140331,SFN,NL,1,ARI,NL,3,9,8,54,PHO01,48541,1011402,421001,38,12,3,0,2,9,1,0,0,2,0,6,0,0,0,0,5,5,4,4,1,0,27,11,2,0,2,0,42,16,3,0,1,8,1,0,0,3,0,9,1,1,1,0,11,5,9,9,0,0,27,10,1,0,0,0,machj002,reeda001,romos001,bumgm001,mccab001,1,Mar 31,@,ARI,"W,9-8",9,16,8,4,4,3,9,1,0,4,46,167,107,1,0,1,1,42,3,0,0,1,0,2,1,5,Tom Hallion,"M.Bumgarner (99-43), Y.Petit (99), J.Lopez (99), J.Machi (99-W), S.Romo (99-Sv)"
20140401,SFN,NL,2,ARI,NL,4,4,5,51,PHO01,18974,400000000,20010200x,34,7,2,0,1,4,0,0,0,2,0,9,0,0,0,0,5,3,4,4,0,0,24,12,0,1,2,0,32,11,3,0,0,4,0,1,0,3,1,4,1,0,2,0,7,3,4,4,1,0,27,9,0,0,0,0,milew001,gutij002,reeda001,cainm001,milew001,2,Apr 1,@,ARI,"L,4-5",8,11,5,4,1,3,4,0,0,4.24,36,147,87,0,0,1,0,32,3,0,1,0,1,0,2,3,Eric Cooper,"M.Cain (99-43), J.Gutierrez (99-BL), S.Casilla (99)"
20140402,SFN,NL,3,ARI,NL,5,2,0,54,PHO01,19357,11000,0,32,6,1,0,0,2,1,0,0,4,0,6,1,0,0,0,8,3,0,0,1,0,27,9,1,0,0,0,31,3,2,0,0,0,0,0,0,0,0,8,0,0,0,0,4,4,2,2,1,0,27,10,0,0,0,0,hudst001,cahit001,romos001,hudst001,cahit001,3,Apr 2,@,ARI,"W,2-0",9,3,0,0,0,0,8,0,0,2.77,31,123,86,1,0,0,0,31,2,0,0,0,0,1,0,3,Chris Guccione,"T.Hudson (99-80-W), J.Lopez (1-H), S.Romo (1-Sv)"
20140403,SFN,NL,4,ARI,NL,6,8,5,54,PHO01,19131,100100150,200002100,34,9,3,0,3,8,1,1,0,5,1,5,1,0,0,0,6,5,5,5,0,0,27,14,0,0,0,0,35,9,2,0,2,5,0,0,0,1,0,9,2,0,0,0,4,6,8,8,0,0,27,12,0,0,0,0,machj002,harrw002,,linct001,arrob001,4,Apr 3,@,ARI,"W,8-5",9,9,5,5,0,1,9,2,0,3.34,36,150,99,1,1,2,0,35,2,0,0,0,0,0,0,5,Pat Hoberg,"T.Lincecum (99-47), D.Huff (99), J.Machi (2-W), S.Casilla (1-H), J.Lopez (0)"
20140404,SFN,NL,5,LAN,NL,6,8,4,54,LOS03,53493,620000000,220000,35,8,3,0,0,8,0,0,0,4,1,12,0,1,0,0,4,5,4,4,0,0,27,5,1,0,0,0,36,10,2,0,2,4,0,0,0,2,0,11,3,1,0,0,7,5,6,6,0,0,27,5,2,0,1,0,huffd001,ryu-h001,,voger001,ryu-h001,5,Apr 4,@,LAD,"W,8-4",9,10,4,4,0,2,11,2,0,3.48,38,171,108,3,1,3,1,36,2,0,0,0,0,0,0,5,Alan Porter,"R.Vogelsong (99-34), D.Huff (0-W), J.Gutierrez (2), J.Machi (0), J.Lopez (0)"
20140405,SFN,NL,6,LAN,NL,7,7,2,54,LOS03,49520,10141000,10000100,35,11,3,0,3,7,1,0,0,6,0,5,0,0,2,0,8,3,2,2,0,0,27,11,0,0,1,0,33,9,3,0,0,2,0,0,0,3,0,12,0,1,1,0,7,7,7,7,0,0,27,12,0,0,2,0,bumgm001,mahop002,,bumgm001,mahop002,6,Apr 5,@,LAD,"W,7-2",9,9,2,2,0,3,12,0,0,3.23,36,162,102,3,1,0,1,33,3,0,0,0,0,0,1,3,Joe West,"M.Bumgarner (4-58-W), S.Casilla (1), Y.Petit (4)"
20140406,SFN,NL,7,LAN,NL,8,2,6,51,LOS03,48367,2000,01030101x,35,8,0,0,2,2,0,0,0,0,0,16,0,0,0,0,6,3,6,6,0,0,24,11,0,0,0,0,30,7,3,0,4,6,0,1,0,0,0,4,0,0,0,0,1,5,2,2,0,0,27,6,0,0,0,0,greiz001,cainm001,,cainm001,greiz001,7,Apr 6,@,LAD,"L,2-6",8,7,6,6,0,0,4,4,0,3.69,31,101,74,0,0,0,0,30,3,0,0,0,1,0,0,3,Marty Foster,"M.Cain (4-43-L), J.Gutierrez (1), D.Huff (1)"
20140408,ARI,NL,10,SFN,NL,8,3,7,51,SFO03,42166,10100010,20302000x,31,7,1,1,0,2,0,1,1,0,0,5,0,1,0,0,3,5,7,7,0,0,24,7,0,0,1,0,33,10,2,0,1,7,0,0,0,3,1,12,1,0,1,0,5,2,2,2,0,0,27,13,1,0,1,0,hudst001,cahit001,,cahit001,hudst001,8,Apr 8,1,ARI,"W,7-3",9,7,3,2,1,0,5,0,1,3.47,33,112,78,0,0,0,1,31,1,1,0,0,1,0,0,2,Jim Reynolds,"T.Hudson (5-62-W), S.Casilla (2)"
20140409,ARI,NL,11,SFN,NL,9,7,3,54,SFO03,41157,302200000,11010000,38,12,1,2,2,7,0,1,0,2,0,11,0,0,0,0,7,2,3,3,1,0,27,11,0,0,1,0,34,9,0,0,2,3,1,0,1,2,0,6,1,0,1,0,8,5,7,7,0,0,27,6,0,0,0,0,arrob001,linct001,collj001,arrob001,linct001,9,Apr 9,1,ARI,"L,3-7",9,12,7,7,0,2,11,2,0,3.87,41,150,99,0,0,0,0,38,1,2,0,0,1,0,0,5,Sean Barber,"T.Lincecum (5-24-L), Y.Petit (3), J.Gutierrez (2), J.Machi (4), D.Huff (2)"
20140410,ARI,NL,12,SFN,NL,10,6,5,60,SFO03,41577,220000101,111200000,42,13,4,0,0,5,0,0,2,3,1,9,2,1,2,0,11,7,5,5,0,0,30,11,0,0,2,0,37,10,5,0,0,5,1,0,0,7,1,5,0,0,2,0,10,8,5,5,0,0,30,12,3,0,2,0,putzj001,petiy001,reeda001,delgr001,voger001,10,Apr 10,1,ARI,"L,5-6",10,13,6,5,1,3,9,0,2,3.94,47,180,115,4,0,2,1,42,4,0,1,0,0,2,2,8,Fieldin Culbreth,"R.Vogelsong (5-41), D.Huff (0-H), J.Gutierrez (0-H), J.Machi (0-H), J.Lopez (5-H), S.Casilla (1-BSv), S.Romo (7), Y.Petit (0-L)"
20140411,COL,NL,11,SFN,NL,11,5,6,51,SFO03,41707,102001010,00150000x,35,11,2,0,1,4,1,0,0,2,0,10,0,1,0,0,6,5,6,6,1,0,24,6,0,0,0,0,29,6,2,1,1,6,1,1,2,2,0,11,0,0,0,0,5,4,4,4,0,0,27,12,1,0,1,0,bumgm001,delaj001,romos001,delaj001,bumgm001,11,Apr 11,1,COL,"W,6-5",9,11,5,4,1,2,10,1,0,3.95,38,156,99,0,0,0,1,35,2,0,0,1,0,0,0,4,Dan Iassogna,"M.Bumgarner (5-43-W), J.Gutierrez (0-H), S.Casilla (0-H), S.Romo (0-Sv)"
