Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20150405,SLN,NL,1,CHN,NL,1,3,0,54,CHI11,35055,110010000,0,36,10,3,0,0,3,0,0,0,4,1,11,4,1,0,0,10,4,0,0,0,0,27,8,0,1,0,0,32,5,3,0,0,0,0,0,0,2,0,12,1,0,0,0,7,6,3,3,0,0,27,8,2,0,0,0,waina001,lestj001,roset001,waina001,lestj001,1,Apr 5,@,CHC,"W,3-0",9,5,0,0,0,2,12,0,0,0,34,156,92,0,0,1,0,32,3,0,0,0,0,0,0,4,Mike Winters,"A.Wainwright (99-68-W), C.Martinez (99-H), J.Walden (99-H), T.Rosenthal (99-Sv)"
20150408,SLN,NL,2,CHN,NL,2,0,2,51,CHI11,26814,0,00000020x,31,4,1,0,0,0,0,0,0,3,0,8,0,0,0,0,7,3,1,1,0,0,24,4,1,0,0,0,24,2,0,1,0,2,1,1,1,1,0,11,0,0,0,0,2,5,0,0,0,0,27,7,0,0,0,0,arrij001,lynnl001,rondh001,lynnl001,arrij001,2,Apr 8,@,CHC,"L,0-2",8,2,2,1,1,1,11,0,1,0.53,28,111,68,1,1,0,0,24,0,1,0,1,1,0,0,3,Mark Wegner,"L.Lynn (99-70-L), K.Siegrist (99), M.Belisle (99)"
20150410,SLN,NL,3,CIN,NL,4,4,5,51,CIN09,30808,120000100,20200001x,36,10,2,0,1,4,0,0,0,3,1,12,0,0,0,0,8,3,5,5,1,1,24,7,0,0,1,0,26,4,0,0,2,5,0,1,0,4,1,3,2,0,1,0,2,5,4,4,1,0,27,12,0,0,0,0,hoovj002,waldj001,chapa001,lackj001,marqj001,3,Apr 10,@,CIN,"L,4-5",8,4,5,5,0,4,3,2,0,2.16,31,98,64,0,0,2,0,26,0,0,1,0,1,0,1,3,D.J. Reyburn,"J.Lackey (99-47), S.Maness (99), J.Walden (4-L)"
20150411,SLN,NL,4,CIN,NL,5,4,1,54,CIN09,41525,10100002,100000000,33,8,0,0,1,4,0,1,1,1,0,5,1,0,2,0,5,6,1,1,2,0,27,12,1,0,0,0,32,6,1,0,1,1,1,0,0,1,0,6,1,0,0,0,6,3,3,3,0,0,27,10,2,0,2,0,wachm001,cuetj001,roset001,wachm001,cuetj001,4,Apr 11,@,CIN,"W,4-1",9,6,1,1,0,1,6,1,0,1.85,34,114,85,3,0,1,0,32,1,0,0,1,0,0,0,6,Joe West,"M.Wacha (99-60-W), S.Maness (0-H), K.Siegrist (2-H), J.Walden (0-H), R.Choate (99), T.Rosenthal (5-Sv)"
20150412,SLN,NL,5,CIN,NL,6,7,5,66,CIN09,41446,3002002,1001030000,39,10,3,0,2,7,2,0,1,6,0,8,0,0,1,0,8,8,5,5,1,0,33,9,0,0,0,0,43,11,1,0,2,5,1,0,1,8,0,17,0,0,0,0,15,5,7,7,1,0,33,11,0,1,1,0,villc001,gregk001,,martc006,igler001,5,Apr 12,@,CIN,"W,7-5",11,11,5,5,0,8,17,2,1,2.4,53,206,125,7,3,0,0,43,1,0,0,1,0,0,0,8,Kerwin Danley,"C.Martinez (6-62), S.Maness (0-H), R.Choate (0), M.Belisle (3-BSv), K.Siegrist (0), J.Walden (0), T.Rosenthal (0), C.Villanueva (99-W)"
20150413,MIL,NL,7,SLN,NL,6,5,4,54,STL10,47875,110001200,1100200,33,8,3,0,0,4,2,0,0,1,0,6,0,0,1,0,4,5,2,2,2,0,27,14,2,0,0,0,37,9,2,0,0,3,0,0,0,6,1,6,0,0,0,0,12,4,3,3,0,0,27,13,2,0,1,0,garzm001,waina001,rodrf003,garzm001,waina001,6,Apr 13,1,MIL,"L,4-5",9,8,5,3,2,1,6,0,0,2.5,36,127,86,0,0,0,0,33,3,0,0,2,0,1,1,4,Bill Welke,"A.Wainwright (7-48-L), R.Choate (0), S.Maness (0), M.Belisle (0)"
20150415,MIL,NL,8,SLN,NL,7,2,4,51,STL10,40826,1000001,20020000x,37,10,2,0,0,2,1,0,0,2,0,6,0,0,0,0,11,3,4,4,0,0,24,7,1,0,0,0,34,10,2,0,0,4,0,0,0,1,0,4,0,0,0,0,7,7,2,2,1,0,27,9,1,0,0,0,lynnl001,peraw001,roset001,peraw001,lynnl001,7,Apr 15,1,MIL,"W,4-2",9,10,2,2,0,2,6,0,0,2.43,40,162,106,3,0,0,0,37,2,0,0,1,0,1,0,7,James Hoye,"L.Lynn (6-54-W), K.Siegrist (2-H), S.Maness (1-H), M.Belisle (1-H), R.Choate (1-H), J.Walden (2-H), T.Rosenthal (2-Sv)"
20150416,MIL,NL,9,SLN,NL,8,0,4,51,STL10,40079,0,00000211x,34,6,0,0,0,0,0,0,0,1,0,10,0,0,0,0,8,5,4,4,0,0,24,5,1,0,1,0,33,11,5,0,0,4,0,0,0,2,0,5,1,0,1,0,7,3,0,0,0,0,27,8,1,0,0,0,lackj001,fierm001,,fierm001,lackj001,8,Apr 16,1,MIL,"W,4-0",9,6,0,0,0,1,10,0,0,2.12,35,137,97,0,0,0,0,34,0,0,0,0,0,1,0,3,John Hirschbeck,"J.Lackey (5-74-W), J.Walden (0-H), M.Belisle (0)"
20150417,CIN,NL,10,SLN,NL,9,1,6,51,STL10,46462,100000000,10000032x,33,6,1,0,1,1,1,0,1,2,0,7,0,0,0,0,9,2,5,5,0,0,24,6,1,0,1,0,29,7,4,0,0,6,0,2,0,2,1,10,0,0,1,0,3,2,1,1,0,0,27,9,2,0,0,0,wachm001,cuetj001,siegk001,cuetj001,wachm001,9,Apr 17,1,CIN,"W,6-1",9,6,1,1,0,2,7,1,1,2,37,134,90,0,0,0,0,33,1,0,0,1,0,1,0,2,Clint Fagan,"M.Wacha (5-66-W), K.Siegrist (1-Sv)"
20150418,CIN,NL,11,SLN,NL,10,2,5,51,STL10,45906,10010,10110200x,35,9,0,0,1,2,0,0,0,3,0,5,0,0,1,0,9,4,5,5,0,0,24,16,1,0,1,0,34,10,3,0,1,5,0,0,0,3,2,2,1,0,1,0,8,5,2,2,0,0,27,8,0,0,1,0,martc006,bailh001,roset001,bailh001,martc006,10,Apr 18,1,CIN,"W,5-2",9,9,2,2,0,3,5,1,0,2,38,132,83,3,0,0,0,35,0,0,0,0,0,0,1,5,Manny Gonzalez,"C.Martinez (5-64-W), S.Maness (2), R.Choate (2), J.Walden (1-H), T.Rosenthal (2-Sv)"
