Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20180329,BOS,AL,1,TBA,AL,1,4,6,51,STP01,31042,30000100,00000006x,33,8,4,0,1,4,0,0,0,2,0,6,0,0,0,0,4,4,6,6,0,0,24,6,0,1,0,0,28,4,1,1,0,6,0,0,0,7,0,11,0,0,0,0,5,3,4,4,0,0,27,12,0,0,1,0,pruia001,smitc004,coloa001,salec001,archc001,,1,Mar 29,1,BOS,"W,6-4",9,8,4,4,0,2,6,1,0,4,35,123,85,1,0,0,0,33,4,0,0,0,0,0,0,3,Jeff Nelson,"C.Archer (99-49), A.Pruitt (99-W), A.Colome (99-Sv)"
20180330,BOS,AL,2,TBA,AL,2,1,0,54,STP01,19203,100,0,32,7,2,0,0,1,0,0,0,2,0,6,0,0,1,0,6,3,0,0,0,0,27,5,0,0,1,0,30,4,0,0,0,0,0,0,0,1,0,9,0,0,1,0,4,4,1,1,0,0,27,12,0,0,1,0,pricd001,roe-c001,kimbc001,pricd001,snelb001,,2,Mar 30,1,BOS,"L,0-1",9,7,1,1,0,2,6,0,0,2.5,34,139,92,3,1,0,0,32,2,0,0,0,0,0,1,4,Laz Diaz,"B.Snell (99-63), C.Roe (99-L), J.Alvarado (99), M.Andriese (99)"
20180331,BOS,AL,3,TBA,AL,3,3,2,54,STP01,17838,10101000,1010,33,7,4,0,1,2,0,0,0,6,0,5,1,1,1,0,9,5,2,2,1,0,27,5,0,0,1,0,33,8,1,0,1,2,0,1,0,3,0,7,1,0,0,0,8,4,2,2,0,0,27,8,1,0,1,0,porcr001,kitta001,kimbc001,porcr001,kitta001,,3,Mar 31,1,BOS,"L,2-3",9,7,3,2,1,6,5,1,0,2.33,39,156,87,3,1,1,1,33,4,0,0,0,0,1,1,4,Andy Fletcher,"A.Kittredge (99-48-L), R.Yarbrough (99), S.Romo (99), C.Roe (0)"
20180401,BOS,AL,4,TBA,AL,4,2,1,54,STP01,14256,11000,10000000,33,6,0,0,0,2,0,0,3,4,0,6,2,0,0,0,11,5,1,1,0,0,27,4,0,0,0,0,35,8,1,0,1,1,0,0,0,2,0,9,0,0,0,0,9,3,2,2,0,0,27,11,1,0,0,0,velah001,alvaj004,kellj001,velah001,farij001,,4,Apr 1,1,BOS,"L,1-2",9,6,2,2,0,4,6,0,3,2.25,40,156,104,3,1,2,0,33,0,0,0,0,0,1,0,3,Manny Gonzalez,"J.Faria (99-49), J.Alvarado (1-L), Y.Chirinos (99)"
20180403,TBA,AL,5,NYA,AL,5,4,11,51,NYC21,46776,1003000,01300043x,33,7,2,0,0,4,0,0,0,4,0,11,0,0,1,0,6,3,10,10,0,0,24,4,1,0,1,0,34,11,2,0,2,10,1,0,0,6,0,14,0,0,1,0,6,5,4,4,0,0,27,9,1,0,2,0,kahnt001,pruia001,,archc001,montj004,,5,Apr 3,@,NYY,"L,4-11",8,11,11,10,1,6,14,2,0,3.89,41,168,103,2,2,0,0,34,2,0,0,1,0,1,1,3,Mark Ripperger,"C.Archer (4-44), A.Pruitt (4-L), S.Romo (2)"
20180404,TBA,AL,6,NYA,AL,6,2,7,51,NYC21,40028,100000010,20230000x,30,6,1,0,0,2,0,1,0,1,0,9,0,0,2,0,3,4,7,7,0,0,24,5,0,0,0,0,31,7,0,0,3,7,0,0,0,3,0,11,1,0,0,0,3,3,2,2,0,0,27,11,1,0,2,0,sevel001,snelb001,,snelb001,sevel001,,6,Apr 4,@,NYY,"L,2-7",8,7,7,7,0,3,11,3,0,4.5,34,162,105,1,1,1,0,31,0,0,0,0,0,0,0,4,Joe West,"B.Snell (4-34-L), M.Andriese (4), C.Roe (3), J.Alvarado (2)"
20180405,TBA,AL,7,BOS,AL,7,2,3,70,BOS07,36134,20000,2001,40,6,1,0,1,2,1,0,0,6,0,11,0,0,1,0,9,7,3,3,0,0,34,15,0,2,1,0,41,10,2,1,0,3,1,0,0,6,3,9,1,0,1,0,11,5,2,2,0,0,36,11,0,0,1,0,poynb001,kitta001,,chiry001,pricd001,,7,Apr 5,@,BOS,"L,2-3",11.1,10,3,3,0,6,9,0,0,4.12,48,161,105,2,1,1,0,41,2,1,3,1,0,0,1,7,Todd Tichenor,"Y.Chirinos (3-65), C.Roe (0), S.Romo (1), J.Alvarado (0-H), A.Colome (6-BSv), A.Kittredge (4-L), R.Yarbrough (4)"
20180407,TBA,AL,8,BOS,AL,8,3,10,51,BOS07,31821,200000010,44000020x,32,6,2,0,0,3,0,0,0,0,0,9,0,0,1,0,2,5,10,10,0,0,24,6,0,0,0,0,32,9,3,0,3,10,0,1,0,6,0,3,0,0,0,0,5,2,3,3,0,0,27,10,0,0,1,0,porcr001,farij001,,farij001,porcr001,,8,Apr 7,@,BOS,"L,3-10",8,9,10,10,0,6,3,3,0,4.92,39,170,92,2,0,0,0,32,3,0,0,0,1,0,0,5,Alan Porter,"J.Faria (5-8-L), A.Pruitt (3), C.Roe (1), S.Romo (1), D.Robertson (99)"
20180408,TBA,AL,9,BOS,AL,9,7,8,51,BOS07,31979,11111200,10001006x,37,11,1,2,1,7,0,1,0,6,0,11,1,0,0,0,10,5,8,8,2,0,24,3,0,1,0,0,35,11,4,0,0,8,0,0,0,4,0,6,0,0,0,0,7,7,7,7,0,0,27,8,0,0,0,0,smitc004,coloa001,kimbc001,kitta001,rodre004,,9,Apr 8,@,BOS,"L,7-8",8,11,8,8,0,4,6,0,0,5.33,39,166,107,1,1,0,0,35,4,0,0,0,0,0,0,5,Bill Miller,"A.Kittredge (2-49), R.Yarbrough (2), J.Alvarado (2), M.Andriese (3), A.Colome (2-BL)"
20180409,TBA,AL,10,CHA,AL,9,5,4,54,CHI12,10377,100121000,100021000,39,14,2,1,1,5,0,0,0,3,0,7,3,1,0,0,10,5,3,3,2,0,27,5,1,0,0,0,35,9,2,0,1,4,1,1,1,5,0,12,3,0,0,0,12,6,5,5,3,0,27,9,1,0,0,0,archc001,gonzm003,coloa001,archc001,gonzm003,,10,Apr 9,@,CHW,"W,5-4",9,9,4,3,1,5,12,1,1,5.09,43,154,100,3,0,3,0,35,2,0,0,1,1,1,0,5,Stu Scheurwater,"C.Archer (5-48-W), C.Roe (1-H), J.Alvarado (0-H), S.Romo (1-H), A.Colome (0-Sv)"
