Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20140331,PHI,NL,1,TEX,AL,1,14,10,54,ARL02,49031,60124010,43010200,44,17,3,0,3,13,0,0,0,6,0,8,3,0,0,0,9,5,10,10,0,0,27,10,0,0,1,0,40,14,3,0,1,9,0,0,0,4,0,4,0,0,1,0,7,5,14,14,1,0,27,8,1,0,0,0,lee-c003,figup001,,lee-c003,schet001,,1,Mar 31,1,PHI,"L,10-14",9,17,14,14,0,6,8,3,0,14,50,191,115,1,1,3,0,44,3,0,0,0,0,0,0,5,Jim Joyce,"T.Scheppers (99-17), P.Figueroa (99-L), A.Ogando (99), S.Tolleson (99), S.Rosin (99)"
20140401,PHI,NL,2,TEX,AL,2,2,3,52,ARL02,29530,2000,1101,33,8,2,0,0,2,1,0,0,1,1,11,0,1,0,0,6,5,3,3,1,0,25,10,0,0,1,0,32,10,3,0,0,3,2,0,1,5,1,6,1,0,0,0,12,4,2,2,1,0,27,8,1,0,1,0,sorij001,hollm003,,burna001,perem004,,2,Apr 1,1,PHI,"W,3-2",9,8,2,2,0,1,11,0,0,8,35,141,91,2,0,0,1,33,2,0,1,1,0,1,0,4,Doug Eddings,"M.Perez (99-54), J.Frasor (99), N.Cotts (99), J.Soria (99-W)"
20140402,PHI,NL,3,TEX,AL,3,3,4,52,ARL02,28218,102000000,103,34,9,1,0,1,2,0,0,0,3,0,8,0,0,1,1,8,3,4,4,0,0,25,13,3,0,1,0,34,9,1,1,0,4,0,0,0,3,0,5,0,0,1,0,8,4,2,2,1,0,27,9,2,1,2,0,rosis001,papej001,,kendk001,rossr002,,3,Apr 2,1,PHI,"W,4-3",9,9,3,2,1,3,8,1,0,6,38,149,93,0,0,0,0,34,1,0,0,0,0,0,1,4,Marvin Hudson,"R.Ross (99-48), S.Tolleson (1), P.Figueroa (1), S.Rosin (1-W)"
20140404,TEX,AL,4,TBA,AL,5,1,8,51,STP01,14304,10,10313000x,32,6,1,0,0,1,0,0,0,3,0,6,0,0,0,0,7,4,6,6,0,0,24,7,4,0,1,0,37,11,2,0,2,8,0,0,1,6,0,6,0,0,1,0,12,3,1,1,0,0,27,9,0,0,0,0,odorj001,saunj001,,saunj001,odorj001,,4,Apr 4,@,TBR,"L,1-8",8,11,8,6,2,6,6,2,1,6.17,44,171,99,2,0,0,0,37,2,0,0,0,0,3,1,4,Jerry Layne,"J.Saunders (99-32-L), D.McCutchen (99), P.Figueroa (1), A.Ogando (3)"
20140405,TEX,AL,5,TBA,AL,6,4,5,51,STP01,30364,210100000,00120002x,34,9,1,0,0,4,1,1,1,0,0,6,1,0,0,0,6,3,5,5,0,0,24,17,0,0,1,0,28,7,2,0,2,5,1,0,0,5,1,3,0,0,1,0,5,4,4,4,0,0,27,10,0,0,0,0,gomeb001,cottn001,balfg001,martn002,pricd001,,5,Apr 5,@,TBR,"L,4-5",8,7,5,5,0,5,3,2,0,6.07,34,123,69,0,0,0,0,28,2,0,1,1,0,0,1,3,Hunter Wendelstedt,"N.Martinez (99-52), J.Frasor (3-H), N.Cotts (3-BL)"
20140406,TEX,AL,6,TBA,AL,7,3,0,54,STP01,22569,21,0,34,7,0,0,1,3,0,0,0,1,0,7,0,0,1,0,5,4,0,0,1,0,27,3,0,0,0,0,35,8,3,0,0,0,0,0,0,2,0,7,0,0,0,0,10,4,2,2,0,0,27,8,1,0,1,0,darvy001,peraj002,sorij001,darvy001,cobba001,,6,Apr 6,@,TBR,"W,3-0",9,8,0,0,0,2,7,0,0,5.02,37,119,82,2,0,0,0,35,3,0,0,0,0,0,0,4,Mike DiMuro,"Y.Darvish (99-68-W), A.Ogando (1-H), N.Cotts (0-H), J.Soria (4-Sv)"
20140407,TEX,AL,7,BOS,AL,7,1,5,51,BOS07,35842,100000,01010003x,32,8,1,1,0,1,0,1,0,2,0,6,2,0,2,0,7,4,5,5,1,0,24,15,2,0,3,0,36,14,1,0,0,4,0,0,2,2,0,4,0,0,3,0,11,3,0,0,0,0,27,13,1,1,2,0,lackj001,schet001,,schet001,lackj001,,7,Apr 7,@,BOS,"L,1-5",8,14,5,5,0,2,4,0,2,5.1,40,153,96,2,2,0,0,36,1,0,0,0,0,0,3,4,Paul Emmel,"T.Scheppers (6-43-L), P.Figueroa (2), S.Rosin (4), S.Tolleson (4)"
20140408,TEX,AL,8,BOS,AL,8,10,7,54,BOS07,34142,5310001,100303,36,13,6,0,1,10,2,2,0,4,0,5,0,0,0,0,7,4,7,7,1,0,27,12,0,0,5,0,36,14,4,0,0,7,0,0,0,4,0,9,0,0,5,0,6,3,10,10,0,0,27,15,0,0,0,0,perem004,doubf001,,perem004,doubf001,,8,Apr 8,@,BOS,"W,10-7",9,14,7,7,0,4,9,0,0,5.35,40,160,102,2,2,0,0,36,4,0,0,0,0,0,5,4,Chris Conroy,"M.Perez (6-41-W), J.Frasor (2), N.Cotts (1), J.Soria (1)"
20140409,TEX,AL,9,BOS,AL,9,2,4,51,BOS07,33585,110,00100003x,30,5,2,0,1,2,0,1,0,4,0,9,1,1,0,0,6,3,3,3,0,0,24,13,1,0,3,0,25,4,1,0,1,3,0,0,0,7,0,9,0,1,2,0,4,4,2,2,0,0,27,11,0,0,0,0,milla002,ogana001,uehak001,rossr002,peavj001,,9,Apr 9,@,BOS,"L,2-4",8,4,4,3,1,7,9,1,0,5.14,32,141,79,3,2,0,1,25,1,0,0,0,0,0,2,3,Jordan Baker,"R.Ross (6-60), A.Ogando (2-L), N.Cotts (0-BSv)"
20140411,HOU,AL,11,TEX,AL,10,0,1,71,ARL02,36150,0,1,37,2,0,0,0,0,0,0,0,3,0,11,0,0,1,0,4,5,1,1,1,0,35,21,0,0,0,0,41,8,1,0,0,1,0,0,2,9,3,8,4,2,0,0,16,5,0,0,0,0,36,15,0,0,1,0,frasj002,peacb001,,felds001,darvy001,,10,Apr 11,1,HOU,"W,1-0",12,2,0,0,0,3,11,0,0,4.45,40,156,96,0,0,0,0,37,0,0,0,0,0,0,1,5,Marty Foster,"Y.Darvish (4-88), J.Soria (2), A.Ogando (1), N.Cotts (1), J.Frasor (2-W)"
