Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20140331,TOR,AL,1,TBA,AL,1,2,9,51,STP01,31042,20,12102003x,33,7,0,0,1,2,0,0,0,1,0,9,0,0,1,0,5,3,9,9,1,0,24,6,2,0,0,0,32,11,3,0,0,7,0,2,2,8,0,6,1,0,0,0,11,3,2,2,0,0,27,8,0,0,1,0,pricd001,dickr001,,dickr001,pricd001,,1,Mar 31,@,TBR,"L,2-9",8,11,9,9,0,8,6,0,2,10.12,44,154,89,0,0,1,0,32,3,0,0,0,2,0,0,3,Brian Gorman,"R.Dickey (99-31-L), E.Rogers (99), J.Jeffress (99)"
20140401,TOR,AL,2,TBA,AL,2,4,2,54,STP01,11113,300100000,11,32,6,1,0,1,4,0,0,0,5,0,7,1,0,1,0,6,4,2,2,0,0,27,8,0,0,1,0,32,7,4,0,0,2,0,0,0,4,0,8,2,1,1,0,7,5,4,4,1,0,27,13,0,0,1,0,hutcd001,cobba001,sants001,hutcd001,cobba001,,2,Apr 1,@,TBR,"W,4-2",9,7,2,2,0,4,8,0,0,5.82,36,141,89,2,0,2,1,32,4,0,0,0,0,0,1,4,Bill Welke,"D.Hutchison (99-63-W), A.Loup (99-H), S.Delabar (99), S.Santos (99-Sv)"
20140402,TOR,AL,3,TBA,AL,3,3,0,54,STP01,10808,200100,0,36,9,2,0,2,3,0,0,1,5,1,5,0,0,0,0,12,3,0,0,0,0,27,8,0,0,1,0,29,4,1,0,0,0,1,0,0,2,0,12,0,0,1,0,5,6,3,3,2,0,27,9,0,0,0,0,buehm001,moorm003,cecib001,buehm001,moorm003,,3,Apr 2,@,TBR,"W,3-0",9,4,0,0,0,2,12,0,0,3.81,32,118,72,3,0,0,0,29,1,0,0,1,0,0,1,3,Jim Wolf,"M.Buehrle (99-86-W), S.Santos (0), B.Cecil (99-Sv)"
20140403,TOR,AL,4,TBA,AL,4,2,7,51,STP01,9571,200000,01300030x,31,5,1,0,0,2,0,1,0,4,0,8,2,0,0,0,7,3,7,7,0,1,24,14,0,1,2,0,33,11,3,1,1,6,0,0,0,5,0,6,0,0,2,0,7,4,2,2,0,0,27,8,0,0,0,0,archc001,morrb001,,morrb001,archc001,,4,Apr 3,@,TBR,"L,2-7",8,11,7,7,0,5,6,1,0,4.76,38,157,90,0,0,0,0,33,3,1,0,0,0,0,2,3,David Rackley,"B.Morrow (99-40-L), E.Rogers (2), J.Jeffress (2)"
20140404,NYA,AL,4,TOR,AL,5,7,3,54,TOR02,48197,202100011,120000000,40,16,4,1,0,7,1,0,0,4,1,10,4,0,0,0,11,4,2,2,0,0,27,11,1,0,1,0,33,6,1,0,1,3,0,0,0,2,0,9,0,0,1,0,5,6,7,7,1,0,27,8,1,0,0,0,tanam001,mcgod001,,tanam001,mcgod001,,5,Apr 4,1,NYY,"L,3-7",9,16,7,7,0,4,10,0,0,5.23,45,170,104,2,0,4,0,40,4,1,1,1,0,0,0,6,Lance Barrett,"D.McGowan (99-28-L), A.Loup (2), T.Redmond (99), B.Cecil (1), S.Delabar (2), J.Jeffress (0)"
20140405,NYA,AL,5,TOR,AL,6,0,4,51,TOR02,45446,0,01000003x,32,7,1,0,0,0,0,0,2,3,0,9,0,0,1,0,10,3,4,4,0,0,24,9,0,0,0,0,31,8,4,0,2,4,0,0,0,1,0,8,0,1,0,0,4,4,0,0,0,0,27,11,0,0,1,0,dickr001,pinem001,sants001,pinem001,dickr001,,6,Apr 5,1,NYY,"W,4-0",9,7,0,0,0,3,9,0,2,4.33,37,155,95,3,0,0,0,32,1,0,0,0,0,0,1,4,Dana DeMuth,"R.Dickey (4-69-W), A.Loup (0-H), B.Cecil (0-H), S.Santos (2-Sv)"
20140406,NYA,AL,6,TOR,AL,7,6,4,54,TOR02,34067,300300000,100003000,35,9,2,0,1,6,0,0,1,4,0,12,3,0,1,0,7,4,4,4,0,0,27,8,0,0,0,0,36,9,1,1,1,4,0,0,0,1,0,6,0,0,0,0,6,4,6,6,0,0,27,5,0,0,1,0,sabac001,hutcd001,robed002,sabac001,hutcd001,,7,Apr 6,1,NYY,"L,4-6",9,9,6,6,0,4,12,1,1,4.57,40,161,104,1,0,3,0,35,2,0,0,0,0,0,1,4,Ron Kulpa,"D.Hutchison (4-27-L), T.Redmond (1), S.Delabar (1), E.Rogers (2)"
20140408,HOU,AL,8,TOR,AL,8,2,5,51,TOR02,13123,10000100,10010120x,34,9,4,0,0,2,0,1,0,4,0,10,2,0,1,0,10,4,5,5,0,0,24,8,0,0,1,0,27,5,2,0,2,5,0,0,1,6,0,7,0,0,1,0,5,5,2,2,0,0,27,10,0,0,1,0,buehm001,oberb001,sants001,oberb001,buehm001,,8,Apr 8,1,HOU,"W,5-2",9,9,2,2,0,4,10,0,0,4.24,39,147,92,1,0,2,0,34,4,0,0,0,1,0,1,5,Mike Estabrook,"M.Buehrle (5-50-W), S.Delabar (1-H), A.Loup (2-H), B.Cecil (2-H), S.Santos (2-Sv)"
20140409,HOU,AL,9,TOR,AL,9,3,7,51,TOR02,13569,3000,20003020x,33,6,0,1,1,3,0,0,0,1,0,13,0,0,0,0,4,3,6,6,0,0,24,11,1,0,1,0,34,11,3,0,1,6,0,0,0,5,1,6,2,0,1,0,8,4,3,3,0,0,27,6,0,0,0,0,morrb001,harrl002,,harrl002,morrb001,,9,Apr 9,1,HOU,"W,7-3",9,6,3,3,0,1,13,1,0,4.1,34,141,98,0,0,0,0,33,0,1,0,0,0,0,0,4,Jerry Layne,"B.Morrow (5-58-W), N.Wagner (99-H), S.Delabar (0), E.Rogers (2)"
20140410,HOU,AL,10,TOR,AL,10,6,4,54,TOR02,15778,20310,10003,33,8,2,0,3,6,0,0,0,4,0,8,0,0,1,0,4,4,3,3,0,0,27,13,1,0,1,0,34,8,3,0,1,3,1,0,0,3,0,8,0,0,1,0,7,3,6,6,0,0,27,9,0,0,1,0,keucd001,dickr001,bassa001,keucd001,dickr001,,10,Apr 10,1,HOU,"L,4-6",9,8,6,6,0,4,8,3,0,4.3,37,146,96,0,0,0,0,33,2,0,0,0,0,0,1,3,Hunter Wendelstedt,"R.Dickey (4-46-L), E.Rogers (0), T.Redmond (3)"
20140411,TOR,AL,11,BAL,AL,10,2,0,54,BAL12,22327,200000,0,31,3,0,0,0,1,0,0,0,1,0,6,0,0,0,0,3,3,0,0,0,0,27,5,0,0,0,0,32,5,1,0,0,0,0,0,2,1,0,7,0,0,0,0,8,3,0,0,0,0,27,10,2,0,0,0,mcgod001,tillc001,sants001,mcgod001,tillc001,,11,Apr 11,@,BAL,"W,2-0",9,5,0,0,0,1,7,0,2,3.9,35,120,81,1,0,0,0,32,1,0,0,0,0,0,0,3,Jerry Meals,"D.McGowan (6-64-W), B.Cecil (2-H), S.Santos (2-Sv)"
20140412,TOR,AL,12,BAL,AL,11,1,2,70,BAL12,30446,1000,100001,40,7,1,0,1,1,0,0,0,6,0,7,1,0,2,0,9,5,2,2,1,0,34,13,0,0,3,0,40,9,1,1,0,2,0,0,0,4,0,8,1,0,3,0,8,5,1,1,0,0,36,15,0,0,2,0,britz001,redmt002,,hutcd001,norrb001,,12,Apr 12,@,BAL,"L,1-2",11.1,9,2,2,0,4,8,0,0,3.66,44,176,110,1,0,1,0,40,1,1,0,0,0,0,3,5,Paul Emmel,"D.Hutchison (5-67), N.Wagner (2), A.Loup (3), S.Delabar (2), T.Redmond (1-L)"
20140413,TOR,AL,13,BAL,AL,12,11,3,54,BAL12,39281,100205030,100000020,41,17,4,0,3,11,1,0,0,4,0,3,0,0,0,0,8,2,3,3,0,0,27,9,1,0,0,0,36,8,3,0,2,3,0,0,1,0,0,4,0,0,0,0,7,4,11,11,1,0,27,14,0,0,0,0,buehm001,jimeu001,,buehm001,jimeu001,,13,Apr 13,@,BAL,"W,11-3",9,8,3,3,0,0,4,2,1,3.61,37,130,90,0,0,0,0,36,3,0,0,0,0,1,0,2,Chris Conroy,"M.Buehrle (4-65-W), E.Rogers (2)"
20140415,TOR,AL,14,MIN,AL,13,9,3,54,MIN04,21818,5004,110000001,39,14,2,0,1,8,0,1,0,5,0,7,0,0,1,0,9,6,3,3,0,0,27,10,1,0,1,0,33,7,1,1,1,3,1,0,1,6,0,9,1,0,1,0,11,5,9,9,0,0,27,11,1,0,1,0,loupa001,hughp001,,morrb001,hughp001,,14,Apr 15,@,MIN,"W,9-3",9,7,3,3,0,6,9,1,1,3.56,41,180,104,3,0,1,0,33,1,1,0,1,0,1,1,6,Eric Cooper,"B.Morrow (5-45), A.Loup (2-W), N.Wagner (2-H), B.Cecil (3-H), S.Delabar (2-H), S.Santos (3)"
