Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20140331,WAS,NL,1,NYN,NL,1,9,7,60,NYC20,42442,200002014,3100000102,38,9,2,0,2,9,0,1,0,6,0,10,0,0,0,0,6,5,7,7,0,0,30,4,0,0,0,0,35,7,0,0,3,7,1,1,0,3,0,18,0,0,0,0,3,7,9,9,0,0,30,11,0,1,0,0,barra001,famij001,,stras001,gee-d001,,1,Mar 31,@,NYM,"W,9-7",10,7,7,7,0,3,18,3,0,6.3,40,163,105,0,0,0,0,35,0,0,0,1,1,0,0,5,Tim Welke,"S.Strasburg (99-54), D.Storen (99), T.Clippard (99), A.Barrett (99-W), J.Blevins (99)"
20140402,WAS,NL,2,NYN,NL,2,5,1,54,NYC20,29146,120101,100000000,40,13,4,1,2,4,0,0,0,0,0,7,0,0,0,0,8,4,1,1,0,0,27,9,1,0,0,0,29,3,1,1,0,1,0,1,0,2,0,13,0,0,0,0,4,3,5,5,1,0,27,6,0,0,0,0,gonzg003,colob001,,gonzg003,colob001,,2,Apr 2,@,NYM,"W,5-1",9,3,1,1,0,2,13,0,0,3.79,32,139,93,0,0,0,0,29,1,1,0,0,1,1,0,4,Clint Fagan,"G.Gonzalez (99-67-W), D.Storen (1-H), T.Clippard (1-H), C.Stammen (99)"
20140403,WAS,NL,3,NYN,NL,3,8,2,54,NYC20,20561,10020410,200000000,37,13,3,0,1,7,2,0,0,5,0,8,0,0,2,0,9,3,2,2,0,0,27,5,0,0,1,0,31,7,3,0,0,2,1,1,0,4,0,8,0,0,1,0,8,5,7,7,0,0,27,11,2,0,2,0,roart001,wheez001,,roart001,wheez001,,3,Apr 3,@,NYM,"W,8-2",9,7,2,2,0,4,8,0,0,3.21,37,139,89,0,0,0,0,31,3,0,0,1,1,0,1,3,Tim Timmons,"T.Roark (99-54-W), R.Detwiler (99), R.Soriano (99)"
20140404,ATL,NL,4,WAS,NL,4,2,1,54,WAS11,42834,10010,1000,31,6,1,0,1,2,0,1,1,2,0,14,1,1,0,0,6,6,1,1,1,0,27,17,0,0,0,0,31,8,3,0,0,1,0,1,0,4,0,10,0,2,0,0,8,4,2,2,0,0,27,7,0,0,0,0,avill001,clipt001,kimbc001,haled001,zimmj003,,4,Apr 4,1,ATL,"L,1-2",9,6,2,2,0,2,14,1,1,2.92,35,125,86,0,0,1,1,31,1,0,0,0,1,0,0,4,Cory Blaser,"J.Zimmermann (99-63), C.Stammen (1), T.Clippard (1-L), A.Barrett (3)"
20140405,ATL,NL,5,WAS,NL,5,6,2,54,WAS11,37841,240000,200000000,40,13,3,0,0,5,0,1,0,4,0,9,1,0,0,0,12,3,2,2,0,0,27,5,0,0,1,0,31,5,0,0,1,2,0,0,1,5,0,10,2,0,0,0,8,5,3,3,0,0,27,6,2,0,0,0,tehej001,stras001,,tehej001,stras001,,5,Apr 5,1,ATL,"L,2-6",9,13,6,3,3,4,9,0,0,2.93,45,170,106,2,1,1,0,40,3,0,0,0,1,1,0,5,Jim Joyce,"S.Strasburg (4-32-L), A.Barrett (0), R.Detwiler (1), J.Blevins (4), D.Storen (2)"
20140406,ATL,NL,6,WAS,NL,6,1,2,51,WAS11,34327,1000,10000010x,33,8,1,0,0,1,1,1,0,2,0,7,0,0,1,0,9,3,2,2,0,0,24,9,2,0,0,0,29,4,0,0,1,1,0,0,0,0,0,6,0,0,0,0,3,4,1,1,0,0,27,7,1,0,1,0,blevj001,wooda002,sorir001,wooda002,jordt001,,6,Apr 6,1,ATL,"W,2-1",9,8,1,1,0,2,7,0,0,2.62,37,137,85,1,0,0,0,33,1,0,0,1,1,1,1,4,Doug Eddings,"T.Jordan (99-58), J.Blevins (0-W), T.Clippard (1-H), R.Soriano (2-Sv)"
20140408,MIA,NL,8,WAS,NL,7,0,5,51,WAS11,21728,0,10000202x,30,4,0,0,0,0,0,0,0,4,0,8,0,1,0,0,7,4,3,3,1,0,24,10,1,0,0,0,31,8,2,0,0,4,0,0,0,3,0,9,0,0,0,0,5,5,0,0,0,0,27,8,0,0,0,0,gonzg003,alvah001,,alvah001,gonzg003,,7,Apr 8,1,MIA,"W,5-0",9,4,0,0,0,4,8,0,0,2.25,34,159,95,1,0,0,1,30,0,0,0,0,0,0,0,5,Jeff Kellogg,"G.Gonzalez (5-69-W), J.Blevins (1-H), D.Storen (2-H), T.Clippard (1-H), A.Barrett (2)"
20140409,MIA,NL,9,WAS,NL,8,7,10,51,WAS11,21190,230000110,00031204x,39,14,3,1,2,7,0,1,0,6,0,11,1,0,0,0,12,5,9,9,0,0,24,7,3,0,0,0,36,11,1,1,2,9,0,0,1,4,1,7,0,0,0,0,7,6,7,7,0,0,27,10,0,0,0,0,clipt001,marmc001,sorir001,handb001,zimmj003,,8,Apr 9,1,MIA,"W,10-7",9,14,7,7,0,6,11,2,0,2.84,46,195,119,2,0,1,0,39,3,1,0,0,1,0,0,6,Dan Bellino,"J.Zimmermann (4-20), C.Stammen (4), R.Detwiler (3), D.Storen (0-BSv), T.Clippard (0-W), R.Soriano (2-Sv)"
20140410,MIA,NL,10,WAS,NL,9,1,7,51,WAS11,20869,100,00200005x,31,3,0,0,1,1,0,0,1,1,0,17,1,0,0,0,5,4,7,7,0,0,24,9,0,0,1,0,33,10,3,0,2,7,0,0,0,4,0,9,2,0,1,0,6,4,1,1,0,0,27,8,2,0,0,0,stras001,koeht001,,koeht001,stras001,,9,Apr 10,1,MIA,"W,7-1",9,3,1,1,0,1,17,1,1,2.63,33,127,93,1,0,1,0,31,0,0,0,0,0,1,0,4,Toby Basner,"S.Strasburg (4-75-W), J.Blevins (1-H), A.Barrett (1-H), R.Soriano (0)"
20140411,WAS,NL,10,ATL,NL,10,6,7,59,ATL02,28243,1310100,400100101,41,14,1,0,1,6,1,0,0,4,1,8,0,0,2,0,10,6,7,7,0,0,29,10,0,0,3,0,35,10,2,0,2,7,0,0,3,3,0,7,0,1,3,0,5,5,3,3,1,0,30,12,1,0,2,0,avill001,blevj001,,roart001,tehej001,,10,Apr 11,@,ATL,"L,6-7",9.2,10,7,7,0,3,7,2,3,3.04,41,177,110,1,1,0,1,35,2,0,0,0,0,0,3,6,Adrian Johnson,"T.Roark (7-34), A.Barrett (0), R.Detwiler (1), T.Clippard (1-BSv), D.Storen (1), J.Blevins (0-L)"
