Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20180330,WAS,NL,1,CIN,NL,1,2,0,54,CIN09,43878,100000001,0,32,6,1,0,0,2,0,1,0,4,0,6,1,0,0,0,8,4,0,0,0,0,27,6,0,0,0,0,34,7,1,0,0,0,0,0,0,2,0,14,1,0,0,0,9,5,2,2,0,0,27,9,0,0,0,0,schem001,bailh001,dools001,schem001,bailh001,1,Mar 30,@,CIN,"W,2-0",9,7,0,0,0,2,14,0,0,0,36,147,102,0,0,1,0,34,1,0,0,0,0,0,0,4,Jeff Kellogg,"M.Scherzer (99-71-W), B.Kintzler (99-H), R.Madson (99-H), S.Doolittle (99-Sv)"
20180331,WAS,NL,2,CIN,NL,2,13,7,54,CIN09,27341,301110124,102022,38,14,2,0,4,13,0,2,1,4,1,8,0,1,0,0,5,5,5,5,0,0,27,8,1,0,0,0,39,12,1,0,3,7,0,1,0,2,0,11,0,0,0,0,8,5,13,13,0,0,27,8,0,0,0,0,stras001,castl003,,stras001,castl003,2,Mar 31,@,CIN,"W,13-7",9,12,7,5,2,2,11,3,0,2.5,42,153,101,4,0,0,0,39,1,0,0,0,1,1,0,5,Quinn Wolcott,"S.Strasburg (99-55-W), S.Solis (99-H), M.Grace (99), E.Romero (99), T.Gott (99)"
20180401,WAS,NL,3,CIN,NL,3,6,5,54,CIN09,10355,200001201,1022,34,8,0,0,4,6,0,0,1,6,1,6,2,0,1,0,8,5,5,5,0,0,27,5,0,0,2,0,32,7,3,0,1,4,0,0,2,3,0,8,0,0,2,0,5,4,6,6,0,0,27,14,0,0,1,0,gonzg003,romas001,dools001,gonzg003,romas001,3,Apr 1,@,CIN,"W,6-5",9,7,5,5,0,3,8,1,2,3.33,37,140,92,4,1,0,0,32,3,0,0,0,0,0,2,5,Marvin Hudson,"G.Gonzalez (99-64-W), M.Grace (0), S.Solis (0), R.Madson (1-H), S.Doolittle (1-Sv)"
20180402,WAS,NL,4,ATL,NL,4,8,1,54,ATL03,25054,230010002,100000,37,10,3,0,1,8,0,0,1,10,1,10,1,0,1,0,13,3,1,1,1,0,27,11,1,0,2,0,30,4,0,0,0,1,0,0,0,1,0,9,1,0,1,0,3,5,7,7,0,0,27,8,2,0,1,0,roart001,newcs001,,roart001,newcs001,4,Apr 2,@,ATL,"W,8-1",9,4,1,1,0,1,9,0,0,2.75,31,117,79,0,0,1,0,30,0,0,0,0,0,1,1,3,Mike Winters,"T.Roark (99-70-W), S.Kelley (99), M.Grace (0)"
20180403,WAS,NL,5,ATL,NL,5,6,13,51,ATL03,26782,311000001,44111002x,36,9,1,0,3,6,0,0,0,6,0,5,2,0,0,0,9,5,13,13,0,0,24,8,0,0,1,0,36,15,4,0,2,13,2,0,1,5,0,9,1,0,1,0,7,5,5,5,1,0,27,8,1,1,1,0,carls002,colea002,,colea002,tehej001,5,Apr 3,@,ATL,"L,6-13",8,15,13,13,0,5,9,2,1,4.91,44,164,103,1,0,1,0,36,4,0,0,2,0,0,1,5,Tim Timmons,"A.Cole (99-2-L), E.Romero (2), S.Kelley (0), S.Solis (1), T.Gott (2)"
20180404,WAS,NL,6,ATL,NL,6,1,7,51,ATL03,29834,10000000,30020002x,32,6,1,0,0,1,0,0,2,6,0,12,1,0,0,0,12,3,3,3,1,0,24,2,1,1,0,0,32,7,4,0,1,6,0,0,0,4,0,11,0,0,0,0,5,6,1,1,2,0,27,7,0,0,0,0,foltm001,schem001,,schem001,foltm001,6,Apr 4,@,ATL,"L,1-7",8,7,7,3,4,4,11,1,0,4.67,36,157,97,0,0,0,0,32,4,0,0,0,0,1,0,3,Rob Drake,"M.Scherzer (4-46-L), M.Grace (1), T.Gott (0)"
20180405,NYN,NL,6,WAS,NL,7,8,2,54,WAS11,42477,10120400,101000000,34,8,2,0,3,7,0,0,1,4,0,10,0,0,1,0,4,5,1,1,0,0,27,8,1,0,1,0,32,6,3,0,0,1,0,0,0,3,0,11,0,0,1,0,6,4,8,8,0,1,27,10,0,0,1,0,degrj001,stras001,,degrj001,stras001,7,Apr 5,1,NYM,"L,2-8",9,8,8,8,0,4,10,3,1,5.16,39,150,98,0,0,0,0,34,2,0,0,0,0,0,1,4,Doug Eddings,"S.Strasburg (4-50-L), B.Kintzler (5), R.Madson (3), S.Doolittle (3)"
20180407,NYN,NL,7,WAS,NL,8,3,2,54,WAS11,28952,1200,11000,34,8,3,0,0,3,0,0,0,5,2,10,1,0,1,0,9,6,1,1,0,0,27,8,1,0,0,0,31,5,0,0,1,2,1,0,0,3,0,10,5,0,0,0,6,5,3,3,0,0,27,11,1,0,1,0,roblh001,kintb001,famij001,matzs001,gonzg003,8,Apr 7,1,NYM,"L,2-3",9,8,3,3,0,5,10,0,0,4.89,39,138,86,2,0,1,0,34,3,0,2,0,0,0,1,5,Marty Foster,"G.Gonzalez (5-55), M.Grace (2), B.Kintzler (1-BL), R.Madson (1), S.Doolittle (1)"
20180408,NYN,NL,8,WAS,NL,9,6,5,72,WAS11,21579,4010000001,2.00E+11,42,9,2,0,2,6,1,0,0,5,1,18,1,0,1,0,6,6,5,5,0,0,36,17,3,0,1,0,47,13,3,0,1,5,0,0,1,7,2,7,2,1,1,0,14,7,6,6,1,0,36,9,0,0,1,0,lugos001,kintb001,rhamj001,harvm001,roart001,9,Apr 8,1,NYM,"L,5-6",12,9,6,6,0,5,18,2,0,4.83,48,187,119,0,0,1,0,42,2,0,1,1,0,0,1,7,Mark Ripperger,"T.Roark (5-42), S.Kelley (4), M.Grace (0), R.Madson (0), S.Doolittle (0), S.Solis (4), B.Kintzler (0-L)"
20180409,ATL,NL,10,WAS,NL,10,0,2,51,WAS11,19528,0,20000000x,28,2,0,0,0,0,0,0,0,0,0,10,0,0,1,0,1,3,2,2,1,0,24,7,0,0,0,0,29,6,4,0,0,2,0,0,0,7,2,10,1,0,0,0,10,1,0,0,0,0,27,6,0,0,1,0,schem001,tehej001,,tehej001,schem001,10,Apr 9,1,ATL,"W,2-0",9,2,0,0,0,0,10,0,0,4.35,28,102,72,1,1,0,0,28,0,0,0,0,0,0,1,1,CB Bucknor,M.Scherzer (4-93-W)
20180410,ATL,NL,11,WAS,NL,11,1,4,51,WAS11,19357,1,20010100x,31,5,3,0,0,1,0,0,0,3,0,9,0,1,0,0,6,4,2,2,0,0,24,7,2,0,0,0,32,8,2,1,0,3,1,0,0,2,0,7,0,1,0,0,7,3,1,1,1,0,27,10,0,0,0,0,stras001,foltm001,madsr001,foltm001,stras001,11,Apr 10,1,ATL,"W,4-1",9,5,1,1,0,3,9,0,0,4.05,34,124,76,2,1,0,1,31,3,0,0,0,0,0,0,3,Brian O'Nora,"S.Strasburg (4-82-W), S.Solis (1), R.Madson (1-Sv)"
20180411,ATL,NL,12,WAS,NL,12,5,3,72,WAS11,21109,1.001E+11,1000001010,46,11,3,0,3,5,0,0,1,7,2,16,3,1,1,0,13,7,3,3,1,0,36,18,2,0,4,0,41,10,1,0,1,3,1,0,1,3,0,11,0,0,3,0,7,7,5,5,0,0,36,7,1,1,1,0,carls002,madsr001,,mccab001,colea002,12,Apr 11,1,ATL,"L,3-5",12,11,5,5,0,7,16,3,1,4.02,54,191,119,1,0,3,1,46,3,0,2,0,0,1,1,7,Chad Whitson,"A.Cole (7-57), M.Grace (2), S.Solis (0), B.Kintzler (2), S.Doolittle (2), S.Kelley (2), R.Madson (0-L)"
20180412,COL,NL,14,WAS,NL,13,5,1,54,WAS11,24213,210002000,10000,37,9,3,0,2,4,0,0,0,3,0,10,0,0,0,0,8,3,1,1,0,0,27,9,0,0,2,0,29,4,1,0,1,1,0,0,0,2,0,7,0,0,2,0,3,4,4,4,1,0,27,9,1,0,0,0,bettc001,gonzg003,,bettc001,gonzg003,13,Apr 12,1,COL,"L,1-5",9,9,5,4,1,3,10,2,0,4.02,40,163,107,0,0,0,0,37,3,0,0,0,0,1,0,4,Ben May,"G.Gonzalez (4-51-L), M.Grace (0), T.Gott (7), S.Kelley (0)"
20180413,COL,NL,15,WAS,NL,14,2,1,54,WAS11,32702,101000,10000,31,5,0,0,1,2,0,1,0,1,0,9,1,1,0,0,4,6,1,1,0,0,27,9,0,0,0,0,30,4,1,0,0,1,0,1,0,4,0,10,0,0,0,0,7,4,1,1,0,0,27,6,1,0,0,0,obers001,roart001,daviw001,freek001,roart001,14,Apr 13,1,COL,"L,1-2",9,5,2,1,1,1,9,1,0,3.81,33,136,90,2,0,1,1,31,0,0,0,0,1,1,0,4,Ron Kulpa,"T.Roark (4-62-L), B.Kintzler (1), S.Solis (1), T.Gott (0)"
20180414,COL,NL,16,WAS,NL,15,2,6,51,WAS11,31700,200000000,00010410x,29,2,0,0,1,2,0,0,0,2,0,14,0,0,0,0,2,3,6,6,1,0,24,7,1,0,1,0,34,12,2,0,1,6,0,0,0,3,0,7,2,0,1,0,7,3,2,2,0,0,27,5,0,0,0,0,schem001,grayj003,,grayj003,schem001,15,Apr 14,1,COL,"W,6-2",9,2,2,2,0,2,14,1,0,3.69,31,140,96,0,0,0,0,29,0,0,0,0,0,0,0,3,Gabe Morales,"M.Scherzer (4-77-W), R.Madson (2), S.Doolittle (2)"
20180415,COL,NL,17,WAS,NL,16,6,5,54,WAS11,25462,103011,100021010,33,6,1,0,3,6,0,0,0,1,0,10,0,0,0,0,1,6,3,3,3,0,27,9,1,1,2,0,28,5,2,0,2,2,1,0,1,10,0,10,1,1,1,0,8,5,6,6,0,0,27,7,0,0,0,0,ottaa001,dools001,daviw001,andet002,stras001,16,Apr 15,1,COL,"L,5-6",9,6,6,6,0,1,10,3,0,3.83,34,136,85,0,0,0,0,33,1,0,0,0,0,0,0,5,Jerry Meals,"S.Strasburg (4-52), B.Kintzler (1), S.Kelley (2), S.Solis (1), S.Doolittle (0-L)"
