Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20110331,ANA,AL,1,KCA,AL,1,4,2,54,KAN06,40055,202000,110,38,12,4,0,2,4,1,0,1,1,0,9,1,0,0,0,10,6,2,2,0,0,27,7,0,1,0,0,33,7,0,0,2,2,0,0,0,6,0,10,1,1,0,0,10,4,3,3,0,0,27,12,3,0,0,0,weavj003,hochl001,rodnf001,weavj003,hochl001,,1,Mar 31,@,KCR,"W,4-2",9,7,2,2,0,6,10,2,0,2,39,185,110,4,0,1,1,33,0,0,0,0,0,0,0,6,Dana DeMuth,"J.Weaver (99-73-W), H.Takahashi (99), J.Walden (99-H), K.Jepsen (99-H), M.Kohn (99-H), F.Rodney (99-Sv)"
20110401,ANA,AL,2,KCA,AL,2,1,2,51,KAN06,13302,100000000,100001,31,6,0,0,1,1,0,0,0,1,0,4,1,0,3,0,4,3,2,2,1,0,24,7,1,0,0,0,30,7,2,1,1,2,1,0,0,1,0,8,1,0,0,0,6,3,1,1,0,1,27,16,2,0,3,0,sorij001,kohnm001,,hared001,franj003,,2,Apr 1,@,KCR,"L,1-2",8,7,2,2,0,1,8,1,0,2.12,32,122,75,0,0,1,0,30,2,1,0,1,0,0,0,3,Kerwin Danley,"D.Haren (99-67), J.Walden (0), M.Kohn (0-L)"
20110402,ANA,AL,3,KCA,AL,3,4,5,51,KAN06,17328,103000,00002102x,35,11,3,0,1,4,1,0,0,4,0,4,0,0,1,0,9,3,5,5,1,0,24,11,0,0,1,0,35,11,1,0,0,4,0,0,0,2,0,7,1,0,1,0,8,4,4,4,0,0,27,20,0,0,1,0,crowa001,jepsk001,sorij001,sante001,davik002,,3,Apr 2,@,KCR,"L,4-5",8,11,5,5,0,2,7,0,0,3.24,37,120,81,2,0,1,0,35,1,0,0,0,0,0,1,3,Paul Nauert,"E.Santana (99-52), H.Takahashi (1-H), K.Jepsen (1-BL)"
20110403,ANA,AL,4,KCA,AL,4,9,12,77,KAN06,14085,22102110000,2.301E+12,55,19,4,0,5,9,0,0,0,4,0,11,0,1,1,0,11,8,9,9,1,2,38,20,1,0,1,0,51,14,5,0,3,12,0,0,2,10,1,7,6,0,0,0,13,6,9,9,0,0,39,14,0,0,2,0,collt001,bulgj001,,kazms001,chenb001,,4,Apr 3,@,KCR,"L,9-12",12.2,14,12,9,3,10,7,3,2,4.3,63,250,147,4,1,6,0,51,5,0,1,0,0,1,0,8,Doug Eddings,"S.Kazmir (99-23), R.Thompson (99), H.Takahashi (0), M.Kohn (1-BSv), J.Walden (1-H), F.Rodney (2-BSv), K.Jepsen (0), J.Bulger (99-L)"
20110405,ANA,AL,5,TBA,AL,4,5,3,54,STP01,13173,310010000,1000020,34,9,0,1,1,5,0,0,0,3,1,6,4,0,1,0,5,4,3,3,1,0,27,5,0,0,0,0,32,5,1,0,2,3,0,0,0,5,0,7,1,0,0,0,7,4,5,5,0,0,27,9,0,0,1,0,weavj003,niemj001,waldj001,weavj003,niemj001,,5,Apr 5,@,TBR,"W,5-3",9,5,3,3,0,5,7,2,0,4.05,37,161,94,2,1,1,0,32,1,0,0,0,0,0,0,4,Todd Tichenor,"J.Weaver (4-67-W), H.Takahashi (1), M.Kohn (1), J.Walden (1-Sv)"
20110406,ANA,AL,6,TBA,AL,5,5,1,54,STP01,11836,100101011,10000,37,12,3,0,1,5,0,0,0,4,0,15,2,0,1,0,9,3,1,1,0,0,27,9,0,0,0,0,31,4,1,0,1,1,0,0,0,0,0,7,1,0,0,0,3,6,4,4,0,0,27,9,1,0,1,0,hared001,hellj001,,hared001,hellj001,,6,Apr 6,@,TBR,"W,5-1",9,4,1,1,0,0,7,1,0,3.56,31,125,84,1,0,1,0,31,1,0,0,0,0,0,0,3,Gerry Davis,"D.Haren (4-73-W), K.Jepsen (2-H), J.Walden (0)"
20110408,TOR,AL,7,ANA,AL,7,3,2,54,ANA01,43853,2010,101000000,33,7,1,0,1,3,0,0,0,1,0,7,1,0,1,0,4,5,1,1,0,0,27,9,1,0,2,0,31,7,2,0,0,1,0,0,0,5,0,8,0,1,2,0,7,2,3,3,0,1,27,6,0,0,1,0,doteo001,sante001,raucj001,drabk001,sante001,,7,Apr 8,1,TOR,"L,2-3",9,7,3,3,0,1,7,1,0,3.48,34,113,78,0,0,1,0,33,1,0,0,0,0,0,1,2,Bob Davidson,"E.Santana (5-64-L), F.Rodney (4)"
20110409,TOR,AL,8,ANA,AL,8,5,6,83,ANA01,43513,1.13E+12,1.031E+13,54,13,2,1,0,5,0,1,1,9,1,8,2,1,0,0,18,7,6,6,0,0,41,25,2,0,5,0,49,16,2,0,1,6,1,1,0,4,2,13,0,1,4,0,8,9,4,4,2,0,42,16,3,0,0,0,hared001,raucj001,,cecib001,palmm001,,8,Apr 9,1,TOR,"W,6-5",14,13,5,4,1,9,8,0,1,3.32,65,250,157,3,0,2,1,54,2,1,1,0,1,2,0,9,Hunter Wendelstedt,"M.Palmer (99-27), R.Thompson (5), K.Jepsen (2), H.Takahashi (3), F.Rodney (0), J.Walden (2), M.Kohn (3), J.Bulger (5), D.Haren (2-W)"
20110410,TOR,AL,9,ANA,AL,9,1,3,51,ANA01,43525,1000,10020000x,30,4,1,0,0,1,0,0,0,4,0,16,0,0,0,0,6,3,1,1,0,0,24,6,1,0,1,0,30,6,0,1,0,3,0,0,1,3,0,6,0,0,1,0,7,3,1,1,0,0,27,4,0,0,0,0,weavj003,reyej003,rodnf001,reyej003,weavj003,,9,Apr 10,1,TOR,"W,3-1",9,4,1,1,0,4,16,0,0,3.08,34,139,87,2,0,0,0,30,1,0,0,0,0,0,0,3,Brian Knight,"J.Weaver (4-78-W), H.Takahashi (0-H), F.Rodney (0-Sv)"
20110411,CLE,AL,10,ANA,AL,10,4,0,54,ANA01,32864,130000000,0,31,6,1,0,2,4,0,0,0,5,0,4,1,1,1,0,5,2,0,0,0,0,27,13,0,0,1,0,31,5,1,0,0,0,0,0,0,2,0,5,0,0,1,0,6,4,4,4,0,0,27,15,0,0,1,0,talbm001,chatt001,,talbm001,chatt001,,10,Apr 11,1,CLE,"L,0-4",9,6,4,4,0,5,4,2,0,3.17,36,140,74,0,0,1,1,31,1,0,0,0,0,0,1,4,Tim McClelland,"T.Chatwood (99-42-L), F.Rodriguez (99), S.Downs (99), R.Thompson (1)"
