Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
20100405,MIN,AL,1,ANA,AL,1,3,6,51,ANA01,43504.0,32,7,1,0,1,3,0,1,1,3,0,8,1,0,1,0,7,4,6,6,1,0,24,4,0,0,0,0,33,9,0,0,3,6,0,0,0,3,0,5,1,0,0,0,6,4,3,3,0,0,27,10,0,0,1,0,weavj003,bakes002,fuenb001,bakes002,weavj003,0.21875,0.2727272727272727,0.2972972972972973,0.3333333333333333,0.34375,0.5454545454545454,0.6410472972972974,0.8787878787878787,1.0,
20100406,MIN,AL,2,ANA,AL,2,5,3,54,ANA01,43510.0,32,9,1,0,3,5,0,1,0,5,0,6,0,0,3,0,6,4,3,3,0,0,27,12,0,0,2,0,33,8,1,0,1,3,0,0,0,4,0,6,0,0,1,0,7,3,5,5,1,0,27,16,1,0,3,0,blacn001,saunj001,raucj001,blacn001,saunj001,0.28125,0.24242424242424243,0.3684210526315789,0.32432432432432434,0.59375,0.36363636363636365,0.9621710526315792,0.687960687960688,0.0,1.0
20100407,MIN,AL,3,ANA,AL,3,4,2,54,ANA01,41533.0,34,7,0,1,2,4,0,1,0,1,0,7,2,0,0,0,5,3,2,2,0,0,27,12,0,0,0,0,35,9,2,0,0,2,0,0,1,0,0,6,0,1,0,0,7,3,4,4,1,0,27,12,0,0,0,0,pavac001,sante001,raucj001,pavac001,sante001,0.20588235294117646,0.2571428571428571,0.2222222222222222,0.2777777777777778,0.4411764705882353,0.3142857142857143,0.6633986928104575,0.5920634920634921,0.0,0.0
20100408,MIN,AL,4,ANA,AL,4,10,1,54,ANA01,39709.0,37,11,3,0,3,10,1,0,0,6,0,5,0,0,1,0,7,5,1,1,0,0,27,6,0,0,0,0,34,8,1,0,0,1,0,1,0,2,0,9,0,0,0,0,9,4,10,10,0,0,27,17,1,0,1,0,slowk001,pinej001,,slowk001,pinej001,0.2972972972972973,0.23529411764705882,0.3953488372093023,0.2702702702702703,0.6216216216216216,0.2647058823529412,1.016970458830924,0.5349761526232115,0.0,0.0
20100409,OAK,AL,5,ANA,AL,5,10,4,54,ANA01,40034.0,41,13,4,0,1,10,0,0,1,3,0,5,0,0,1,0,8,3,3,3,1,0,27,6,2,0,1,0,35,8,1,0,2,4,0,1,0,2,0,10,0,0,1,0,7,3,8,8,0,0,27,18,3,0,1,0,gonzg003,palmm001,,gonzg003,palmm001,0.3170731707317073,0.22857142857142856,0.37777777777777777,0.2631578947368421,0.4878048780487805,0.42857142857142855,0.8655826558265582,0.6917293233082706,0.0,0.0
20100410,OAK,AL,6,ANA,AL,6,3,4,52,ANA01,40249.0,33,6,2,0,1,3,0,0,0,2,0,9,0,0,0,0,5,4,4,4,0,0,25,10,1,0,1,0,36,13,6,0,0,4,0,0,0,4,1,5,0,1,1,0,11,4,3,3,1,0,27,8,0,0,0,0,rodnf001,bresc001,,sheeb001,weavj003,0.18181818181818182,0.3611111111111111,0.22857142857142856,0.425,0.3333333333333333,0.5277777777777778,0.5619047619047619,0.9527777777777776,1.0,0.0
20100411,OAK,AL,7,ANA,AL,7,9,4,54,ANA01,40601.0,34,9,2,0,1,8,2,0,0,6,0,5,2,1,0,0,6,2,4,4,0,0,27,13,0,0,1,0,32,7,1,0,2,4,0,1,0,2,0,4,0,0,1,0,4,5,6,6,0,0,27,11,1,0,0,0,bradd002,saunj001,rosst001,bradd002,saunj001,0.2647058823529412,0.21875,0.375,0.2571428571428571,0.4117647058823529,0.4375,0.7867647058823529,0.6946428571428571,0.0,1.0
20100413,ANA,AL,8,NYA,AL,7,5,7,51,NYC21,49293.0,37,11,0,0,2,5,0,0,0,3,0,9,0,0,1,0,8,4,7,7,2,0,24,7,0,0,2,0,34,13,4,0,2,7,0,0,0,9,0,8,1,0,2,0,12,4,5,5,0,0,27,9,0,0,1,0,petta001,sante001,rivem002,sante001,petta001,0.2972972972972973,0.38235294117647056,0.35,0.5116279069767442,0.4594594594594595,0.6764705882352942,0.8094594594594595,1.1880984952120384,0.0,0.0
20100414,ANA,AL,9,NYA,AL,8,5,3,54,NYC21,42372.0,36,10,3,0,0,5,0,0,1,3,0,6,2,1,0,0,8,4,3,3,1,0,27,12,0,0,0,0,34,7,1,1,0,3,0,0,0,2,0,8,0,0,0,0,6,4,5,5,1,0,27,7,0,1,0,0,pinej001,vazqj001,rodnf001,pinej001,vazqj001,0.2777777777777778,0.20588235294117646,0.35,0.25,0.3611111111111111,0.29411764705882354,0.7111111111111109,0.5441176470588236,1.0,0.0
20100415,ANA,AL,10,NYA,AL,9,2,6,51,NYC21,44722.0,31,6,0,0,1,2,0,0,0,7,0,11,1,0,1,0,9,4,6,6,0,0,24,9,0,0,0,0,33,9,3,2,3,6,0,0,0,6,0,7,0,0,0,0,9,5,2,2,1,1,27,8,0,0,1,0,hughp001,kazms001,rivem002,kazms001,hughp001,0.1935483870967742,0.2727272727272727,0.34210526315789475,0.38461538461538464,0.2903225806451613,0.7575757575757576,0.6324278438030561,1.1421911421911422,0.0,1.0
