teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev,WHIP,KPercent,BBPercent,FIP,BABIP,ERA,HAllowed,defensiveSO
ANA,AL,6,1,33,9,0,0,3,6,3,5,6,4,3,3,0,0.2727272727272727,0.3333333333333333,0.5454545454545454,0.8787878787878787,1.0,,1.1111111111111112,0.21621621621621623,0.08108108108108109,4.079000000000001,0.25,3.0,7,8
ANA,AL,3,1,33,8,1,0,1,3,4,6,7,3,5,5,1,0.24242424242424243,0.32432432432432434,0.36363636363636365,0.687960687960688,0.0,1.0,1.5555555555555556,0.15789473684210525,0.13157894736842105,7.745666666666667,0.25,4.0,9,6
ANA,AL,2,1,35,9,2,0,0,2,0,6,7,3,4,4,0,0.2571428571428571,0.2777777777777778,0.3142857142857143,0.5920634920634921,0.0,0.0,0.8888888888888888,0.19444444444444445,0.027777777777777776,4.745666666666667,0.19230769230769232,4.0,7,7
ANA,AL,1,1,34,8,1,0,0,1,2,9,9,4,10,10,1,0.23529411764705882,0.2702702702702703,0.2647058823529412,0.5349761526232115,0.0,0.0,1.8888888888888888,0.11363636363636363,0.13636363636363635,8.301222222222222,0.27586206896551724,5.5,11,5
ANA,AL,4,1,35,8,1,0,2,4,2,10,7,3,8,8,3,0.22857142857142856,0.2631578947368421,0.42857142857142855,0.6917293233082706,0.0,0.0,1.7777777777777777,0.1111111111111111,0.06666666666666667,4.745666666666667,0.34285714285714286,6.0,13,5
ANA,AL,4,1,36,13,6,0,0,4,4,5,11,4,3,3,0,0.3611111111111111,0.425,0.5277777777777778,0.9527777777777777,1.0,0.0,0.8888888888888888,0.2571428571428571,0.05714285714285714,3.1901111111111113,0.21739130434782608,5.5,6,9
ANA,AL,4,1,32,7,1,0,2,4,2,4,4,5,6,6,1,0.21875,0.2571428571428571,0.4375,0.6946428571428571,0.0,1.0,1.6666666666666667,0.11904761904761904,0.14285714285714285,5.412333333333334,0.2857142857142857,5.57,9,5
ANA,AL,5,0,37,11,0,0,2,5,3,9,8,4,7,7,0,0.2972972972972973,0.35,0.4594594594594595,0.8094594594594595,0.0,0.0,2.75,0.18604651162790697,0.20930232558139536,7.704000000000001,0.4583333333333333,5.83,13,8
ANA,AL,5,0,36,10,3,0,0,5,3,6,8,4,3,3,0,0.2777777777777778,0.35,0.3611111111111111,0.711111111111111,1.0,0.0,1.0,0.2222222222222222,0.05555555555555555,1.967888888888889,0.2692307692307692,5.51,7,8
ANA,AL,2,0,31,6,0,0,1,2,7,11,9,4,6,6,0,0.1935483870967742,0.34210526315789475,0.2903225806451613,0.6324278438030561,0.0,1.0,1.875,0.1794871794871795,0.15384615384615385,8.454,0.2608695652173913,5.62,9,7
ANA,AL,7,0,36,11,3,0,1,7,2,7,4,4,5,5,0,0.3055555555555556,0.34210526315789475,0.4722222222222222,0.814327485380117,1.0,0.0,1.0,0.2571428571428571,0.02857142857142857,5.745666666666667,0.22727272727272727,5.57,8,9
ANA,AL,6,0,36,10,4,0,2,6,3,6,6,3,1,1,2,0.2777777777777778,0.3333333333333333,0.5555555555555556,0.8888888888888888,1.0,1.0,0.8888888888888888,0.11428571428571428,0.02857142857142857,2.5234444444444444,0.23333333333333334,5.18,7,4
ANA,AL,3,0,33,7,4,0,0,2,2,7,6,1,1,1,0,0.21212121212121213,0.2571428571428571,0.3333333333333333,0.5904761904761904,1.0,1.0,0.4444444444444444,0.1935483870967742,0.0,3.1901111111111113,0.125,4.85,4,6
ANA,AL,2,1,26,4,2,0,0,1,3,2,4,3,0,0,0,0.15384615384615385,0.26666666666666666,0.23076923076923078,0.49743589743589745,1.0,1.0,1.0,0.14285714285714285,0.0,2.3012222222222225,0.3103448275862069,4.5,9,5
ANA,AL,6,1,32,10,3,0,0,6,3,8,6,6,5,5,0,0.3125,0.3888888888888889,0.40625,0.7951388888888888,1.0,1.0,1.6666666666666667,0.30952380952380953,0.09523809523809523,1.5234444444444446,0.44,4.53,11,13
ANA,AL,3,1,32,4,1,0,1,3,2,7,4,4,4,4,0,0.125,0.17647058823529413,0.25,0.42647058823529416,0.0,1.0,1.3333333333333333,0.25,0.1111111111111111,5.301222222222222,0.2857142857142857,4.5,8,9
ANA,AL,4,1,34,9,2,0,1,4,5,9,9,4,5,5,1,0.2647058823529412,0.375,0.4117647058823529,0.7867647058823529,0.0,0.0,2.0,0.11627906976744186,0.16279069767441862,4.301222222222222,0.36666666666666664,4.53,11,5
ANA,AL,6,1,32,12,4,0,1,5,2,4,6,4,4,4,1,0.375,0.4444444444444444,0.59375,1.0381944444444444,1.0,0.0,1.2222222222222223,0.15,0.075,4.856777777777777,0.25,4.5,8,6
ANA,AL,1,1,31,7,1,0,0,1,0,8,4,3,7,7,0,0.22580645161290322,0.21875,0.25806451612903225,0.47681451612903225,0.0,1.0,1.8888888888888888,0.09523809523809523,0.07142857142857142,3.1901111111111113,0.4117647058823529,4.63,14,4
ANA,AL,8,1,30,7,1,0,2,8,6,5,6,5,4,4,0,0.23333333333333334,0.39473684210526316,0.4666666666666667,0.8614035087719298,1.0,0.0,0.8888888888888888,0.14285714285714285,0.14285714285714285,6.856777777777777,0.047619047619047616,4.6,3,5
ANA,AL,5,1,35,15,4,0,2,5,4,7,12,6,2,2,1,0.42857142857142855,0.475,0.7142857142857143,1.1892857142857143,1.0,1.0,1.6666666666666667,0.3023255813953488,0.16279069767441862,3.967888888888889,0.3181818181818182,4.48,8,13
ANA,AL,2,1,35,9,0,0,1,2,4,4,10,4,9,9,0,0.2571428571428571,0.3333333333333333,0.34285714285714286,0.6761904761904762,0.0,1.0,2.7777777777777777,0.04081632653061224,0.14285714285714285,6.412333333333334,0.4473684210526316,4.68,18,2
ANA,AL,4,1,31,6,1,0,1,4,3,7,4,4,3,3,0,0.1935483870967742,0.2647058823529412,0.3225806451612903,0.5872865275142315,1.0,0.0,1.3333333333333333,0.2631578947368421,0.10526315789473684,2.5234444444444444,0.36363636363636365,4.61,8,10
ANA,AL,6,0,37,10,3,1,1,6,2,7,6,3,9,9,3,0.2702702702702703,0.3076923076923077,0.4864864864864865,0.7941787941787942,0.0,1.0,2.25,0.09090909090909091,0.045454545454545456,7.704000000000001,0.37142857142857144,4.82,16,4
ANA,AL,2,0,34,11,2,0,0,1,0,7,5,4,2,2,2,0.3235294117647059,0.3235294117647059,0.38235294117647056,0.7058823529411764,0.0,0.0,1.4814814814814816,0.18421052631578946,0.13157894736842105,4.807395061728395,0.24,4.72,7,7
ANA,AL,1,0,31,4,0,0,0,1,0,7,3,4,5,5,1,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.25806451612903225,0.0,0.0,1.625,0.23684210526315788,0.05263157894736842,1.5790000000000002,0.4230769230769231,4.75,11,9
ANA,AL,8,0,36,12,3,0,0,8,5,4,8,4,17,17,1,0.3333333333333333,0.3953488372093023,0.4166666666666667,0.812015503875969,0.0,0.0,3.25,0.12,0.12,10.704,0.48484848484848486,5.23,20,6
ANA,AL,1,0,29,5,2,0,0,1,2,7,4,3,5,5,1,0.1724137931034483,0.22580645161290322,0.2413793103448276,0.4671857619577308,0.0,0.0,2.0,0.20512820512820512,0.1282051282051282,2.954,0.4230769230769231,5.25,11,8
ANA,AL,1,0,28,2,0,0,1,1,2,6,3,3,3,3,0,0.07142857142857142,0.16129032258064516,0.17857142857142858,0.33986175115207373,0.0,0.0,1.875,0.2222222222222222,0.1111111111111111,5.829000000000001,0.4090909090909091,5.19,11,8
ANA,AL,6,0,35,9,4,0,1,6,5,7,7,4,8,8,2,0.2571428571428571,0.35,0.45714285714285713,0.8071428571428572,0.0,0.0,2.375,0.1111111111111111,0.17777777777777778,6.829000000000001,0.3333333333333333,5.3,11,5
ANA,AL,8,0,31,5,1,0,3,8,7,8,4,2,0,0,0,0.16129032258064516,0.3076923076923077,0.4838709677419355,0.7915632754342432,1.0,0.0,0.6666666666666666,0.25,0.125,2.634555555555556,0.1,5.13,2,8
ANA,AL,4,0,40,12,2,0,1,4,2,3,9,5,1,1,1,0.3,0.3333333333333333,0.425,0.7583333333333333,1.0,1.0,1.6,0.17777777777777778,0.2,4.479,0.2692307692307692,4.98,7,8
ANA,AL,1,0,32,5,1,0,0,0,2,8,7,2,8,8,1,0.15625,0.20588235294117646,0.1875,0.39338235294117646,0.0,1.0,2.375,0.15,0.175,7.454000000000001,0.4,5.09,12,6
