Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20120406","SFN","NL",1,"ARI","NL",1,4,5,51,"PHO01",49130,"000021001","30000200x",37,11,3,0,1,4,1,0,0,2,0,6,0,0,0,0,9,4,5,5,0,0,24,12,3,0,0,0,32,7,2,0,2,5,1,0,1,2,0,9,0,0,0,0,7,4,4,4,0,0,27,9,0,0,0,0,"kenni001","Ian Kennedy","linct001","Tim Lincecum","putzj001","J.J. Putz","linct001","Tim Lincecum","kenni001","Ian Kennedy",
"20120407","SFN","NL",2,"ARI","NL",2,4,5,51,"PHO01",34789,"000200200","22001000x",33,6,1,0,2,4,0,0,0,2,0,7,0,0,0,0,4,4,5,5,1,0,24,10,0,0,2,0,32,10,2,0,2,5,0,0,1,4,2,7,0,0,2,0,8,4,4,4,0,0,27,11,0,0,0,0,"hudsd001","Daniel Hudson","bumgm001","Madison Bumgarner","putzj001","J.J. Putz","bumgm001","Madison Bumgarner","hudsd001","Daniel Hudson",
"20120408","SFN","NL",3,"ARI","NL",3,6,7,51,"PHO01",24193,"033000000","00020320x",35,6,2,0,1,5,0,0,1,4,0,7,0,0,2,0,7,5,6,6,0,0,24,7,3,0,1,0,33,8,3,0,2,6,1,0,0,4,0,5,1,0,1,0,7,4,5,5,0,0,27,11,5,0,2,0,"milew001","Wade Miley","affej001","Jeremy Affeldt","shawb001","Bryan Shaw","cainm001","Matt Cain","collj001","Josh Collmenter",
"20120410","ARI","NL",4,"SDN","NL",5,4,2,66,"SAN02",18652,"20000000002","00100010000",39,7,1,0,1,4,0,0,1,3,1,11,3,1,0,0,6,6,2,2,1,0,33,12,1,1,1,0,36,6,1,1,0,2,0,0,0,8,0,11,1,1,1,0,9,5,4,4,0,0,33,13,0,0,0,0,"bresc001","Craig Breslow","owinm001","Micah Owings","putzj001","J.J. Putz","cahit001","Trevor Cahill","volqe001","Edinson Volquez",
"20120411","ARI","NL",5,"SDN","NL",6,1,2,51,"SAN02",16091,"100000000","00000002x",32,5,0,1,0,1,0,0,0,7,0,10,1,0,0,0,11,2,2,2,0,0,24,10,0,0,1,0,27,5,0,0,1,2,0,0,1,3,0,4,0,1,0,0,5,5,1,1,0,0,27,6,1,0,0,0,"friee001","Ernesto Frieri","hernd002","David Hernandez","streh001","Huston Street","saunj001","Joe Saunders","luebc001","Cory Luebke",
"20120412","ARI","NL",6,"SDN","NL",7,3,1,54,"SAN02",20858,"000011010","100000000",32,6,3,0,1,3,0,0,0,4,0,8,0,1,1,0,6,4,1,1,0,0,27,8,0,0,0,0,32,5,1,1,0,1,0,0,0,2,0,13,0,0,0,0,6,6,2,2,0,0,27,10,1,0,1,0,"kenni001","Ian Kennedy","owinm001","Micah Owings","putzj001","J.J. Putz","kenni001","Ian Kennedy","bassa001","Anthony Bass",
"20120413","ARI","NL",7,"COL","NL",7,6,7,51,"DEN02",30642,"204000000","11220001x",35,9,2,0,1,6,0,1,0,6,0,7,0,0,0,0,9,4,6,6,1,0,24,12,1,0,1,0,37,14,3,0,2,7,0,0,0,5,0,7,0,0,1,0,11,5,6,6,1,0,27,11,1,0,0,0,"brotr001","Rex Brothers","shawb001","Bryan Shaw","betar001","Rafael Betancourt","hudsd001","Daniel Hudson","nicaj001","Juan Nicasio",
"20120414","ARI","NL",8,"COL","NL",8,7,8,53,"DEN02",29856,"100031110","031100012",36,11,2,0,1,7,1,1,0,5,0,8,1,1,2,0,9,4,8,8,0,0,26,11,0,0,1,0,35,10,1,2,3,8,0,0,1,4,0,5,1,0,1,0,6,6,6,6,1,0,27,12,3,0,3,0,"chatt001","Tyler Chatwood","putzj001","J.J. Putz","","(none)","collj001","Josh Collmenter","chacj001","Jhoulys Chacin",
"20120415","ARI","NL",9,"COL","NL",9,5,2,54,"DEN02",26952,"201020000","000000020",37,10,1,0,1,5,0,0,0,3,0,11,4,0,0,0,8,5,2,2,0,0,27,16,1,0,2,0,31,6,0,0,0,2,0,0,0,4,0,7,0,0,1,0,6,4,5,5,0,1,27,9,0,1,0,0,"cahit001","Trevor Cahill","pomed001","Drew Pomeranz","shawb001","Bryan Shaw","cahit001","Trevor Cahill","pomed001","Drew Pomeranz",
"20120416","PIT","NL",10,"ARI","NL",10,1,5,51,"PHO01",17366,"100000000","10010210x",32,6,1,0,0,1,0,0,0,3,0,8,1,1,0,0,7,3,5,5,0,0,24,6,0,1,1,0,31,8,0,0,3,5,0,0,0,4,0,6,0,0,1,0,6,3,1,1,1,0,27,11,0,0,0,0,"saunj001","Joe Saunders","bedae001","Erik Bedard","","(none)","bedae001","Erik Bedard","saunj001","Joe Saunders",
"20120417","PIT","NL",11,"ARI","NL",11,5,4,54,"PHO01",19198,"102001001","210000010",39,13,2,0,1,5,0,0,0,1,0,6,0,1,0,0,8,6,4,4,1,0,27,14,0,0,1,0,33,7,3,0,1,4,0,0,0,2,0,6,1,0,1,0,4,4,5,5,0,1,27,14,0,0,0,0,"grilj001","Jason Grilli","shawb001","Bryan Shaw","cruzj005","Juan Cruz","karsj001","Jeff Karstens","kenni001","Ian Kennedy",
"20120418","PIT","NL",12,"ARI","NL",12,2,1,54,"PHO01",18368,"000000110","100000000",31,7,0,0,1,2,1,0,0,3,0,6,1,0,3,0,6,5,1,1,0,0,27,9,0,0,2,0,30,6,0,2,0,1,0,0,0,4,1,7,0,1,2,0,6,3,2,2,0,0,27,11,1,0,3,0,"lincb001","Brad Lincoln","hudsd001","Daniel Hudson","cruzj005","Juan Cruz","mcdoj004","James McDonald","hudsd001","Daniel Hudson",
"20120419","ATL","NL",13,"ARI","NL",13,10,2,54,"PHO01",18110,"200003230","001010000",42,16,4,0,2,10,0,0,0,3,0,5,1,0,0,0,8,2,1,1,0,0,27,12,1,0,0,0,30,5,0,0,0,2,1,1,0,2,0,10,2,0,0,0,5,4,10,10,0,0,27,9,0,0,0,0,"minom001","Mike Minor","collj001","Josh Collmenter","","(none)","minom001","Mike Minor","collj001","Josh Collmenter",
"20120420","ATL","NL",14,"ARI","NL",14,9,1,54,"PHO01",27761,"001024002","000000001",38,12,3,0,1,9,1,1,1,4,0,5,1,0,1,0,9,3,1,1,0,0,27,8,0,0,1,0,31,6,0,0,0,1,0,0,0,2,0,6,0,1,1,0,5,4,6,6,0,0,27,13,1,0,1,0,"beacb001","Brandon Beachy","cahit001","Trevor Cahill","","(none)","beacb001","Brandon Beachy","cahit001","Trevor Cahill",
"20120421","ATL","NL",15,"ARI","NL",15,3,2,54,"PHO01",30188,"111000000","110000000",32,6,0,0,1,3,1,0,0,2,0,8,0,1,0,0,5,3,2,2,0,0,27,8,0,0,0,0,31,5,1,0,1,2,1,0,0,1,0,13,0,0,0,0,4,3,2,2,0,0,27,15,1,0,0,0,"hanst001","Tommy Hanson","saunj001","Joe Saunders","kimbc001","Craig Kimbrel","hanst001","Tommy Hanson","saunj001","Joe Saunders",
"20120422","ATL","NL",16,"ARI","NL",16,4,6,51,"PHO01",28679,"101010001","05000010x",33,10,2,0,1,4,0,1,0,2,0,7,0,0,2,0,5,3,6,6,0,0,24,11,0,0,1,0,29,7,2,0,1,6,0,0,2,5,1,7,1,1,1,0,6,3,4,4,1,0,27,10,0,0,2,0,"kenni001","Ian Kennedy","delgr001","Randall Delgado","putzj001","J.J. Putz","delgr001","Randall Delgado","kenni001","Ian Kennedy",
"20120423","PHI","NL",17,"ARI","NL",17,5,9,51,"PHO01",21195,"000000005","42020010x",35,11,4,0,2,5,0,0,0,1,0,8,0,0,2,0,4,4,8,8,0,0,24,9,0,1,1,0,35,16,6,0,2,9,1,2,1,3,0,7,1,0,1,0,9,5,5,5,0,0,27,9,0,0,2,0,"milew001","Wade Miley","kendk001","Kyle Kendrick","","(none)","kendk001","Kyle Kendrick","milew001","Wade Miley",
"20120424","PHI","NL",18,"ARI","NL",18,8,5,54,"PHO01",24213,"000400310","000010310",37,12,1,1,3,8,1,0,0,0,0,8,0,1,0,0,3,5,5,5,0,0,27,9,0,0,0,0,36,9,4,0,2,5,0,0,1,1,0,11,1,0,0,0,6,3,8,8,0,0,27,7,0,0,0,0,"worlv001","Vance Worley","collj001","Josh Collmenter","papej001","Jonathan Papelbon","worlv001","Vance Worley","collj001","Josh Collmenter",
"20120425","PHI","NL",19,"ARI","NL",19,7,2,54,"PHO01",25934,"100005001","000000200",38,13,2,0,0,6,0,0,0,3,0,9,0,0,0,0,7,2,2,2,0,0,27,11,1,0,1,0,30,4,1,0,0,2,0,0,0,1,0,7,0,1,1,0,2,5,7,7,2,0,27,11,0,1,0,0,"hamec001","Cole Hamels","cahit001","Trevor Cahill","","(none)","hamec001","Cole Hamels","cahit001","Trevor Cahill",
"20120427","ARI","NL",20,"MIA","NL",19,5,0,54,"MIA02",31949,"110001002","000000000",37,15,1,0,1,5,1,1,1,4,2,4,1,0,2,0,12,1,0,0,0,0,27,17,0,0,3,0,27,3,0,0,0,0,0,0,0,2,0,4,0,0,3,0,2,4,5,5,0,0,27,15,0,0,2,0,"saunj001","Joe Saunders","zambc001","Carlos Zambrano","","(none)","saunj001","Joe Saunders","zambc001","Carlos Zambrano",
"20120428","ARI","NL",21,"MIA","NL",20,2,3,53,"MIA02",33525,"200000000","000000111",30,3,2,0,0,2,0,0,0,5,0,15,0,0,0,0,6,4,3,3,0,0,26,7,0,0,1,0,33,10,2,2,1,3,1,0,1,4,1,10,0,1,1,0,10,3,2,2,1,0,27,7,0,0,0,0,"cishs001","Steve Cishek","ziegb001","Brad Ziegler","","(none)","kenni001","Ian Kennedy","sanca004","Anibal Sanchez",
"20120429","ARI","NL",22,"MIA","NL",21,8,4,54,"MIA02",34918,"001025000","000000103",39,14,3,0,0,8,1,0,0,5,2,11,2,0,1,0,10,5,3,3,0,0,27,9,3,0,1,0,32,4,2,0,1,4,0,0,0,4,0,6,0,0,0,0,5,4,8,8,0,0,27,10,0,0,1,0,"milew001","Wade Miley","johnj009","Josh Johnson","","(none)","milew001","Wade Miley","johnj009","Josh Johnson",
"20120430","ARI","NL",23,"MIA","NL",22,9,5,54,"MIA02",31006,"020500002","000021200",35,10,1,0,2,9,2,2,1,4,0,6,2,0,1,0,8,4,4,4,0,0,27,11,1,0,2,0,35,10,2,0,2,5,0,1,1,3,0,9,0,0,2,0,8,4,6,6,0,0,27,7,3,0,1,0,"corbp001","Patrick Corbin","buehm001","Mark Buehrle","","(none)","corbp001","Patrick Corbin","buehm001","Mark Buehrle",
"20120501","ARI","NL",24,"WAS","NL",23,5,1,54,"WAS11",22675,"000011201","000000010",35,13,3,0,0,5,2,1,1,2,2,7,2,0,1,0,9,3,1,1,0,1,27,15,0,0,1,0,32,6,1,0,0,1,0,0,0,1,0,8,0,0,1,0,5,3,4,4,0,0,27,10,1,0,1,0,"cahit001","Trevor Cahill","zimmj003","Jordan Zimmermann","","(none)","cahit001","Trevor Cahill","zimmj003","Jordan Zimmermann",
"20120502","ARI","NL",25,"WAS","NL",24,4,5,53,"WAS11",16274,"000202000","001200002",34,11,1,0,1,4,0,1,0,2,1,6,2,2,1,0,6,4,4,4,0,0,26,8,2,0,0,0,34,10,4,0,1,4,0,0,0,3,0,11,1,2,0,0,6,3,4,4,0,0,27,12,1,0,2,0,"rodrh002","Henry Rodriguez","putzj001","J.J. Putz","","(none)","saunj001","Joe Saunders","jacke001","Edwin Jackson",
"20120503","ARI","NL",26,"WAS","NL",25,1,2,51,"WAS11",19656,"000001000","01000100x",29,3,1,0,0,1,0,0,0,3,0,3,0,0,1,0,4,2,2,2,0,1,24,8,0,0,1,0,26,4,3,0,0,2,1,0,0,2,0,4,1,0,1,0,3,4,1,1,0,0,27,7,0,0,1,0,"detwr001","Ross Detwiler","kenni001","Ian Kennedy","rodrh002","Henry Rodriguez","kenni001","Ian Kennedy","detwr001","Ross Detwiler",
"20120504","ARI","NL",27,"NYN","NL",26,5,4,54,"NYC20",26995,"020000030","004000000",36,8,2,0,1,5,0,0,1,5,1,9,0,0,0,0,10,4,4,4,0,0,27,15,1,0,2,0,34,9,3,0,0,4,0,0,1,3,0,7,1,1,2,0,7,5,4,4,0,0,27,10,2,0,0,0,"ziegb001","Brad Ziegler","raucj001","Jon Rauch","putzj001","J.J. Putz","milew001","Wade Miley","gee-d001","Dillon Gee",
"20120505","ARI","NL",28,"NYN","NL",27,3,4,51,"NYC20",30253,"010020000","00040000x",36,10,2,0,1,3,1,0,0,2,0,7,1,0,0,0,9,3,4,4,0,0,24,7,0,0,0,0,31,9,0,0,0,4,2,0,0,3,1,6,1,0,0,0,8,3,3,3,0,0,27,3,0,0,0,0,"santj003","Johan Santana","corbp001","Patrick Corbin","franf001","Frank Francisco","corbp001","Patrick Corbin","santj003","Johan Santana",
"20120506","ARI","NL",29,"NYN","NL",28,1,3,51,"NYC20",29107,"000000001","20010000x",29,4,2,0,0,1,0,0,0,4,0,5,0,0,1,0,5,2,3,3,0,0,24,13,0,0,1,0,27,6,0,0,0,3,0,0,0,2,0,3,0,1,1,0,2,3,1,1,0,0,27,12,0,0,1,0,"dickr001","R.A. Dickey","cahit001","Trevor Cahill","franf001","Frank Francisco","cahit001","Trevor Cahill","dickr001","R.A. Dickey",
"20120507","SLN","NL",29,"ARI","NL",30,9,6,54,"PHO01",26447,"302200200","000006000",39,13,2,0,5,9,0,0,1,4,0,2,1,0,3,0,8,6,6,6,0,0,27,9,0,0,0,0,38,12,1,1,1,6,0,0,0,5,0,13,1,0,0,0,10,6,8,8,0,0,27,14,2,0,3,0,"lynnl001","Lance Lynn","saunj001","Joe Saunders","mottj001","Jason Motte","lynnl001","Lance Lynn","saunj001","Joe Saunders",
"20120508","SLN","NL",30,"ARI","NL",31,6,1,54,"PHO01",30156,"240000000","000000001",33,8,2,1,2,6,0,0,1,2,0,7,0,0,2,0,3,3,1,1,0,0,27,11,0,1,1,0,32,6,1,0,0,1,0,0,0,3,0,11,0,0,1,0,7,3,6,6,0,0,27,10,0,0,2,0,"westj001","Jake Westbrook","kenni001","Ian Kennedy","","(none)","westj001","Jake Westbrook","kenni001","Ian Kennedy",
"20120509","SLN","NL",31,"ARI","NL",32,7,2,54,"PHO01",27710,"000012004","010001000",40,15,3,0,1,7,0,0,0,2,0,5,0,1,1,0,8,6,2,2,0,0,27,7,0,0,2,0,36,12,3,0,0,2,0,0,0,2,0,7,0,0,2,0,9,6,7,7,0,0,27,17,1,0,1,0,"lohsk001","Kyle Lohse","milew001","Wade Miley","mottj001","Jason Motte","lohsk001","Kyle Lohse","milew001","Wade Miley",
"20120511","SFN","NL",32,"ARI","NL",33,1,5,51,"PHO01",35792,"100000000","00103100x",32,5,0,0,1,1,0,0,0,0,0,4,0,1,0,0,4,3,4,4,0,1,24,9,2,0,0,0,34,9,3,0,2,5,0,0,0,3,1,7,0,0,0,1,9,3,1,1,0,0,27,12,1,0,0,0,"corbp001","Patrick Corbin","bumgm001","Madison Bumgarner","","(none)","bumgm001","Madison Bumgarner","corbp001","Patrick Corbin",
"20120512","SFN","NL",33,"ARI","NL",34,5,2,54,"PHO01",31719,"100012001","001000100",36,9,4,1,0,5,0,0,2,5,1,5,2,0,1,0,11,5,1,1,0,0,27,12,2,0,0,0,32,6,2,1,0,1,0,1,1,2,0,11,0,1,0,0,7,4,5,5,0,0,27,14,2,0,1,0,"cainm001","Matt Cain","cahit001","Trevor Cahill","garcj002","Santiago Casilla","cainm001","Matt Cain","cahit001","Trevor Cahill",
"20120513","SFN","NL",34,"ARI","NL",35,7,3,54,"PHO01",35430,"002220100","010200000",41,14,1,0,1,7,0,0,0,1,1,4,0,0,0,0,8,4,3,3,0,0,27,12,0,0,1,0,29,5,3,0,0,3,2,0,1,4,0,9,0,0,1,0,6,3,7,7,0,0,27,10,0,0,0,0,"zitob001","Barry Zito","saunj001","Joe Saunders","","(none)","zitob001","Barry Zito","saunj001","Joe Saunders",
"20120514","ARI","NL",36,"LAN","NL",35,1,3,51,"LOS03",24312,"000000010","10000200x",30,5,0,0,1,1,1,0,0,3,0,7,2,0,0,0,6,2,2,2,0,0,24,5,1,0,0,0,30,7,0,0,1,3,0,1,0,2,0,8,0,0,0,0,6,3,1,1,0,0,27,6,0,0,0,0,"kersc001","Clayton Kershaw","kenni001","Ian Kennedy","jansk001","Kenley Jansen","kenni001","Ian Kennedy","kersc001","Clayton Kershaw",
"20120515","ARI","NL",37,"LAN","NL",36,5,1,54,"LOS03",47077,"010030100","000001000",37,13,1,0,0,5,0,1,0,6,2,7,0,1,2,0,12,4,1,1,0,0,27,7,0,0,2,0,35,10,1,0,1,1,0,0,1,1,0,7,0,0,2,0,9,5,5,5,1,0,27,12,0,0,2,0,"milew001","Wade Miley","billc001","Chad Billingsley","","(none)","milew001","Wade Miley","billc001","Chad Billingsley",
"20120516","ARI","NL",38,"COL","NL",36,1,6,51,"DEN02",32162,"000000100","03021000x",33,6,3,0,0,1,0,0,0,3,0,7,1,0,1,0,8,3,6,6,0,0,24,9,0,0,1,0,32,9,1,2,0,6,0,0,0,2,0,3,0,0,1,0,4,3,1,1,0,0,27,12,1,0,1,0,"moyej001","Jamie Moyer","corbp001","Patrick Corbin","","(none)","corbp001","Patrick Corbin","moyej001","Jamie Moyer",
"20120517","ARI","NL",39,"COL","NL",37,9,7,54,"DEN02",32035,"000011142","210010030",39,13,1,0,1,9,1,0,0,9,1,12,2,0,0,0,13,6,5,5,0,0,27,11,1,0,1,0,37,12,2,1,2,6,0,0,0,6,0,8,0,2,1,0,9,7,9,9,3,0,27,4,0,0,0,0,"ziegb001","Brad Ziegler","betar001","Rafael Betancourt","putzj001","J.J. Putz","cahit001","Trevor Cahill","nicaj001","Juan Nicasio",
"20120518","ARI","NL",40,"KCA","AL",38,6,4,54,"KAN06",33694,"100003020","021000100",34,9,3,0,0,6,0,0,0,4,1,7,0,2,0,0,5,4,4,4,0,0,27,17,0,0,0,0,37,10,3,0,1,4,0,0,0,3,0,5,0,0,0,0,9,4,6,6,0,0,27,11,0,0,0,0,"ziegb001","Brad Ziegler","herrk001","Kelvin Herrera","putzj001","J.J. Putz","saunj001","Joe Saunders","mendl001","Luis Mendoza",
"20120519","ARI","NL",41,"KCA","AL",39,3,7,51,"KAN06",27469,"000000210","01212100x",34,11,3,0,0,3,0,1,0,3,0,5,1,0,2,0,8,3,7,7,2,1,24,5,0,0,0,0,32,11,0,0,2,7,0,2,0,2,0,6,0,0,0,0,5,5,3,3,0,0,27,12,0,0,3,0,"chenb001","Bruce Chen","kenni001","Ian Kennedy","","(none)","kenni001","Ian Kennedy","chenb001","Bruce Chen",
"20120520","ARI","NL",42,"KCA","AL",40,2,0,54,"KAN06",24234,"000010010","000000000",30,5,1,0,0,2,1,1,0,4,0,5,2,0,0,0,7,3,0,0,0,0,27,11,0,0,0,0,33,7,0,1,0,0,0,0,1,2,0,7,0,1,0,0,9,4,2,2,1,0,27,10,0,0,0,0,"milew001","Wade Miley","adcon001","Nathan Adcock","putzj001","J.J. Putz","milew001","Wade Miley","adcon001","Nathan Adcock",
"20120521","LAN","NL",42,"ARI","NL",43,6,1,54,"PHO01",24768,"020000130","000100000",38,11,0,1,3,6,1,0,0,3,0,8,0,0,0,0,9,4,1,1,0,0,27,11,0,0,0,0,31,6,0,1,0,1,1,0,0,1,0,8,0,1,0,0,5,4,6,6,0,0,27,10,0,0,0,0,"capuc001","Chris Capuano","corbp001","Patrick Corbin","","(none)","capuc001","Chris Capuano","corbp001","Patrick Corbin",
"20120522","LAN","NL",43,"ARI","NL",44,8,7,54,"PHO01",25738,"000001502","021021010",35,12,2,0,0,8,0,2,0,5,0,9,0,2,2,0,7,5,7,7,2,0,27,10,1,0,3,0,38,15,5,0,2,7,1,1,0,0,0,12,0,1,1,0,6,6,6,5,1,0,27,11,2,0,3,0,"lindj004","Josh Lindblom","putzj001","J.J. Putz","jansk001","Kenley Jansen","haraa001","Aaron Harang","cahit001","Trevor Cahill",
"20120523","LAN","NL",44,"ARI","NL",45,4,11,51,"PHO01",27645,"000100300","22133000x",34,8,2,0,1,4,0,0,0,2,0,9,0,0,1,0,5,5,11,11,0,0,24,8,1,1,1,0,37,14,1,2,2,11,0,1,1,7,0,7,1,0,1,0,11,3,4,4,0,0,27,11,0,0,1,0,"saunj001","Joe Saunders","lillt001","Ted Lilly","","(none)","lillt001","Ted Lilly","saunj001","Joe Saunders",
"20120525","MIL","NL",45,"ARI","NL",46,7,1,54,"PHO01",35478,"010300021","000100000",36,12,1,0,3,7,2,1,3,3,1,10,0,1,0,0,11,3,1,1,0,0,27,10,0,0,4,0,28,5,0,0,1,1,0,0,0,6,0,7,0,0,4,0,6,5,7,7,0,1,27,10,1,0,1,0,"gally001","Yovani Gallardo","kenni001","Ian Kennedy","","(none)","gally001","Yovani Gallardo","kenni001","Ian Kennedy",
"20120526","MIL","NL",46,"ARI","NL",47,5,8,51,"PHO01",30184,"104000000","20500010x",36,8,5,1,0,4,0,0,0,3,0,7,0,0,0,0,7,4,8,8,0,0,24,13,0,0,1,0,36,15,3,0,1,8,1,0,1,4,0,9,0,1,0,0,10,4,3,3,2,0,27,5,1,1,0,0,"milew001","Wade Miley","greiz001","Zack Greinke","putzj001","J.J. Putz","greiz001","Zack Greinke","milew001","Wade Miley",
