Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20140322,LAN,NL,1,ARI,NL,1,3,1,54,SYD01,38266,10200000,1000,33,5,2,0,1,3,0,0,1,3,0,11,0,0,0,0,7,4,1,1,1,0,27,13,1,0,0,0,33,5,1,0,0,1,0,0,0,2,0,10,0,0,0,0,7,5,3,3,1,0,27,10,1,0,0,0,kersc001,milew001,jansk001,kersc001,milew001,,1,Mar 22,1,LAD,"L,1-3",9,5,3,3,0,3,11,1,1,3,37,136,85,1,0,0,0,33,2,0,0,0,0,1,0,5,Tim Welke,"W.Miley (99-55-L), W.Harris (99), B.Ziegler (99), O.Perez (99), J.Putz (99)"
20140323,LAN,NL,2,ARI,NL,2,7,5,54,SYD01,38079,102021100,14,34,13,3,0,0,6,1,2,2,8,0,7,1,0,1,0,13,8,5,5,0,0,27,4,1,0,2,0,35,8,0,0,1,5,0,0,0,8,0,8,0,0,2,0,11,6,6,6,1,0,27,15,3,0,1,0,ryu-h001,cahit001,,ryu-h001,cahit001,,2,Mar 23,1,LAD,"L,5-7",9,13,7,6,1,8,7,0,2,4.5,47,171,95,5,3,1,0,34,3,0,0,1,2,1,1,6,Dale Scott,"T.Cahill (99-23-L), J.Collmenter (99), J.Thatcher (99), R.Delgado (99), B.Schultz (99), A.Reed (99)"
20140331,SFN,NL,1,ARI,NL,3,9,8,54,PHO01,48541,1011402,421001,38,12,3,0,2,9,1,0,0,2,0,6,0,0,0,0,5,5,4,4,1,0,27,11,2,0,2,0,42,16,3,0,1,8,1,0,0,3,0,9,1,1,1,0,11,5,9,9,0,0,27,10,1,0,0,0,machj002,reeda001,romos001,bumgm001,mccab001,,3,Mar 31,1,SFG,"L,8-9",9,12,9,9,0,2,6,2,0,6,41,141,94,3,2,0,0,38,3,0,0,1,0,0,0,5,Tom Hallion,"B.McCarthy (99-45), O.Perez (8), B.Ziegler (8-BSv), J.Collmenter (7), A.Reed (7-L)"
20140401,SFN,NL,2,ARI,NL,4,4,5,51,PHO01,18974,400000000,20010200x,34,7,2,0,1,4,0,0,0,2,0,9,0,0,0,0,5,3,4,4,0,0,24,12,0,1,2,0,32,11,3,0,0,4,0,1,0,3,1,4,1,0,2,0,7,3,4,4,1,0,27,9,0,0,0,0,milew001,gutij002,reeda001,cainm001,milew001,,4,Apr 1,1,SFG,"W,5-4",9,7,4,4,0,2,9,1,0,5.5,36,123,87,0,0,0,0,34,2,0,0,0,0,0,0,3,Eric Cooper,"W.Miley (9-53-W), W.Harris (9-H), A.Reed (0-Sv)"
20140402,SFN,NL,3,ARI,NL,5,2,0,54,PHO01,19357,11000,0,32,6,1,0,0,2,1,0,0,4,0,6,1,0,0,0,8,3,0,0,1,0,27,9,1,0,0,0,31,3,2,0,0,0,0,0,0,0,0,8,0,0,0,0,4,4,2,2,1,0,27,10,0,0,0,0,hudst001,cahit001,romos001,hudst001,cahit001,,5,Apr 2,1,SFG,"L,0-2",9,6,2,2,0,4,6,0,0,4.8,37,149,93,0,0,1,0,32,1,0,0,1,0,0,0,4,Chris Guccione,"T.Cahill (9-56-L), J.Thatcher (9), J.Putz (10), R.Rowland-Smith (99)"
20140403,SFN,NL,4,ARI,NL,6,8,5,54,PHO01,19131,100100150,200002100,34,9,3,0,3,8,1,1,0,5,1,5,1,0,0,0,6,5,5,5,0,0,27,14,0,0,0,0,35,9,2,0,2,5,0,0,0,1,0,9,2,0,0,0,4,6,8,8,0,0,27,12,0,0,0,0,machj002,harrw002,,linct001,arrob001,,6,Apr 3,1,SFG,"L,5-8",9,9,8,8,0,5,5,3,0,5.33,41,155,96,1,0,1,0,34,3,0,1,1,1,0,0,6,Pat Hoberg,"B.Arroyo (99-46), O.Perez (2), J.Collmenter (2), W.Harris (1-BL), R.Rowland-Smith (0), B.Ziegler (2)"
20140404,ARI,NL,7,COL,NL,5,2,12,51,DEN02,49130,10010,10320222x,36,8,2,0,1,2,0,0,0,1,0,7,0,0,0,0,8,5,11,11,0,1,24,12,1,0,1,0,40,17,3,2,2,12,0,0,1,6,1,4,0,1,1,0,11,3,2,2,1,0,27,12,0,0,0,0,nicaj001,delgr001,,delgr001,nicaj001,,7,Apr 4,@,COL,"L,2-12",8,17,12,11,1,6,4,2,1,6.24,47,180,108,2,0,0,1,40,3,2,1,0,0,1,1,5,Mike Muchlinski,"R.Delgado (11-19-L), J.Putz (1), J.Thatcher (1), B.Ziegler (0), O.Perez (0)"
20140405,ARI,NL,8,COL,NL,6,4,9,51,DEN02,33078,112000000,00032112x,35,6,2,0,1,3,0,0,0,3,0,8,2,0,0,0,7,3,9,9,0,0,24,14,0,0,1,0,34,12,3,0,3,9,0,1,0,1,0,6,1,0,0,0,3,5,3,3,0,0,27,7,2,0,0,0,kahnt001,mccab001,,mccab001,delaj001,,8,Apr 5,@,COL,"L,4-9",8,12,9,9,0,1,6,3,0,6.69,36,114,83,0,0,1,0,34,3,0,0,0,1,0,0,3,Mike Winters,"B.McCarthy (4-36-L), R.Rowland-Smith (1), W.Harris (1)"
20140406,ARI,NL,9,COL,NL,7,5,3,54,DEN02,29779,2120000,10101,38,13,2,0,1,3,1,0,0,3,2,1,0,0,1,0,10,2,2,2,1,0,27,19,1,0,5,0,28,8,3,0,0,2,0,2,0,3,0,2,1,0,5,0,3,3,3,3,0,0,27,15,1,0,2,0,milew001,andeb004,reeda001,milew001,andeb004,,9,Apr 6,@,COL,"W,5-3",9,8,3,2,1,3,2,0,0,6.15,33,113,68,0,0,1,0,28,3,0,0,0,2,0,5,2,Andy Fletcher,"W.Miley (4-60-W), A.Reed (4-Sv)"
20140408,ARI,NL,10,SFN,NL,8,3,7,51,SFO03,42166,10100010,20302000x,31,7,1,1,0,2,0,1,1,0,0,5,0,1,0,0,3,5,7,7,0,0,24,7,0,0,1,0,33,10,2,0,1,7,0,0,0,3,1,12,1,0,1,0,5,2,2,2,0,0,27,13,1,0,1,0,hudst001,cahit001,,cahit001,hudst001,,10,Apr 8,@,SFG,"L,3-7",8,10,7,7,0,3,12,1,0,6.31,36,159,95,1,0,1,0,33,2,0,1,0,0,0,1,5,Jim Reynolds,"T.Cahill (5-29-L), R.Rowland-Smith (2), O.Perez (3), B.Ziegler (3), J.Putz (3)"
