Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20140331,ATL,NL,1,MIL,NL,1,0,2,51,MIL06,45691,0,00020000x,31,5,1,0,0,0,1,0,0,2,0,7,0,0,0,0,7,3,2,2,0,0,24,11,1,0,2,0,28,8,1,0,0,2,1,0,0,1,0,3,2,0,1,0,4,4,0,0,0,0,27,13,0,0,0,0,gally001,tehej001,rodrf003,tehej001,gally001,,1,Mar 31,@,MIL,"L,0-2",8,8,2,2,0,1,3,0,0,2.25,30,105,70,1,0,2,0,28,1,0,0,1,0,0,1,3,Ted Barrett,"J.Teheran (99-51-L), I.Thomas (99), G.Schlosser (99)"
20140401,ATL,NL,2,MIL,NL,2,5,2,54,MIL06,21503,21011,100000010,34,9,2,0,3,5,0,1,0,2,0,11,1,0,0,0,5,3,2,2,0,0,27,13,1,0,2,0,31,6,0,0,1,2,0,0,0,4,0,9,1,0,2,0,6,4,5,5,0,0,27,7,0,0,0,0,wooda002,lohsk001,kimbc001,wooda002,lohsk001,,2,Apr 1,@,MIL,"W,5-2",9,6,2,2,0,4,9,1,0,2.12,35,133,80,0,0,1,0,31,0,0,0,0,0,0,2,3,Greg Gibson,"A.Wood (99-65-W), D.Carpenter (99-H), C.Kimbrel (99-Sv)"
20140402,ATL,NL,3,MIL,NL,3,1,0,54,MIL06,21712,100,0,30,3,0,0,1,1,0,0,0,2,0,9,1,0,0,0,4,4,0,0,0,0,27,8,0,0,0,0,28,2,0,0,0,0,1,0,0,1,0,5,0,0,0,0,3,3,1,1,0,0,27,9,0,0,0,0,haraa001,garzm001,kimbc001,haraa001,garzm001,,3,Apr 2,@,MIL,"W,1-0",9,2,0,0,0,1,5,0,0,1.38,30,123,80,2,0,0,0,28,0,0,0,1,0,0,0,4,Paul Schrieber,"A.Harang (99-72-W), L.Avilan (99-H), D.Carpenter (0-H), C.Kimbrel (0-Sv)"
20140404,ATL,NL,4,WAS,NL,4,2,1,54,WAS11,42834,10010,1000,31,6,1,0,1,2,0,1,1,2,0,14,1,1,0,0,6,6,1,1,1,0,27,17,0,0,0,0,31,8,3,0,0,1,0,1,0,4,0,10,0,2,0,0,8,4,2,2,0,0,27,7,0,0,0,0,avill001,clipt001,kimbc001,haled001,zimmj003,,4,Apr 4,@,WSN,"W,2-1",9,8,1,1,0,4,10,0,0,1.29,36,138,87,1,0,0,2,31,3,0,0,0,1,0,0,6,Cory Blaser,"D.Hale (99-59), G.Schlosser (3-BSv), J.Walden (99), L.Avilan (1-W), D.Carpenter (1-H), C.Kimbrel (1-Sv)"
20140405,ATL,NL,5,WAS,NL,5,6,2,54,WAS11,37841,240000,200000000,40,13,3,0,0,5,0,1,0,4,0,9,1,0,0,0,12,3,2,2,0,0,27,5,0,0,1,0,31,5,0,0,1,2,0,0,1,5,0,10,2,0,0,0,8,5,3,3,0,0,27,6,2,0,0,0,tehej001,stras001,,tehej001,stras001,,5,Apr 5,@,WSN,"W,6-2",9,5,2,2,0,5,10,1,1,1.43,37,151,90,0,0,2,0,31,0,0,0,0,0,0,0,3,Jim Joyce,"J.Teheran (4-65-W), I.Thomas (4), J.Walden (0)"
20140406,ATL,NL,6,WAS,NL,6,1,2,51,WAS11,34327,1000,10000010x,33,8,1,0,0,1,1,1,0,2,0,7,0,0,1,0,9,3,2,2,0,0,24,9,2,0,0,0,29,4,0,0,1,1,0,0,0,0,0,6,0,0,0,0,3,4,1,1,0,0,27,7,1,0,1,0,blevj001,wooda002,sorir001,wooda002,jordt001,,6,Apr 6,@,WSN,"L,1-2",8,4,2,2,0,0,6,1,0,1.56,29,120,83,0,0,0,0,29,0,0,0,0,0,1,0,3,Doug Eddings,"A.Wood (4-65-L), G.Schlosser (1), L.Avilan (1)"
20140408,NYN,NL,7,ATL,NL,7,4,0,54,ATL02,47144,1000210,0,34,9,1,0,0,3,1,0,0,4,0,9,3,0,0,0,8,3,0,0,0,0,27,8,2,0,0,0,37,8,1,0,0,0,0,0,0,0,0,6,0,0,0,0,10,6,4,4,1,0,27,6,0,0,0,0,colob001,haraa001,,colob001,haraa001,,7,Apr 8,1,NYM,"L,0-4",9,9,4,4,0,4,9,0,0,1.92,39,156,96,4,2,3,0,34,1,0,0,1,0,0,0,6,Lance Barksdale,"A.Harang (5-69-L), G.Schlosser (1), L.Avilan (1), A.Varvaro (99), I.Thomas (2), P.Beato (99)"
20140409,NYN,NL,8,ATL,NL,8,3,4,51,ATL02,19608,3,10003000x,33,6,1,0,0,3,0,0,0,2,0,9,0,0,0,0,5,4,4,4,1,0,24,6,0,0,0,0,33,9,1,0,1,4,0,0,0,0,0,8,0,0,0,0,5,3,3,3,0,0,27,10,0,0,0,0,sante001,wheez001,kimbc001,wheez001,sante001,,8,Apr 9,1,NYM,"W,4-3",9,6,3,3,0,2,9,0,0,2.06,35,122,86,2,2,0,0,33,1,0,0,0,0,0,0,3,Mark Ripperger,"E.Santana (99-82-W), J.Walden (3), C.Kimbrel (4-Sv)"
20140410,NYN,NL,9,ATL,NL,9,6,4,54,ATL02,29470,102010110,13000000,36,9,1,1,0,6,0,0,0,6,0,9,5,0,0,0,9,4,4,4,2,0,27,12,0,0,1,0,33,7,0,1,2,4,0,0,0,4,0,11,1,0,1,0,6,5,5,5,1,0,27,9,1,0,0,0,torrc001,avill001,valvj001,mejij001,haled001,,9,Apr 10,1,NYM,"L,4-6",9,9,6,5,1,6,9,0,0,2.39,42,164,100,5,1,5,0,36,1,1,0,0,0,0,0,5,Gary Cederstrom,"D.Hale (5-36), A.Varvaro (1), L.Avilan (1-L), G.Schlosser (1), I.Thomas (1)"
20140411,WAS,NL,10,ATL,NL,10,6,7,59,ATL02,28243,1310100,400100101,41,14,1,0,1,6,1,0,0,4,1,8,0,0,2,0,10,6,7,7,0,0,29,10,0,0,3,0,35,10,2,0,2,7,0,0,3,3,0,7,0,1,3,0,5,5,3,3,1,0,30,12,1,0,2,0,avill001,blevj001,,roart001,tehej001,,10,Apr 11,1,WSN,"W,7-6",10,14,6,3,3,4,8,1,0,2.43,46,159,97,0,0,0,0,41,1,0,1,1,0,1,2,5,Adrian Johnson,"J.Teheran (5-38), J.Walden (1), D.Carpenter (6), C.Kimbrel (1), L.Avilan (0-W)"
