Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20170403","ATL","NL",1,"NYN","NL",1,0,6,51,"NYC20",44384,"000000000","00000060x",33,7,1,1,0,0,0,0,0,0,0,11,0,0,0,0,6,5,6,6,2,0,24,5,0,1,0,0,30,7,1,0,0,6,0,1,0,8,0,6,2,0,0,0,9,4,0,0,0,0,27,11,0,0,1,0,"roblh001","kroli001","","tehej001","syndn001",
"20170405","ATL","NL",2,"NYN","NL",2,3,1,72,"NYC20",28113,"000000100002","000010000000",43,8,4,1,0,3,0,0,1,6,2,12,0,0,2,0,11,5,1,1,0,0,36,5,0,0,1,0,40,5,1,0,1,1,0,0,0,3,1,12,0,0,1,0,6,8,3,3,0,0,36,15,1,0,2,0,"johnj010","montr004","","colob001","degrj001",
"20170406","ATL","NL",3,"NYN","NL",3,2,6,51,"NYC20",23100,"000010100","00002220x",32,6,0,0,2,2,0,0,0,0,0,8,0,0,1,0,3,3,5,5,1,0,24,10,1,0,1,0,31,8,3,0,1,5,0,0,1,2,0,2,0,0,1,0,4,4,2,2,0,0,27,6,0,0,1,0,"harvm001","garcj004","","garcj004","harvm001",
"20170407","ATL","NL",4,"PIT","NL",3,4,5,51,"PIT08",36484,"000010030","00112010x",36,10,3,0,0,4,0,0,2,0,0,6,0,0,2,0,7,5,4,4,1,0,24,9,2,0,0,0,35,11,1,0,2,5,2,0,1,4,0,2,0,0,0,0,13,5,3,3,0,0,27,12,1,0,2,0,"novai001","foltm001","watst001","foltm001","novai001",
"20170408","ATL","NL",5,"PIT","NL",4,4,6,51,"PIT08",31756,"021000010","02200200x",34,11,2,1,0,4,0,1,2,6,2,7,1,0,3,0,12,3,3,3,1,0,24,14,2,3,2,0,33,10,1,0,0,3,0,0,0,4,1,5,1,0,2,0,7,5,3,3,0,0,27,13,1,0,4,0,"kuhlc001","dickr001","watst001","dickr001","kuhlc001",
"20170409","ATL","NL",6,"PIT","NL",5,5,6,57,"PIT08",22713,"2000101001","0002000112",41,13,2,0,3,5,2,0,0,2,0,7,1,0,0,0,10,4,3,3,0,0,27,12,2,1,2,0,33,11,2,0,1,5,1,0,1,3,0,4,0,2,2,0,5,4,5,5,0,0,30,13,0,0,0,0,"rivef001","ramij004","","tehej001","coleg001",
"20170411","ATL","NL",7,"MIA","NL",7,4,8,51,"MIA02",36519,"000121000","30302000x",34,7,2,0,1,3,0,0,1,3,0,12,3,0,1,0,7,4,8,8,0,0,24,7,0,0,2,0,30,10,0,0,2,8,0,2,0,3,0,7,1,0,2,0,3,5,3,3,1,0,27,9,1,0,1,0,"strad003","colob001","","colob001","strad003",
"20170412","ATL","NL",8,"MIA","NL",8,5,4,54,"MIA02",16808,"002100011","002020000",30,8,0,0,3,5,2,0,0,3,0,4,0,1,1,0,3,5,3,3,1,0,27,9,1,0,1,0,35,7,1,0,2,4,0,0,0,2,0,9,0,0,1,0,6,4,5,5,1,0,27,14,0,0,1,0,"vizca001","ramoa001","johnj010","garcj004","koeht001",
"20170414","SDN","NL",11,"ATL","NL",9,2,5,51,"ATL03",41149,"020000000","20010200x",30,6,0,0,0,2,0,0,2,4,0,8,1,1,2,0,7,3,4,4,0,0,24,8,1,0,2,0,31,9,2,0,1,4,0,0,0,4,0,5,0,0,2,0,6,4,2,2,0,0,27,10,0,0,2,0,"tehej001","chacj001","johnj010","chacj001","tehej001",
"20170415","SDN","NL",12,"ATL","NL",10,2,4,51,"ATL03",41149,"020000000","00200200x",34,8,2,0,2,2,0,0,1,1,0,10,0,0,1,0,7,3,4,4,0,1,24,20,1,0,1,0,31,9,0,0,2,4,0,0,0,2,0,4,0,1,1,0,5,4,2,2,0,0,27,9,0,0,1,0,"dickr001","richc002","johnj010","richc002","dickr001",
