Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
20100405,CHN,NL,1,ATL,NL,1,5,16,51,ATL02,53081,30,5,1,0,2,5,0,0,0,3,0,7,0,0,0,0,1,6,14,14,0,0,24,8,2,0,0,0,35,12,1,1,2,14,2,0,1,8,0,8,1,0,0,0,6,4,5,5,0,0,27,13,0,0,2,0,lowed001,zambc001,,zambc001,lowed001,,0.18518518518518517,0.5,0.24242424242424243,0.4772727272727273,0.4,0.6,0.6424242424242425,1.0772727272727272,1.0
20100407,CHN,NL,2,ATL,NL,2,2,3,51,ATL02,36170,31,7,1,0,0,1,0,1,0,3,0,7,1,0,2,0,6,4,3,3,0,0,24,8,0,0,0,0,29,5,2,0,1,3,0,0,1,2,1,12,1,0,0,0,5,4,0,0,0,0,27,8,1,0,3,0,moylp001,grabj002,wagnb001,dempr002,jurrj001,,0.25925925925925924,0.2,0.2857142857142857,0.25,0.25806451612903225,0.3448275862068966,0.543778801843318,0.5948275862068966,1.0
20100408,CHN,NL,3,ATL,NL,3,2,0,54,ATL02,27443,30,4,0,0,2,2,1,0,0,3,0,9,0,0,0,0,5,5,0,0,0,0,27,15,1,0,3,0,33,8,1,0,0,0,0,0,0,4,0,4,0,0,3,0,10,3,2,2,0,0,27,4,0,0,0,0,wellr001,hanst001,marmc001,wellr001,hanst001,,0.15384615384615385,0.27586206896551724,0.21212121212121213,0.32432432432432434,0.3333333333333333,0.2727272727272727,0.5454545454545454,0.597051597051597,0.0
20100409,ATL,NL,4,SFN,NL,4,4,5,77,SFO03,42940,46,11,1,0,0,4,2,0,0,9,0,14,0,1,1,0,14,6,4,4,0,0,38,18,2,0,3,0,43,9,3,0,1,5,2,0,0,1,0,9,1,0,3,0,3,8,4,4,1,0,39,16,2,0,1,0,affej001,medlk001,,hudst001,sancj002,,0.3142857142857143,0.225,0.36363636363636365,0.22727272727272727,0.2608695652173913,0.3488372093023256,0.6245059288537549,0.5761099365750528,0.0
20100410,ATL,NL,5,SFN,NL,5,7,2,54,SFO03,42985,37,10,2,0,1,6,1,0,1,6,1,5,1,0,1,0,11,4,2,2,0,0,27,18,0,0,2,0,29,6,1,0,0,2,0,0,0,9,2,6,1,2,2,0,9,5,6,6,4,1,27,14,2,0,1,0,lowed001,wellt002,,lowed001,wellt002,,0.35714285714285715,0.3333333333333333,0.38636363636363635,0.39473684210526316,0.40540540540540543,0.2413793103448276,0.7917690417690417,0.6361161524500908,1.0
20100411,ATL,NL,6,SFN,NL,6,3,6,51,SFO03,38062,33,6,2,0,2,3,0,0,0,1,0,11,0,0,0,0,4,3,4,4,0,0,24,12,2,0,0,0,33,8,0,1,1,5,0,0,0,1,0,4,0,0,0,0,4,2,3,3,0,0,27,9,0,0,0,0,linct001,kawak001,affej001,kawak001,linct001,,0.1875,0.25,0.20588235294117646,0.2647058823529412,0.42424242424242425,0.3939393939393939,0.6301247771836007,0.6586452762923352,0.0
20100412,ATL,NL,7,SDN,NL,7,2,17,51,SAN02,42843,31,4,0,0,0,2,0,0,0,5,0,8,0,0,0,0,7,3,17,17,0,0,24,9,1,0,0,0,44,19,5,1,2,17,0,0,0,5,0,7,1,0,0,0,8,3,2,2,0,0,27,11,0,1,0,0,corrk001,jurrj001,,jurrj001,corrk001,,0.15384615384615385,0.48717948717948717,0.25,0.4897959183673469,0.12903225806451613,0.7272727272727273,0.3790322580645161,1.217068645640074,0.0
20100414,ATL,NL,8,SDN,NL,8,6,1,54,SAN02,24969,36,8,3,0,1,6,0,0,0,3,1,12,1,0,0,0,6,4,1,1,0,0,27,7,2,0,1,0,31,6,0,0,0,1,0,0,1,6,0,11,1,0,1,0,10,5,5,3,0,0,27,6,3,0,0,0,hanst001,richc002,,hanst001,richc002,,0.25,0.25,0.28205128205128205,0.34210526315789475,0.3888888888888889,0.1935483870967742,0.670940170940171,0.5356536502546689,1.0
20100415,ATL,NL,9,SDN,NL,9,6,2,54,SAN02,16356,35,9,3,0,1,6,0,0,0,4,1,6,2,0,0,0,6,6,2,2,0,0,27,13,0,0,0,0,32,6,1,0,1,2,1,0,0,5,0,4,0,0,0,0,9,6,6,6,0,0,27,12,0,0,1,0,hudst001,latom001,,hudst001,latom001,,0.3,0.23076923076923078,0.3333333333333333,0.2972972972972973,0.42857142857142855,0.3125,0.7619047619047619,0.6097972972972974,1.0
20100416,COL,NL,10,ATL,NL,10,5,9,51,ATL02,27692,35,9,3,0,1,5,0,0,0,4,0,11,0,1,1,0,7,5,9,9,1,0,24,11,0,1,2,0,34,13,2,0,1,9,1,1,0,6,1,6,0,0,2,0,9,3,4,4,1,0,27,11,1,0,1,0,lowed001,hammj002,,hammj002,lowed001,,0.2903225806451613,0.52,0.3333333333333333,0.4634146341463415,0.42857142857142855,0.5294117647058824,0.7619047619047619,0.992826398852224,1.0
20100417,COL,NL,11,ATL,NL,11,4,0,54,ATL02,32602,34,9,3,0,0,4,0,1,0,3,0,5,0,0,1,0,7,1,0,0,0,1,27,8,0,0,1,0,25,0,0,0,0,0,0,0,0,6,0,7,1,0,1,0,4,3,4,4,0,0,27,9,0,0,1,0,jimeu001,kawak001,,jimeu001,kawak001,,0.3,0.0,0.3157894736842105,0.1935483870967742,0.35294117647058826,0.0,0.6687306501547987,0.1935483870967742,0.0
20100418,COL,NL,12,ATL,NL,12,3,4,53,ATL02,26546,30,5,1,0,2,3,1,0,0,3,0,10,1,0,1,0,4,5,4,4,1,1,26,9,0,0,0,0,30,8,2,1,0,4,1,1,0,11,1,6,0,0,0,0,13,2,3,3,0,0,27,7,1,0,1,0,oflae001,moraf001,,smitg002,jurrj001,,0.19230769230769232,0.5,0.24242424242424243,0.4523809523809524,0.4,0.4,0.6424242424242425,0.8523809523809525,1.0
20100420,PHI,NL,13,ATL,NL,13,3,4,57,ATL02,18032,38,9,3,0,0,3,0,0,0,2,0,8,0,1,1,0,7,3,4,4,0,0,27,17,0,1,2,0,32,7,1,0,3,4,0,0,0,3,1,2,0,0,2,0,4,6,3,3,1,0,30,10,0,0,1,0,wagnb001,contj002,,kendk001,hanst001,,0.25,0.25,0.275,0.2857142857142857,0.3157894736842105,0.53125,0.5907894736842105,0.8169642857142857,1.0
20100421,PHI,NL,14,ATL,NL,14,2,0,54,ATL02,21171,34,7,5,0,0,2,0,0,1,2,2,8,0,0,0,0,8,1,0,0,0,0,27,13,0,0,1,0,31,5,2,0,0,0,0,0,0,1,0,7,0,0,1,0,5,3,2,2,1,0,27,15,0,0,0,0,hallr001,hudst001,,hallr001,hudst001,,0.2413793103448276,0.16666666666666666,0.2702702702702703,0.1875,0.35294117647058826,0.22580645161290322,0.6232114467408585,0.4133064516129033,0.0
20100422,PHI,NL,15,ATL,NL,15,8,3,54,ATL02,22476,37,12,1,0,0,7,1,2,0,5,0,8,0,0,0,0,10,4,1,1,0,0,27,10,2,0,1,0,35,9,4,0,0,1,0,1,1,3,0,6,0,0,1,0,10,5,7,7,0,0,27,9,1,0,0,0,moyej001,lowed001,,moyej001,lowed001,,0.41379310344827586,0.3,0.38636363636363635,0.325,0.35135135135135137,0.37142857142857144,0.7377149877149878,0.6964285714285714,0.0
20100423,ATL,NL,16,NYN,NL,17,2,5,51,NYC20,32265,33,7,1,0,0,2,1,0,0,4,0,12,1,0,0,0,9,3,5,5,0,0,24,8,4,0,0,0,32,9,2,2,1,4,1,1,0,3,0,3,0,0,0,0,8,5,2,2,1,0,27,6,0,0,0,0,takah001,kawak001,rodrf003,kawak001,mainj001,,0.25,0.3333333333333333,0.2972972972972973,0.3333333333333333,0.24242424242424243,0.5625,0.5397215397215398,0.8958333333333333,0.0
