teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev
ATL,NL,16,1,35,12,1,1,2,14,8,8,6,4,5,5,0,0.3428571428571429,0.4772727272727273,0.6,1.0772727272727272,1.0,
ATL,NL,3,1,29,5,2,0,1,3,2,12,5,4,0,0,1,0.1724137931034483,0.25,0.3448275862068966,0.5948275862068966,1.0,1.0
ATL,NL,0,1,33,8,1,0,0,0,4,4,10,3,2,2,0,0.24242424242424246,0.32432432432432434,0.2727272727272727,0.597051597051597,0.0,1.0
ATL,NL,4,0,46,11,1,0,0,4,9,14,14,6,4,4,2,0.2391304347826087,0.3636363636363637,0.2608695652173913,0.6245059288537549,0.0,0.0
ATL,NL,7,0,37,10,2,0,1,6,6,5,11,4,2,2,0,0.2702702702702703,0.3863636363636364,0.40540540540540543,0.7917690417690417,1.0,0.0
ATL,NL,3,0,33,6,2,0,2,3,1,11,4,3,4,4,2,0.18181818181818185,0.2058823529411765,0.42424242424242425,0.6301247771836007,0.0,1.0
ATL,NL,2,0,31,4,0,0,0,2,5,8,7,3,17,17,1,0.12903225806451613,0.25,0.12903225806451613,0.3790322580645161,0.0,0.0
ATL,NL,6,0,36,8,3,0,1,6,3,12,6,4,1,1,2,0.2222222222222222,0.28205128205128205,0.3888888888888889,0.670940170940171,1.0,0.0
ATL,NL,6,0,35,9,3,0,1,6,4,6,6,6,2,2,0,0.2571428571428571,0.3333333333333333,0.42857142857142855,0.7619047619047619,1.0,1.0
ATL,NL,9,1,34,13,2,0,1,9,6,6,9,3,4,4,1,0.38235294117647056,0.4634146341463415,0.5294117647058824,0.992826398852224,1.0,1.0
ATL,NL,0,1,25,0,0,0,0,0,6,7,4,3,4,4,0,0.0,0.1935483870967742,0.0,0.1935483870967742,0.0,1.0
ATL,NL,4,1,30,8,2,1,0,4,11,6,13,2,3,3,1,0.26666666666666666,0.4523809523809524,0.4,0.8523809523809525,1.0,0.0
ATL,NL,4,1,32,7,1,0,3,4,3,2,4,6,3,3,0,0.21875,0.2857142857142857,0.53125,0.8169642857142857,1.0,1.0
ATL,NL,0,1,31,5,2,0,0,0,1,7,5,3,2,2,0,0.16129032258064516,0.1875,0.2258064516129032,0.4133064516129033,0.0,1.0
ATL,NL,3,1,35,9,4,0,0,1,3,6,10,5,7,7,1,0.2571428571428571,0.325,0.37142857142857133,0.6964285714285714,0.0,0.0
ATL,NL,2,0,33,7,1,0,0,2,4,12,9,3,5,5,4,0.21212121212121213,0.2972972972972973,0.24242424242424246,0.5397215397215398,0.0,0.0
ATL,NL,1,0,30,6,3,0,0,1,7,9,11,3,3,3,1,0.2,0.35135135135135137,0.3,0.6513513513513514,0.0,0.0
ATL,NL,0,0,18,5,2,0,0,0,5,3,8,1,0,0,2,0.2777777777777778,0.43478260869565216,0.3888888888888889,0.8236714975845411,0.0,0.0
ATL,NL,3,0,32,9,1,0,0,3,4,3,8,3,4,4,0,0.28125,0.35135135135135137,0.3125,0.6638513513513513,0.0,0.0
ATL,NL,4,0,35,6,1,0,0,3,6,6,10,4,5,5,0,0.17142857142857146,0.2926829268292683,0.2,0.4926829268292683,0.0,0.0
ATL,NL,0,0,32,7,1,0,0,0,1,7,7,4,5,5,2,0.21875,0.24242424242424246,0.25,0.4924242424242424,0.0,0.0
ATL,NL,4,0,32,8,1,0,1,4,2,4,4,5,10,10,1,0.25,0.29411764705882354,0.375,0.6691176470588236,0.0,0.0
ATL,NL,4,1,29,6,0,0,2,3,5,7,6,2,2,2,1,0.20689655172413796,0.3235294117647059,0.4137931034482759,0.7373225152129818,1.0,0.0
ATL,NL,10,1,37,15,2,0,1,10,5,5,9,4,1,1,0,0.40540540540540543,0.4883720930232558,0.5405405405405406,1.0289126335637964,1.0,1.0
ATL,NL,7,1,30,9,2,0,0,7,4,8,5,4,1,1,1,0.3,0.3888888888888889,0.36666666666666653,0.7555555555555555,1.0,1.0
ATL,NL,3,0,34,8,2,0,1,3,6,5,11,4,6,6,0,0.2352941176470588,0.3414634146341464,0.38235294117647056,0.7238163558106171,0.0,1.0
