Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20100406,BAL,AL,1,TBA,AL,1,3,4,52,STP01,36973,1101000,11002,37,11,4,0,3,3,0,0,0,3,0,7,1,0,1,0,10,5,4,4,0,0,25,7,0,0,1,0,36,13,4,0,1,4,0,0,0,2,1,9,0,0,1,0,9,4,3,3,0,0,27,8,0,0,1,0,sorir001,gonzm001,,millk004,shiej002,,1,Apr 6,@,TBR,"L,3-4",8.1,13,4,4,0,2,9,1,0,4.32,38,152,93,3,0,0,0,36,4,0,1,0,0,0,1,5,Dana DeMuth,"K.Millwood (99-45), M.Albers (99-H), W.Ohman (99-H), J.Johnson (99-H), M.Gonzalez (99-BL)"
20100407,BAL,AL,2,TBA,AL,2,3,4,51,STP01,15220,200000001,00012001x,34,6,1,0,0,2,0,0,1,2,0,9,0,0,0,0,7,3,4,4,0,0,24,8,0,0,2,0,32,10,2,0,1,4,0,0,0,2,0,8,0,1,1,0,6,2,2,2,0,0,27,7,1,1,0,0,garzm001,guthj001,sorir001,guthj001,garzm001,,2,Apr 7,@,TBR,"L,3-4",8,10,4,4,0,2,8,1,0,4.41,34,114,71,1,0,0,1,32,2,0,0,0,0,0,1,3,Kerwin Danley,"J.Guthrie (99-49-L), W.Ohman (0), C.Meredith (99)"
20100408,BAL,AL,3,TBA,AL,3,5,4,54,STP01,16191,1004000,2000110,36,9,3,0,1,4,0,0,1,3,1,6,1,0,0,0,8,5,4,4,0,0,27,7,0,0,0,0,30,6,0,1,0,4,0,1,0,8,0,10,1,2,0,0,8,6,5,5,2,0,27,14,0,0,0,0,matub001,ekstm001,gonzm001,matub001,niemj001,,3,Apr 8,@,TBR,"W,5-4",9,6,4,4,0,8,10,0,0,4.26,39,172,95,0,0,1,2,30,0,1,0,0,1,0,0,5,CB Bucknor,"B.Matusz (99-57-W), M.Albers (1-H), W.Ohman (0-H), J.Johnson (1-H), M.Gonzalez (1-Sv)"
20100409,TOR,AL,4,BAL,AL,4,7,6,54,BAL12,48891,301010002,300020010,32,9,4,0,1,7,1,2,0,3,0,8,0,0,1,0,4,4,6,6,0,0,27,12,0,0,2,0,32,7,1,0,1,6,0,0,1,7,0,8,1,0,2,0,7,5,7,7,1,0,27,6,0,0,1,0,jansc001,gonzm001,gregk001,morrb001,bergb002,,4,Apr 9,1,TOR,"L,6-7",9,9,7,7,0,3,8,1,0,4.98,38,138,86,1,0,0,0,32,4,0,0,1,2,0,1,5,Rob Drake,"B.Bergesen (99-29), M.Hendrickson (99), J.Johnson (0), M.Gonzalez (0-BL), C.Meredith (1)"
20100410,TOR,AL,5,BAL,AL,5,3,0,54,BAL12,21148,101001,0,34,9,6,0,0,3,0,0,1,6,3,5,0,1,1,0,11,3,0,0,0,0,27,15,0,0,2,0,30,6,1,0,0,0,0,0,1,3,0,3,0,1,2,0,7,3,3,3,0,0,27,10,0,0,2,0,eveld001,hernd002,frasj002,eveld001,hernd002,,5,Apr 10,1,TOR,"L,0-3",9,9,3,3,0,6,5,0,1,4.57,41,132,74,1,1,0,1,34,6,0,3,0,0,0,1,3,Joe West,"D.Hernandez (99-53-L), J.Berken (99), W.Ohman (1)"
20100411,TOR,AL,6,BAL,AL,6,5,2,54,BAL12,22499,100031,200000000,35,7,1,0,4,5,0,0,0,2,0,7,0,0,0,0,5,4,2,2,0,0,27,9,1,0,2,0,34,9,1,1,0,2,0,0,0,1,0,8,0,0,2,0,6,3,2,2,0,0,27,11,1,0,0,0,jansc001,millk004,gregk001,marcs001,millk004,,6,Apr 11,1,TOR,"L,2-5",9,7,5,2,3,2,7,4,0,4.13,37,131,81,0,0,0,0,35,1,0,0,0,0,1,0,3,Angel Hernandez,"K.Millwood (4-65-L), M.Albers (2), C.Meredith (1)"
20100412,TBA,AL,7,BAL,AL,7,5,1,54,BAL12,9129,1002011,100000000,36,12,2,1,2,5,0,1,0,0,0,8,0,0,1,0,5,2,1,1,0,0,27,15,0,0,1,0,30,6,0,0,1,1,0,0,0,4,0,7,0,1,1,0,6,3,5,5,0,0,27,10,0,0,1,0,garzm001,guthj001,,garzm001,guthj001,,7,Apr 12,1,TBR,"L,1-5",9,12,5,5,0,0,8,2,0,4.26,37,150,98,0,0,0,0,36,2,1,0,0,1,0,1,3,D.J. Reyburn,"J.Guthrie (4-54-L), M.Hendrickson (2), M.Albers (0)"
20100413,TBA,AL,8,BAL,AL,8,8,6,60,BAL12,13731,503,10020201,40,11,1,0,1,8,0,0,1,3,0,8,0,1,0,0,6,6,6,6,1,0,30,12,2,0,1,0,41,11,1,0,3,6,0,0,2,2,1,4,0,0,1,0,9,6,8,8,1,0,30,6,0,0,0,0,corml001,albem001,sorir001,niemj001,matub001,,8,Apr 13,1,TBR,"L,6-8",10,11,8,8,0,3,8,1,1,4.67,44,169,106,5,4,0,1,40,1,0,0,0,0,0,0,6,Mike DiMuro,"B.Matusz (4-57), J.Johnson (3-BSv), W.Ohman (2), C.Meredith (1), M.Albers (0-L), J.Berken (2)"
20100414,TBA,AL,9,BAL,AL,9,9,1,54,BAL12,10248,303200100,100000,38,11,4,0,3,9,0,0,1,3,1,10,0,0,1,0,6,3,1,1,0,0,27,6,1,0,1,0,32,6,1,1,1,1,0,0,0,3,0,8,0,0,1,0,7,3,6,6,0,0,27,5,1,0,1,0,pricd001,bergb002,,pricd001,bergb002,,9,Apr 14,1,TBR,"L,1-9",9,11,9,6,3,3,10,3,1,4.82,42,162,102,2,1,0,0,38,4,0,1,0,0,1,1,3,Tim Welke,"B.Bergesen (4-20-L), J.Berken (0), M.Hendrickson (1)"
20100415,BAL,AL,10,OAK,AL,11,2,6,51,OAK01,17382,101,21011001x,34,8,4,1,0,2,0,1,0,4,0,8,0,0,0,0,10,3,5,5,1,0,24,3,2,0,0,0,32,9,6,0,0,6,0,2,1,3,1,7,2,0,0,0,8,3,2,2,0,0,27,7,0,0,0,0,sheeb001,hernd002,,hernd002,sheeb001,,10,Apr 15,@,OAK,"L,2-6",8,9,6,5,1,3,7,0,1,4.89,38,159,97,0,0,2,0,32,6,0,1,0,2,1,0,3,Marty Foster,"D.Hernandez (4-40-L), M.Hendrickson (0), K.Mickolio (99)"
