Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20130402","BAL","AL",1,"TBA","AL",1,7,4,54,"STP01",34078,"200000500","000102010",38,13,4,0,2,7,0,0,0,4,1,6,0,1,1,0,8,4,3,3,0,0,27,9,1,0,1,0,30,6,1,0,1,4,1,1,0,1,0,4,1,0,1,0,2,4,7,7,0,0,27,13,0,0,1,0,"hammj002","mcgej001","johnj010","hammj002","pricd001",
"20130403","BAL","AL",2,"TBA","AL",2,7,8,51,"STP01",15599,"300001111","000004301",36,11,4,0,1,7,1,0,0,2,0,3,0,0,1,0,5,4,8,8,1,0,24,11,0,0,3,0,35,14,3,0,2,7,0,0,0,0,0,6,0,0,3,0,3,4,7,7,0,0,27,15,0,0,1,0,"rodnf001","huntt002","","chenw001","hellj001",
"20130404","BAL","AL",3,"TBA","AL",3,6,3,54,"STP01",17491,"020002020","000020001",36,9,2,0,2,6,0,0,1,3,1,8,4,0,0,0,7,4,3,3,0,0,27,11,0,0,2,0,30,7,0,0,0,3,0,0,1,3,0,4,0,1,1,0,4,3,6,6,0,0,27,11,0,0,0,0,"gonzm003","carmf001","johnj010","gonzm003","carmf001",
"20130405","MIN","AL",4,"BAL","AL",4,5,9,51,"BAL12",46653,"000401000","00112005x",36,10,3,1,0,5,0,0,1,2,0,9,0,0,1,0,7,5,9,9,1,0,24,10,1,0,0,0,37,14,2,0,1,9,1,1,0,4,1,4,1,0,0,0,10,4,5,5,0,0,27,11,0,0,1,0,"ayall001","fienc001","","hendl001","arrij001",
"20130406","MIN","AL",5,"BAL","AL",5,6,5,54,"BAL12",40704,"014000001","201020000",33,9,1,0,1,6,0,2,1,5,0,12,0,2,0,0,8,3,4,4,0,0,27,7,1,0,1,0,37,11,2,0,0,4,0,0,0,2,0,4,0,0,1,0,7,4,5,5,0,0,27,11,2,0,0,0,"roenj001","johnj010","perkg001","worlv001","tillc001",
"20130407","MIN","AL",6,"BAL","AL",6,4,3,54,"BAL12",34431,"002000200","030000000",27,4,1,0,0,4,1,1,2,4,0,6,0,1,0,1,5,5,3,3,1,0,27,14,1,0,2,0,32,7,1,0,1,3,0,0,0,4,0,8,0,0,2,0,6,3,4,4,0,0,27,9,1,0,1,0,"swara001","hammj002","perkg001","hernp001","hammj002",
"20130408","BAL","AL",7,"BOS","AL",7,1,3,51,"BOS07",37008,"000000001","00000030x",31,5,1,0,1,1,0,0,0,4,0,11,0,0,1,0,7,2,3,3,0,0,24,9,0,0,1,0,27,5,1,0,1,3,0,0,0,2,0,4,0,1,1,0,2,3,1,1,0,0,27,8,0,0,1,0,"buchc001","chenw001","hanrj001","chenw001","buchc001",
"20130410","BAL","AL",8,"BOS","AL",8,8,5,54,"BOS07",30862,"100200005","012002000",34,6,0,0,3,6,0,0,0,5,0,14,1,0,0,0,4,5,5,5,0,0,27,7,0,0,1,0,30,5,2,1,2,5,0,1,0,4,0,7,0,0,1,0,3,6,6,6,2,0,27,6,2,0,0,0,"odayd001","hanrj001","johnj010","arrij001","dempr002",
"20130411","BAL","AL",9,"BOS","AL",9,3,2,54,"BOS07",27704,"010010100","002000000",34,9,2,0,1,3,0,0,0,6,1,7,0,0,1,0,10,5,2,2,0,0,27,7,0,0,0,0,35,8,0,0,0,2,0,0,0,2,0,9,0,0,0,0,8,6,3,3,1,0,27,16,0,0,1,0,"matub001","mortc003","johnj010","tillc001","aceva001",
"20130412","BAL","AL",10,"NYA","AL",9,2,5,51,"NYC21",35033,"001000100","00101030x",33,9,1,0,0,2,0,0,0,0,0,9,0,0,2,0,4,4,2,2,0,0,24,13,1,0,1,0,27,6,0,0,0,2,2,0,2,6,1,5,0,0,1,0,8,2,1,1,0,1,27,12,1,0,2,1,"sabac001","gonzm003","rivem002","gonzm003","sabac001",
