Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev,WHIP,KPercent,BBPercent,BABIP
20100406,BAL,AL,1,TBA,AL,1,3,4,52,STP01,36973.0,37,11,4,0,3,3,0,0,0,3,0,7,1,0,1,0,10,5,4,4,0,0,25,7,0,0,1,0,36,13,4,0,1,4,0,0,0,2,1,9,0,0,1,0,9,4,3,3,0,0,27,8,0,0,1,0,sorir001,gonzm001,,millk004,shiej002,,1,Apr 6,@,TBR,"L,3-4",8.1,13,4,4,0,2,9,1,0,4.32,38,152,93,3,0,0,0,36,4,0,1,0,0,0,1,5,Dana DeMuth,"K.Millwood (99-45), M.Albers (99-H), W.Ohman (99-H), J.Johnson (99-H), M.Gonzalez (99-BL)",0.2972972972972973,0.3611111111111111,0.35,0.39473684210526316,0.6486486486486487,0.5555555555555556,0.9986486486486487,0.9502923976608187,0.0,,1.8518518518518519,0.23684210526315788,0.05263157894736842,0.46153846153846156
20100407,BAL,AL,2,TBA,AL,2,3,4,51,STP01,15220.0,34,6,1,0,0,2,0,0,1,2,0,9,0,0,0,0,7,3,4,4,0,0,24,8,0,0,2,0,32,10,2,0,1,4,0,0,0,2,0,8,0,1,1,0,6,2,2,2,0,0,27,7,1,1,0,0,garzm001,guthj001,sorir001,guthj001,garzm001,,2,Apr 7,@,TBR,"L,3-4",8.0,10,4,4,0,2,8,1,0,4.41,34,114,71,1,0,0,1,32,2,0,0,0,0,0,1,3,Kerwin Danley,"J.Guthrie (99-49-L), W.Ohman (0), C.Meredith (99)",0.17647058823529413,0.3125,0.24324324324324326,0.35294117647058826,0.20588235294117646,0.46875,0.4491255961844197,0.8216911764705883,0.0,0.0,1.5,0.23529411764705882,0.058823529411764705,0.391304347826087
20100408,BAL,AL,3,TBA,AL,3,5,4,54,STP01,16191.0,36,9,3,0,1,4,0,0,1,3,1,6,1,0,0,0,8,5,4,4,0,0,27,7,0,0,0,0,30,6,0,1,0,4,0,1,0,8,0,10,1,2,0,0,8,6,5,5,2,0,27,14,0,0,0,0,matub001,ekstm001,gonzm001,matub001,niemj001,,3,Apr 8,@,TBR,"W,5-4",9.0,6,4,4,0,8,10,0,0,4.26,39,172,95,0,0,1,2,30,0,1,0,0,1,0,0,5,CB Bucknor,"B.Matusz (99-57-W), M.Albers (1-H), W.Ohman (0-H), J.Johnson (1-H), M.Gonzalez (1-Sv)",0.25,0.2,0.325,0.358974358974359,0.4166666666666667,0.26666666666666666,0.7416666666666667,0.6256410256410256,1.0,0.0,1.5555555555555556,0.2564102564102564,0.20512820512820512,0.2857142857142857
20100409,TOR,AL,4,BAL,AL,4,7,6,54,BAL12,48891.0,32,9,4,0,1,7,1,2,0,3,0,8,0,0,1,0,4,4,6,6,0,0,27,12,0,0,2,0,32,7,1,0,1,6,0,0,1,7,0,8,1,0,2,0,7,5,7,7,1,0,27,6,0,0,1,0,jansc001,gonzm001,gregk001,morrb001,bergb002,,4,Apr 9,1,TOR,"L,6-7",9.0,9,7,7,0,3,8,1,0,4.98,38,138,86,1,0,0,0,32,4,0,0,1,2,0,1,5,Rob Drake,"B.Bergesen (99-29), M.Hendrickson (99), J.Johnson (0), M.Gonzalez (0-BL), C.Meredith (1)",0.28125,0.21875,0.32432432432432434,0.375,0.5,0.34375,0.8243243243243243,0.71875,0.0,1.0,1.3333333333333333,0.21052631578947367,0.07894736842105263,0.32
20100410,TOR,AL,5,BAL,AL,5,3,0,54,BAL12,21148.0,34,9,6,0,0,3,0,0,1,6,3,5,0,1,1,0,11,3,0,0,0,0,27,15,0,0,2,0,30,6,1,0,0,0,0,0,1,3,0,3,0,1,2,0,7,3,3,3,0,0,27,10,0,0,2,0,eveld001,hernd002,frasj002,eveld001,hernd002,,5,Apr 10,1,TOR,"L,0-3",9.0,9,3,3,0,6,5,0,1,4.57,41,132,74,1,1,0,1,34,6,0,3,0,0,0,1,3,Joe West,"D.Hernandez (99-53-L), J.Berken (99), W.Ohman (1)",0.2647058823529412,0.2,0.3902439024390244,0.29411764705882354,0.4411764705882353,0.23333333333333334,0.8314203730272597,0.5274509803921569,0.0,0.0,1.6666666666666667,0.12195121951219512,0.14634146341463414,0.3103448275862069
20100411,TOR,AL,6,BAL,AL,6,5,2,54,BAL12,22499.0,35,7,1,0,4,5,0,0,0,2,0,7,0,0,0,0,5,4,2,2,0,0,27,9,1,0,2,0,34,9,1,1,0,2,0,0,0,1,0,8,0,0,2,0,6,3,2,2,0,0,27,11,1,0,0,0,jansc001,millk004,gregk001,marcs001,millk004,,6,Apr 11,1,TOR,"L,2-5",9.0,7,5,2,3,2,7,4,0,4.13,37,131,81,0,0,0,0,35,1,0,0,0,0,1,0,3,Angel Hernandez,"K.Millwood (4-65-L), M.Albers (2), C.Meredith (1)",0.2,0.2647058823529412,0.24324324324324326,0.2857142857142857,0.5714285714285714,0.35294117647058826,0.8146718146718146,0.6386554621848739,0.0,0.0,1.0,0.1891891891891892,0.05405405405405406,0.125
20100412,TBA,AL,7,BAL,AL,7,5,1,54,BAL12,9129.0,36,12,2,1,2,5,0,1,0,0,0,8,0,0,1,0,5,2,1,1,0,0,27,15,0,0,1,0,30,6,0,0,1,1,0,0,0,4,0,7,0,1,1,0,6,3,5,5,0,0,27,10,0,0,1,0,garzm001,guthj001,,garzm001,guthj001,,7,Apr 12,1,TBR,"L,1-5",9.0,12,5,5,0,0,8,2,0,4.26,37,150,98,0,0,0,0,36,2,1,0,0,1,0,1,3,D.J. Reyburn,"J.Guthrie (4-54-L), M.Hendrickson (2), M.Albers (0)",0.3333333333333333,0.2,0.32432432432432434,0.29411764705882354,0.6111111111111112,0.3,0.9354354354354355,0.5941176470588235,0.0,0.0,1.3333333333333333,0.21621621621621623,0.0,0.37037037037037035
20100413,TBA,AL,8,BAL,AL,8,8,6,60,BAL12,13731.0,40,11,1,0,1,8,0,0,1,3,0,8,0,1,0,0,6,6,6,6,1,0,30,12,2,0,1,0,41,11,1,0,3,6,0,0,2,2,1,4,0,0,1,0,9,6,8,8,1,0,30,6,0,0,0,0,corml001,albem001,sorir001,niemj001,matub001,,8,Apr 13,1,TBR,"L,6-8",10.0,11,8,8,0,3,8,1,1,4.67,44,169,106,5,4,0,1,40,1,0,0,0,0,0,0,6,Mike DiMuro,"B.Matusz (4-57), J.Johnson (3-BSv), W.Ohman (2), C.Meredith (1), M.Albers (0-L), J.Berken (2)",0.275,0.2682926829268293,0.3409090909090909,0.3333333333333333,0.375,0.5121951219512195,0.7159090909090908,0.8455284552845528,0.0,0.0,1.4,0.18181818181818182,0.06818181818181818,0.3225806451612903
20100414,TBA,AL,9,BAL,AL,9,9,1,54,BAL12,10248.0,38,11,4,0,3,9,0,0,1,3,1,10,0,0,1,0,6,3,1,1,0,0,27,6,1,0,1,0,32,6,1,1,1,1,0,0,0,3,0,8,0,0,1,0,7,3,6,6,0,0,27,5,1,0,1,0,pricd001,bergb002,,pricd001,bergb002,,9,Apr 14,1,TBR,"L,1-9",9.0,11,9,6,3,3,10,3,1,4.82,42,162,102,2,1,0,0,38,4,0,1,0,0,1,1,3,Tim Welke,"B.Bergesen (4-20-L), J.Berken (0), M.Hendrickson (1)",0.2894736842105263,0.1875,0.35714285714285715,0.2571428571428571,0.631578947368421,0.375,0.9887218045112782,0.6321428571428571,0.0,0.0,1.5555555555555556,0.23809523809523808,0.07142857142857142,0.32
20100415,BAL,AL,10,OAK,AL,11,2,6,51,OAK01,17382.0,34,8,4,1,0,2,0,1,0,4,0,8,0,0,0,0,10,3,5,5,1,0,24,3,2,0,0,0,32,9,6,0,0,6,0,2,1,3,1,7,2,0,0,0,8,3,2,2,0,0,27,7,0,0,0,0,sheeb001,hernd002,,hernd002,sheeb001,,10,Apr 15,@,OAK,"L,2-6",8.0,9,6,5,1,3,7,0,1,4.89,38,159,97,0,0,2,0,32,6,0,1,0,2,1,0,3,Marty Foster,"D.Hernandez (4-40-L), M.Hendrickson (0), K.Mickolio (99)",0.23529411764705882,0.28125,0.3076923076923077,0.34210526315789475,0.4117647058823529,0.46875,0.7194570135746606,0.8108552631578947,0.0,0.0,1.5,0.18421052631578946,0.07894736842105263,0.3333333333333333
