teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win
BAL,AL,3,0,37,11,4,0,3,3,3,7,10,5,4,4,0,0.2972972972972973,0.35,0.6486486486486487,0.9986486486486488,0.0
BAL,AL,3,0,34,6,1,0,0,2,2,9,7,3,4,4,0,0.17647058823529413,0.24324324324324326,0.20588235294117646,0.4491255961844197,0.0
BAL,AL,5,0,36,9,3,0,1,4,3,6,8,5,4,4,0,0.25,0.325,0.4166666666666667,0.7416666666666667,1.0
BAL,AL,6,1,32,7,1,0,1,6,7,8,7,5,7,7,0,0.21875,0.375,0.34375,0.71875,0.0
BAL,AL,0,1,30,6,1,0,0,0,3,3,7,3,3,3,0,0.2,0.29411764705882354,0.23333333333333334,0.5274509803921569,0.0
BAL,AL,2,1,34,9,1,1,0,2,1,8,6,3,2,2,1,0.2647058823529412,0.2857142857142857,0.35294117647058826,0.6386554621848739,0.0
BAL,AL,1,1,30,6,0,0,1,1,4,7,6,3,5,5,0,0.2,0.29411764705882354,0.3,0.5941176470588235,0.0
BAL,AL,6,1,41,11,1,0,3,6,2,4,9,6,8,8,0,0.2682926829268293,0.3333333333333333,0.5121951219512195,0.8455284552845528,0.0
BAL,AL,2,0,34,8,4,1,0,2,4,8,10,3,5,5,2,0.23529411764705882,0.3076923076923077,0.4117647058823529,0.7194570135746606,0.0
BAL,AL,2,0,30,5,2,0,1,2,1,5,2,3,3,3,1,0.16666666666666666,0.1935483870967742,0.3333333333333333,0.5268817204301075,0.0
BAL,AL,3,0,35,9,1,0,0,3,3,8,9,6,3,3,1,0.2571428571428571,0.3076923076923077,0.2857142857142857,0.5934065934065934,0.0
BAL,AL,8,0,39,11,3,0,1,8,0,6,4,3,3,3,0,0.28205128205128205,0.28205128205128205,0.4358974358974359,0.7179487179487181,1.0
BAL,AL,2,0,31,5,1,0,1,2,1,5,4,3,5,5,2,0.16129032258064516,0.21212121212121213,0.2903225806451613,0.5024437927663734,0.0
BAL,AL,1,0,32,4,3,0,0,1,2,7,6,3,3,3,1,0.125,0.17647058823529413,0.21875,0.39522058823529416,0.0
BAL,AL,1,0,35,9,0,0,0,1,0,6,7,1,4,4,1,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.5142857142857142,0.0
BAL,AL,3,0,34,9,2,0,1,3,7,9,12,6,4,4,2,0.2647058823529412,0.40476190476190477,0.4117647058823529,0.8165266106442577,0.0
BAL,AL,6,0,42,17,2,0,2,5,2,6,11,4,7,7,0,0.40476190476190477,0.4318181818181818,0.5952380952380952,1.027056277056277,0.0
BAL,AL,7,0,45,14,4,0,1,7,2,10,10,6,6,6,0,0.3111111111111111,0.3404255319148936,0.4666666666666667,0.8070921985815602,1.0
BAL,AL,5,1,31,7,1,0,0,5,6,4,9,4,2,2,2,0.22580645161290322,0.3684210526315789,0.25806451612903225,0.6264855687606112,1.0
BAL,AL,3,1,35,11,3,0,1,3,2,5,8,5,7,7,1,0.3142857142857143,0.34210526315789475,0.4857142857142857,0.8278195488721805,0.0
BAL,AL,0,1,30,3,0,0,0,0,2,5,5,4,4,4,0,0.1,0.15625,0.1,0.25625,0.0
BAL,AL,5,1,35,9,2,0,1,4,4,10,6,7,4,4,0,0.2571428571428571,0.325,0.4,0.7250000000000001,1.0
BAL,AL,12,1,34,12,1,0,5,12,3,6,1,5,9,9,0,0.35294117647058826,0.40540540540540543,0.8235294117647058,1.2289348171701109,1.0
