Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID
20100404,NYA,AL,1,BOS,AL,1,7,9,51,BOS07,37440,20300200,01001331x,37,12,2,0,2,6,0,0,0,6,0,2,2,0,2,0,9,5,8,8,1,0,24,9,1,1,1,0,34,12,3,1,1,8,0,1,0,4,0,5,0,0,0,0,6,6,7,7,1,0,27,15,0,0,2,0,okajh001,parkc002,papej001,sabac001,beckj002
20100406,NYA,AL,2,BOS,AL,2,6,4,54,BOS07,38000,10030011,102010000,35,9,4,0,1,6,0,1,2,5,0,7,0,0,1,0,10,6,3,3,0,0,27,5,3,0,1,0,35,9,3,0,1,4,0,1,1,1,0,8,2,0,1,0,7,5,5,5,0,0,27,12,1,0,1,0,aceva001,okajh001,rivem002,burna001,lestj001
20100407,NYA,AL,3,BOS,AL,3,3,1,60,BOS07,38238,1002,10000000,34,6,1,0,1,3,0,0,1,5,0,7,2,1,1,0,7,3,1,1,0,0,30,10,0,0,2,0,35,7,2,0,0,1,0,0,1,3,0,5,0,0,2,0,8,5,3,3,0,0,30,15,0,0,1,0,parkc002,papej001,rivem002,petta001,lackj001
20100409,BOS,AL,4,KCA,AL,4,3,4,51,KAN06,21091,300000,00000202x,33,9,2,0,1,3,1,0,0,4,0,8,0,1,1,0,8,3,4,4,0,0,24,7,0,0,0,0,30,8,3,0,2,4,1,0,0,2,0,7,2,0,0,0,5,6,3,3,0,0,27,10,1,0,1,0,parrj003,bardd001,sorij001,waket001,davik002
20100410,BOS,AL,5,KCA,AL,5,8,3,54,KAN06,37505,20213,100000200,37,12,1,0,5,8,0,1,2,0,0,6,1,0,1,0,5,3,3,3,0,0,27,9,0,0,2,0,34,9,4,0,0,2,0,0,0,1,0,4,1,0,2,0,5,4,8,8,0,0,27,11,0,0,1,0,beckj002,greiz001,,beckj002,greiz001
20100411,BOS,AL,6,KCA,AL,6,8,6,54,KAN06,19240,410300000,111000030,37,12,4,0,1,7,0,0,0,6,0,7,2,0,1,0,8,5,5,5,1,0,27,11,1,0,2,0,35,10,1,0,2,5,1,0,0,3,0,2,2,0,1,0,6,5,8,8,1,0,27,4,1,0,2,0,buchc001,mechg001,papej001,buchc001,mechg001
20100412,BOS,AL,7,MIN,AL,8,2,5,51,MIN04,38145,100010,21010010x,31,7,4,0,0,2,0,1,0,1,0,6,0,1,1,0,4,3,5,5,0,0,24,9,0,0,0,0,36,12,2,0,1,5,0,0,0,4,0,7,3,0,0,0,11,4,2,2,0,0,27,10,0,0,1,0,pavac001,lestj001,raucj001,lestj001,pavac001
20100414,BOS,AL,8,MIN,AL,9,6,3,54,MIN04,38164,110010030,2000010,36,10,4,0,1,6,0,0,0,6,1,10,0,1,0,0,9,4,3,3,1,0,27,9,0,1,2,0,34,9,2,0,1,3,0,0,0,7,1,2,0,0,2,0,11,4,6,6,1,0,27,9,0,0,0,0,lackj001,slowk001,papej001,lackj001,slowk001
20100415,BOS,AL,9,MIN,AL,10,0,8,51,MIN04,38341,0,01003220x,32,6,1,0,0,0,0,0,0,3,0,10,0,0,1,0,8,3,7,7,1,0,24,6,3,0,0,0,39,15,5,0,1,7,0,1,0,2,1,4,0,0,0,0,10,3,0,0,0,0,27,11,0,0,1,0,lirif001,waket001,,waket001,lirif001
20100417,TBA,AL,11,BOS,AL,11,6,5,54,BOS07,37022,400001100,10400,34,5,3,0,1,5,0,0,0,4,0,11,2,0,0,0,5,5,5,5,0,0,27,8,0,0,0,0,38,11,3,0,3,5,0,0,0,2,0,8,0,0,0,0,8,3,1,1,1,0,27,6,2,0,0,0,shiej002,buchc001,sorir001,shiej002,buchc001
