Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20140331","BOS","AL",1,"BAL","AL",1,1,2,51,"BAL12",46685,"000100000","01000010x",36,9,2,0,1,1,0,0,1,3,0,6,0,0,0,0,12,2,2,2,0,0,24,11,0,0,2,0,28,6,0,0,1,1,0,0,0,1,0,9,0,0,2,0,3,5,1,1,0,0,27,13,0,0,0,0,"britz001","lestj001","huntt002","lestj001","tillc001",
"20140402","BOS","AL",2,"BAL","AL",2,6,2,54,"BAL12",25708,"002020200","000200000",35,10,0,0,2,6,0,0,1,4,1,7,0,0,1,0,7,4,2,2,1,0,27,4,1,0,0,0,34,6,0,0,1,2,0,0,0,1,0,9,0,0,0,0,6,5,6,6,0,0,27,6,1,0,2,0,"lackj001","jimeu001","","lackj001","jimeu001",
"20140403","BOS","AL",3,"BAL","AL",3,4,3,54,"BAL12",20880,"011101000","000201000",38,14,2,0,0,3,0,0,1,1,0,8,0,0,3,0,9,5,3,3,1,0,27,11,0,0,1,0,35,9,2,0,0,2,0,0,0,2,0,8,0,0,1,0,7,3,4,4,0,0,27,10,0,0,3,0,"doubf001","chenw001","uehak001","doubf001","chenw001",
"20140404","MIL","NL",4,"BOS","AL",4,6,2,54,"BOS07",36728,"020000004","011000000",38,12,4,1,1,6,1,0,0,4,0,6,1,1,1,0,10,4,1,1,2,0,27,7,1,1,2,0,29,5,1,0,1,1,0,0,0,5,1,8,1,1,1,0,5,4,6,6,0,0,27,8,1,0,1,0,"kintb001","mujie001","","estrm001","peavj001",
"20140405","MIL","NL",5,"BOS","AL",5,7,6,66,"BOS07",35729,"12300000001","02300100000",52,19,6,0,2,7,0,0,0,1,0,18,1,0,0,0,13,7,2,2,0,0,33,14,2,0,2,0,39,7,2,0,1,5,0,0,0,3,0,13,0,1,2,0,3,7,7,7,2,0,33,10,2,0,1,0,"thort001","badeb001","rodrf003","peraw001","buchc001",
"20140406","MIL","NL",6,"BOS","AL",6,4,0,54,"BOS07",35958,"020000110","000000000",36,9,2,0,0,3,0,0,0,2,0,8,2,0,0,0,7,3,0,0,0,0,27,10,1,0,0,0,36,9,2,0,0,0,0,0,0,0,0,6,0,0,0,0,9,3,2,2,0,0,27,10,2,0,0,0,"gally001","lestj001","","gally001","lestj001",
"20140407","TEX","AL",7,"BOS","AL",7,1,5,51,"BOS07",35842,"000100000","01010003x",32,8,1,1,0,1,0,1,0,2,0,6,2,0,2,0,7,4,5,5,1,0,24,15,2,0,3,0,36,14,1,0,0,4,0,0,2,2,0,4,0,0,3,0,11,3,0,0,0,0,27,13,1,1,2,0,"lackj001","schet001","","schet001","lackj001",
"20140408","TEX","AL",8,"BOS","AL",8,10,7,54,"BOS07",34142,"005310001","000100303",36,13,6,0,1,10,2,2,0,4,0,5,0,0,0,0,7,4,7,7,1,0,27,12,0,0,5,0,36,14,4,0,0,7,0,0,0,4,0,9,0,0,5,0,6,3,10,10,0,0,27,15,0,0,0,0,"perem004","doubf001","","perem004","doubf001",
"20140409","TEX","AL",9,"BOS","AL",9,2,4,51,"BOS07",33585,"000000110","00100003x",30,5,2,0,1,2,0,1,0,4,0,9,1,1,0,0,6,3,3,3,0,0,24,13,1,0,3,0,25,4,1,0,1,3,0,0,0,7,0,9,0,1,2,0,4,4,2,2,0,0,27,11,0,0,0,0,"milla002","ogana001","uehak001","rossr002","peavj001",
"20140410","BOS","AL",10,"NYA","AL",10,1,4,51,"NYC21",42821,"000000100","00022000x",31,4,1,0,1,1,0,0,0,2,0,12,1,0,0,0,5,3,2,2,0,0,24,13,1,0,1,0,30,7,1,0,1,3,0,0,0,0,0,6,0,0,1,0,2,3,1,1,0,1,27,4,0,0,0,0,"pinem001","buchc001","pheld001","buchc001","pinem001",
