Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20180329,BOS,AL,1,TBA,AL,1,4,6,51,STP01,31042,30000100,00000006x,33,8,4,0,1,4,0,0,0,2,0,6,0,0,0,0,4,4,6,6,0,0,24,6,0,1,0,0,28,4,1,1,0,6,0,0,0,7,0,11,0,0,0,0,5,3,4,4,0,0,27,12,0,0,1,0,pruia001,smitc004,coloa001,salec001,archc001,,1,Mar 29,@,TBR,"L,4-6",8,4,6,6,0,7,11,0,0,6.75,35,154,87,3,3,0,0,28,1,1,0,0,0,0,0,4,Jeff Nelson,"C.Sale (99-76), M.Barnes (99), J.Kelly (99), C.Smith (99-BL)"
20180330,BOS,AL,2,TBA,AL,2,1,0,54,STP01,19203,100,0,32,7,2,0,0,1,0,0,0,2,0,6,0,0,1,0,6,3,0,0,0,0,27,5,0,0,1,0,30,4,0,0,0,0,0,0,0,1,0,9,0,0,1,0,4,4,1,1,0,0,27,12,0,0,1,0,pricd001,roe-c001,kimbc001,pricd001,snelb001,,2,Mar 30,@,TBR,"W,1-0",9,4,0,0,0,1,9,0,0,3.18,31,109,74,0,0,0,0,30,0,0,0,0,0,0,1,3,Laz Diaz,"D.Price (99-74-W), M.Barnes (0-H), C.Kimbrel (99-Sv)"
20180331,BOS,AL,3,TBA,AL,3,3,2,54,STP01,17838,10101000,1010,33,7,4,0,1,2,0,0,0,6,0,5,1,1,1,0,9,5,2,2,1,0,27,5,0,0,1,0,33,8,1,0,1,2,0,1,0,3,0,7,1,0,0,0,8,4,2,2,0,0,27,8,1,0,1,0,porcr001,kitta001,kimbc001,porcr001,kitta001,,3,Mar 31,@,TBR,"W,3-2",9,8,2,2,0,3,7,1,0,2.77,37,148,96,3,1,1,0,33,1,0,0,0,1,0,0,5,Andy Fletcher,"R.Porcello (99-55-W), H.Hembree (99-H), B.Poyner (99-H), C.Smith (1-H), C.Kimbrel (0-Sv)"
20180401,BOS,AL,4,TBA,AL,4,2,1,54,STP01,14256,11000,10000000,33,6,0,0,0,2,0,0,3,4,0,6,2,0,0,0,11,5,1,1,0,0,27,4,0,0,0,0,35,8,1,0,1,1,0,0,0,2,0,9,0,0,0,0,9,3,2,2,0,0,27,11,1,0,0,0,velah001,alvaj004,kellj001,velah001,farij001,,4,Apr 1,@,TBR,"W,2-1",9,8,1,1,0,2,9,1,0,2.31,37,128,89,1,0,0,0,35,1,0,0,0,0,0,0,5,Manny Gonzalez,"H.Velazquez (99-59-W), M.Walden (99-H), B.Poyner (0-H), M.Barnes (1-H), J.Kelly (2-Sv)"
20180402,BOS,AL,5,MIA,NL,5,7,3,54,MIA02,11113,320101,10000011,38,12,3,0,2,7,0,0,0,3,0,6,1,1,0,0,7,3,3,3,1,0,27,10,0,0,1,0,36,10,1,0,1,3,0,0,1,3,0,7,0,0,1,0,10,4,7,7,0,0,27,10,0,0,1,0,johnb004,richt001,,johnb004,richt001,,5,Apr 2,@,MIA,"W,7-3",9,10,3,3,0,3,7,1,1,2.45,40,137,82,0,0,0,0,36,1,0,0,0,0,0,1,3,Jerry Meals,"B.Johnson (99-59-W), H.Hembree (1), M.Walden (0)"
20180403,BOS,AL,6,MIA,NL,6,4,2,78,MIA02,14953,1E+12,1000000100,48,12,4,0,0,4,0,0,0,2,1,9,1,1,2,0,7,7,2,2,0,0,39,12,0,0,2,0,45,9,2,0,0,2,0,0,0,4,0,16,2,0,1,0,8,6,4,4,0,0,39,21,0,0,2,0,hembh001,guert001,,salec001,urenj001,,6,Apr 3,@,MIA,"W,4-2",13,9,2,2,0,4,16,0,0,2.21,49,227,150,1,0,2,0,45,2,0,0,0,0,0,1,7,Ben May,"C.Sale (4-59), B.Poyner (1), C.Smith (2), J.Kelly (1), C.Kimbrel (2), M.Barnes (1-BSv), H.Hembree (0-W)"
20180405,TBA,AL,7,BOS,AL,7,2,3,70,BOS07,36134,20000,2001,40,6,1,0,1,2,1,0,0,6,0,11,0,0,1,0,9,7,3,3,0,0,34,15,0,2,1,0,41,10,2,1,0,3,1,0,0,6,3,9,1,0,1,0,11,5,2,2,0,0,36,11,0,0,1,0,poynb001,kitta001,,chiry001,pricd001,,7,Apr 5,1,TBR,"W,3-2",12,6,2,2,0,6,11,1,0,2.09,47,183,113,0,0,0,0,40,1,0,0,1,0,0,1,5,Todd Tichenor,"D.Price (5-73), C.Smith (1), H.Velazquez (3), C.Kimbrel (1), B.Poyner (1-W)"
20180407,TBA,AL,8,BOS,AL,8,3,10,51,BOS07,31821,200000010,44000020x,32,6,2,0,0,3,0,0,0,0,0,9,0,0,1,0,2,5,10,10,0,0,24,6,0,0,0,0,32,9,3,0,3,10,0,1,0,6,0,3,0,0,0,0,5,2,3,3,0,0,27,10,0,0,1,0,porcr001,farij001,,farij001,porcr001,,8,Apr 7,1,TBR,"W,10-3",9,6,3,3,0,0,9,0,0,2.19,32,106,76,1,0,0,0,32,2,0,0,0,0,0,1,2,Alan Porter,"R.Porcello (6-61-W), M.Walden (4)"
20180408,TBA,AL,9,BOS,AL,9,7,8,51,BOS07,31979,11111200,10001006x,37,11,1,2,1,7,0,1,0,6,0,11,1,0,0,0,10,5,8,8,2,0,24,3,0,1,0,0,35,11,4,0,0,8,0,0,0,4,0,6,0,0,0,0,7,7,7,7,0,0,27,8,0,0,0,0,smitc004,coloa001,kimbc001,kitta001,rodre004,,9,Apr 8,1,TBR,"W,8-7",9,11,7,7,0,6,11,1,0,2.69,44,190,116,4,2,1,0,37,1,2,0,0,1,0,0,7,Bill Miller,"E.Rodriguez (99-44), H.Velazquez (2), B.Poyner (2), B.Johnson (5), H.Hembree (4), C.Smith (2-W), C.Kimbrel (2-Sv)"
20180410,NYA,AL,11,BOS,AL,10,1,14,51,BOS07,32357,10000,13010900x,36,10,1,0,1,1,0,0,0,1,0,10,0,0,1,0,9,4,8,8,0,0,24,7,2,0,0,0,34,11,4,1,1,13,0,2,1,7,0,10,1,0,0,0,6,3,1,1,0,0,27,7,0,0,1,0,salec001,sevel001,,sevel001,salec001,,10,Apr 10,1,NYY,"W,14-1",9,10,1,1,0,1,10,1,0,2.53,37,142,97,0,0,0,0,36,1,0,0,0,0,0,1,3,Larry Vanover,"C.Sale (6-60-W), J.Kelly (6), B.Johnson (1)"
